Date,Open,High,Low,Close,Volume
2012-01-03,626.0,635.62,602.0,623.5,12123
2012-01-04,637.0,647.28,600.0,608.0,34126
2012-01-05,610.0,629.5,592.5,592.5,20555
2012-01-06,596.5,660.0,590.34,660.0,37020
2012-01-09,657.0,710.0,644.5,700.0,64859
2012-01-10,710.0,734.52,694.95,707.0,46866
2012-01-11,700.0,725.75,691.0,691.0,13827
2012-01-12,697.0,701.0,676.0,682.0,22670
2012-01-13,682.5,688.0,678.5,683.5,13968
2012-01-16,675.5,725.0,675.5,695.5,33827
2012-01-17,703.5,722.62,692.0,695.0,32010
2012-01-18,711.5,735.0,709.0,709.0,30462
2012-01-19,738.0,738.0,708.5,714.5,35032
2012-01-20,738.0,738.0,702.5,707.0,12353
2012-01-23,725.0,729.0,702.0,709.0,12746
2012-01-24,739.0,739.92,721.5,723.0,35805
2012-01-25,732.5,732.5,700.0,705.0,23687
2012-01-26,713.0,737.5,705.0,724.0,17533
2012-01-27,739.0,739.0,700.0,715.0,29247
2012-01-30,738.5,745.0,702.0,724.0,18616
2012-01-31,744.5,748.5,714.0,715.0,23196
2012-02-01,724.5,737.0,711.0,723.0,15412
2012-02-02,724.0,758.5,724.0,750.0,26962
2012-02-03,743.0,798.0,735.0,781.0,62464
2012-02-06,774.5,818.64,772.5,799.0,31870
2012-02-07,808.0,820.0,785.0,799.0,60877
2012-02-08,810.0,828.0,780.5,819.0,12930
2012-02-09,822.5,832.0,807.0,813.0,18832
2012-02-10,808.0,825.5,793.0,802.0,18684
2012-02-13,819.5,840.0,801.0,806.0,7419
2012-02-14,839.0,862.0,826.45,858.5,9898
2012-02-15,858.5,878.5,858.5,860.5,22981
2012-02-16,856.5,867.5,830.66,860.0,15592
2012-02-17,874.5,885.0,853.5,863.0,9023
2012-02-20,855.0,864.85,820.0,820.0,17582
2012-02-21,820.0,848.5,805.0,816.0,11345
2012-02-22,817.5,832.5,814.0,814.0,7733
2012-02-23,817.5,840.0,817.39,839.0,34780
2012-02-24,838.0,850.0,829.0,844.0,11061
2012-02-27,825.0,846.0,825.0,833.0,9927
2012-02-28,850.0,850.0,825.0,833.0,12264
2012-02-29,815.5,844.02,815.5,830.0,12973
2012-03-01,821.0,830.0,795.0,810.0,17115
2012-03-02,790.5,815.0,788.19,813.5,5109
2012-03-05,806.5,815.96,801.5,814.5,4416
2012-03-06,788.0,819.5,774.0,780.0,8950
2012-03-07,779.5,810.0,772.69,776.0,3441
2012-03-08,785.0,799.0,774.0,780.0,13934
2012-03-09,777.0,783.74,736.45,766.0,25003
2012-03-12,768.5,775.5,745.96,766.5,7879
2012-03-13,766.5,794.5,765.28,780.0,25828
2012-03-14,780.0,799.0,739.0,739.0,19916
2012-03-15,740.0,766.0,715.0,766.0,31747
2012-03-16,765.0,772.0,759.0,768.5,26369
2012-03-19,770.0,770.0,753.68,764.5,7235
2012-03-20,752.0,774.0,740.5,758.55,39053
2012-03-21,749.0,760.0,746.21,759.0,12610
2012-03-22,765.0,769.5,738.0,769.5,7491
2012-03-23,769.5,775.5,757.0,775.5,4636
2012-03-26,785.0,795.0,770.5,782.0,3376
2012-03-27,786.0,795.56,750.5,787.0,10664
2012-03-28,765.5,791.87,765.5,775.0,4258
2012-03-29,772.5,787.0,772.0,775.0,5864
2012-03-30,775.5,807.0,775.5,795.5,3999
2012-04-02,796.0,804.5,770.0,771.0,26410
2012-04-03,774.5,792.5,760.5,792.5,74300
2012-04-04,800.0,800.0,772.5,785.0,15860
2012-04-05,789.5,798.5,775.88,797.0,25291
2012-04-10,795.0,812.0,780.0,793.0,12577
2012-04-11,789.0,813.5,770.5,799.0,13996
2012-04-12,775.0,791.0,765.0,791.0,21650
2012-04-13,770.5,810.0,770.5,794.5,13210
2012-04-16,776.0,804.0,776.0,801.5,12317
2012-04-17,797.5,820.0,780.5,801.5,5543
2012-04-18,797.0,814.0,785.0,809.5,5030
2012-04-19,805.0,808.5,786.5,791.5,7931
2012-04-20,786.5,812.0,785.0,808.0,7472
2012-04-23,802.0,812.5,780.0,786.5,6360
2012-04-24,782.0,818.0,775.0,799.0,6098
2012-04-25,794.5,813.5,776.5,809.5,7447
2012-04-26,807.5,810.5,775.0,775.0,12153
2012-04-27,806.0,812.75,789.0,807.5,5490
2012-04-30,802.5,820.0,792.0,820.0,2579
2012-05-01,814.0,841.0,802.15,841.0,8749
2012-05-02,804.5,845.0,804.5,834.5,5742
2012-05-03,830.5,838.0,807.5,835.0,3374
2012-05-04,841.5,841.5,808.0,823.0,2306
2012-05-08,818.0,831.5,775.0,786.0,13115
2012-05-09,775.0,804.0,754.0,754.0,9532
2012-05-10,760.0,790.0,760.0,781.5,5500
2012-05-11,761.0,789.5,755.54,766.0,3730
2012-05-14,759.5,786.0,751.5,782.5,6126
2012-05-15,760.5,805.0,760.5,791.5,5062
2012-05-16,765.0,791.0,750.0,765.5,4697
2012-05-17,770.0,778.0,750.0,752.5,7001
2012-05-18,757.5,773.5,719.48,750.0,8891
2012-05-21,748.0,780.0,748.0,750.0,5155
2012-05-22,748.0,768.0,700.0,703.5,17555
2012-05-23,710.0,737.0,707.5,707.5,8295
2012-05-24,713.0,731.5,705.0,705.0,1060
2012-05-25,717.5,736.5,706.0,706.0,6748
2012-05-28,744.5,744.5,703.5,703.5,4127
2012-05-29,700.0,721.0,700.0,716.0,8615
2012-05-30,730.0,730.0,702.0,702.0,4558
2012-05-31,712.0,717.0,674.72,680.0,4651
2012-06-01,680.0,687.22,670.0,683.5,3329
