Date,Open,High,Low,Close,Volume
2012-01-03,421.4,429.4,414.4,429.4,164136
2012-01-04,427.5,435.67,424.0,424.0,130920
2012-01-05,424.0,426.44,416.2,418.4,52048
2012-01-06,416.6,423.3,406.5,421.4,96298
2012-01-09,418.0,427.0,413.97,421.4,87167
2012-01-10,424.7,425.1,405.0,422.8,104755
2012-01-11,422.4,425.9,418.8,424.1,73297
2012-01-12,412.0,422.2,412.0,419.9,100690
2012-01-13,418.0,423.0,403.66,419.0,93886
2012-01-16,417.3,420.29,413.1,415.9,126418
2012-01-17,416.8,424.3,404.3,416.7,69933
2012-01-18,407.4,428.5,401.39,417.0,217139
2012-01-19,417.0,420.0,406.76,407.9,140696
2012-01-20,409.6,422.9,409.6,414.8,91433
2012-01-23,416.5,423.5,412.54,417.5,82447
2012-01-24,418.8,429.2,407.09,414.4,157348
2012-01-25,414.1,420.9,401.2,413.8,67492
2012-01-26,415.7,415.7,407.0,412.5,106017
2012-01-27,410.5,419.2,407.7,413.6,39320
2012-01-30,411.1,417.0,402.4,404.8,63205
2012-01-31,404.6,412.9,395.97,407.1,69926
2012-02-01,407.2,414.0,407.2,411.7,92255
2012-02-02,405.0,419.9,405.0,409.5,77416
2012-02-03,415.9,420.41,407.1,413.2,116477
2012-02-06,410.7,418.7,410.7,418.1,61585
2012-02-07,419.3,426.6,416.6,419.3,79899
2012-02-08,421.9,422.7,410.71,411.6,42455
2012-02-09,411.2,415.2,409.4,409.4,44738
2012-02-10,408.0,411.9,390.63,408.2,116859
2012-02-13,408.1,410.3,403.7,410.0,41572
2012-02-14,409.9,412.5,398.3,404.2,50182
2012-02-15,403.2,412.1,399.61,407.0,122143
2012-02-16,399.0,406.9,399.0,406.7,50466
2012-02-17,413.0,413.0,402.76,411.4,36156
2012-02-20,400.0,410.8,400.0,404.9,72355
2012-02-21,403.4,411.6,403.4,407.0,52590
2012-02-22,405.7,410.9,394.38,408.4,75524
2012-02-23,407.5,409.59,402.6,407.0,45549
2012-02-24,398.6,411.91,395.44,397.3,73404
2012-02-27,397.1,405.95,396.32,400.2,63906
2012-02-28,398.2,410.46,395.4,399.2,69337
2012-02-29,400.8,408.1,397.3,401.6,102044
2012-03-01,400.1,409.5,398.28,405.5,73696
2012-03-02,404.1,412.53,397.5,401.4,63852
2012-03-05,408.7,414.3,398.8,405.0,141523
2012-03-06,407.5,407.5,396.2,400.0,76442
2012-03-07,398.9,409.7,398.9,402.0,75845
2012-03-08,402.4,411.1,400.4,403.6,87613
2012-03-09,393.6,414.8,371.0,405.0,255670
2012-03-12,400.0,421.6,400.0,417.0,96369
2012-03-13,417.0,435.0,417.0,435.0,175795
2012-03-14,435.6,439.0,421.9,426.9,153463
2012-03-15,430.6,430.6,418.54,425.0,169996
2012-03-16,424.0,426.5,419.5,420.4,298306
2012-03-19,413.6,421.5,412.5,421.5,74444
2012-03-20,419.4,420.21,412.9,418.6,109164
2012-03-21,418.4,421.02,415.8,417.3,135224
2012-03-22,415.2,422.0,415.2,420.8,111022
2012-03-23,422.1,425.2,416.5,420.0,334364
2012-03-26,419.8,425.0,411.46,414.1,122990
2012-03-27,413.2,417.2,407.0,407.0,235634
2012-03-28,407.7,418.2,405.3,411.0,252933
2012-03-29,408.0,414.98,405.1,408.4,402365
2012-03-30,409.2,417.9,408.0,411.4,226219
2012-04-02,413.4,415.2,409.0,414.3,267660
2012-04-03,414.7,417.8,411.5,415.3,233258
2012-04-04,414.6,415.9,404.4,406.0,219810
2012-04-05,406.6,413.4,402.2,409.1,126321
2012-04-10,404.8,409.6,400.17,404.3,101797
2012-04-11,402.5,407.9,399.7,407.5,168467
2012-04-12,406.7,411.6,401.5,408.1,134331
2012-04-13,406.7,408.7,398.6,404.6,172142
2012-04-16,403.4,416.3,402.5,405.1,173806
2012-04-17,415.1,420.7,410.0,416.0,236528
2012-04-18,414.8,425.0,412.6,420.3,250394
2012-04-19,422.7,423.0,415.8,417.2,138053
2012-04-20,417.6,418.69,413.6,418.1,107308
2012-04-23,414.9,416.28,407.0,412.0,100620
2012-04-24,411.9,417.5,410.4,416.0,82255
2012-04-25,411.7,416.18,406.7,408.0,114247
2012-04-26,407.3,422.1,404.9,417.46,223766
2012-04-27,404.5,414.9,404.5,411.7,143832
2012-04-30,411.9,414.9,405.5,405.5,68269
2012-05-01,404.5,411.5,400.3,408.4,87270
2012-05-02,410.0,411.1,405.2,408.5,185847
2012-05-03,407.4,407.7,399.1,400.0,152782
2012-05-04,399.1,401.4,391.2,394.8,218494
2012-05-08,395.0,401.73,374.9,375.3,209227
2012-05-09,377.8,381.1,371.4,376.3,231024
2012-05-10,383.0,385.6,375.58,377.8,194712
2012-05-11,376.5,380.6,376.5,379.9,152486
2012-05-14,377.9,379.0,370.7,371.3,129127
2012-05-15,373.1,376.8,368.4,373.5,190978
2012-05-16,369.9,380.7,366.9,375.4,170124
2012-05-17,376.6,382.7,372.5,376.2,161849
2012-05-18,377.0,382.9,373.5,377.0,246617
2012-05-21,374.9,381.3,374.9,379.9,160543
2012-05-22,381.9,386.82,376.2,380.3,171850
2012-05-23,380.8,392.3,376.5,385.0,258842
2012-05-24,386.0,392.2,385.2,387.8,150444
2012-05-25,388.8,392.1,382.8,386.5,125168
2012-05-28,387.0,391.6,384.8,390.9,99781
2012-05-29,392.6,395.8,391.31,392.0,144512
2012-05-30,389.3,392.4,387.3,387.9,139784
2012-05-31,388.9,397.5,387.0,388.0,239070
2012-06-01,388.0,388.7,385.0,385.0,164386
2012-06-06,387.4,393.5,385.3,391.0,154016
2012-06-07,389.9,395.7,388.0,395.6,191201
2012-06-08,392.5,394.5,388.2,392.8,90104
2012-06-11,398.3,399.6,388.2,388.2,94160
2012-06-12,387.4,391.2,386.0,387.6,150501
2012-06-13,388.6,391.4,385.1,388.2,114747
2012-06-14,388.2,400.0,386.2,400.0,165548
2012-06-15,397.2,418.15,392.0,417.9,1428470
2012-06-18,411.7,416.0,402.4,406.8,237681
2012-06-19,405.1,414.0,404.8,411.0,137267
2012-06-20,412.2,419.7,409.9,419.7,121093
2012-06-21,416.8,418.5,414.62,416.0,87591
2012-06-22,412.6,416.0,411.6,412.9,128686
2012-06-25,410.5,412.99,407.5,409.5,118101
2012-06-26,409.7,415.1,406.2,414.06,77564
2012-06-27,415.6,418.2,413.5,414.62,56876
2012-06-28,418.0,418.6,414.7,418.6,78990
2012-06-29,422.2,428.2,419.0,426.2,144760
2012-07-02,422.6,427.79,420.99,424.8,102423
2012-07-03,428.8,428.8,419.7,421.0,121544
2012-07-04,423.6,427.1,420.0,426.0,55803
