Date,Open,High,Low,Close,Volume
2012-01-03,105.0,105.5,103.76,104.0,168230.0
2012-01-04,104.0,105.5,104.0,104.0,146255.0
2012-01-05,105.75,106.0,104.0,105.2,342632.0
2012-01-06,105.0,105.49,103.51,105.2,82683.0
2012-01-09,106.0,107.0,105.6,105.86,162054.0
2012-01-10,106.75,107.25,106.25,106.25,335087.0
2012-01-11,106.5,107.46,106.5,106.5,78304.0
2012-01-12,106.25,107.81,106.25,107.69,203911.0
2012-01-13,107.25,107.9,106.0,106.25,510141.0
2012-01-16,105.5,107.24,105.5,107.24,125289.0
2012-01-17,108.5,110.5,108.5,108.5,318846.0
2012-01-18,109.0,109.5,108.5,109.25,113692.0
2012-01-19,109.5,110.25,100.25,110.0,98515.0
2012-01-20,110.0,110.5,110.0,110.0,188929.0
2012-01-23,110.5,110.5,110.0,110.13,317560.0
2012-01-24,109.5,110.0,109.25,109.68,242005.0
2012-01-25,109.0,109.75,108.5,109.0,312852.0
2012-01-26,109.0,110.5,108.53,110.5,118253.0
2012-01-27,110.5,110.5,110.03,110.48,95983.0
2012-01-30,110.5,110.5,109.25,109.65,146330.0
2012-01-31,111.0,111.5,110.5,111.12,238679.0
2012-02-01,111.5,111.5,111.0,111.0,810128.0
2012-02-02,111.25,113.5,111.0,112.5,193800.0
2012-02-03,113.0,115.75,112.1,115.63,222304.0
2012-02-06,115.5,115.87,114.85,115.24,128614.0
2012-02-07,115.0,115.75,114.52,115.75,144978.0
2012-02-08,116.25,116.25,114.0,114.25,298425.0
2012-02-09,116.0,116.25,114.25,116.0,257101.0
2012-02-10,115.5,115.94,113.4,113.4,201025.0
2012-02-13,114.0,115.5,114.0,114.5,207116.0
2012-02-14,115.0,115.5,114.38,115.5,123787.0
2012-02-15,115.5,116.0,114.5,116.0,89267.0
2012-02-16,114.0,115.75,114.0,115.75,12307.0
2012-02-17,116.0,116.0,114.9,115.5,124041.0
2012-02-20,116.25,116.75,114.85,116.5,105390.0
2012-02-21,116.25,116.7,115.44,115.5,33713.0
2012-02-22,,,,116.88,0.0
2012-02-23,117.0,117.5,116.0,116.88,53461.0
2012-02-24,117.0,117.5,116.1,117.5,28535.0
2012-02-27,115.5,116.5,115.25,116.0,79950.0
2012-02-28,116.5,117.13,116.0,117.09,244022.0
2012-02-29,117.5,118.48,117.09,117.25,165950.0
2012-03-01,118.0,118.25,117.26,118.12,103203.0
2012-03-02,118.0,118.25,117.5,118.13,13209.0
2012-03-05,118.0,118.5,117.35,118.0,156454.0
2012-03-06,118.0,118.0,115.5,116.75,213271.0
2012-03-07,116.4,116.5,115.25,116.24,10551.0
2012-03-08,117.25,117.5,116.14,117.25,17646.0
2012-03-09,117.5,117.8,116.91,117.75,44196.0
2012-03-12,117.25,117.75,116.5,117.5,85073.0
2012-03-13,117.84,118.75,117.16,118.75,131646.0
2012-03-14,118.5,119.0,118.0,119.0,84928.0
2012-03-15,119.0,119.0,117.5,118.75,53711.0
2012-03-16,117.75,118.5,117.5,118.5,373332.0
2012-03-19,118.0,118.89,117.0,117.0,86693.0
2012-03-20,116.5,117.7,115.75,116.0,152054.0
2012-03-21,116.25,116.49,115.51,115.75,113895.0
2012-03-22,115.75,116.18,114.25,115.0,115859.0
2012-03-23,115.0,115.5,114.54,115.5,61460.0
2012-03-26,115.25,115.9,115.0,115.5,99951.0
2012-03-27,116.0,116.65,115.5,115.5,170899.0
2012-03-28,115.5,116.25,115.0,116.25,21820.0
2012-03-29,114.75,115.87,114.5,115.0,17016.0
2012-03-30,115.0,116.12,115.0,116.0,19175.0
2012-04-02,116.25,116.25,115.0,115.25,88773.0
2012-04-03,116.0,116.5,116.0,116.5,212096.0
2012-04-04,116.73,116.75,115.75,116.0,180093.0
2012-04-05,116.0,116.5,115.88,116.38,31038.0
2012-04-10,115.5,116.0,114.5,114.5,108989.0
2012-04-11,114.25,115.0,113.25,113.25,136607.0
2012-04-12,114.25,114.5,113.5,113.89,332796.0
2012-04-13,114.0,114.5,113.63,113.63,102280.0
2012-04-16,113.75,115.13,113.55,115.13,100228.0
2012-04-17,114.0,115.5,113.55,114.25,26165.0
2012-04-18,115.0,115.7,114.0,114.0,34600.0
2012-04-19,114.0,115.22,113.75,113.75,34694.0
2012-04-20,114.0,115.17,113.5,113.5,158769.0
2012-04-23,114.0,114.47,113.5,113.63,72690.0
2012-04-24,113.88,114.0,113.5,113.5,64212.0
2012-04-25,114.0,114.13,113.75,114.0,55697.0
2012-04-26,113.75,114.0,113.5,113.5,100395.0
2012-04-27,113.75,114.0,113.42,113.75,57725.0
2012-04-30,114.0,114.14,113.5,113.75,128037.0
2012-05-01,113.68,113.93,113.5,113.5,29080.0
2012-05-02,114.0,114.42,113.5,113.5,111739.0
2012-05-03,114.0,114.25,113.75,114.0,350575.0
2012-05-04,114.25,114.25,113.25,113.25,69145.0
2012-05-08,113.25,113.75,112.76,113.5,129285.0
2012-05-09,112.5,113.24,112.0,113.0,113758.0
2012-05-10,112.0,113.0,111.75,113.0,3281.0
2012-05-11,112.0,112.5,111.11,112.0,50822.0
2012-05-14,111.25,112.42,109.65,109.75,108943.0
2012-05-15,110.5,110.5,109.01,110.0,14813.0
2012-05-16,109.0,109.0,108.01,108.25,36225.0
2012-05-17,108.5,110.0,108.5,109.5,121091.0
2012-05-18,108.25,108.25,106.75,107.0,61101.0
2012-05-21,107.75,107.75,106.5,107.25,69945.0
2012-05-22,109.5,109.5,108.0,108.0,15620.0
2012-05-23,107.75,109.25,107.5,108.5,78746.0
2012-05-24,108.0,108.89,107.5,107.5,17932.0
2012-05-25,108.0,108.74,107.5,107.5,48490.0
2012-05-28,108.25,109.0,107.5,107.5,33315.0
2012-05-29,108.0,108.5,107.52,108.25,26600.0
2012-05-30,108.5,108.5,107.5,108.0,5992.0
2012-05-31,108.0,108.25,107.5,107.5,4484.0
2012-06-01,108.0,108.0,107.5,107.5,74846.0
2012-06-06,107.5,108.5,107.5,108.0,61987.0
2012-06-07,108.5,109.0,107.5,109.0,350612.0
2012-06-08,109.0,109.0,107.0,108.5,50855.0
2012-06-11,110.25,110.25,108.16,109.0,417908.0
2012-06-12,109.0,109.25,108.0,108.75,110127.0
2012-06-13,109.25,109.75,108.25,109.75,100893.0
2012-06-14,109.5,109.5,108.5,109.5,23103.0
2012-06-15,109.5,109.5,108.18,108.25,179655.0
2012-06-18,108.5,109.5,108.5,109.0,716.0
2012-06-19,109.25,110.0,108.66,110.0,33244.0
2012-06-20,111.25,112.0,110.88,111.75,121459.0
2012-06-21,111.75,111.75,109.5,110.75,134129.0
2012-06-22,109.5,109.88,108.22,109.0,52359.0
2012-06-25,109.0,110.25,109.0,109.75,6980.0
2012-06-26,110.25,110.25,109.19,109.75,17222.0
2012-06-27,109.0,109.87,108.5,108.5,276405.0
2012-06-28,109.0,109.3,108.5,108.5,104801.0
2012-06-29,110.0,110.25,108.86,109.75,433000.0
2012-07-02,110.5,110.64,110.0,110.5,140914.0
2012-07-03,111.5,113.25,110.44,112.25,200709.0
2012-07-04,112.25,113.74,112.01,112.75,11646.0
2012-07-05,113.5,113.99,112.51,113.5,14153.0
2012-07-06,113.0,113.42,112.0,113.25,98051.0
2012-07-09,112.75,113.39,112.0,113.25,4863.0
2012-07-10,113.25,113.5,111.76,113.5,112462.0
2012-07-11,112.0,113.0,111.75,111.75,69401.0
2012-07-12,112.0,112.51,110.63,111.5,121188.0
2012-07-13,110.5,111.63,110.5,111.37,48865.0
2012-07-16,110.5,112.49,110.25,110.5,26291.0
2012-07-17,111.5,111.75,110.25,111.75,22365.0
2012-07-18,111.0,111.37,110.92,111.0,2700.0
2012-07-19,112.25,112.5,111.01,111.5,229887.0
2012-07-20,111.75,112.49,111.25,111.25,8034.0
2012-07-23,111.25,111.5,110.0,110.0,5927.0
2012-07-24,111.25,111.25,110.25,110.75,44329.0
2012-07-25,110.75,110.95,110.0,110.0,2204.0
2012-07-26,111.5,112.0,110.5,112.0,93567.0
2012-07-27,111.5,112.5,111.5,112.25,27100.0
2012-07-30,113.0,113.5,112.26,113.5,36459.0
2012-07-31,113.75,114.34,113.25,114.25,29203.0
2012-08-01,114.25,114.5,113.5,114.5,63439.0
2012-08-02,114.5,114.5,113.5,113.75,123826.0
2012-08-03,114.25,114.75,113.69,114.75,75320.0
2012-08-06,115.0,116.5,115.0,116.5,42786.0
2012-08-07,116.5,116.5,115.75,116.0,8922.0
2012-08-08,116.25,116.25,115.5,115.5,35613.0
2012-08-09,116.0,116.25,115.75,116.0,78647.0
2012-08-10,115.75,116.25,115.25,115.25,200542.0
2012-08-13,115.75,115.75,115.0,115.5,28652.0
2012-08-14,115.5,116.25,115.19,116.25,58893.0
2012-08-15,115.0,115.65,114.5,114.5,207826.0
2012-08-16,116.25,116.25,114.51,115.5,37556.0
2012-08-17,114.99,115.5,114.99,115.37,96985.0
2012-08-20,115.5,115.5,114.5,115.0,133297.0
2012-08-21,115.0,115.0,114.26,114.72,8903.0
2012-08-22,114.0,115.75,114.0,115.75,36542.0
2012-08-23,114.25,114.25,114.25,114.25,25728.0
2012-08-24,114.0,114.44,114.0,114.38,12845.0
2012-08-28,114.0,114.88,114.0,114.25,22230.0
2012-08-29,114.0,114.0,114.0,114.0,26834.0
2012-08-30,114.0,114.59,113.88,114.0,3200.0
2012-08-31,114.0,114.0,112.5,113.75,172634.0
2012-09-03,114.0,114.0,112.88,113.5,3234.0
2012-09-04,113.0,114.0,111.25,111.25,121422.0
2012-09-05,111.5,112.53,111.01,111.25,58218.0
2012-09-06,112.5,113.75,112.5,113.75,64459.0
2012-09-07,,,,114.25,0.0
2012-09-10,114.25,115.35,114.0,114.0,29109.0
2012-09-11,115.5,115.5,113.75,113.75,31440.0
2012-09-12,114.74,115.5,115.5,115.5,1469.0
2012-09-13,115.25,115.25,114.3,115.0,41379.0
2012-09-14,117.5,117.5,115.5,116.0,120419.0
2012-09-17,116.75,116.97,116.11,116.75,7856.0
2012-09-18,116.0,116.88,115.5,116.0,36287.0
2012-09-19,116.25,116.25,115.0,115.25,84314.0
2012-09-20,114.5,114.85,114.0,114.0,25116.0
2012-09-21,114.5,114.94,113.5,113.5,52475.0
2012-09-24,114.5,114.5,113.5,114.5,1294.0
2012-09-25,114.75,114.75,113.75,114.75,71033.0
