Date,Open,High,Low,Close,Volume
2012-01-03,236.5,237.69,235.76,235.76,44375.0
2012-01-04,235.0,237.5,232.0,234.25,87312.0
2012-01-05,237.5,237.5,230.43,230.43,55609.0
2012-01-06,230.5,231.69,229.0,229.0,81502.0
2012-01-09,233.19,233.2,229.5,231.25,27327.0
2012-01-10,233.5,237.0,231.76,236.0,70892.0
2012-01-11,236.5,238.75,235.75,238.75,170416.0
2012-01-12,240.0,241.88,237.0,238.0,66190.0
2012-01-13,240.75,242.0,235.41,236.0,109434.0
2012-01-16,238.0,240.21,235.5,236.11,47449.0
2012-01-17,241.5,242.0,239.25,239.61,22620.0
2012-01-18,240.0,243.45,239.36,240.25,64289.0
2012-01-19,239.13,247.31,239.13,245.5,62622.0
2012-01-20,247.0,248.34,245.2,245.66,376700.0
2012-01-23,246.5,246.5,245.0,246.0,848689.0
2012-01-24,245.25,247.9,244.12,245.35,26012.0
2012-01-25,247.0,247.0,245.0,245.15,123386.0
2012-01-26,246.25,246.77,0.0,245.85,38125.0
2012-01-27,247.0,247.7,245.01,247.58,1040802.0
2012-01-30,245.0,246.5,243.0,244.0,65543.0
2012-01-31,244.0,247.14,243.83,244.26,19590.0
2012-02-01,243.5,248.74,243.5,248.0,162817.0
2012-02-02,250.0,251.97,247.01,249.75,62177.0
2012-02-03,248.0,256.0,248.0,254.26,57923.0
2012-02-06,256.0,258.5,253.8,258.5,58819.0
2012-02-07,257.5,258.0,256.25,257.5,32400.0
2012-02-08,258.0,260.0,257.6,258.0,59420.0
2012-02-09,261.5,264.0,259.5,264.0,110482.0
2012-02-10,259.0,263.0,259.0,261.0,102158.0
2012-02-13,261.5,264.49,259.25,261.5,14007.0
2012-02-14,,,,262.5,0.0
2012-02-15,263.0,268.0,260.5,267.5,16716.0
2012-02-16,264.0,264.5,262.51,264.49,400.0
2012-02-17,266.0,267.99,263.5,267.4,8200.0
2012-02-20,268.0,274.04,268.0,273.99,15000.0
2012-02-21,274.0,275.0,269.5,269.5,9956.0
2012-02-22,270.0,274.0,270.0,270.5,8885.0
2012-02-23,272.0,276.0,270.0,274.67,12000.0
2012-02-24,276.0,277.91,273.18,274.25,26211.0
2012-02-27,,,,272.51,0.0
2012-02-28,276.0,278.03,272.55,277.5,6754.0
2012-02-29,278.0,280.36,275.5,277.0,6753.0
2012-03-01,280.5,285.9,280.5,285.9,29830.0
2012-03-02,286.0,292.0,283.69,289.47,77492.0
2012-03-05,288.75,289.92,285.0,288.99,4182.0
2012-03-06,282.0,286.0,272.5,273.0,47673.0
2012-03-07,272.0,274.86,270.5,273.86,101487.0
2012-03-08,274.0,279.0,273.0,276.25,75873.0
2012-03-09,281.0,283.0,278.0,283.0,53409.0
2012-03-12,282.5,282.5,278.0,282.0,12277.0
2012-03-13,283.75,284.25,279.5,284.25,8425.0
2012-03-14,283.75,288.0,281.25,288.0,91195.0
2012-03-15,285.0,290.0,285.0,289.0,15121.0
2012-03-16,284.5,289.0,284.0,284.0,18664.0
2012-03-19,287.0,288.79,284.0,284.0,17594.0
2012-03-20,283.75,284.49,282.5,282.5,25783.0
2012-03-21,284.26,285.24,282.74,283.0,28217.0
2012-03-22,282.5,283.25,276.0,279.5,54479.0
2012-03-23,278.25,279.78,276.75,279.75,8483.0
2012-03-26,279.0,281.64,276.0,281.0,35460.0
2012-03-27,281.0,281.64,276.0,278.0,16356.0
2012-03-28,282.0,283.11,276.33,283.0,5749.0
2012-03-29,279.75,279.75,275.8,279.5,3919.0
2012-03-30,276.75,280.63,276.01,277.5,3931.0
2012-04-02,281.82,281.82,275.43,277.5,52887.0
2012-04-03,278.0,282.0,278.0,282.0,39011.0
2012-04-04,278.25,279.0,273.33,274.25,24120.0
2012-04-05,275.75,276.99,273.25,273.25,4903.0
2012-04-10,274.0,274.99,270.0,273.0,75103.0
2012-04-11,274.0,276.0,270.72,275.0,16948.0
2012-04-12,277.0,279.75,274.46,279.75,4750.0
2012-04-13,280.0,283.25,277.5,277.5,34353.0
2012-04-16,282.0,283.97,278.0,281.5,4303.0
2012-04-17,282.0,285.0,280.0,283.49,20227.0
2012-04-18,283.5,287.09,283.0,284.0,27188.0
2012-04-19,284.5,285.25,280.0,285.25,21658.0
2012-04-20,282.0,285.46,282.0,284.0,6178.0
2012-04-23,282.0,282.75,280.16,282.0,46620.0
2012-04-24,281.0,282.9,280.75,280.75,716.0
2012-04-25,283.0,291.0,281.5,288.25,40687.0
2012-04-26,291.5,291.5,288.0,289.26,27774.0
2012-04-27,283.0,289.0,283.0,289.0,15593.0
2012-04-30,285.25,289.62,285.25,287.5,121.0
2012-05-01,289.0,289.0,285.5,285.5,1477.0
2012-05-02,289.5,289.5,280.0,280.0,28720.0
2012-05-03,285.0,285.5,280.25,280.5,17183.0
2012-05-04,280.0,283.43,278.5,279.25,14066.0
2012-05-08,277.0,280.51,271.0,271.0,27885.0
2012-05-09,271.0,271.75,269.0,269.0,10562.0
2012-05-10,270.0,274.49,270.0,272.5,69.0
2012-05-11,269.0,272.0,267.5,270.25,19566.0
2012-05-14,270.0,270.0,262.0,262.0,10213.0
