Date,Open,High,Low,Close,Volume
2012-01-03,663.5,673.0,659.51,673.0,17042.0
2012-01-04,670.0,670.0,654.0,654.0,20735.0
2012-01-05,654.5,658.0,646.0,649.0,31863.0
2012-01-06,651.0,652.5,645.0,652.5,44905.0
2012-01-09,652.0,655.0,648.5,650.0,15051.0
2012-01-10,652.5,670.0,652.5,670.0,98132.0
2012-01-11,668.0,669.5,664.0,669.0,11630.0
2012-01-12,668.0,679.5,668.0,679.5,35223.0
2012-01-13,680.0,683.0,668.0,668.5,17886.0
2012-01-16,678.5,680.0,665.29,680.0,25074.0
2012-01-17,683.0,696.0,681.5,689.5,32336.0
2012-01-18,680.5,694.5,679.5,679.5,148223.0
2012-01-19,685.0,700.5,681.9,696.5,37155.0
2012-01-20,695.0,703.0,693.51,700.0,48302.0
2012-01-23,702.5,708.5,690.31,701.5,17721.0
2012-01-24,698.0,704.02,693.0,693.0,22206.0
2012-01-25,692.0,707.5,686.01,691.0,17281.0
2012-01-26,686.0,700.0,685.51,691.0,19080.0
2012-01-27,692.0,698.0,685.5,698.0,56912.0
2012-01-30,701.0,701.0,686.0,688.0,28450.0
2012-01-31,688.5,699.0,688.0,688.5,51433.0
2012-02-01,690.5,704.0,686.5,703.0,43197.0
2012-02-02,701.0,704.2,699.5,703.0,37133.0
2012-02-03,708.5,715.0,701.5,707.5,26828.0
2012-02-06,707.5,718.0,707.5,718.0,8428.0
2012-02-07,710.0,717.5,705.66,717.5,35805.0
2012-02-08,719.5,719.5,711.0,715.0,14011.0
2012-02-09,720.0,725.0,713.6,725.0,17663.0
2012-02-10,724.5,725.51,713.7,718.5,78884.0
2012-02-13,727.0,727.21,720.36,727.0,10173.0
2012-02-14,727.0,729.11,722.41,726.0,8379.0
2012-02-15,732.5,732.5,724.0,724.5,19357.0
2012-02-16,724.0,724.6,716.0,721.5,13062.0
2012-02-17,725.0,731.5,720.0,730.0,2066.0
2012-02-20,731.5,732.98,726.52,732.5,10641.0
2012-02-21,733.0,736.5,724.0,736.5,29442.0
2012-02-22,736.0,739.0,733.0,739.0,17043.0
2012-02-23,736.0,743.0,733.0,743.0,11512.0
2012-02-24,734.0,748.0,733.5,748.0,30191.0
2012-02-27,735.0,742.0,730.0,742.0,12458.0
