Date,Open,High,Low,Close,Volume
2012-01-03,147.5,148.24,146.25,148.1,61230.0
2012-01-04,147.0,147.0,145.75,146.0,137273.0
2012-01-05,144.0,147.0,143.29,147.0,37660.0
2012-01-06,144.0,145.38,144.0,144.85,44160.0
2012-01-09,144.0,144.0,143.35,144.0,41500.0
2012-01-10,148.0,148.01,148.0,148.01,26583.0
2012-01-11,147.0,147.0,147.0,147.0,2200.0
2012-01-12,148.0,149.5,146.25,149.5,171033.0
2012-01-13,149.0,149.01,148.0,148.0,79671.0
2012-01-16,147.0,149.25,146.0,148.25,71953.0
2012-01-17,151.0,151.99,150.01,150.01,29730.0
2012-01-18,152.0,153.25,148.51,152.5,65210.0
2012-01-19,153.5,153.75,152.02,153.25,85403.0
2012-01-20,153.5,153.5,153.0,153.0,48652.0
2012-01-23,153.5,153.99,151.75,153.5,26418.0
2012-01-24,151.25,152.0,151.0,152.0,91858.0
2012-01-25,152.0,152.49,150.0,151.5,14753.0
2012-01-26,153.0,154.0,150.51,153.51,70207.0
2012-01-27,152.0,152.0,150.5,150.5,167662.0
2012-01-30,151.75,152.75,149.25,150.75,32904.0
2012-01-31,152.5,152.5,148.25,148.25,147980.0
2012-02-01,151.5,152.99,150.75,152.0,92490.0
2012-02-02,152.0,153.02,152.0,153.0,54780.0
2012-02-03,154.0,156.5,154.0,156.0,97066.0
2012-02-06,155.0,156.5,154.02,155.52,25294.0
2012-02-07,155.0,156.75,155.0,156.75,24674.0
2012-02-08,158.0,158.49,156.0,156.0,27190.0
2012-02-09,158.0,158.5,156.01,156.75,91598.0
2012-02-10,156.0,157.74,154.01,156.5,147233.0
2012-02-13,156.0,156.99,154.76,156.0,3000.0
2012-02-14,155.5,157.99,154.01,156.0,71809.0
2012-02-15,158.0,158.74,156.0,156.0,51489.0
2012-02-16,154.0,156.75,153.51,156.75,43457.0
2012-02-17,156.0,158.5,156.0,158.0,43328.0
2012-02-20,,,,160.1,0.0
2012-02-21,161.0,161.0,158.26,158.29,22572.0
2012-02-22,160.0,161.99,160.0,160.25,22001.0
2012-02-23,162.5,162.5,159.25,159.25,21049.0
2012-02-24,162.25,162.75,159.35,161.0,6619.0
2012-02-27,160.0,160.0,159.26,159.5,21180.0
2012-02-28,162.5,163.25,162.5,163.25,5091.0
2012-02-29,162.25,164.99,160.5,162.0,67587.0
2012-03-01,161.0,163.99,160.75,163.0,11859.0
2012-03-02,164.0,165.95,163.33,163.33,6330.0
2012-03-05,163.0,163.0,162.01,162.15,5000.0
2012-03-06,162.0,162.0,158.28,160.0,20141.0
2012-03-07,158.25,159.25,157.5,159.0,19639.0
2012-03-08,160.0,162.0,159.0,162.0,33260.0
2012-03-09,162.0,164.0,161.01,164.0,6322.0
2012-03-12,160.5,163.74,159.76,163.25,20358.0
2012-03-13,161.5,166.0,161.25,164.0,22012.0
2012-03-14,166.0,166.0,164.26,166.0,111.0
2012-03-15,163.25,164.75,162.26,164.25,33066.0
2012-03-16,165.5,166.5,163.51,166.5,11729.0
2012-03-19,166.0,166.0,163.25,165.5,7765.0
2012-03-20,163.0,164.77,162.25,162.26,5000.0
2012-03-21,164.0,165.75,164.0,165.0,137194.0
2012-03-22,163.5,164.39,161.76,164.0,5520.0
2012-03-23,164.0,165.64,163.85,164.0,48944.0
2012-03-26,166.25,166.39,163.64,166.0,32549.0
2012-03-27,166.5,166.62,166.5,166.5,16659.0
2012-03-28,166.0,166.25,165.01,166.25,78690.0
2012-03-29,164.0,166.39,161.5,161.5,61746.0
2012-03-30,163.5,164.0,162.01,164.0,166000.0
2012-04-02,164.89,164.89,160.7,162.0,27468.0
2012-04-03,161.25,163.39,161.25,162.25,28656.0
2012-04-04,161.0,162.89,158.25,160.5,82530.0
2012-04-05,158.0,160.89,157.0,158.0,23934.0
2012-04-10,157.25,157.25,153.5,153.5,48680.0
2012-04-11,153.5,155.0,152.43,154.76,27805.0
2012-04-12,153.0,156.75,153.0,154.5,34955.0
2012-04-13,154.5,156.75,153.0,153.0,23483.0
2012-04-16,152.0,154.25,152.0,154.0,42692.0
2012-04-17,154.0,156.0,154.0,155.5,52580.0
2012-04-18,,,,154.5,0.0
2012-04-19,,,,152.25,0.0
2012-04-20,,,,153.01,0.0
2012-04-23,152.0,152.25,151.0,151.0,8833.0
2012-04-24,150.5,152.25,150.0,152.0,39235.0
2012-04-25,,,,154.67,0.0
2012-04-26,155.0,156.25,154.01,156.25,10340.0
2012-04-27,155.0,155.0,153.01,154.0,33956.0
2012-04-30,,,,152.0,0.0
2012-05-01,152.25,154.84,151.64,153.75,4261.0
2012-05-02,153.0,154.59,152.0,152.0,33742.0
2012-05-03,153.5,154.5,152.0,153.0,37449.0
2012-05-04,154.0,154.0,150.0,150.0,13557.0
2012-05-08,150.0,151.58,150.0,150.0,73.0
2012-05-09,148.0,148.0,145.0,148.0,55356.0
2012-05-10,148.0,148.5,146.01,148.5,26128.0
2012-05-11,146.0,148.5,146.0,148.5,23143.0
2012-05-14,144.0,144.0,144.0,144.0,5000.0
2012-05-15,145.0,145.0,143.01,143.01,37721.0
2012-05-16,140.25,144.0,140.25,143.0,72568.0
2012-05-17,144.75,144.75,140.26,143.0,12726.0
2012-05-18,141.0,142.9,139.26,141.0,92569.0
2012-05-21,142.0,143.0,140.0,143.0,1881.0
2012-05-22,143.0,146.0,143.0,146.0,87700.0
2012-05-23,142.0,142.25,142.0,142.0,22728.0
2012-05-24,,,,141.75,0.0
2012-05-25,144.0,145.74,144.0,145.28,1154.0
2012-05-28,145.77,145.77,142.0,142.0,355.0
2012-05-29,143.0,144.0,142.26,144.0,10417.0
2012-05-30,141.0,141.0,141.0,141.0,5603.0
2012-05-31,143.0,143.0,143.0,143.0,40.0
2012-06-01,140.25,143.52,138.75,138.75,27055.0
2012-06-06,139.5,145.0,139.0,145.0,10607.0
2012-06-07,142.75,143.99,141.26,142.5,80921.0
2012-06-08,144.75,144.75,140.07,140.75,15836.0
2012-06-11,145.0,146.14,142.75,143.0,46226.0
2012-06-12,143.0,145.39,142.5,142.5,10000.0
2012-06-13,143.0,144.0,141.0,143.0,56822.0
2012-06-14,142.5,142.5,142.5,142.5,79.0
2012-06-15,144.0,144.6,140.5,140.5,20311.0
2012-06-18,,,,144.64,0.0
2012-06-19,,,,143.12,0.0
2012-06-20,143.75,147.5,142.5,147.5,193266.0
2012-06-21,144.75,146.5,144.27,145.5,45972.0
2012-06-22,145.5,145.75,144.0,145.75,29086.0
2012-06-25,143.0,143.2,142.0,142.0,11079.0
2012-06-26,142.5,142.6,142.0,142.01,8083.0
2012-06-27,142.0,143.25,142.0,143.25,18852.0
2012-06-28,142.0,144.0,142.0,144.0,204.0
2012-06-29,146.0,148.5,145.0,147.0,142266.0
2012-07-02,146.0,149.8,146.0,149.0,50958.0
2012-07-03,150.0,151.34,147.38,150.79,5039.0
2012-07-04,150.75,151.0,149.12,151.0,18342.0
2012-07-05,151.5,153.1,151.0,152.0,48007.0
2012-07-06,150.0,150.0,149.0,149.0,20164.0
2012-07-09,147.01,149.0,147.0,149.0,31.0
2012-07-10,149.0,149.75,147.51,149.75,19342.0
2012-07-11,147.5,149.0,147.01,149.0,28100.0
2012-07-12,,,,148.62,0.0
2012-07-13,147.5,149.37,146.69,147.5,10000.0
2012-07-16,148.0,150.25,148.0,148.0,2519.0
