Date,Open,High,Low,Close,Volume
2014-03-31,101.0,101.69,100.0,100.0,76000
2014-04-01,100.5,100.52,100.08,100.43,27189
2014-04-02,100.0,100.86,100.0,100.43,22500
2014-04-03,99.75,100.75,99.75,100.1,5306
2014-04-04,100.0,100.25,100.0,100.0,5000
2014-04-07,99.75,100.14,99.5,99.75,34758
2014-04-08,99.25,100.0,99.25,99.25,20000
2014-04-09,99.0,100.5,98.5,99.25,109107
2014-04-10,99.75,99.88,99.65,99.88,6665
2014-04-11,100.0,100.0,100.0,100.0,5000
2014-04-14,99.75,100.25,99.75,100.25,39741
2014-04-15,100.0,100.25,100.0,100.15,10000
2014-04-16,100.0,100.25,100.0,100.25,9040
2014-04-17,100.0,100.5,100.0,100.5,11228
2014-04-22,100.5,101.0,100.0,100.0,102254
2014-04-23,100.0,101.0,100.0,100.0,13993
2014-04-24,100.75,100.75,100.0,100.68,23111
2014-04-25,100.5,100.75,100.0,100.0,15905
2014-04-28,101.0,101.0,100.25,100.5,31777
2014-04-29,101.0,101.0,100.93,100.93,19113
2014-04-30,100.93,100.93,100.9,100.9,0
2014-05-01,100.75,100.9,100.7,100.75,4205
2014-05-02,100.75,101.0,100.5,100.75,0
2014-05-06,100.75,100.9,100.5,100.75,26541
2014-05-07,100.75,100.92,100.37,100.79,7108
2014-05-08,100.75,100.98,100.44,100.75,5660
2014-05-09,101.0,101.0,100.5,100.5,993
2014-05-12,100.0,100.9,100.0,100.0,25
2014-05-13,100.5,100.93,100.5,100.5,282
2014-05-14,100.75,100.87,100.5,100.5,15411
2014-05-15,100.75,100.87,100.5,100.5,17397
2014-05-16,100.5,100.84,100.5,100.78,5781
2014-05-19,100.25,100.5,100.0,100.39,48999
2014-05-20,100.25,100.4,100.0,100.0,51110
2014-05-21,100.0,101.0,99.75,100.5,218099
2014-05-22,101.0,101.25,100.7,101.0,68641
2014-05-23,100.5,101.25,100.5,101.25,58123
2014-05-27,100.5,101.25,100.5,100.75,2526
2014-05-28,100.5,101.33,100.5,100.75,119924
2014-05-29,100.5,101.75,100.5,101.64,56261
2014-05-30,100.5,102.0,100.5,101.25,36243
2014-06-02,101.25,102.25,101.25,102.22,117748
2014-06-03,102.25,102.5,102.0,102.0,193409
2014-06-04,102.0,102.4,102.0,102.4,1136
2014-06-05,102.0,102.61,102.0,102.5,10328
