Date,Open,High,Low,Close,Volume
2012-01-03,2081.0,2135.0,2069.0,2132.0,386614
2012-01-04,2128.0,2144.0,2103.0,2120.0,423154
2012-01-05,2115.0,2129.0,2065.0,2096.0,357103
2012-01-06,2085.0,2139.0,2085.0,2128.0,304188
2012-01-09,2128.0,2142.0,2110.0,2132.0,329333
2012-01-10,2162.0,2233.0,2146.0,2218.0,802577
2012-01-11,2214.0,2257.0,2213.0,2228.0,709841
2012-01-12,2238.5,2288.4,2227.5,2267.3,619333
2012-01-13,2274.0,2283.0,2218.0,2247.0,822620
2012-01-16,2235.1,2265.1,2225.3,2246.2,268525
2012-01-17,2282.0,2284.0,2236.0,2256.0,584430
2012-01-18,2262.0,2296.0,2236.0,2289.0,519957
2012-01-19,2286.0,2318.0,2264.0,2318.0,495565
2012-01-20,2324.0,2327.0,2285.0,2292.0,482198
2012-01-23,2285.0,2299.0,2262.0,2297.0,429774
2012-01-24,2294.0,2294.0,2237.0,2272.0,446256
2012-01-25,2289.0,2293.0,2221.0,2230.0,453480
2012-01-26,2251.0,2325.0,2248.0,2318.0,478934
2012-01-27,2307.0,2329.0,2275.0,2279.0,370883
2012-01-30,2271.0,2271.0,2236.0,2242.0,406477
2012-01-31,2251.0,2281.0,2250.0,2275.0,820333
2012-02-01,2307.0,2397.0,2307.0,2395.0,963639
2012-02-02,2416.0,2497.0,2404.0,2469.0,1317707
2012-02-03,2468.0,2531.0,2457.0,2518.0,613011
2012-02-06,2521.0,2527.0,2489.0,2501.0,598868
2012-02-07,2501.0,2501.0,2465.0,2490.0,501723
2012-02-08,2501.0,2528.0,2497.0,2504.0,305374
2012-02-09,2501.0,2520.0,2485.0,2500.0,700481
2012-02-10,2485.0,2500.0,2449.0,2469.0,431595
2012-02-13,2482.0,2530.0,2467.0,2518.0,428697
2012-02-14,2517.0,2560.0,2496.0,2558.0,564525
2012-02-15,2573.44,2595.87,2561.12,2581.21,373834
2012-02-16,2561.0,2573.0,2545.0,2568.0,493543
2012-02-17,2586.0,2593.0,2562.0,2572.0,415060
2012-02-20,2594.52,2619.71,2585.65,2607.83,251094
2012-02-21,2619.0,2628.0,2588.0,2588.0,361057
2012-02-22,2583.0,2598.0,2570.0,2572.0,262634
2012-02-23,2575.7,2614.5,2566.9,2599.0,605870
2012-02-24,2605.0,2612.0,2579.0,2591.0,361571
2012-02-27,2578.0,2600.0,2551.0,2598.0,374372
2012-02-28,2610.0,2612.0,2583.0,2599.0,372813
2012-02-29,2598.96,2613.38,2559.21,2560.13,480431
2012-03-01,2566.0,2589.0,2551.0,2578.0,440255
2012-03-02,2580.0,2589.0,2546.0,2553.0,337465
2012-03-05,2549.0,2565.0,2511.0,2522.0,455889
2012-03-06,2506.0,2518.0,2453.0,2454.0,962020
2012-03-07,2461.0,2519.0,2454.0,2501.0,482295
2012-03-08,2506.9,2591.2,2502.6,2579.0,389121
2012-03-09,2571.0,2623.0,2571.0,2608.0,338052
2012-03-12,2607.8,2635.6,2584.6,2634.5,286756
2012-03-13,2640.0,2669.15,2638.89,2665.51,340643
2012-03-14,2678.0,2678.0,2627.0,2627.0,416152
2012-03-15,2629.0,2659.0,2614.0,2626.0,359131
2012-03-16,2620.03,2667.93,2609.05,2658.86,428417
2012-03-19,2659.97,2665.96,2613.22,2620.03,268002
2012-03-20,2607.0,2610.0,2552.0,2558.0,284061
2012-03-21,2571.0,2591.0,2547.0,2575.0,453476
2012-03-22,2572.0,2601.0,2532.0,2542.0,408115
2012-03-23,2543.0,2581.0,2488.0,2535.0,449214
2012-03-26,2539.0,2597.0,2534.0,2587.0,321174
2012-03-27,2600.07,2613.38,2576.92,2595.63,408980
2012-03-28,2582.0,2602.0,2541.0,2542.0,377949
2012-03-29,2535.0,2572.0,2531.0,2551.0,564687
2012-03-30,2564.57,2625.27,2551.26,2616.71,546696
2012-04-02,2623.0,2671.0,2612.0,2671.0,628142
2012-04-03,2671.06,2686.15,2647.76,2648.87,430943
2012-04-04,2673.0,2691.0,2566.0,2578.0,541542
2012-04-05,2579.0,2602.0,2543.0,2585.0,396786
2012-04-10,2560.1,2564.7,2492.5,2492.5,507265
2012-04-11,2490.0,2536.0,2490.0,2516.0,422374
2012-04-12,2525.0,2629.0,2520.0,2617.0,579736
2012-04-13,2604.5,2631.25,2537.95,2550.15,434376
2012-04-16,2555.0,2611.0,2550.0,2597.0,483785
2012-04-17,2590.0,2666.0,2590.0,2662.0,636521
2012-04-18,2661.0,2667.0,2613.0,2614.0,427521
2012-04-19,2629.0,2658.0,2608.0,2622.0,434937
2012-04-20,2621.0,2653.0,2606.0,2629.0,465925
2012-04-23,2614.0,2614.0,2501.0,2524.0,489920
2012-04-24,2538.0,2580.0,2510.0,2568.0,576871
2012-04-25,2581.0,2639.0,2580.0,2634.0,584771
2012-04-26,2647.76,2668.84,2581.05,2615.6,431256
2012-04-27,2592.3,2658.36,2578.99,2628.91,312327
2012-04-30,2641.0,2643.0,2567.0,2567.0,430607
2012-05-01,2589.0,2608.0,2573.0,2596.0,162042
2012-05-02,2592.0,2628.0,2592.0,2609.0,540879
2012-05-03,2616.0,2638.0,2611.0,2627.0,300050
2012-05-04,2607.0,2617.0,2575.0,2588.0,561826
2012-05-08,2563.0,2592.0,2467.0,2473.0,502100
2012-05-09,2478.0,2500.0,2429.0,2491.0,556652
2012-05-10,2495.0,2501.0,2451.0,2488.0,367213
2012-05-11,2484.0,2527.0,2464.0,2518.0,210984
2012-05-14,2478.0,2486.0,2379.0,2419.0,601354
2012-05-15,2423.0,2454.0,2378.0,2387.0,509330
2012-05-16,2349.38,2449.66,2336.07,2412.61,653290
2012-05-17,2411.0,2418.0,2345.0,2353.0,444618
2012-05-18,2355.0,2355.0,2291.0,2309.0,490220
2012-05-21,2310.55,2362.12,2301.68,2353.82,286178
2012-05-22,2378.22,2437.25,2371.56,2437.01,346331
2012-05-23,2404.0,2415.0,2332.0,2343.0,395002
2012-05-24,2377.0,2408.0,2336.0,2390.0,541497
2012-05-25,2389.0,2408.0,2344.0,2375.0,389215
2012-05-28,2379.33,2429.65,2379.33,2405.95,187820
2012-05-29,2409.0,2479.0,2409.0,2464.0,335589
2012-05-30,2441.0,2448.0,2377.0,2387.0,326384
2012-05-31,2392.0,2435.0,2378.0,2409.0,501619
2012-06-01,2421.48,2429.24,2307.79,2329.41,465899
2012-06-06,2426.0,2448.0,2380.0,2437.0,542319
2012-06-07,2524.0,2616.0,2496.0,2556.0,918755
2012-06-08,2496.0,2585.0,2477.0,2582.0,670888
2012-06-11,2662.0,2662.0,2539.0,2549.0,532773
2012-06-12,2547.9,2571.2,2518.1,2550.2,519771
2012-06-13,2572.0,2578.0,2492.0,2507.0,648421
2012-06-14,2507.0,2515.0,2425.0,2468.0,744199
2012-06-15,2491.0,2491.0,2464.0,2473.0,605445
2012-06-18,2524.0,2532.0,2469.0,2495.0,308383
2012-06-19,2485.82,2531.92,2469.18,2526.86,411079
2012-06-20,2510.0,2540.0,2504.0,2538.0,392714
2012-06-21,2518.0,2559.0,2498.0,2535.0,821472
2012-06-22,2497.0,2509.0,2441.0,2451.0,613049
2012-06-25,2439.0,2451.0,2394.0,2394.0,411791
2012-06-26,2403.0,2424.0,2387.0,2399.0,444874
2012-06-27,2404.0,2426.0,2359.0,2387.0,772031
2012-06-28,2407.0,2411.0,2348.0,2384.0,454756
2012-06-29,2466.96,2472.42,2439.23,2449.21,520154
2012-07-02,2463.0,2464.0,2433.0,2448.0,551234
2012-07-03,2467.0,2514.0,2456.0,2510.0,372870
2012-07-04,2505.0,2520.0,2497.0,2519.0,231304
2012-07-05,2515.76,2537.22,2471.4,2478.05,600189
2012-07-06,2473.61,2490.68,2466.96,2474.72,421060
2012-07-09,2466.0,2494.0,2421.0,2434.0,419951
2012-07-10,2438.12,2471.1,2398.18,2403.73,719859
2012-07-11,2368.0,2380.0,2311.0,2333.0,1121838
2012-07-12,2328.3,2359.54,2323.87,2351.6,646640
2012-07-13,2367.0,2382.0,2342.0,2370.0,353930
2012-07-16,2361.58,2381.72,2347.16,2354.92,246893
2012-07-17,2350.0,2350.0,2325.0,2333.0,540851
2012-07-18,2339.4,2405.08,2339.4,2404.84,464854
2012-07-19,2409.0,2447.0,2407.0,2445.0,413008
2012-07-20,2445.0,2485.0,2436.0,2439.0,576947
2012-07-23,2416.0,2416.0,2322.0,2338.0,332835
2012-07-24,2342.72,2369.71,2336.07,2347.16,364930
2012-07-25,2307.0,2318.0,2234.0,2308.0,813476
2012-07-26,2243.0,2393.0,2243.0,2393.0,818572
2012-07-27,2405.0,2407.0,2360.0,2405.0,315092
2012-07-30,2415.93,2469.5,2402.97,2466.96,556252
2012-07-31,2473.61,2482.61,2403.73,2418.15,607040
2012-08-01,2372.0,2416.0,2356.0,2398.0,361297
2012-08-02,2403.0,2424.0,2333.0,2333.0,521353
2012-08-03,2341.6,2437.0,2337.3,2422.6,401345
2012-08-06,2262.7,2340.0,2262.7,2337.6,297150
2012-08-07,2330.47,2364.35,2306.12,2358.23,454774
2012-08-08,2311.41,2347.41,2298.71,2329.64,445704
2012-08-09,2352.0,2392.0,2338.0,2388.0,483554
2012-08-10,2386.0,2394.0,2371.0,2388.0,254352
2012-08-13,2394.0,2394.0,2370.0,2381.0,292143
2012-08-14,2406.0,2432.0,2392.0,2418.0,296608
2012-08-15,2426.82,2442.04,2400.35,2419.41,366043
2012-08-16,2438.0,2455.0,2422.0,2455.0,373356
2012-08-17,2472.35,2547.53,2466.23,2497.76,553900
2012-08-20,2503.0,2509.0,2473.0,2482.0,263523
2012-08-21,2497.76,2536.5,2492.47,2520.0,373032
2012-08-22,2513.0,2513.0,2474.0,2488.0,482823
2012-08-23,2515.0,2537.0,2490.0,2501.0,492702
2012-08-24,2504.0,2513.0,2479.0,2510.0,344620
2012-08-28,2516.82,2522.12,2489.3,2503.96,258344
2012-08-29,2525.0,2525.0,2488.0,2509.0,318765
2012-08-30,2495.0,2517.0,2491.0,2497.0,197240
2012-08-31,2508.0,2571.0,2494.0,2542.0,500997
2012-09-03,2548.59,2566.01,2529.53,2552.82,261305
2012-09-04,2553.0,2567.0,2501.0,2504.0,259965
2012-09-05,2499.88,2526.35,2473.82,2505.18,467512
2012-09-06,2494.0,2570.0,2468.0,2564.0,601091
2012-09-07,2560.0,2600.0,2553.0,2581.0,346405
2012-09-10,2564.0,2604.0,2564.0,2575.0,258092
2012-09-11,2577.18,2592.29,2552.82,2584.59,237242
2012-09-12,2604.0,2639.0,2571.0,2631.0,461855
2012-09-13,2638.59,2651.52,2570.82,2570.82,570563
2012-09-14,2628.0,2724.35,2613.59,2724.35,974106
2012-09-17,2701.0,2731.0,2670.0,2679.0,401746
2012-09-18,2674.0,2681.0,2638.0,2644.0,422790
2012-09-19,2654.0,2674.0,2621.0,2667.0,334338
2012-09-20,2640.0,2662.0,2626.0,2653.0,499121
2012-09-21,2667.0,2682.0,2636.0,2678.0,620797
2012-09-24,2657.0,2676.0,2614.0,2633.0,303741
2012-09-25,2641.76,2665.99,2632.24,2660.82,269749
2012-09-26,2631.2,2654.5,2579.8,2585.6,365427
2012-09-27,2605.76,2621.65,2549.39,2588.82,431467
2012-09-28,2582.0,2595.0,2551.0,2555.0,602048
2012-10-01,2554.0,2617.0,2554.0,2604.0,468853
2012-10-02,2592.0,2611.0,2573.0,2585.0,309083
2012-10-03,2580.35,2592.35,2556.0,2559.18,410993
2012-10-04,2567.0,2570.0,2486.0,2508.0,555969
2012-10-05,2518.0,2521.0,2471.0,2477.0,790722
2012-10-08,2455.41,2481.44,2425.76,2427.88,549540
2012-10-09,2423.0,2443.0,2394.0,2406.0,817902
2012-10-10,2412.0,2428.0,2377.0,2408.0,584847
2012-10-11,2401.0,2429.0,2401.0,2417.0,962934
2012-10-12,2412.0,2422.0,2374.0,2374.0,472626
2012-10-15,2363.0,2428.0,2363.0,2393.0,370320
2012-10-16,2415.0,2432.0,2400.0,2418.0,443434
2012-10-17,2424.71,2432.12,2408.47,2417.29,421482
2012-10-18,2417.0,2429.0,2411.0,2422.0,280847
2012-10-19,2419.0,2499.0,2414.0,2466.0,721519
2012-10-22,2465.0,2466.0,2414.0,2414.0,477485
2012-10-23,2413.0,2422.0,2343.0,2358.0,512967
2012-10-24,2369.0,2371.0,2327.0,2346.0,606458
2012-10-25,2351.0,2424.0,2345.0,2386.0,654871
2012-10-26,2355.0,2391.0,2337.0,2388.0,509423
2012-10-29,2383.0,2402.0,2368.0,2387.0,416747
2012-10-30,2385.53,2409.81,2383.41,2392.94,282821
2012-10-31,2389.0,2418.0,2381.0,2381.0,442298
2012-11-01,2372.0,2434.0,2371.0,2432.0,433140
2012-11-02,2433.0,2472.0,2422.0,2443.0,408959
2012-11-05,2417.29,2430.0,2400.08,2405.65,288065
2012-11-06,2413.0,2432.0,2394.0,2429.0,357962
2012-11-07,2442.0,2479.0,2396.0,2396.0,497436
2012-11-08,2405.0,2448.0,2395.0,2405.0,423177
2012-11-09,2409.0,2424.0,2389.0,2414.0,300719
2012-11-12,2408.82,2420.47,2391.29,2409.88,285683
2012-11-13,2406.0,2432.0,2382.0,2427.0,361238
2012-11-14,2426.0,2429.0,2384.0,2404.0,381076
2012-11-15,2396.0,2423.0,2386.0,2406.0,408111
2012-11-16,2406.0,2413.0,2382.0,2387.0,414400
2012-11-19,2411.0,2429.0,2396.0,2423.0,338112
2012-11-20,2429.0,2463.0,2408.0,2462.0,347707
2012-11-21,2279.0,2346.0,2276.0,2319.0,1742481
2012-11-22,2341.0,2432.0,2324.0,2424.0,885062
2012-11-23,2426.0,2464.0,2401.0,2463.0,311976
2012-11-26,2452.24,2468.0,2420.47,2431.06,493876
2012-11-27,2435.0,2455.0,2400.0,2402.0,416548
2012-11-28,2375.0,2433.0,2360.0,2433.0,432765
2012-11-29,2446.0,2535.0,2438.0,2528.0,619012
2012-11-30,2540.0,2606.0,2527.0,2540.0,716551
2012-12-03,2540.0,2554.0,2536.0,2538.0,308450
2012-12-04,2526.0,2541.0,2482.0,2491.0,427879
2012-12-05,2500.0,2519.0,2495.0,2502.0,314545
2012-12-06,2504.0,2561.0,2491.0,2553.0,715604
2012-12-07,2551.0,2587.0,2544.0,2587.0,390633
2012-12-10,2580.0,2613.0,2573.0,2612.0,385408
2012-12-11,2610.0,2656.0,2595.0,2602.0,486928
2012-12-12,2607.0,2607.0,2566.0,2576.0,450378
2012-12-13,2585.0,2589.0,2545.0,2555.0,293619
2012-12-14,2560.0,2589.0,2553.0,2563.0,372436
2012-12-17,2561.0,2578.0,2539.0,2553.0,320244
2012-12-18,2561.0,2571.0,2546.0,2549.0,327217
2012-12-19,2551.0,2560.0,2540.0,2551.0,340021
2012-12-20,2542.0,2555.0,2537.0,2550.0,231320
2012-12-21,2546.0,2546.0,2483.0,2528.0,510727
2012-12-24,2551.0,2574.0,2509.0,2535.0,51360
2012-12-27,2522.0,2553.0,2519.0,2523.0,133331
2012-12-28,2524.0,2530.0,2490.0,2499.0,125480
2012-12-31,2488.0,2521.0,2483.0,2516.0,72947
2013-01-02,2560.0,2576.0,2524.0,2528.0,335238
2013-01-03,2524.0,2526.0,2492.0,2502.0,338842
2013-01-04,2494.0,2494.0,2458.0,2472.0,443898
2013-01-07,2468.0,2474.0,2446.0,2471.0,288381
2013-01-08,2468.0,2485.0,2449.0,2454.0,324817
2013-01-09,2462.82,2462.82,2441.07,2460.71,438242
2013-01-10,2460.0,2466.0,2422.0,2430.0,423656
2013-01-11,2436.0,2436.0,2372.0,2382.0,594351
2013-01-14,2385.5,2389.2,2344.2,2374.9,674146
2013-01-15,2343.0,2481.0,2336.0,2378.0,1163170
2013-01-16,2379.0,2420.0,2368.0,2397.0,629026
2013-01-17,2386.6,2407.2,2376.0,2389.8,315720
2013-01-18,2400.0,2501.0,2382.0,2453.0,1036809
2013-01-21,2461.0,2497.0,2453.0,2474.0,439561
2013-01-22,2476.0,2491.0,2455.0,2480.0,346008
2013-01-23,2484.0,2497.0,2455.0,2481.0,352904
2013-01-24,2477.0,2499.0,2453.0,2491.0,317722
2013-01-25,2481.88,2540.12,2480.25,2530.59,395019
2013-01-28,2535.88,2543.29,2504.39,2522.12,373185
2013-01-29,2522.0,2564.0,2522.0,2550.0,510285
2013-01-30,2541.0,2549.0,2407.0,2442.0,1100471
2013-01-31,2433.0,2455.0,2398.0,2398.0,649711
2013-02-01,2404.59,2463.07,2404.59,2462.82,521508
2013-02-04,2416.0,2430.0,2362.0,2375.0,1172270
2013-02-05,2377.0,2388.0,2348.0,2368.0,548587
2013-02-06,2374.0,2398.0,2355.0,2390.0,480324
2013-02-07,2389.76,2410.6,2376.0,2387.65,455906
2013-02-08,2392.0,2418.0,2392.0,2411.0,282824
2013-02-11,2411.0,2419.0,2387.0,2408.0,264645
2013-02-12,2404.0,2425.0,2395.0,2418.0,231820
2013-02-13,2422.59,2469.18,2419.54,2454.35,230825
2013-02-14,2452.0,2468.0,2420.0,2434.0,353869
2013-02-15,2374.0,2456.0,2357.0,2429.0,1126090
2013-02-18,2430.0,2432.12,2405.49,2420.47,427160
2013-02-19,2417.0,2474.0,2417.0,2470.0,470016
2013-02-20,2471.0,2512.0,2468.0,2490.0,388535
2013-02-21,2471.0,2477.0,2437.0,2445.0,416678
2013-02-22,2447.0,2491.0,2426.0,2443.0,544005
2013-02-25,2452.2,2479.9,2418.4,2427.9,432324
2013-02-26,2377.06,2417.29,2373.36,2405.65,445965
2013-02-27,2418.0,2433.0,2397.0,2411.0,427083
2013-02-28,2429.0,2446.0,2418.0,2435.0,460090
2013-03-01,2434.0,2445.0,2387.0,2415.0,346228
2013-03-04,2401.0,2407.0,2379.0,2394.0,282187
2013-03-05,2406.0,2430.0,2401.0,2429.0,424396
2013-03-06,2437.0,2443.0,2408.0,2412.0,451868
2013-03-07,2416.0,2443.0,2409.0,2434.0,535729
2013-03-08,2444.0,2486.0,2436.0,2466.0,428578
2013-03-11,2464.94,2478.71,2452.94,2474.47,242442
2013-03-12,2467.0,2490.0,2462.0,2471.0,243806
