Date,Open,High,Low,Close,Volume
2012-01-03,121.0,123.53,119.11,121.0,196849.0
2012-01-04,120.5,121.25,119.5,119.5,57906.0
2012-01-05,119.25,123.0,118.5,123.0,106432.0
2012-01-06,119.5,120.65,118.95,120.24,108041.0
2012-01-09,121.25,122.99,120.5,120.5,102774.0
2012-01-10,124.0,124.45,123.51,124.34,43491.0
2012-01-11,123.75,125.59,119.66,122.0,101097.0
2012-01-12,124.0,126.15,122.75,124.25,123548.0
2012-01-13,125.0,126.52,122.25,124.0,81920.0
2012-01-16,125.0,125.85,122.36,123.51,49399.0
2012-01-17,128.0,129.25,126.51,129.25,165978.0
2012-01-18,129.0,129.99,127.1,129.0,54458.0
2012-01-19,131.25,132.08,128.25,131.0,93870.0
2012-01-20,131.5,131.75,129.16,130.49,79162.0
2012-01-23,129.0,133.74,129.0,131.5,41499.0
2012-01-24,131.5,133.5,129.49,130.0,145118.0
2012-01-25,129.75,131.24,129.5,129.61,61947.0
2012-01-26,131.0,131.75,129.51,131.0,103600.0
2012-01-27,130.86,132.25,130.86,132.25,28103.0
2012-01-30,129.5,132.49,128.5,128.5,37164.0
2012-01-31,130.5,133.0,129.5,129.5,98616.0
2012-02-01,131.5,134.0,131.5,133.99,180624.0
2012-02-02,136.0,136.04,133.12,135.5,58722.0
2012-02-03,136.0,137.63,134.12,136.25,122883.0
2012-02-06,137.75,140.25,137.0,138.5,145573.0
2012-02-07,137.0,140.25,135.75,135.75,61297.0
2012-02-08,138.75,139.75,136.0,139.25,110236.0
2012-02-09,137.0,139.28,135.75,135.75,74367.0
2012-02-10,136.0,139.5,134.26,135.75,77261.0
2012-02-13,135.75,139.55,135.5,136.75,24215.0
2012-02-14,136.25,138.4,136.0,136.0,5282.0
2012-02-15,141.75,141.75,137.5,137.5,47911.0
2012-02-16,139.0,140.15,137.5,137.5,21642.0
2012-02-17,138.25,141.74,138.25,140.0,6207.0
2012-02-20,142.0,142.04,138.36,141.99,20486.0
2012-02-21,139.5,142.0,138.75,142.0,5825.0
2012-02-22,140.0,141.04,138.35,139.6,2190.0
2012-02-23,,,,139.76,0.0
2012-02-24,140.0,140.65,139.26,139.65,1000.0
2012-02-27,139.0,140.9,137.6,138.99,10000.0
2012-02-28,138.75,140.49,138.5,138.5,9477.0
2012-02-29,139.5,140.5,138.75,138.75,7932.0
2012-03-01,140.75,140.75,138.6,138.6,6352.0
2012-03-02,138.75,140.0,138.75,138.75,38552.0
2012-03-05,138.5,140.0,136.51,136.51,15800.0
2012-03-06,136.0,136.0,132.25,133.0,133682.0
2012-03-07,,,,133.76,0.0
2012-03-08,135.75,136.5,135.0,136.25,44099.0
2012-03-09,137.0,139.0,136.0,139.0,40261.0
2012-03-12,137.75,138.43,136.1,136.5,2585.0
2012-03-13,138.5,139.74,138.25,139.5,39924.0
2012-03-14,139.75,139.75,138.75,138.75,86596.0
2012-03-15,139.75,140.25,138.25,138.25,20497.0
2012-03-16,139.0,142.0,138.0,138.0,123227.0
2012-03-19,138.25,140.72,138.1,138.25,24635.0
2012-03-20,138.0,139.99,136.0,137.5,33454.0
2012-03-21,136.25,139.39,136.0,136.0,260.0
2012-03-22,136.0,139.15,135.0,135.0,22743.0
2012-03-23,135.25,138.15,135.0,135.0,11510.0
2012-03-26,135.0,138.15,135.0,137.0,15497.0
2012-03-27,135.0,136.9,134.0,134.0,52254.0
2012-03-28,133.25,133.9,133.0,133.5,69219.0
2012-03-29,133.0,133.0,129.65,129.75,80116.0
2012-03-30,133.25,133.3,130.51,131.0,6139.0
2012-04-02,132.8,132.8,130.0,130.0,1062.0
2012-04-03,132.25,133.99,131.5,131.5,138122.0
2012-04-04,131.5,132.74,131.0,131.25,16661.0
2012-04-05,131.5,133.5,130.76,131.25,78723.0
