Date,Open,High,Low,Close,Volume
2012-01-03,381.25,388.0,378.0,388.0,15638.0
2012-01-04,387.0,388.0,383.0,383.5,39861.0
2012-01-05,383.5,385.0,373.13,375.0,100247.0
2012-01-06,380.5,382.81,0.0,379.0,31560.0
2012-01-09,380.0,382.64,378.36,380.0,7101.0
2012-01-10,383.75,384.0,379.36,381.82,16577.0
2012-01-11,384.25,389.26,384.0,384.0,15202.0
2012-01-12,383.57,386.4,383.57,386.4,7609.0
2012-01-13,384.56,388.0,384.56,386.0,43711.0
2012-01-16,386.25,390.0,386.0,386.4,8757.0
2012-01-17,390.0,394.25,389.11,390.65,12191.0
2012-01-18,389.57,395.0,388.05,394.5,22661.0
2012-01-19,393.5,399.75,393.11,399.75,26170.0
2012-01-20,395.75,399.56,395.75,396.5,23370.0
2012-01-23,401.75,407.0,401.5,407.0,40736.0
2012-01-24,405.0,408.25,400.0,400.0,20884.0
2012-01-25,401.0,401.51,400.0,401.18,12309.0
2012-01-26,403.0,410.0,402.36,410.0,16813.0
2012-01-27,408.0,410.0,402.96,407.89,93229.0
2012-01-30,409.5,409.5,404.0,404.5,14774.0
2012-01-31,404.25,405.0,388.25,388.25,19303.0
2012-02-01,404.5,418.0,404.5,408.1,96828.0
2012-02-02,414.0,418.0,413.0,413.0,36759.0
2012-02-03,419.75,429.0,416.6,429.0,11553.0
2012-02-06,425.75,425.75,420.0,420.0,26476.0
2012-02-07,422.5,422.75,418.5,419.0,14975.0
2012-02-08,420.0,424.39,418.0,418.0,22544.0
2012-02-09,424.25,428.5,420.0,424.0,42326.0
2012-02-10,424.0,425.28,420.0,422.8,40136.0
2012-02-13,,,,425.36,0.0
2012-02-14,427.0,427.0,423.38,424.0,11848.0
2012-02-15,424.25,424.8,423.11,424.0,4334.0
2012-02-16,,,,428.54,0.0
2012-02-17,426.0,432.0,424.0,427.9,14793.0
2012-02-20,429.0,431.62,428.84,429.5,2000.0
2012-02-21,431.0,431.0,429.86,430.11,2136.0
2012-02-22,430.25,437.0,429.95,434.35,29448.0
2012-02-23,435.25,439.24,434.58,434.58,10828.0
2012-02-24,438.0,444.0,437.0,438.1,11220.0
2012-02-27,440.0,440.89,436.0,436.0,11024.0
2012-02-28,439.75,441.0,436.0,436.0,13776.0
2012-02-29,437.75,441.89,437.0,437.0,6368.0
2012-03-01,436.5,440.5,436.5,440.0,6204.0
2012-03-02,440.0,443.64,440.0,440.41,3000.0
2012-03-05,442.5,442.5,433.13,437.85,18345.0
2012-03-06,434.25,435.25,423.5,423.5,10294.0
2012-03-07,422.5,430.5,422.5,427.0,16059.0
