Date,Open,High,Low,Close,Volume
2012-01-03,516.0,523.0,514.65,523.0,81847
2012-01-04,523.0,523.0,510.53,513.0,87348
2012-01-05,509.5,514.0,507.0,514.0,61491
2012-01-06,511.0,520.5,510.0,517.0,26414
2012-01-09,516.0,517.0,510.44,516.5,566635
2012-01-10,519.0,531.41,519.0,526.0,68663
2012-01-11,525.5,525.5,519.0,525.5,36599
2012-01-12,526.0,532.99,525.0,528.5,51704
2012-01-13,531.0,532.99,526.67,529.0,49362
2012-01-16,526.0,530.0,523.51,530.0,56965
2012-01-17,536.0,544.0,535.95,541.0,92425
2012-01-18,537.0,543.0,537.0,542.5,65903
2012-01-19,540.5,563.0,540.0,558.5,152230
2012-01-20,558.0,558.89,550.0,552.0,51890
2012-01-23,556.0,560.0,548.5,554.5,133728
2012-01-24,558.0,558.9,551.0,551.5,84120
2012-01-25,555.0,558.4,550.0,550.0,51704
2012-01-26,556.0,560.0,555.11,557.0,106504
2012-01-27,557.0,558.9,551.0,558.0,117621
2012-01-30,554.0,555.72,547.0,548.0,91862
2012-01-31,547.5,557.0,547.5,549.0,183649
2012-02-01,550.0,564.5,550.0,564.0,64040
2012-02-02,560.0,566.0,558.02,566.0,59704
2012-02-03,565.5,570.0,558.0,570.0,103330
2012-02-06,562.0,569.0,561.8,569.0,60782
2012-02-07,569.5,569.5,564.0,568.0,85462
2012-02-08,568.0,568.0,561.01,564.0,60160
2012-02-09,569.0,569.74,562.5,565.5,46152
2012-02-10,562.0,564.7,556.95,560.5,29830
2012-02-13,564.0,566.5,557.01,560.5,23983
2012-02-14,561.5,566.0,560.0,561.0,44891
2012-02-15,570.5,570.5,565.0,566.0,52907
2012-02-16,566.0,566.0,559.5,561.0,17476
2012-02-17,566.0,570.5,565.0,566.5,49851
2012-02-20,566.5,571.42,566.5,566.5,18059
2012-02-21,567.0,572.2,565.5,565.5,33226
2012-02-22,570.5,573.0,566.5,572.0,26738
2012-02-23,572.0,573.0,567.0,569.5,53790
2012-02-24,574.5,574.5,567.0,569.5,49141
2012-02-27,567.5,572.4,560.0,560.5,59323
2012-02-28,569.0,570.5,563.0,567.0,117064
2012-02-29,568.0,571.9,565.75,569.0,149171
2012-03-01,572.5,574.0,564.0,572.5,26050
2012-03-02,571.5,574.0,568.51,572.5,22396
2012-03-05,569.5,576.39,561.65,562.5,19566
2012-03-06,558.0,560.93,553.0,558.0,75021
2012-03-07,553.0,558.0,552.36,554.0,72192
2012-03-08,562.0,563.39,557.0,557.0,52735
2012-03-09,558.0,571.5,558.0,570.0,56839
2012-03-12,565.5,571.9,564.0,564.0,29756
2012-03-13,569.5,575.5,566.86,575.5,74316
2012-03-14,571.5,583.5,571.5,583.0,103745
2012-03-15,584.5,584.5,578.0,579.75,59873
2012-03-16,578.5,583.99,572.5,572.5,209403
2012-03-19,575.0,578.0,571.5,577.0,61935
2012-03-20,573.0,574.5,562.0,562.0,97485
2012-03-21,567.5,567.5,562.1,563.5,54655
2012-03-22,564.5,568.99,558.0,558.0,50067
2012-03-23,561.0,561.0,556.5,557.0,35436
2012-03-26,562.0,562.0,555.5,559.0,22618
2012-03-27,562.0,564.49,560.5,562.0,41079
2012-03-28,560.5,565.0,556.01,564.0,81631
2012-03-29,559.5,559.5,549.5,551.5,72344
2012-03-30,556.0,563.5,556.0,563.5,64928
2012-04-02,560.5,566.5,558.5,566.5,79606
2012-04-03,561.2,568.99,559.52,562.0,74206
2012-04-04,563.5,569.39,555.0,558.0,78777
2012-04-05,563.0,566.0,560.0,566.0,62560
2012-04-10,569.5,569.5,549.5,549.5,63403
2012-04-11,550.0,553.5,545.94,552.0,26792
2012-04-12,555.5,557.0,550.07,557.0,47974
2012-04-13,558.5,559.0,553.0,553.0,49120
2012-04-16,556.5,557.5,552.5,553.5,44197
2012-04-17,552.0,556.5,552.0,555.0,41584
2012-04-18,557.0,561.0,555.0,555.0,78394
2012-04-19,555.0,557.5,553.0,553.0,16322
2012-04-20,553.0,555.49,550.0,550.0,50828
2012-04-23,550.5,556.89,538.5,538.5,56666
2012-04-24,544.5,545.24,539.52,542.0,26133
2012-04-25,547.5,547.5,541.0,542.5,49419
2012-04-26,545.0,548.64,541.0,543.5,9684
2012-04-27,542.0,547.5,542.0,546.0,7296
2012-04-30,544.5,550.51,542.5,544.5,84942
2012-05-01,542.0,550.5,542.0,548.0,24315
2012-05-02,552.0,552.0,546.0,548.0,33487
2012-05-03,552.0,552.0,543.5,544.0,15299
2012-05-04,544.5,546.9,536.0,536.5,41146
2012-05-08,536.5,540.6,523.5,524.0,58053
2012-05-09,528.0,528.0,518.5,522.5,59830
2012-05-10,521.0,525.0,519.51,525.0,54312
2012-05-11,517.5,527.5,514.67,527.5,21322
2012-05-14,517.0,518.19,511.5,514.5,69863
2012-05-15,512.5,518.5,511.0,514.5,22222
2012-05-16,507.0,512.0,500.5,512.0,53182
2012-05-17,510.0,512.0,509.0,509.5,46575
2012-05-18,500.0,508.0,500.0,505.0,94555
2012-05-21,504.0,506.87,500.11,505.5,119878
2012-05-22,509.0,513.49,501.0,509.0,127682
2012-05-23,499.0,503.5,497.0,497.0,70529
2012-05-24,503.3,507.4,500.16,503.5,35823
2012-05-25,504.0,506.0,499.41,502.0,72202
2012-05-28,504.0,513.99,501.51,508.0,68675
2012-05-29,513.0,519.0,510.0,517.5,20003
2012-05-30,517.0,517.0,507.54,508.0,40980
