Date,Open,High,Low,Close,Volume
2012-01-03,352.5,354.17,345.31,354.17,6768.0
2012-01-04,344.38,354.17,344.38,354.17,2284.0
2012-01-05,346.67,350.42,344.18,350.0,15530.0
2012-01-06,344.38,347.92,344.17,344.58,2516.0
2012-01-09,348.74,348.74,343.54,343.54,10553.0
2012-01-10,349.7,349.7,0.0,349.28,3872.0
2012-01-11,350.0,350.0,0.0,350.0,24000.0
2012-01-12,352.0,352.0,349.0,349.0,2441.0
2012-01-13,352.5,354.91,349.17,352.41,8460.0
2012-01-16,351.46,352.5,344.33,352.5,17044.0
2012-01-17,354.2,358.8,353.3,358.8,39254.0
2012-01-18,361.0,362.0,361.0,362.0,3600.0
2012-01-19,363.96,366.67,362.92,366.67,10708.0
2012-01-20,367.5,369.6,367.5,369.6,4084.0
2012-01-23,362.9,370.0,362.9,366.7,4836.0
2012-01-24,364.18,0.0,364.18,365.0,2599.0
2012-01-25,364.18,368.74,364.18,365.0,2552.0
2012-01-26,364.59,370.82,364.59,365.84,2066.0
2012-01-27,366.7,366.7,364.6,365.8,10189.0
2012-01-30,362.92,367.78,358.33,358.33,20623.0
2012-01-31,361.67,365.82,360.42,365.41,11718.0
2012-02-01,369.71,372.29,0.0,369.17,7374.0
2012-02-02,374.99,374.99,369.18,370.0,12062.0
2012-02-03,375.82,375.82,369.58,372.08,2992.0
2012-02-06,376.88,376.88,371.67,376.67,2446.0
2012-02-07,372.5,377.08,367.46,375.0,50524.0
2012-02-08,376.04,377.08,376.04,377.08,3262.0
2012-02-09,375.0,378.3,373.0,378.3,24420.0
2012-02-10,377.08,377.92,377.08,377.92,3937.0
2012-02-13,373.33,379.78,370.83,379.78,1499.0
2012-02-14,373.0,380.0,373.0,380.0,1974.0
2012-02-15,379.17,385.92,379.17,384.79,265.0
2012-02-16,383.33,389.58,383.27,387.92,17334.0
2012-02-17,389.79,394.16,388.75,394.16,2336.0
2012-02-20,,,,398.75,0.0
2012-02-21,,,,397.08,0.0
2012-02-22,,,,396.0,0.0
2012-02-23,,,,397.08,0.0
2012-02-24,402.29,404.17,395.92,404.17,2786.0
2012-02-27,395.8,402.9,395.8,402.9,6353.0
2012-02-28,402.71,406.67,396.68,406.67,4471.0
2012-02-29,405.42,403.33,403.33,403.33,210.0
2012-03-01,406.46,409.17,401.77,409.17,1934.0
2012-03-02,,,,409.99,0.0
2012-03-05,,,,409.27,0.0
2012-03-06,401.04,405.82,400.0,400.0,982.0
2012-03-07,401.67,407.35,401.67,405.0,2400.0
2012-03-08,407.81,408.33,405.0,405.0,716.0
2012-03-09,405.8,408.3,405.4,408.3,1304.0
2012-03-12,411.04,411.25,409.17,410.83,3770.0
2012-03-13,415.0,415.0,415.0,415.0,35.0
2012-03-14,419.17,425.0,415.51,425.0,19562.0
2012-03-15,424.6,426.7,419.2,426.7,11330.0
2012-03-16,424.6,424.6,418.3,419.2,2891.0
2012-03-19,424.0,424.0,418.0,418.0,1814.0
2012-03-20,417.92,420.0,416.68,420.0,96.0
2012-03-21,419.2,419.2,413.6,413.6,2160.0
2012-03-22,411.68,418.33,411.68,418.33,107.0
2012-03-23,415.8,418.3,412.1,418.3,92.0
2012-03-26,,,,418.32,0.0
2012-03-27,416.67,418.74,412.51,414.17,4712.0
2012-03-28,,,,410.84,0.0
2012-03-29,410.62,414.99,409.81,410.62,59.0
2012-03-30,411.0,411.0,408.0,408.0,1192.0
2012-04-02,411.67,414.58,408.33,408.33,2675.0
2012-04-03,416.0,416.0,412.0,412.0,617.0
2012-04-04,408.75,414.37,403.75,403.75,9143.0
2012-04-05,,,,402.92,0.0
2012-04-10,401.05,401.82,395.83,395.83,3062.0
2012-04-11,401.88,404.17,392.29,404.17,1267.0
2012-04-12,403.96,406.67,397.72,406.67,2189.0
2012-04-13,405.62,405.83,403.33,405.83,2515.0
2012-04-16,405.0,406.67,404.24,406.67,743.0
2012-04-17,400.83,406.05,400.83,406.05,7.0
2012-04-18,404.79,407.5,401.05,405.83,173.0
2012-04-19,406.0,408.0,406.0,408.0,715.0
2012-04-20,405.21,412.5,405.0,412.5,6439.0
2012-04-23,403.33,412.28,403.33,403.33,672.0
2012-04-24,409.58,409.99,403.33,403.33,2455.0
2012-04-25,407.5,411.4,405.8,411.4,720.0
2012-04-26,408.0,412.0,405.0,412.0,3643.0
2012-04-27,408.0,412.0,406.0,412.0,8502.0
2012-04-30,408.75,411.04,402.98,404.77,3424.0
2012-05-01,410.0,413.75,404.8,413.75,4406.0
2012-05-02,410.83,414.17,406.32,414.17,7597.0
2012-05-03,413.75,413.75,411.68,413.75,456.0
2012-05-04,415.0,415.0,405.0,405.0,13458.0
2012-05-08,405.0,410.41,398.33,398.33,3610.0
2012-05-09,397.08,399.99,392.5,392.5,5712.0
2012-05-10,399.79,400.0,395.42,400.0,646.0
2012-05-11,400.4,400.4,391.7,391.7,3864.0
2012-05-14,395.83,399.37,393.33,399.37,4854.0
2012-05-15,392.08,396.67,388.99,391.26,1950.0
2012-05-16,384.76,390.33,381.67,385.0,7852.0
2012-05-17,385.42,391.66,381.67,381.67,670.0
2012-05-18,377.08,377.08,374.59,374.59,7039.0
2012-05-21,,,,374.18,0.0
2012-05-22,376.25,376.67,374.18,375.0,7238.0
2012-05-23,372.08,373.91,370.0,370.0,3578.0
2012-05-24,371.0,371.0,367.0,367.0,15596.0
2012-05-25,368.75,369.17,366.22,366.67,530.0
2012-05-28,374.53,374.53,367.23,371.67,169.0
2012-05-29,375.0,379.0,375.0,379.0,10662.0
2012-05-30,,,,370.83,0.0
2012-05-31,375.0,376.2,372.5,375.0,10.0
2012-06-01,371.0,371.0,368.0,368.0,17022.0
2012-06-06,375.0,375.4,371.7,371.7,4927.0
2012-06-07,376.0,376.0,372.0,374.0,8912.0
2012-06-08,373.0,373.0,370.0,372.0,4411.0
2012-06-11,367.55,376.67,367.55,370.83,3652.0
2012-06-12,371.7,372.9,367.1,372.9,4402.0
2012-06-13,370.83,373.7,367.17,370.0,17396.0
2012-06-14,367.71,370.83,367.71,370.83,712.0
2012-06-15,372.0,376.0,368.0,368.0,11201.0
2012-06-18,368.54,374.79,368.54,373.33,144.0
2012-06-19,370.62,374.08,367.51,373.15,409.0
2012-06-20,374.79,374.79,367.72,368.54,1727.0
2012-06-21,372.5,375.0,368.75,374.38,2432.0
2012-06-22,369.58,369.58,366.88,366.88,1943.0
2012-06-25,,,,368.34,0.0
2012-06-26,,,,368.34,0.0
2012-06-27,370.42,373.75,369.38,373.33,8958.0
2012-06-28,373.33,376.46,371.67,376.46,9348.0
2012-06-29,380.83,380.83,375.22,380.01,600.0
2012-07-02,382.08,383.33,377.51,379.17,5900.0
2012-07-03,380.83,384.91,380.83,380.83,2922.0
2012-07-04,,,,384.23,0.0
2012-07-05,379.75,384.91,376.67,376.67,53.0
2012-07-06,376.68,380.0,376.67,376.67,42.0
2012-07-09,378.3,383.3,375.8,383.3,2020.0
2012-07-10,378.33,383.33,375.69,383.33,8.0
2012-07-11,379.17,382.92,375.54,382.92,1081.0
2012-07-12,0.0,380.83,379.16,380.83,11321.0
2012-07-13,380.0,380.0,380.0,380.0,26.0
2012-07-16,381.7,384.7,377.1,377.1,6317.0
2012-07-17,380.83,382.91,377.5,377.5,6391.0
2012-07-18,377.72,382.96,377.5,377.5,44.0
2012-07-19,379.73,383.02,377.5,377.5,36.0
2012-07-20,379.0,379.0,377.0,377.0,53.0
2012-07-23,376.25,381.77,376.25,377.08,720.0
2012-07-24,377.91,377.91,371.67,371.67,68.0
2012-07-25,372.38,372.38,371.67,371.67,19.0
2012-07-26,375.0,375.0,372.9,375.0,6754.0
2012-07-27,376.25,379.17,371.88,379.17,1202.0
2012-07-30,373.8,373.3,373.3,373.3,2.0
2012-07-31,373.8,373.8,373.3,373.3,11.0
2012-08-01,,,,373.75,0.0
2012-08-02,378.0,378.0,378.0,378.0,1.0
2012-08-03,374.17,378.75,370.84,378.75,3271.0
2012-08-06,,,,373.56,0.0
2012-08-07,375.21,378.33,373.75,374.17,4372.0
2012-08-08,,,,378.58,0.0
2012-08-09,,,,378.58,0.0
2012-08-10,,,,373.35,0.0
2012-08-13,378.75,378.75,375.51,378.75,245.0
