Date,Open,High,Low,Close,Volume
2012-01-03,114.99,114.99,112.08,113.33,60734.0
2012-01-04,112.72,0.0,112.71,112.71,25200.0
2012-01-05,112.5,112.5,111.2,111.2,3805.0
2012-01-06,114.58,114.58,111.07,111.46,13621.0
2012-01-09,111.7,114.3,110.4,111.7,19855.0
2012-01-10,112.08,112.08,110.13,112.08,8659.0
2012-01-11,110.76,113.33,110.62,110.62,19235.0
2012-01-12,113.54,114.17,111.67,114.17,65518.0
2012-01-13,115.0,116.04,113.33,113.33,25586.0
2012-01-16,113.33,114.91,113.33,114.91,8364.0
2012-01-17,115.0,115.42,114.38,114.38,13141.0
2012-01-18,115.0,119.79,114.17,114.17,11911.0
2012-01-19,115.0,115.0,114.0,114.0,22850.0
2012-01-20,114.79,114.79,0.0,114.25,3152.0
2012-01-23,116.67,118.13,116.04,116.04,6715.0
2012-01-24,114.38,119.79,113.33,113.33,51502.0
2012-01-25,115.0,115.0,114.99,115.0,16646.0
2012-01-26,113.62,0.0,113.41,113.41,3619.0
2012-01-27,114.79,0.0,113.75,115.0,55196.0
2012-01-30,113.43,117.33,113.43,117.33,4220.0
2012-01-31,113.33,117.12,113.33,114.17,40498.0
2012-02-01,113.54,113.54,113.33,113.33,27320.0
2012-02-02,115.21,115.42,115.21,115.42,17615.0
2012-02-03,115.4,115.4,115.4,115.4,600.0
2012-02-06,116.04,116.04,113.23,113.23,19264.0
2012-02-07,112.71,113.33,112.5,112.5,27498.0
2012-02-08,115.0,117.58,115.0,115.0,4098.0
2012-02-09,112.9,118.3,112.9,118.3,6326.0
2012-02-10,112.71,112.71,112.5,112.5,3038.0
2012-02-13,112.08,116.46,112.08,114.17,5071.0
2012-02-14,115.0,116.47,115.0,116.47,600.0
2012-02-15,,,,114.58,0.0
2012-02-16,,,,114.18,0.0
2012-02-17,115.62,116.46,115.62,115.62,600.0
2012-02-20,,,,114.79,0.0
2012-02-21,,,,116.42,0.0
2012-02-22,114.13,114.51,114.13,114.17,5021.0
2012-02-23,115.62,116.66,115.62,115.83,4200.0
2012-02-24,115.8,116.2,115.8,116.2,3004.0
2012-02-27,115.42,116.54,115.42,115.42,3000.0
2012-02-28,117.0,120.0,117.0,120.0,2854.0
2012-02-29,114.0,114.0,114.0,114.0,448.0
2012-03-01,119.79,119.79,119.79,119.79,2.0
2012-03-02,117.0,117.0,115.0,117.0,600.0
2012-03-05,,,,115.83,0.0
2012-03-06,112.0,112.0,112.0,112.0,2160.0
2012-03-07,,,,114.17,0.0
