Date,Open,High,Low,Close,Volume
2012-01-03,440.0,441.99,431.18,435.0,12897.0
2012-01-04,433.0,442.75,428.51,435.0,13322.0
2012-01-05,430.0,435.25,430.0,434.0,13059.0
2012-01-06,438.0,438.0,428.25,438.0,14536.0
2012-01-09,439.75,442.24,437.75,440.5,13314.0
2012-01-10,443.0,455.0,443.0,454.75,46916.0
2012-01-11,459.75,463.0,450.0,463.0,18235.0
2012-01-12,465.0,469.0,456.1,469.0,29066.0
2012-01-13,467.0,467.0,459.0,466.99,14016.0
2012-01-16,466.5,467.0,458.5,466.5,16643.0
2012-01-17,472.0,479.92,467.0,472.0,25364.0
2012-01-18,465.5,472.0,465.5,471.99,13005.0
2012-01-19,474.0,476.0,465.5,476.0,9454.0
2012-01-20,467.5,476.0,465.5,476.0,12587.0
2012-01-23,465.5,476.0,465.0,465.5,6955.0
2012-01-24,472.0,474.5,465.0,473.5,35160.0
2012-01-25,465.0,472.0,465.0,472.0,34614.0
2012-01-26,471.0,473.0,471.0,472.0,7364.0
2012-01-27,473.0,474.75,466.02,472.99,14413.0
2012-01-30,472.0,472.69,465.0,470.0,22147.0
2012-01-31,472.0,473.0,458.0,458.0,44207.0
2012-02-01,470.0,470.11,461.0,470.0,22199.0
2012-02-02,470.0,482.0,470.0,482.0,28406.0
2012-02-03,475.0,480.0,468.37,479.99,11490.0
2012-02-06,480.0,482.0,465.0,480.0,29579.0
2012-02-07,487.99,488.0,477.0,488.0,11768.0
2012-02-08,489.75,494.0,481.01,482.0,15594.0
2012-02-09,500.0,500.0,486.5,495.0,42113.0
2012-02-10,495.0,495.0,480.0,483.99,23750.0
2012-02-13,485.0,486.99,481.0,484.99,2000.0
2012-02-14,486.0,487.0,480.0,485.0,1025.0
2012-02-15,,,,487.0,0.0
2012-02-16,,,,487.0,0.0
2012-02-17,,,,489.0,0.0
2012-02-20,477.25,489.49,477.25,489.0,4001.0
2012-02-21,476.25,494.5,476.25,488.0,14580.0
2012-02-22,488.0,488.0,477.69,479.26,4000.0
2012-02-23,481.0,486.0,479.26,483.0,7561.0
2012-02-24,479.0,489.45,479.0,486.0,736.0
2012-02-27,,,,485.0,0.0
2012-02-28,487.0,487.0,481.45,486.0,1.0
2012-02-29,485.0,486.0,476.0,476.0,196.0
2012-03-01,485.75,486.0,485.75,486.0,7075.0
2012-03-02,477.5,489.75,477.5,485.0,3696.0
2012-03-05,,,,476.01,0.0
2012-03-06,475.0,484.0,471.0,471.0,1473.0
2012-03-07,,,,477.4,0.0
2012-03-08,474.5,479.0,470.34,479.0,4876.0
2012-03-09,479.0,482.0,474.5,482.0,10005.0
2012-03-12,483.0,486.9,474.9,485.0,1360.0
2012-03-13,487.0,487.0,475.26,487.0,2004.0
2012-03-14,480.01,493.0,480.01,493.0,18331.0
2012-03-15,484.0,493.0,483.0,493.0,6776.0
2012-03-16,489.0,491.0,480.0,480.5,18574.0
2012-03-19,,,,488.49,0.0
2012-03-20,,,,488.0,0.0
2012-03-21,480.0,487.99,480.0,480.0,29.0
2012-03-22,484.49,485.0,473.26,485.0,105.0
2012-03-23,484.0,485.0,473.01,484.0,91.0
2012-03-26,,,,474.6,0.0
2012-03-27,477.6,488.0,477.0,477.0,1093.0
2012-03-28,,,,486.99,0.0
2012-03-29,477.0,483.0,469.95,483.0,900.0
2012-03-30,471.0,483.0,464.0,476.0,7416.0
2012-04-02,474.25,475.0,465.0,465.0,3076.0
2012-04-03,465.0,472.99,462.5,462.5,4092.0
2012-04-04,462.0,480.0,462.0,465.0,9583.0
2012-04-05,465.0,470.0,460.0,464.5,1285.0
2012-04-10,457.0,463.0,452.0,452.0,2071.0
2012-04-11,458.0,468.0,446.67,468.0,2000.0
2012-04-12,,,,470.5,0.0
2012-04-13,473.0,473.0,465.25,470.0,4184.0
2012-04-16,468.5,470.24,463.0,468.0,3426.0
2012-04-17,468.5,470.49,462.0,470.49,12545.0
2012-04-18,463.1,470.5,463.1,470.49,348.0
2012-04-19,462.0,475.58,462.0,470.49,49.0
2012-04-20,,,,470.49,0.0
2012-04-23,462.0,469.99,455.0,455.0,1178.0
2012-04-24,454.0,464.0,453.0,453.0,334.0
2012-04-25,,,,463.49,0.0
2012-04-26,464.0,468.0,460.0,460.0,2072.0
2012-04-27,467.0,467.0,457.0,467.0,793.0
2012-04-30,467.0,470.0,462.0,470.0,6001.0
2012-05-01,,,,472.99,0.0
2012-05-02,463.0,474.11,459.0,459.0,196.0
2012-05-03,471.4,472.0,472.0,472.0,28.0
2012-05-04,461.0,461.0,453.5,453.5,1501.0
2012-05-08,454.0,464.0,450.51,450.51,20.0
2012-05-09,,,,458.99,0.0
2012-05-10,457.99,458.0,448.1,458.0,9.0
2012-05-11,457.0,457.0,447.11,457.0,854.0
2012-05-14,453.0,463.97,446.11,463.0,1001.0
2012-05-15,,,,452.95,0.0
2012-05-16,458.5,460.74,448.5,460.74,2821.0
2012-05-17,450.0,461.0,450.0,450.0,24.0
2012-05-18,454.75,455.0,445.1,448.0,58.0
2012-05-21,454.75,457.09,445.1,454.75,8.0
2012-05-22,456.0,456.0,447.0,456.0,3415.0
2012-05-23,454.0,454.0,443.0,443.0,12.0
