Date,Open,High,Low,Close,Volume
2013-11-12,225.0,228.75,213.0,224.61,44718774
2013-11-13,210.0,212.0,185.0,191.09,15646947
2013-11-14,203.25,205.0,195.0,197.04,2286557
2013-11-15,195.0,199.75,190.5,194.05,621473
2013-11-18,196.0,198.25,195.5,196.0,756928
2013-11-19,196.25,197.0,190.0,190.0,690094
2013-11-20,190.0,194.75,190.0,193.0,323864
2013-11-21,190.0,192.5,187.0,189.0,1834591
2013-11-22,188.25,190.0,186.5,186.5,312460
2013-11-25,186.0,188.75,185.0,188.0,296463
2013-11-26,185.0,193.5,185.0,192.5,1175549
2013-11-27,192.5,204.0,191.5,197.0,1510282
2013-11-28,195.0,201.5,195.0,199.75,181856
2013-11-29,199.0,203.75,198.5,200.5,455521
2013-12-02,203.0,203.0,200.25,200.25,168725
2013-12-03,200.0,203.0,198.5,199.5,289755
2013-12-04,199.25,201.5,198.0,200.0,554497
2013-12-05,198.5,202.0,198.5,200.0,270769
2013-12-06,198.5,203.0,198.5,200.75,103599
2013-12-09,200.0,203.0,200.0,202.5,236193
2013-12-10,200.0,202.75,200.0,200.0,301482
2013-12-11,200.25,204.0,200.0,201.0,144135
2013-12-12,200.0,201.0,197.0,197.0,518107
2013-12-13,196.5,196.5,188.75,192.5,339571
2013-12-16,190.0,196.0,190.0,193.25,219098
2013-12-17,194.0,196.25,192.0,192.0,566729
2013-12-18,192.5,196.0,192.5,193.25,117117
2013-12-19,194.5,199.0,192.5,197.75,663941
2013-12-20,196.0,199.0,196.0,197.0,603755
2013-12-23,197.25,199.75,196.0,199.0,172164
2013-12-24,197.5,197.5,197.5,197.5,4996
2013-12-27,200.0,200.25,199.0,199.0,10476
2013-12-30,202.0,202.0,199.0,199.0,23478
2013-12-31,203.0,210.0,199.0,210.0,353092
2014-01-02,212.0,212.0,201.5,204.0,139509
2014-01-03,209.75,209.75,203.0,203.5,50010
2014-01-06,209.0,210.0,206.0,209.0,212269
2014-01-07,207.0,208.75,206.0,207.0,233798
2014-01-08,206.0,216.25,206.0,212.0,1059279
2014-01-09,216.0,216.25,212.0,213.0,743195
2014-01-10,216.5,218.0,209.25,215.0,384180
2014-01-13,214.0,218.5,214.0,215.0,333130
2014-01-14,214.0,214.0,210.25,212.0,436552
2014-01-15,212.5,223.0,212.0,218.0,862757
2014-01-16,218.0,232.5,218.0,228.0,906163
2014-01-17,228.0,248.25,228.0,228.0,911831
2014-01-20,242.0,245.0,239.0,243.75,256243
2014-01-21,240.0,243.0,238.25,240.0,636857
2014-01-22,235.0,244.5,235.0,244.0,761710
2014-01-23,242.0,253.25,242.0,249.25,427760
2014-01-24,250.0,250.0,239.0,240.0,137119
2014-01-27,240.0,241.0,236.0,239.5,356686
2014-01-28,236.0,248.75,236.0,246.0,138477
2014-01-29,244.0,249.75,240.0,243.0,176526
2014-01-30,234.0,250.75,234.0,241.0,219271
2014-01-31,240.25,250.0,240.0,249.75,257205
2014-02-03,245.0,255.0,245.0,253.5,279482
2014-02-04,247.75,255.0,242.25,252.5,523531
2014-02-05,248.75,257.5,248.75,255.5,156938
2014-02-06,252.0,255.5,250.75,250.75,88847
2014-02-07,250.5,255.75,242.25,250.0,215828
2014-02-10,245.0,255.75,245.0,252.75,228250
2014-02-11,250.5,256.0,249.5,250.0,186414
2014-02-12,249.5,257.0,247.5,251.5,126837
2014-02-13,244.25,251.5,242.75,243.75,203517
2014-02-14,240.5,243.5,240.5,241.0,98620
2014-02-17,240.0,244.5,238.25,241.0,212100
2014-02-18,240.0,243.0,239.75,241.0,461114
2014-02-19,240.0,243.25,238.0,240.97,319676
2014-02-20,241.0,242.75,240.0,240.5,277645
2014-02-21,244.5,244.5,237.25,239.96,319260
2014-02-24,240.25,241.0,238.25,239.95,78644
2014-02-25,241.5,241.5,236.5,237.25,158366
2014-02-26,240.75,240.75,237.0,239.0,70468
2014-02-27,240.0,240.0,234.75,240.0,295103
2014-02-28,249.5,255.5,242.5,252.5,1483957
2014-03-03,259.5,269.25,252.0,256.25,640134
2014-03-04,260.25,267.75,254.0,264.75,816578
2014-03-05,266.75,272.5,262.25,270.0,675947
2014-03-06,274.25,289.25,270.25,271.0,326112
2014-03-07,269.75,275.75,269.25,272.0,388566
2014-03-10,269.75,273.0,264.25,267.0,68444
2014-03-11,264.5,274.75,264.5,270.0,204655
2014-03-12,274.5,274.5,266.25,269.0,144955
2014-03-13,269.0,270.25,266.75,269.0,459278
2014-03-14,267.0,267.5,262.25,263.5,241745
2014-03-17,265.25,270.25,263.38,266.75,367826
2014-03-18,265.75,284.25,264.5,267.5,489064
2014-03-19,269.75,272.5,130.0,154.0,7504614
2014-03-20,160.0,163.75,132.0,142.14,4484828
2014-03-21,144.75,154.75,138.72,151.63,11154980
2014-03-24,140.0,141.72,130.3,135.2,1025198
2014-03-25,135.0,138.4,134.0,134.97,853000
2014-03-26,139.6,145.99,138.79,140.4,659870
