Date,Open,High,Low,Close,Volume
2012-01-03,70.5,70.95,70.0,70.3,341782
2012-01-04,70.5,71.14,69.55,70.25,165326
2012-01-05,70.0,71.85,67.0,67.6,857893
2012-01-06,67.5,70.0,67.5,68.5,418832
2012-01-09,68.85,69.7,68.25,69.0,88777
2012-01-10,69.75,69.75,68.55,68.8,314357
2012-01-11,68.3,69.0,67.25,68.0,565120
2012-01-12,68.9,69.52,66.0,66.55,331258
2012-01-13,67.05,67.9,66.0,66.75,245995
2012-01-16,67.75,69.0,66.25,69.0,250952
2012-01-17,69.0,70.5,68.55,70.0,901957
2012-01-18,70.5,70.5,68.55,69.25,437607
2012-01-19,68.7,69.78,68.55,69.0,390095
2012-01-20,69.5,69.5,67.5,67.75,658425
2012-01-23,68.0,68.36,67.15,68.25,3592421
2012-01-24,68.05,68.8,67.9,68.0,444858
2012-01-25,68.5,70.0,67.85,68.45,410676
2012-01-26,69.75,70.0,68.09,70.0,443594
2012-01-27,70.1,71.5,69.65,69.7,791977
2012-01-30,69.3,71.7,69.3,71.0,459293
2012-01-31,70.7,71.51,70.67,71.1,1158897
2012-02-01,71.0,74.6,71.0,74.25,1282073
2012-02-02,74.0,74.6,73.0,73.6,623829
2012-02-03,74.0,74.25,73.21,73.25,880046
2012-02-06,75.0,75.0,73.25,75.0,302887
2012-02-07,74.55,74.95,73.1,73.25,471712
2012-02-08,73.25,74.35,72.3,73.0,707116
2012-02-09,73.3,73.4,72.05,72.75,261833
2012-02-10,72.3,74.0,72.09,74.0,312955
2012-02-13,74.0,74.0,72.55,73.25,309044
2012-02-14,73.25,73.25,71.35,71.35,315034
2012-02-15,72.0,73.1,70.45,71.5,575680
2012-02-16,71.05,71.83,69.36,70.5,340355
2012-02-17,70.25,71.93,69.76,71.93,107244
2012-02-20,69.95,71.21,69.65,71.0,174001
2012-02-21,70.5,71.0,69.7,70.15,375241
2012-02-22,70.75,71.45,69.7,71.25,246866
2012-02-23,71.15,71.3,68.55,70.75,433385
2012-02-24,71.4,71.4,70.6,71.05,716982
2012-02-27,70.0,71.52,70.0,70.5,194328
2012-02-28,71.5,71.5,68.55,69.5,660152
2012-02-29,70.3,70.3,69.5,69.5,158312
2012-03-01,70.0,70.0,69.25,69.6,174690
2012-03-02,69.25,69.85,68.55,69.7,488992
2012-03-05,69.5,70.1,69.1,69.85,221388
2012-03-06,70.0,70.05,68.55,68.95,311963
2012-03-07,69.9,70.0,68.6,69.5,84436
2012-03-08,68.85,69.9,68.65,69.5,230413
2012-03-09,69.25,70.5,68.85,70.0,570841
2012-03-12,69.85,70.33,69.05,69.35,176347
2012-03-13,70.95,70.95,68.25,69.5,386460
2012-03-14,70.95,70.95,67.5,68.5,392502
2012-03-15,68.05,69.6,68.05,69.6,374041
2012-03-16,69.25,70.0,67.95,70.0,1033520
2012-03-19,69.75,70.18,68.17,68.7,138877
2012-03-20,68.0,68.82,67.65,68.0,218268
2012-03-21,68.55,69.2,67.3,68.1,261667
2012-03-22,68.25,69.0,67.55,68.75,134744
2012-03-23,68.5,69.95,67.65,68.5,507573
2012-03-26,68.5,69.25,68.15,69.25,554210
2012-03-27,69.5,69.5,67.73,69.0,130656
2012-03-28,69.0,69.8,67.25,69.8,265411
2012-03-29,69.25,70.0,68.5,70.0,348297
