Date,Open,High,Low,Close,Volume
2012-01-03,265.0,269.0,263.75,269.0,32664
2012-01-04,265.5,278.25,265.5,278.25,38329
2012-01-05,276.0,276.72,262.25,265.0,49974
2012-01-06,267.0,267.0,260.5,265.5,19876
2012-01-09,265.25,267.0,262.0,265.0,98181
2012-01-10,268.5,275.75,268.5,273.5,81463
2012-01-11,270.0,278.25,270.0,275.0,68556
2012-01-12,278.25,292.75,278.0,290.5,42069
2012-01-13,312.25,312.25,301.16,311.5,58986
2012-01-16,312.5,327.11,302.73,308.75,19413
2012-01-17,328.5,328.5,312.64,316.0,101337
2012-01-18,316.25,328.72,316.25,322.75,15310
2012-01-19,332.75,352.75,321.02,340.0,62147
2012-01-20,338.0,344.25,331.1,342.0,41756
2012-01-23,345.0,350.0,341.5,350.0,39376
2012-01-24,345.0,349.06,343.25,347.5,258935
2012-01-25,350.0,350.0,342.0,350.0,65444
2012-01-26,349.75,351.44,340.0,350.0,31638
2012-01-27,350.0,366.75,347.5,353.0,62339
2012-01-30,353.25,354.5,347.92,353.0,58753
2012-01-31,353.25,359.0,353.0,353.0,63400
2012-02-01,353.0,365.0,353.0,365.0,54577
2012-02-02,364.75,381.25,364.75,381.25,75275
2012-02-03,375.25,385.38,374.5,380.5,85883
2012-02-06,375.0,380.0,375.0,377.5,51087
2012-02-07,375.0,380.0,375.0,379.5,7443
2012-02-08,380.5,386.0,375.75,385.0,10616
2012-02-09,390.0,391.25,379.75,391.25,10604
2012-02-10,392.0,392.0,375.75,385.0,37642
2012-02-13,380.0,381.0,374.25,376.5,22975
2012-02-14,379.75,388.5,375.0,380.66,27997
2012-02-15,390.5,393.0,380.75,393.0,44708
2012-02-16,377.5,410.0,377.5,394.0,25383
2012-02-17,414.25,433.5,406.01,429.0,15785
2012-02-20,420.25,461.5,420.25,449.07,35251
2012-02-21,449.0,449.0,432.0,434.95,56108
2012-02-22,434.25,435.56,427.25,431.47,55498
2012-02-23,425.25,431.18,425.0,429.61,30201
2012-02-24,420.0,435.0,420.0,430.56,62403
2012-02-27,430.0,430.0,425.0,428.58,39135
2012-02-28,425.0,430.0,425.0,425.0,7422
2012-02-29,425.0,430.0,416.75,419.25,30420
2012-03-01,415.0,425.0,415.0,425.0,72614
2012-03-02,421.5,429.43,420.0,424.75,42011
2012-03-05,423.0,423.0,409.45,412.0,25435
2012-03-06,409.25,410.82,392.75,400.0,104296
2012-03-07,398.75,408.5,397.05,401.29,74292
2012-03-08,401.5,413.75,400.25,410.25,34440
2012-03-09,405.0,419.0,396.75,415.0,153652
2012-03-12,411.75,419.0,407.02,415.0,73114
2012-03-13,410.0,421.0,410.0,418.77,60139
2012-03-14,419.25,425.25,414.96,423.0,56612
2012-03-15,426.5,426.75,420.0,420.0,20200
2012-03-16,420.0,427.75,418.0,420.0,94426
2012-03-19,420.5,427.5,419.25,423.0,22837
2012-03-20,415.25,428.0,415.25,427.5,29622
2012-03-21,415.5,424.28,415.5,420.0,24893
2012-03-22,415.0,423.75,415.0,423.25,21523
2012-03-23,423.25,427.5,422.0,427.0,32185
2012-03-26,430.0,446.0,423.49,442.0,74090
2012-03-27,441.75,448.25,435.0,445.35,24614
2012-03-28,450.0,460.0,446.75,455.0,103006
