Date,Open,High,Low,Close,Volume
2013-02-05,102.0,102.0,100.0,102.0,10000.0
2013-02-06,101.75,,101.72,101.72,
2013-02-07,101.25,102.22,101.25,102.22,
2013-02-08,102.2,102.2,101.5,102.2,
2013-02-11,102.0,102.22,100.0,102.2,
2013-02-12,102.19,102.19,,102.18,
2013-02-13,102.28,102.5,101.75,101.75,
2013-02-14,,,,101.75,0.0
2013-02-15,102.5,102.5,102.25,102.33,
2013-02-18,102.32,102.32,,102.32,
2013-02-19,102.25,102.25,101.88,102.24,
2013-02-20,102.0,,102.0,102.2,
2013-02-21,102.25,102.54,102.15,102.34,
2013-02-22,102.34,102.75,102.34,102.62,
2013-02-25,103.12,103.85,103.12,103.85,
2013-02-26,102.65,,102.65,103.18,
2013-02-27,102.61,,102.61,103.06,
2013-02-28,103.06,,103.06,103.06,0.0
2013-03-01,103.0,,103.0,103.0,0.0
2013-03-04,103.06,,102.0,102.0,0.0
2013-03-05,102.86,,102.86,102.86,0.0
2013-03-06,103.0,103.0,,102.97,0.0
2013-03-07,102.96,,102.96,102.96,0.0
2013-03-08,103.5,103.5,102.62,103.5,0.0
2013-03-11,103.1,,102.62,102.62,0.0
2013-03-12,102.98,103.25,102.61,102.61,0.0
2013-03-13,103.05,103.5,103.5,103.5,276.0
2013-03-14,103.0,103.5,103.0,103.5,21849.0
2013-03-15,104.0,104.0,104.0,104.0,1228855.0
2013-03-18,103.5,103.5,103.44,103.5,10175.0
2013-03-19,103.5,103.5,102.95,102.95,0.0
2013-03-20,103.5,103.5,,103.5,0.0
2013-03-21,103.75,103.75,103.0,103.5,21195.0
2013-03-22,103.75,103.75,103.5,103.5,7548.0
2013-03-25,103.5,103.75,103.11,103.7,0.0
2013-03-26,103.75,103.75,103.15,103.36,16000.0
2013-03-27,103.63,103.63,,103.63,0.0
2013-03-28,103.75,104.0,103.74,104.0,26849.0
2013-04-02,103.75,104.0,103.75,103.88,0.0
2013-04-03,104.0,104.0,103.71,103.87,25000.0
