Date,Open,High,Low,Close,Volume
2012-01-03,73.75,73.75,0.0,73.75,25000.0
2012-01-04,73.5,73.5,72.42,72.42,15402.0
2012-01-05,73.75,74.88,73.5,74.0,69944.0
2012-01-06,74.53,74.53,0.0,74.53,2656.0
2012-01-09,74.65,74.65,0.0,74.65,1125.0
2012-01-10,,,,75.0,0.0
2012-01-16,,,,74.1,0.0
2012-01-18,77.75,77.75,75.81,75.81,5780.0
2012-01-19,,,,76.0,0.0
2012-01-23,75.37,77.78,75.37,77.78,8878.0
2012-01-24,78.25,78.25,0.0,78.25,15000.0
2012-01-25,75.5,77.91,75.5,77.25,30008.0
2012-01-26,78.25,79.0,78.25,78.25,18660.0
2012-01-27,79.0,81.0,79.0,80.84,20400.0
2012-01-30,82.0,82.0,81.25,82.0,10008.0
2012-01-31,84.0,84.0,83.75,83.75,15541.0
2012-02-01,84.0,90.0,84.0,89.0,557332.0
2012-02-02,89.53,91.25,89.53,91.22,607231.0
2012-02-03,91.0,91.5,89.09,91.19,60842.0
2012-02-06,91.75,91.75,90.65,91.59,602990.0
2012-02-07,90.5,91.75,90.5,91.75,17400.0
2012-02-08,,,,88.3,0.0
2012-02-13,91.75,91.75,88.0,91.28,8250.0
2012-02-14,90.0,90.0,88.48,90.0,4818.0
2012-02-15,90.0,90.25,89.64,90.0,11100.0
2012-02-16,,,,90.0,0.0
2012-02-17,,,,91.03,0.0
2012-02-20,89.75,91.03,89.75,89.75,20000.0
2012-02-21,,,,88.38,0.0
2012-02-22,,,,88.45,0.0
2012-02-23,,,,88.45,0.0
2012-02-24,,,,88.45,0.0
2012-02-27,91.75,91.75,90.21,91.43,5775.0
2012-02-28,,,,88.46,0.0
2012-02-29,,,,90.0,0.0
2012-03-01,,,,90.0,0.0
2012-03-02,,,,91.28,0.0
2012-03-05,,,,91.28,0.0
2012-03-06,,,,88.46,0.0
2012-03-07,,,,88.46,0.0
2012-03-08,91.75,95.0,91.75,95.0,39960.0
2012-03-09,98.0,99.0,97.4,99.0,6000.0
2012-03-12,100.0,102.0,100.0,100.0,12000.0
2012-03-13,102.5,111.0,102.5,109.69,46605.0
2012-03-14,108.0,109.57,106.72,108.0,28874.0
2012-03-15,107.0,108.0,105.0,106.5,21702.0
2012-03-16,107.5,107.5,107.0,107.0,11000.0
2012-03-19,,,,107.24,0.0
2012-03-20,109.0,109.0,109.0,109.0,5000.0
2012-03-21,111.0,113.25,109.5,113.25,19000.0
2012-03-22,115.0,115.8,115.0,115.8,3000.0
2012-03-23,,,,113.21,0.0
2012-03-26,116.0,117.0,115.0,117.0,20000.0
2012-03-27,116.0,116.75,115.0,116.75,5000.0
2012-03-28,118.0,122.0,118.0,121.78,32000.0
2012-03-29,122.0,122.0,120.0,121.7,25000.0
2012-03-30,121.0,123.0,120.25,123.0,12000.0
2012-04-02,,,,122.5,0.0
2012-04-03,125.0,125.0,124.0,125.0,1000.0
2012-04-04,,,,124.4,0.0
2012-04-05,,,,120.43,0.0
2012-04-10,121.75,121.96,119.09,119.09,32500.0
2012-04-11,120.0,123.65,120.0,120.0,10000.0
2012-04-12,120.0,123.0,119.51,119.51,5000.0
2012-04-13,,,,121.25,0.0
2012-04-16,118.25,118.25,112.64,112.64,17000.0
2012-04-17,,,,113.0,0.0
2012-04-18,,,,113.65,0.0
2012-04-19,,,,113.61,0.0
2012-04-20,113.5,113.81,113.0,113.81,3000.0
2012-04-23,,,,114.46,0.0
2012-04-24,,,,114.46,0.0
2012-04-25,,,,114.46,0.0
2012-04-26,118.0,118.0,117.3,117.3,3279.0
2012-04-27,112.0,116.38,112.0,112.0,400.0
2012-04-30,,,,115.9,0.0
2012-05-01,115.25,115.9,112.0,115.9,200.0
2012-05-02,,,,115.9,0.0
2012-05-03,,,,115.4,0.0
2012-05-04,113.0,115.25,108.5,108.5,33521.0
2012-05-08,,,,108.5,0.0
2012-05-09,108.0,108.0,104.0,104.0,16000.0
2012-05-10,,,,104.0,0.0
2012-05-11,,,,105.5,0.0
2012-05-14,107.0,108.49,105.5,105.5,2500.0
2012-05-15,106.5,106.5,100.0,100.0,24600.0
2012-05-16,97.5,101.0,95.0,101.0,45000.0
2012-05-17,99.0,101.0,98.8,101.0,5000.0
2012-05-18,99.0,99.25,99.0,99.0,15018.0
2012-05-21,97.0,100.0,96.0,100.0,10000.0
2012-05-22,,,,100.0,0.0
2012-05-23,,,,97.4,0.0
2012-05-24,,,,97.4,0.0
2012-05-25,100.0,101.0,97.5,100.0,3650.0
2012-05-28,99.5,100.33,97.83,99.5,4296.0
2012-05-29,,,,100.33,0.0
2012-05-30,97.0,97.5,97.0,97.0,3000.0
2012-05-31,,,,97.0,0.0
2012-06-01,95.0,95.0,95.0,95.0,300.0
2012-06-06,,,,99.0,0.0
2012-06-07,,,,99.24,0.0
2012-06-08,95.0,99.24,95.0,95.0,7000.0
2012-06-11,,,,94.0,0.0
2012-06-12,,,,97.13,0.0
2012-06-13,,,,98.0,0.0
2012-06-14,,,,97.0,0.0
2012-06-15,,,,92.5,0.0
2012-06-18,,,,92.5,0.0
2012-06-19,,,,92.5,0.0
2012-06-20,,,,97.5,0.0
2012-06-21,,,,95.37,0.0
2012-06-22,95.0,96.5,93.0,93.6,3300.0
2012-06-25,95.0,95.0,90.0,90.0,8307.0
2012-06-26,93.0,93.0,92.5,93.0,4617.0
2012-06-27,,,,91.45,0.0
2012-06-28,,,,91.25,0.0
2012-06-29,,,,94.0,0.0
2012-07-02,92.0,92.0,90.72,92.0,505.0
2012-07-03,92.0,92.0,90.87,91.86,146.0
2012-07-04,,,,91.38,0.0
2012-07-05,,,,91.38,0.0
2012-07-06,,,,91.85,0.0
2012-07-09,89.85,90.5,89.0,90.5,5000.0
2012-07-10,,,,90.2,0.0
2012-07-11,,,,91.0,0.0
2012-07-12,,,,89.91,0.0
2012-07-13,91.0,91.0,91.0,91.0,3500.0
2012-07-16,92.0,92.0,90.86,90.86,5500.0
2012-07-17,90.0,92.0,89.0,92.0,4531.0
2012-07-18,,,,92.0,0.0
2012-07-19,,,,96.0,0.0
2012-07-20,97.0,99.56,97.0,98.0,8000.0
2012-07-23,,,,95.33,0.0
2012-07-24,,,,95.7,0.0
2012-07-25,,,,95.7,0.0
2012-07-26,,,,95.0,0.0
2012-07-27,,,,96.34,0.0
2012-07-30,,,,96.3,0.0
2012-07-31,96.0,96.0,96.0,96.0,1.0
2012-08-01,,,,95.0,0.0
2012-08-02,97.0,97.0,95.5,95.5,7000.0
2012-08-03,,,,96.56,0.0
2012-08-06,,,,95.7,0.0
2012-08-07,,,,99.0,0.0
2012-08-08,95.0,95.0,95.0,95.0,95.0
2012-08-09,,,,95.0,0.0
2012-08-10,,,,95.0,0.0
2012-08-13,,,,95.7,0.0
2012-08-14,,,,95.7,0.0
2012-08-15,,,,95.7,0.0
2012-08-16,97.5,97.5,96.0,97.5,1.0
2012-08-17,,,,96.5,0.0
2012-08-20,,,,96.0,0.0
2012-08-21,,,,96.0,0.0
2012-08-22,,,,98.8,0.0
2012-08-23,,,,98.8,0.0
2012-08-24,,,,98.8,0.0
2012-08-28,,,,95.37,0.0
2012-08-29,,,,95.37,0.0
2012-08-30,,,,95.37,0.0
2012-08-31,100.0,100.0,100.0,100.0,621.0
2012-09-03,,,,95.8,0.0
2012-09-04,,,,95.37,0.0
2012-09-05,,,,95.7,0.0
2012-09-06,,,,95.7,0.0
2012-09-07,100.0,100.0,100.0,100.0,1388.0
2012-09-10,,,,100.0,0.0
2012-09-11,,,,99.0,0.0
2012-09-12,98.5,98.5,96.02,98.5,1782.0
2012-09-13,,,,98.75,0.0
2012-09-14,,,,97.0,0.0
2012-09-17,102.0,106.14,101.75,106.14,11000.0
2012-09-18,,,,101.5,0.0
2012-09-19,,,,101.52,0.0
2012-09-20,,,,104.0,0.0
2012-09-21,,,,104.0,0.0
2012-09-24,,,,100.56,0.0
2012-09-25,105.0,106.13,102.0,104.0,2500.0
2012-09-26,108.0,113.13,108.0,109.72,14000.0
2012-09-27,110.0,114.0,108.0,108.0,6000.0
2012-09-28,108.0,108.0,107.0,107.0,10200.0
2012-10-01,,,,107.0,0.0
2012-10-02,,,,110.5,0.0
2012-10-03,,,,110.5,0.0
2012-10-04,,,,110.5,0.0
2012-10-05,,,,111.44,0.0
2012-10-08,,,,111.44,0.0
2012-10-09,112.0,112.0,110.76,111.5,654.0
2012-10-10,,,,108.81,0.0
2012-10-11,,,,111.2,0.0
2012-10-12,112.0,113.0,111.01,111.05,6000.0
2012-10-15,,,,114.3,0.0
2012-10-16,,,,111.05,0.0
2012-10-17,,,,111.05,0.0
2012-10-18,115.0,116.0,114.0,114.0,8000.0
2012-10-19,,,,113.0,0.0
2012-10-22,,,,116.63,0.0
2012-10-23,112.0,116.38,112.0,112.0,120000.0
2012-10-24,113.0,113.0,111.5,111.5,60255.0
2012-10-25,113.5,113.5,111.5,111.5,4000.0
2012-10-26,,,,113.25,0.0
2012-10-29,115.0,115.0,111.5,111.5,2391.0
2012-10-30,,,,111.0,0.0
2012-10-31,,,,112.15,0.0
2012-11-01,117.0,117.0,112.15,117.0,800.0
2012-11-02,,,,113.8,0.0
2012-11-05,113.0,113.0,110.85,110.85,545.0
2012-11-06,110.0,111.0,105.9,111.0,30974.0
2012-11-07,110.0,110.0,108.0,108.0,5769.0
2012-11-08,107.0,107.0,103.0,103.75,15691.0
2012-11-09,100.0,103.75,100.0,100.0,9000.0
2012-11-12,100.0,100.4,100.0,100.25,6000.0
2012-11-13,102.0,102.0,101.4,101.4,2500.0
2012-11-14,100.0,102.0,100.0,102.0,16900.0
2012-11-15,,,,102.1,0.0
2012-11-16,,,,104.63,0.0
2012-11-19,102.0,102.0,102.0,102.0,26.0
2012-11-20,102.0,102.0,102.0,102.0,3000.0
2012-11-21,,,,102.0,0.0
2012-11-22,103.0,,103.0,103.0,
2012-11-23,100.0,101.06,100.0,101.06,367.0
2012-11-26,103.0,103.0,103.0,103.0,367.0
2012-11-27,105.0,105.0,101.06,103.95,2279.0
2012-11-28,107.0,108.0,107.0,107.0,33000.0
2012-11-29,110.25,110.25,,106.5,
2012-11-30,112.0,112.0,107.0,107.0,
2012-12-03,,,,107.0,0.0
2012-12-04,108.0,,108.0,108.0,
2012-12-05,108.0,108.0,107.1,108.0,365.0
2012-12-06,109.2,,109.2,109.2,
2012-12-07,111.0,111.0,109.0,109.0,
2012-12-10,111.5,112.0,111.5,111.5,12968.0
2012-12-11,110.0,110.5,110.0,110.5,6000.0
2012-12-12,112.0,112.0,110.6,112.0,3000.0
2012-12-13,110.75,,110.75,110.75,
2012-12-14,110.6,,110.6,110.6,
2012-12-17,112.95,112.95,,112.95,
2012-12-18,114.0,114.0,112.63,112.63,3000.0
2012-12-19,115.0,115.2,113.4,114.2,286951.0
2012-12-20,116.0,116.0,114.4,115.3,2352.0
2012-12-21,115.25,115.5,,115.5,
2012-12-24,114.1,,114.1,114.1,
2012-12-27,117.38,117.38,114.1,117.28,
2012-12-28,,,,117.28,0.0
2012-12-31,118.0,118.0,116.72,116.72,3000.0
2013-01-02,119.0,120.0,117.05,120.0,3000.0
2013-01-03,120.34,120.34,,120.0,
2013-01-04,121.0,134.0,120.53,134.0,70049.0
2013-01-07,133.0,134.53,132.0,132.0,11092.0
2013-01-08,131.0,131.0,128.0,128.0,12599.0
2013-01-09,128.0,128.92,127.52,128.92,3000.0
2013-01-10,130.0,130.0,127.43,130.0,15000.0
2013-01-11,127.61,,127.61,127.61,
2013-01-14,130.0,130.0,129.0,129.0,225.0
2013-01-15,132.0,147.13,132.0,135.0,120000.0
2013-01-16,140.0,140.0,136.75,136.75,1000.0
2013-01-17,136.5,136.78,135.38,136.78,3000.0
2013-01-18,135.44,136.75,135.44,136.13,
2013-01-21,137.0,140.0,136.25,137.0,1500.0
2013-01-22,140.0,140.0,136.25,136.25,500.0
2013-01-23,,,,136.25,0.0
2013-01-24,137.5,140.0,136.5,140.0,1202.0
2013-01-25,140.0,145.0,140.0,144.0,26875.0
2013-01-28,145.0,152.68,142.0,151.33,55500.0
2013-01-29,148.0,151.5,145.0,145.0,20000.0
2013-01-30,145.0,147.0,144.0,147.0,8000.0
2013-01-31,150.0,150.0,144.1,144.1,
2013-02-01,149.0,149.0,148.0,148.0,6000.0
2013-02-04,149.02,149.02,145.45,145.45,
2013-02-05,145.0,148.0,145.0,148.0,5175.0
2013-02-06,150.0,150.0,147.0,149.4,
2013-02-07,149.02,149.02,146.05,146.05,
2013-02-08,146.1,,145.0,146.26,
2013-02-11,147.0,147.0,147.0,147.0,
2013-02-12,147.0,149.0,147.0,149.0,
2013-02-13,148.0,151.0,147.6,151.0,10000.0
2013-02-14,153.0,157.9,151.3,157.5,18000.0
2013-02-15,158.0,158.0,155.0,158.0,3000.0
2013-02-18,158.45,161.0,158.45,161.0,12000.0
2013-02-19,163.0,168.0,159.0,168.0,20500.0
2013-02-20,168.0,168.0,164.5,168.0,3000.0
2013-02-21,168.0,172.0,165.45,172.0,12000.0
2013-02-22,172.0,175.0,172.0,174.0,9000.0
2013-02-25,177.0,186.0,176.3,182.0,31638.0
2013-02-26,181.0,181.0,175.75,177.9,16000.0
2013-02-27,180.0,182.58,177.0,179.0,3000.0
2013-02-28,180.0,181.5,175.0,178.24,1500.0
2013-03-01,175.0,177.0,175.0,175.33,3000.0
2013-03-04,176.0,,176.0,176.0,0.0
2013-03-05,175.35,175.35,172.8,174.4,5000.0
2013-03-06,175.0,175.0,173.22,173.22,850.0
2013-03-07,,,,173.22,0.0
2013-03-08,174.29,174.29,173.48,174.29,0.0
2013-03-11,173.5,174.2,173.5,174.2,0.0
2013-03-12,173.5,174.11,173.0,173.0,0.0
2013-03-13,173.0,173.5,173.0,173.0,0.0
2013-03-14,172.01,,171.5,171.51,0.0
2013-03-15,171.5,,170.75,171.25,0.0
2013-03-18,170.01,171.0,168.0,168.0,0.0
2013-03-19,168.0,,168.0,168.0,0.0
2013-03-20,168.5,,165.5,165.5,0.0
2013-03-21,165.22,,163.0,163.0,0.0
2013-03-22,,,,163.0,0.0
2013-03-25,164.8,165.5,,165.5,0.0
2013-03-26,164.8,165.75,163.0,163.0,2919.0
2013-03-27,165.27,168.8,,168.0,0.0
2013-03-28,165.0,168.0,165.0,165.4,0.0
2013-04-02,165.4,167.8,165.4,167.79,0.0
2013-04-03,165.4,,165.4,166.0,0.0
2013-04-04,,,,166.0,0.0
2013-04-05,165.0,169.0,165.0,169.0,0.0
2013-04-08,167.75,167.75,,167.75,0.0
2013-04-09,167.75,167.75,,167.75,0.0
2013-04-10,165.0,,165.0,165.0,0.0
2013-04-11,166.5,166.5,166.5,166.5,0.0
2013-04-12,166.5,166.5,165.5,165.5,0.0
2013-04-15,165.45,166.5,165.45,166.5,0.0
2013-04-16,166.0,166.5,166.0,166.5,0.0
2013-04-17,166.4,167.96,166.4,167.96,0.0
2013-04-18,165.5,,165.5,165.5,0.0
2013-04-19,,,,165.5,0.0
2013-04-22,,,,165.5,0.0
2013-04-23,167.4,167.4,,167.4,0.0
2013-04-24,,,,167.4,0.0
2013-04-25,165.5,,165.5,165.5,0.0
2013-04-26,167.9,169.0,167.51,167.51,10000.0
2013-04-29,167.8,167.8,,167.8,0.0
2013-04-30,167.8,168.56,167.0,167.25,0.0
2013-05-01,168.75,168.75,,168.56,0.0
2013-05-02,168.55,169.5,166.0,169.5,0.0
2013-05-03,169.0,173.0,,173.0,0.0
2013-05-07,172.5,185.0,,183.75,0.0
2013-05-08,185.0,190.25,,190.0,0.0
2013-05-09,190.2,191.5,187.0,187.62,0.0
2013-05-10,192.0,192.0,,192.0,0.0
2013-05-13,187.65,,187.65,187.7,0.0
2013-05-14,187.63,190.0,187.63,188.0,0.0
2013-05-15,188.0,191.0,187.72,191.0,0.0
2013-05-16,,,,191.0,0.0
2013-05-17,191.0,191.0,,191.0,0.0
2013-05-20,190.5,191.0,,191.0,0.0
2013-05-21,191.0,192.5,185.0,192.5,46000.0
2013-05-22,193.0,193.0,191.25,192.88,0.0
2013-05-23,191.2,,188.0,191.0,0.0
2013-05-24,190.6,190.6,188.2,188.2,0.0
2013-05-28,188.0,191.0,188.0,189.67,4932.0
2013-05-29,188.2,190.0,187.68,190.0,0.0
2013-05-30,187.5,,187.5,187.5,0.0
2013-05-31,187.0,,187.0,187.0,0.0
2013-06-03,187.0,,187.0,187.0,0.0
2013-06-04,,,,187.0,0.0
2013-06-05,187.0,,187.0,187.0,0.0
2013-06-06,186.0,,183.0,183.0,0.0
2013-06-07,182.0,,182.0,182.0,0.0
2013-06-10,182.0,,182.0,184.0,0.0
2013-06-11,183.0,,180.0,180.0,0.0
2013-06-12,182.0,182.0,180.5,180.5,0.0
2013-06-13,,,,180.5,0.0
2013-06-14,,,,180.5,0.0
2013-06-17,178.5,,178.5,180.0,0.0
2013-06-18,180.0,,180.0,180.0,0.0
2013-06-19,185.0,190.0,,188.0,0.0
2013-06-20,188.5,188.5,187.5,188.0,2604.0
2013-06-21,189.0,189.25,188.0,189.25,6398.0
2013-06-24,187.5,191.0,187.5,191.0,2000.0
2013-06-25,191.5,197.0,191.21,197.0,0.0
2013-06-26,194.0,194.0,190.0,193.0,4999.0
2013-06-27,190.77,,190.77,190.77,0.0
2013-06-28,192.0,193.5,190.0,190.0,0.0
2013-07-01,189.45,,189.45,190.0,0.0
2013-07-02,192.5,192.5,189.0,189.0,0.0
2013-07-03,189.76,,188.0,188.0,0.0
2013-07-04,191.95,192.12,,192.12,0.0
2013-07-05,192.34,194.0,190.0,194.0,0.0
2013-07-08,195.0,195.0,,195.0,0.0
2013-07-09,194.5,194.5,194.5,194.5,0.0
2013-07-10,194.9,194.9,192.83,192.83,0.0
2013-07-11,194.9,194.9,192.83,194.89,0.0
2013-07-12,194.9,195.4,194.9,195.4,0.0
2013-07-15,196.0,198.0,195.32,195.32,0.0
2013-07-16,196.0,196.0,196.0,196.0,0.0
2013-07-17,197.61,199.0,196.0,199.0,0.0
2013-07-18,200.0,205.0,198.0,204.0,0.0
