Date,Open,High,Low,Close,Volume
2012-01-03,50.25,51.25,49.38,51.25,375700
2012-01-04,50.25,50.5,50.0,50.5,113488
2012-01-05,50.25,50.25,48.75,50.0,161044
2012-01-06,49.5,50.92,49.5,50.5,66534
2012-01-09,50.5,51.5,50.5,50.75,10012
2012-01-10,51.0,51.25,50.5,51.25,59737
2012-01-11,50.75,51.5,50.75,51.5,1797
2012-01-12,51.0,51.5,50.25,51.5,277427
2012-01-13,51.0,51.32,49.75,50.25,466715
2012-01-16,51.0,51.25,50.5,51.0,172764
2012-01-17,50.75,51.0,48.75,49.5,452917
2012-01-18,50.75,50.75,49.0,49.75,263261
2012-01-19,50.0,50.38,49.75,50.25,211604
2012-01-20,50.25,50.5,49.0,50.0,157635
2012-01-23,49.0,51.0,49.0,50.5,442593
2012-01-24,51.5,51.5,50.25,51.5,118403
2012-01-25,51.0,51.47,50.0,50.25,167740
2012-01-26,50.25,51.33,49.75,50.75,131539
2012-01-27,50.75,51.5,50.0,51.0,496164
2012-01-30,49.0,51.0,49.0,50.75,317396
2012-01-31,49.0,51.5,49.0,50.0,636212
2012-02-01,51.0,53.0,49.25,52.0,1816299
2012-02-02,53.0,57.75,52.0,57.5,1417207
2012-02-03,56.0,58.0,56.0,57.0,613330
2012-02-06,57.0,61.5,57.0,58.0,4460520
2012-02-07,58.0,58.75,56.0,58.0,794023
2012-02-08,57.0,58.75,57.0,57.75,191399
2012-02-09,58.25,58.25,57.46,58.0,112480
2012-02-10,58.25,58.25,57.62,58.0,86864
2012-02-13,57.0,58.06,57.0,57.5,88485
2012-02-14,57.0,58.0,57.0,57.5,5604
2012-02-15,57.0,58.0,57.0,57.75,115515
2012-02-16,58.0,58.0,57.0,57.0,131468
2012-02-17,57.0,58.0,57.0,57.5,186680
2012-02-20,57.0,57.68,57.0,57.5,71421
2012-02-21,57.0,58.25,57.0,57.75,10995
2012-02-22,57.0,57.75,57.0,57.5,13663
2012-02-23,58.0,58.0,57.0,57.5,236597
2012-02-24,58.0,58.0,57.5,57.5,6040
2012-02-27,58.0,58.0,55.75,57.0,115668
2012-02-28,56.0,57.56,56.0,57.0,92237
2012-02-29,56.0,57.0,56.0,57.0,4957
2012-03-01,57.0,58.0,57.0,57.75,9435
2012-03-02,57.0,58.0,57.0,58.0,2332
2012-03-05,56.25,58.0,56.25,58.0,21546
2012-03-06,57.0,57.76,57.0,57.5,240486
2012-03-07,57.5,59.25,56.75,57.5,267780
2012-03-08,56.5,58.0,56.5,57.75,208335
2012-03-09,57.5,58.25,57.5,57.75,131927
2012-03-12,57.0,58.55,57.0,57.75,11265
2012-03-13,57.0,59.5,57.0,59.0,44203
2012-03-14,59.5,61.5,59.5,61.25,412660
2012-03-15,61.75,62.0,61.29,62.0,34525
2012-03-16,61.25,62.5,61.25,61.75,398073
2012-03-19,63.0,63.0,61.58,62.75,146807
2012-03-20,62.75,63.0,61.5,62.0,189713
2012-03-21,61.5,63.35,61.5,63.0,134764
2012-03-22,62.5,62.75,62.0,62.75,75115
2012-03-23,62.0,63.5,62.0,62.5,201919
2012-03-26,63.5,63.5,62.5,63.5,59651
2012-03-27,63.0,63.5,62.5,63.25,35698
2012-03-28,62.5,63.32,62.0,63.25,126570
2012-03-29,63.75,63.75,62.5,62.75,23759
2012-03-30,63.75,63.75,62.25,62.5,127366
2012-04-02,63.75,63.75,62.0,62.5,124295
2012-04-03,62.5,63.0,62.5,62.5,147035
2012-04-04,61.23,62.5,61.23,61.75,177763
2012-04-05,61.75,63.0,61.75,62.5,103101
2012-04-10,62.0,62.75,61.0,61.25,73423
2012-04-11,61.25,63.0,60.9,62.0,202604
2012-04-12,62.75,63.3,61.5,63.25,30066
2012-04-13,62.5,63.5,62.38,63.0,62145
2012-04-16,63.75,64.0,62.0,62.0,80861
2012-04-17,62.75,62.75,62.0,62.0,67839
2012-04-18,62.0,63.5,62.0,63.5,101328
2012-04-19,64.0,64.0,62.54,64.0,25437
2012-04-20,63.0,64.46,63.0,63.75,192749
2012-04-23,63.25,63.25,62.0,62.25,110708
2012-04-24,63.0,63.5,62.0,62.0,60589
2012-04-25,62.5,62.75,61.5,62.5,247515
2012-04-26,64.0,64.25,62.5,62.5,36866
2012-04-27,62.5,63.5,62.5,63.25,41390
2012-04-30,64.0,64.25,62.5,63.0,136994
2012-05-01,63.0,63.5,62.5,63.25,13918
2012-05-02,64.25,64.25,61.5,62.75,346060
2012-05-03,62.5,62.88,62.5,62.75,119877
2012-05-04,62.5,62.75,62.5,62.5,136612
2012-05-08,62.5,62.75,62.0,62.5,308433
2012-05-09,62.5,63.38,62.06,62.5,135156
2012-05-10,62.75,63.25,62.25,62.75,203121
2012-05-11,62.5,62.5,60.5,61.75,343062
2012-05-14,60.0,61.0,59.5,59.5,27849
2012-05-15,60.0,61.39,59.75,60.25,11708
2012-05-16,59.75,61.0,59.75,59.75,81812
2012-05-17,59.75,60.75,59.71,59.75,21236
2012-05-18,62.0,62.0,59.0,59.75,83810
2012-05-21,61.75,61.75,58.75,60.0,58963
2012-05-22,60.5,60.5,59.5,59.5,23812
2012-05-23,60.5,60.5,58.0,60.0,19331
2012-05-24,59.5,60.25,58.75,60.0,80633
2012-05-25,59.5,60.25,58.25,60.25,65670
2012-05-28,60.25,60.25,59.0,59.25,3180
2012-05-29,59.5,60.03,59.0,60.0,6244
2012-05-30,,,,60.0,0
2012-05-31,60.5,60.5,57.5,57.5,74251
2012-06-01,60.25,60.25,58.0,58.0,97147
2012-06-06,59.25,59.25,58.0,58.5,116165
2012-06-07,59.5,59.5,58.18,59.5,24259
2012-06-08,60.5,60.5,59.0,59.25,13188
2012-06-11,57.75,59.5,57.75,59.0,430840
2012-06-12,58.0,60.0,58.0,60.0,182764
2012-06-13,59.75,60.0,59.0,59.0,35935
2012-06-14,60.0,60.0,57.75,58.0,18711
2012-06-15,58.75,58.75,58.5,58.5,131290
2012-06-18,58.5,59.0,58.25,59.0,246559
2012-06-19,58.75,59.25,58.25,59.25,346640
2012-06-20,59.25,60.0,58.25,60.0,53043
2012-06-21,57.75,59.5,57.75,59.5,34623
2012-06-22,57.0,59.0,57.0,59.0,17069
2012-06-25,59.5,59.5,56.5,56.5,120707
2012-06-26,58.0,61.0,56.5,60.25,142378
2012-06-27,60.25,61.0,60.25,60.5,10289
2012-06-28,61.0,62.0,60.25,62.0,51070
2012-06-29,61.5,63.0,61.5,63.0,86770
2012-07-02,62.0,63.5,61.5,63.25,137294
2012-07-03,63.75,65.75,63.44,65.0,145777
2012-07-04,65.5,68.0,64.5,68.0,50509
2012-07-05,65.25,68.0,65.0,66.5,56316
2012-07-06,67.0,67.0,65.75,65.75,31495
2012-07-09,66.5,66.67,64.5,64.5,107409
2012-07-10,65.75,65.75,64.0,64.0,48107
2012-07-11,64.5,65.0,63.5,64.5,25020
2012-07-12,64.35,66.75,63.5,66.75,32947
2012-07-13,64.5,66.25,64.5,66.0,63187
2012-07-16,66.75,66.75,65.5,66.0,41874
2012-07-17,66.0,67.0,66.0,67.0,27475
2012-07-18,66.75,66.75,64.0,66.0,138170
2012-07-19,66.0,66.5,64.75,66.0,155843
2012-07-20,66.0,66.0,65.0,65.0,18023
2012-07-23,65.0,65.0,64.62,64.65,70
2012-07-24,65.25,65.5,64.5,64.5,6383
2012-07-25,64.5,65.5,64.5,65.5,13185
2012-07-26,65.5,65.5,64.5,65.0,77033
2012-07-27,64.0,65.0,64.0,64.75,25723
2012-07-30,65.0,66.0,64.5,65.75,64440
2012-07-31,66.0,66.0,64.88,65.25,13123
2012-08-01,65.5,65.75,64.72,65.75,12999
2012-08-02,64.0,65.75,64.0,65.37,11363
2012-08-03,65.0,65.59,65.0,65.0,29926
2012-08-06,65.5,65.5,64.5,65.0,112811
2012-08-07,65.75,65.75,64.5,64.5,81689
2012-08-08,65.5,65.5,64.25,65.0,43103
2012-08-09,65.0,66.0,64.5,65.0,113852
2012-08-10,65.5,66.0,64.53,65.0,87834
2012-08-13,64.25,65.56,64.25,65.42,169881
2012-08-14,66.25,67.0,65.0,66.75,72040
2012-08-15,68.0,70.25,67.74,68.5,281933
