Date,Open,High,Low,Close,Volume
2016-10-17,145.0,158.0,145.0,150.0,1000486
2016-10-18,150.0,155.0,150.0,153.0,441518
2016-10-19,150.25,158.31,150.25,155.5,39171
2016-10-20,152.0,159.75,152.0,153.0,412664
2016-10-21,150.0,151.81,145.0,148.0,119077
2016-10-24,149.25,150.6,145.0,149.75,372651
2016-10-25,146.25,149.75,146.25,148.0,55059
2016-10-26,146.25,147.94,145.0,145.0,98905
2016-10-27,144.0,147.12,140.0,142.0,298733
2016-10-28,142.5,147.88,142.5,147.75,90208
2016-10-31,150.0,165.33,149.72,154.82,223476
2016-11-01,153.0,156.56,145.0,151.5,57941
2016-11-02,149.0,150.34,145.0,146.0,51635
2016-11-03,145.0,150.69,145.0,145.75,23858
2016-11-04,145.0,148.6,145.0,145.25,64722
2016-11-07,145.25,148.75,140.0,145.0,124647
2016-11-08,146.0,152.75,146.0,152.5,80718
2016-11-09,147.0,153.25,146.62,150.0,56388
2016-11-10,149.25,151.25,148.0,149.0,26879
2016-11-11,150.0,153.25,150.0,152.5,29294
2016-11-14,157.25,160.77,152.0,155.9,36776
2016-11-15,160.0,160.0,152.74,158.5,576
2016-11-16,160.0,161.0,156.0,158.25,190076
2016-11-17,158.25,158.25,153.25,155.0,47342
2016-11-18,152.0,158.32,151.95,154.5,25365
2016-11-21,156.25,158.26,154.5,154.5,1036
2016-11-22,155.25,156.5,152.81,155.0,7976
2016-11-23,156.75,158.25,156.0,156.0,1259
2016-11-24,155.5,161.5,155.5,157.0,4366
2016-11-25,155.25,161.5,155.25,160.0,128
2016-11-28,155.0,161.0,155.0,157.25,52428
2016-11-29,164.0,164.0,156.0,157.0,93142
2016-11-30,160.0,160.0,153.5,156.25,40360
2016-12-01,165.0,165.0,156.0,158.0,93102
2016-12-02,160.0,163.0,158.75,159.5,233845
2016-12-05,159.0,160.0,156.0,156.0,124872
2016-12-06,163.0,170.5,158.23,160.0,157659
2016-12-07,164.0,175.0,160.0,171.0,105834
2016-12-08,173.75,178.95,170.0,174.0,120086
2016-12-09,170.0,175.0,170.0,173.25,69169
2016-12-12,174.75,174.75,171.5,173.75,72462
2016-12-13,173.75,174.75,172.5,173.0,107596
2016-12-14,175.0,177.5,174.07,176.0,172664
2016-12-15,176.0,181.5,176.0,178.77,91931
2016-12-16,178.0,185.5,178.0,185.5,2612527
2016-12-19,187.0,187.0,180.64,184.5,46068
2016-12-20,187.0,187.5,184.63,185.0,29811
2016-12-21,187.0,188.39,183.13,185.0,52297
2016-12-22,188.0,192.5,184.9,186.0,39611
2016-12-23,189.0,189.45,183.75,183.75,580
2016-12-28,190.0,200.0,188.75,196.5,28502
