Date,Open,High,Low,Close,Volume
2012-01-03,248.5,252.99,0.0,248.55,24037.0
2012-01-04,250.0,250.0,247.0,247.0,7128.0
2012-01-05,246.0,250.9,246.0,250.5,18188.0
2012-01-06,246.51,250.45,246.5,250.45,8706.0
2012-01-09,247.0,249.5,245.5,245.5,13937.0
2012-01-10,247.0,249.0,247.0,249.0,12656.0
2012-01-11,254.26,254.49,249.0,249.15,18070.0
2012-01-12,248.5,254.5,248.5,250.44,12902.0
2012-01-13,252.0,256.5,251.0,251.0,16440.0
2012-01-16,250.1,254.5,249.27,250.25,30370.0
2012-01-17,255.0,257.49,253.0,253.4,35599.0
2012-01-18,253.0,255.0,251.0,252.5,31074.0
2012-01-19,253.5,256.0,253.5,255.5,19847.0
2012-01-20,254.75,257.75,254.52,255.5,58612.0
2012-01-23,256.0,257.5,255.51,257.25,19588.0
2012-01-24,257.0,258.05,256.26,256.3,26126.0
2012-01-25,256.0,259.0,255.0,258.75,16563.0
2012-01-26,260.0,262.1,260.0,262.1,11397.0
2012-01-27,263.0,263.0,261.0,263.0,59376.0
2012-01-30,266.0,266.0,261.65,261.75,36181.0
2012-01-31,262.85,265.8,262.14,262.14,30230.0
2012-02-01,262.5,265.0,262.5,264.0,31649.0
2012-02-02,266.0,266.0,265.0,266.0,22286.0
2012-02-03,266.25,269.0,266.01,266.5,40756.0
2012-02-06,268.0,268.0,266.01,267.25,9831.0
2012-02-07,266.0,269.0,266.0,269.0,55828.0
2012-02-08,267.0,269.25,266.01,267.0,74429.0
2012-02-09,268.0,270.0,266.0,270.0,30013.0
2012-02-10,266.0,267.25,264.0,264.0,68168.0
2012-02-13,267.0,268.0,265.06,265.06,15000.0
2012-02-14,267.0,268.5,265.0,267.0,40530.0
2012-02-15,270.5,274.99,270.5,273.0,15254.0
2012-02-16,270.0,274.17,266.51,266.51,5000.0
2012-02-17,272.5,274.25,272.5,273.2,5550.0
2012-02-20,,,,274.25,0.0
2012-02-21,,,,272.0,0.0
2012-02-22,272.0,276.75,272.0,276.0,11162.0
2012-02-23,275.0,275.0,273.76,275.0,8800.0
2012-02-24,275.0,276.75,274.0,276.0,10253.0
2012-02-27,273.0,276.75,273.0,274.0,13392.0
2012-02-28,,,,274.0,0.0
2012-02-29,277.0,278.0,276.25,276.5,18874.0
2012-03-01,275.0,278.75,274.34,278.75,1593.0
2012-03-02,277.25,277.25,275.3,277.2,5569.0
2012-03-05,275.0,277.65,275.0,275.0,184.0
2012-03-06,274.0,275.75,271.1,271.1,23466.0
2012-03-07,271.25,272.18,271.0,272.18,16560.0
2012-03-08,274.25,278.0,274.0,278.0,17184.0
2012-03-09,278.5,279.0,275.0,279.0,1079.0
2012-03-12,278.0,279.0,274.35,279.0,6665.0
2012-03-13,278.0,282.0,274.26,282.0,10988.0
2012-03-14,282.5,282.5,279.0,280.0,5175.0
2012-03-15,279.0,281.0,278.06,281.0,10045.0
2012-03-16,277.25,279.0,275.0,275.0,8979.0
2012-03-19,279.75,279.75,275.0,275.9,9752.0
2012-03-20,275.0,275.0,271.31,274.75,5012.0
2012-03-21,271.5,274.99,271.5,274.75,366.0
2012-03-22,275.0,275.5,271.52,275.5,442.0
2012-03-23,273.75,275.5,271.58,275.5,184.0
2012-03-26,273.75,273.75,273.45,273.75,500.0
2012-03-27,275.5,275.99,274.25,274.25,1335.0
2012-03-28,274.5,274.5,273.0,273.5,5698.0
2012-03-29,272.0,273.25,269.28,271.0,12520.0
2012-03-30,271.0,272.99,270.0,270.0,585.0
2012-04-02,272.99,272.99,270.0,270.0,35.0
2012-04-03,275.24,275.24,272.25,274.5,11.0
2012-04-04,,,,272.69,0.0
2012-04-05,273.0,273.0,270.04,272.0,8086.0
2012-04-10,266.26,267.25,266.25,267.25,100.0
2012-04-11,,,,270.19,0.0
2012-04-12,267.5,269.0,265.87,267.2,22615.0
2012-04-13,270.0,270.99,268.25,268.25,4048.0
2012-04-16,,,,268.25,0.0
2012-04-17,268.25,269.06,266.13,269.0,1805.0
2012-04-18,,,,269.56,0.0
2012-04-19,267.5,267.51,267.5,267.51,101.0
2012-04-20,268.0,268.99,268.0,268.5,2242.0
