Date,Open,High,Low,Close,Volume
2015-11-06,200.0,210.0,180.0,207.31,15207413
2015-11-09,209.0,211.1,206.0,209.25,302091
2015-11-10,209.5,209.5,203.6,208.38,1177364
2015-11-11,209.5,210.0,204.0,207.0,422831
2015-11-12,206.0,211.81,206.0,209.75,619973
2015-11-13,209.75,213.0,208.25,211.86,536912
2015-11-16,216.0,217.83,211.0,214.48,294164
2015-11-17,216.0,228.0,215.25,219.25,1059039
2015-11-18,220.5,220.5,217.25,219.02,104630
2015-11-19,222.5,223.07,218.75,221.25,250897
2015-11-20,224.25,231.57,216.0,222.28,134221
2015-11-23,218.5,226.0,218.0,223.04,101701
2015-11-24,225.75,225.75,219.6,225.0,65585
2015-11-25,225.0,240.75,225.0,231.72,590703
2015-11-26,238.0,238.0,230.39,232.73,97864
2015-11-27,231.0,231.0,225.0,226.5,81798
2015-11-30,231.75,231.75,225.25,225.75,73802
2015-12-01,230.0,230.0,223.25,225.75,97769
2015-12-02,230.0,233.0,228.0,233.0,151647
2015-12-03,233.0,237.85,229.77,232.0,59805
2015-12-04,239.75,239.75,226.0,230.5,35622
2015-12-07,236.0,238.75,232.66,236.0,90368
2015-12-08,239.5,239.5,231.0,234.0,53068
2015-12-09,234.0,238.0,229.0,234.85,88760
2015-12-10,238.0,239.75,230.25,233.5,98455
2015-12-11,240.0,240.0,231.75,236.0,120139
2015-12-14,232.25,243.0,232.25,238.75,44888
2015-12-15,237.75,241.0,233.0,238.75,78165
2015-12-16,236.0,239.92,235.25,237.75,40634
2015-12-18,245.0,245.0,236.6,238.25,106574
2015-12-21,245.0,251.0,236.5,245.0,128276
2015-12-22,249.0,250.0,245.0,248.0,125260
2015-12-23,250.5,253.25,245.75,250.0,60134
2015-12-24,251.0,255.0,251.0,254.0,70301
2015-12-29,247.0,253.79,245.0,250.0,65277
2015-12-30,251.75,252.35,248.25,250.0,55638
2015-12-31,246.5,254.0,246.5,254.0,8364
2016-01-04,254.0,261.0,250.0,261.0,375826
2016-01-05,262.0,268.75,260.81,264.25,408941
2016-01-06,271.5,271.5,258.0,262.5,582853
2016-01-07,263.0,267.25,257.5,262.5,277272
2016-01-08,259.0,268.5,259.0,266.09,277563
2016-01-11,262.0,267.64,258.25,265.0,67871
2016-01-12,265.25,277.25,263.25,270.11,400814
2016-01-13,275.0,291.5,271.75,281.5,97925
2016-01-14,281.5,284.55,270.0,278.75,191719
2016-01-15,273.25,280.41,267.0,271.75,73060
2016-01-18,268.75,278.75,267.75,275.45,123189
2016-01-19,270.25,288.5,270.25,287.0,297145
2016-01-20,286.5,295.0,275.5,280.83,615864
2016-01-21,271.25,280.0,271.25,276.25,219628
2016-01-22,274.0,281.52,268.25,272.44,272715
2016-01-25,274.75,275.0,268.75,270.5,94090
2016-01-26,268.75,278.51,266.9,272.76,253820
2016-01-27,275.0,284.98,274.28,275.89,574357
2016-01-28,272.0,280.0,270.75,274.25,87492
2016-01-29,270.0,280.0,270.0,276.98,352452
2016-02-01,270.0,278.0,270.0,276.0,246751
2016-02-02,275.0,275.0,272.5,274.38,34649
2016-02-03,266.0,275.33,263.52,273.5,259177
2016-02-04,268.5,275.0,268.5,274.75,146299
2016-02-05,270.0,275.75,270.0,273.0,200081
2016-02-08,269.0,275.0,238.72,261.66,359781
2016-02-09,252.5,257.07,233.25,240.5,312257
2016-02-10,240.0,253.46,240.0,246.15,189022
2016-02-11,240.0,245.1,232.0,240.0,273588
2016-02-12,235.0,245.0,235.0,244.0,206523
2016-02-15,248.0,258.25,240.5,250.5,233889
2016-02-16,259.5,263.29,250.75,255.0,361500
2016-02-17,254.75,260.0,252.21,256.76,138676
2016-02-18,258.5,270.0,256.53,265.95,150470
2016-02-19,260.0,270.0,260.0,266.0,153586
2016-02-22,266.0,274.75,264.5,269.5,159399
2016-02-23,263.0,270.0,263.0,268.75,120274
2016-02-24,262.25,275.0,262.25,273.0,376934
2016-02-25,267.0,275.0,255.0,272.75,180308
2016-02-26,267.0,281.25,267.0,276.0,334486
2016-02-29,268.0,280.75,268.0,273.5,304241
2016-03-01,271.25,280.5,271.25,276.0,151508
