Date,Open,High,Low,Close,Volume
2012-01-03,220.5,225.0,217.18,225.0,108133
2012-01-04,221.25,221.25,217.5,218.5,81995
2012-01-05,217.75,218.5,212.0,216.0,57603
2012-01-06,220.75,223.54,217.0,217.5,26610
2012-01-09,219.5,223.5,214.59,216.0,61139
2012-01-10,221.5,225.5,221.5,223.0,89384
2012-01-11,219.7,225.38,215.0,216.0,50523
2012-01-12,222.25,228.0,219.1,228.0,52664
2012-01-13,222.5,227.75,221.5,227.75,30995
2012-01-16,226.0,232.0,224.4,232.0,21536
2012-01-17,232.5,234.05,230.75,232.0,30295
2012-01-18,232.75,232.75,223.5,230.0,37014
2012-01-19,232.0,232.0,220.0,229.0,53507
2012-01-20,230.75,230.75,225.37,229.0,34968
2012-01-23,234.75,234.75,231.15,232.0,187436
2012-01-24,230.75,234.75,230.75,232.25,313846
2012-01-25,234.75,236.0,229.25,236.0,36681
2012-01-26,236.0,242.0,235.0,241.5,99188
2012-01-27,244.25,247.75,236.65,241.5,151827
2012-01-30,241.25,246.0,239.25,246.0,45591
2012-01-31,251.5,251.5,243.75,247.25,49579
2012-02-01,249.5,253.0,243.25,250.5,33867
2012-02-02,249.75,252.29,245.0,247.75,239639
2012-02-03,245.5,247.5,243.5,246.75,14244
2012-02-06,246.0,249.5,244.5,245.0,45577
2012-02-07,251.75,253.5,245.25,249.71,224699
2012-02-08,250.0,250.0,242.0,249.62,52017
2012-02-09,244.0,246.0,243.37,244.0,20573
2012-02-10,245.0,245.0,242.0,243.75,77430
2012-02-13,245.0,245.0,242.5,244.25,5037
2012-02-14,249.75,249.75,240.86,243.5,33436
2012-02-15,246.0,246.0,242.0,243.5,24815
2012-02-16,242.0,245.31,238.55,242.0,20843
2012-02-17,245.0,249.25,242.0,248.5,13654
2012-02-20,245.25,246.5,242.0,242.0,17921
2012-02-21,241.5,246.07,240.01,244.0,36259
2012-02-22,243.25,244.75,241.5,242.0,26094
2012-02-23,244.0,244.0,238.6,240.0,37340
2012-02-24,242.0,242.0,240.5,240.5,1121
2012-02-27,238.0,242.0,238.0,241.0,10691
2012-02-28,241.75,241.75,239.0,239.5,8598
2012-02-29,241.75,241.75,238.25,238.25,9483
2012-03-01,245.0,245.0,241.0,241.75,10472
2012-03-02,242.5,246.75,239.5,245.25,49812
2012-03-05,240.25,246.25,240.0,241.75,26788
2012-03-06,243.0,247.27,241.0,242.0,18072
2012-03-07,243.5,247.14,243.5,247.0,8985
2012-03-08,246.25,250.0,245.92,248.5,40259
2012-03-09,247.75,249.5,246.5,248.0,9487
2012-03-12,246.25,254.5,246.25,254.0,50520
2012-03-13,254.25,258.75,254.25,258.0,12660
2012-03-14,254.25,257.97,251.25,252.25,26784
2012-03-15,251.25,254.0,251.0,251.25,30405
2012-03-16,256.0,256.89,252.25,254.0,86101
2012-03-19,258.5,258.5,251.5,251.75,53142
2012-03-20,254.75,263.0,247.5,254.75,119393
2012-03-21,254.0,255.0,248.0,248.0,29488
2012-03-22,246.75,255.25,246.75,250.25,54257
2012-03-23,252.5,253.0,247.0,248.25,82164
2012-03-26,250.0,256.63,249.05,252.0,95278
2012-03-27,251.25,262.0,250.25,252.5,177218
2012-03-28,253.0,254.75,250.75,252.14,73533
2012-03-29,250.0,257.25,250.0,256.25,39846
2012-03-30,260.75,260.75,252.35,255.5,38541
2012-04-02,255.25,267.0,251.19,265.0,267222
2012-04-03,264.0,264.0,257.5,259.96,69425
2012-04-04,262.5,262.5,254.0,260.0,88283
2012-04-05,255.75,256.52,253.0,254.46,109005
2012-04-10,254.0,254.51,246.25,250.35,109882
2012-04-11,250.0,252.75,246.25,248.75,53672
2012-04-12,249.75,255.75,249.75,250.25,33369
2012-04-13,249.5,254.74,249.25,252.25,23364
2012-04-16,253.0,258.0,249.25,253.0,45575
2012-04-17,249.5,258.14,249.5,254.25,48866
2012-04-18,255.25,257.25,250.25,255.0,49313
2012-04-19,250.0,258.75,250.0,253.5,86309
2012-04-20,252.5,257.0,250.0,250.0,62048
2012-04-23,250.5,252.0,248.0,250.0,62055
2012-04-24,248.0,257.25,248.0,253.0,31051
2012-04-25,253.0,255.25,250.5,252.5,40692
2012-04-26,257.5,257.5,251.88,253.75,45698
2012-04-27,252.5,259.75,252.5,257.5,77362
2012-04-30,257.0,264.25,253.84,261.5,44552
2012-05-01,259.0,265.0,256.68,265.0,74479
2012-05-02,266.5,267.25,258.5,267.25,26059
2012-05-03,261.75,267.86,261.57,265.0,44569
2012-05-04,260.0,263.25,258.25,261.75,42933
2012-05-08,261.5,264.0,260.0,262.75,23281
2012-05-09,259.75,267.25,257.91,262.0,56214
2012-05-10,263.0,263.0,262.0,263.0,7325
2012-05-11,265.5,270.75,264.0,270.75,34317
2012-05-14,265.0,270.75,263.5,266.37,28611
2012-05-15,267.75,274.25,266.25,271.0,51535
2012-05-16,267.5,271.0,266.5,270.25,27071
2012-05-17,265.25,270.0,265.0,265.0,91306
2012-05-18,265.0,265.0,261.25,263.0,65624
2012-05-21,264.0,264.0,260.62,263.25,41857
2012-05-22,264.0,264.28,260.0,262.5,90426
2012-05-23,261.0,265.5,260.0,264.75,20315
2012-05-24,265.75,269.0,264.0,265.5,52377
2012-05-25,265.0,265.0,259.5,264.5,19133
2012-05-28,261.75,266.25,259.0,261.75,22444
2012-05-29,266.5,266.5,260.0,262.5,173328
2012-05-30,261.0,261.25,257.75,257.75,39272
2012-05-31,259.5,261.25,257.75,257.75,108823
2012-06-01,258.0,258.0,255.0,256.0,28516
2012-06-06,256.75,259.38,254.25,257.0,10447
2012-06-07,258.75,260.0,255.0,258.75,58169
2012-06-08,259.75,259.75,256.42,258.0,16656
2012-06-11,258.5,260.0,256.0,260.0,15568
2012-06-12,258.0,264.5,257.22,261.0,28718
2012-06-13,255.0,262.75,255.0,260.5,16527
2012-06-14,259.0,262.0,257.21,260.25,50161
2012-06-15,258.0,262.0,255.0,260.0,320609
2012-06-18,259.25,262.0,258.4,260.0,8576
2012-06-19,258.5,261.75,258.5,260.0,28733
2012-06-20,262.0,262.0,255.75,258.0,33972
2012-06-21,259.75,261.75,256.6,259.0,28549
2012-06-22,255.0,258.0,255.0,257.5,93977
2012-06-25,260.0,261.0,256.25,260.0,212755
2012-06-26,260.0,262.0,257.81,261.0,65020
2012-06-27,260.25,261.56,258.25,258.5,15314
2012-06-28,258.5,264.0,258.25,264.0,20049
2012-06-29,264.0,264.25,260.0,264.0,49361
