Date,Open,High,Low,Close,Volume
2012-01-03,357.8,359.5,352.2,358.0,2494282
2012-01-04,357.0,361.9,355.4,357.05,2511919
2012-01-05,356.2,360.6,352.5,356.6,2888105
2012-01-06,358.2,358.2,354.6,357.0,1870654
2012-01-09,358.5,360.2,355.1,357.7,1418477
2012-01-10,357.3,361.1,355.7,357.7,2235408
2012-01-11,358.0,367.0,356.0,366.2,4028776
2012-01-12,362.6,371.1,362.6,367.2,1310990
2012-01-13,368.9,370.1,361.4,364.9,1647334
2012-01-16,367.2,371.9,366.1,371.1,1777439
2012-01-17,374.5,378.6,373.9,375.5,2263027
2012-01-18,375.4,375.9,372.5,374.4,1856787
2012-01-19,375.6,377.7,373.4,374.3,1353495
2012-01-20,375.7,376.9,368.6,370.6,1949808
2012-01-23,369.8,376.5,369.7,375.8,1963627
2012-01-24,375.4,376.3,364.5,370.0,1668512
2012-01-25,371.7,373.6,366.8,369.4,1025390
2012-01-26,369.7,375.8,368.9,373.4,1332988
2012-01-27,371.4,373.4,365.45,368.5,1672161
2012-01-30,365.4,366.9,358.0,359.4,2472301
2012-01-31,361.6,364.7,359.6,363.0,3859927
2012-02-01,363.8,367.8,363.5,365.0,3965117
2012-02-02,366.6,366.6,361.0,362.0,2919222
2012-02-03,362.6,373.2,360.4,372.7,1785752
2012-02-06,371.0,372.4,367.9,370.2,912096
2012-02-07,369.6,369.6,364.0,368.4,1771688
2012-02-08,370.1,370.1,364.0,364.8,2304895
2012-02-09,366.4,371.6,364.3,365.5,5032855
2012-02-10,364.9,367.1,363.5,366.1,1847421
2012-02-13,369.5,370.3,363.1,365.0,781001
2012-02-14,365.2,373.9,364.1,372.3,1848553
2012-02-15,373.2,379.14,372.8,377.9,1653057
2012-02-16,376.9,376.9,369.3,374.0,1824029
2012-02-17,374.9,387.4,374.9,386.3,2124012
2012-02-20,389.4,390.0,383.9,386.7,917972
2012-02-21,386.9,388.0,380.1,380.7,1486893
2012-02-22,381.8,391.2,380.22,388.2,2099748
2012-02-23,386.9,392.1,382.6,391.0,3127529
2012-02-24,392.8,394.6,387.8,388.1,4110754
2012-02-27,386.0,391.6,384.8,390.5,1679535
2012-02-28,391.6,393.6,384.6,389.2,1830541
2012-02-29,390.0,392.6,386.2,386.26,3112187
2012-03-01,387.2,396.2,385.5,395.5,1853763
2012-03-02,398.1,402.0,393.2,400.1,2796334
2012-03-05,400.0,403.0,395.0,400.2,3054927
2012-03-06,401.0,401.1,373.3,380.5,5449241
2012-03-07,382.6,387.3,379.1,387.3,2096525
2012-03-08,393.8,400.1,391.8,399.1,3542392
2012-03-09,399.1,402.0,396.1,399.9,1866632
2012-03-12,402.0,404.7,398.0,399.4,1470046
2012-03-13,403.3,408.7,400.7,406.98,1605178
2012-03-14,402.1,404.2,398.9,400.3,2074506
2012-03-15,401.5,404.7,400.2,402.8,1771389
2012-03-16,403.5,409.5,402.58,408.3,1953512
2012-03-19,409.0,409.0,403.6,404.6,1256285
2012-03-20,404.0,404.0,396.6,399.4,1562721
2012-03-21,400.1,401.49,393.2,396.1,2168447
2012-03-22,395.7,397.0,386.4,387.7,2318755
2012-03-23,389.4,392.1,387.5,390.9,1484771
2012-03-26,393.4,396.6,389.8,395.7,1242536
2012-03-27,397.9,401.3,395.0,399.2,2378721
2012-03-28,397.8,406.8,396.04,398.0,3096992
2012-03-29,398.1,401.5,396.0,398.6,3516144
2012-03-30,398.3,406.33,397.72,403.9,2593264
2012-04-02,404.3,412.0,404.2,412.0,2160927
2012-04-03,411.2,415.6,410.9,410.9,1551847
2012-04-04,411.5,411.7,396.9,398.5,2058240
2012-04-05,397.4,401.8,393.4,397.2,1490561
2012-04-10,395.7,397.9,391.8,392.7,1643617
2012-04-11,392.3,397.3,389.5,394.8,2072802
2012-04-12,394.9,408.9,394.9,406.9,2089257
2012-04-13,405.2,408.28,399.1,400.4,1528996
2012-04-16,398.5,405.8,398.5,404.0,1386287
2012-04-17,403.3,412.3,402.4,411.8,2498016
2012-04-18,409.8,411.2,402.5,404.5,2524592
2012-04-19,406.9,409.9,404.8,407.3,2582243
2012-04-20,407.9,407.9,403.2,407.1,1962749
2012-04-23,406.1,406.5,397.45,400.0,2107968
2012-04-24,403.6,406.7,401.3,403.8,1472435
2012-04-25,405.8,410.4,404.8,410.0,1472447
2012-04-26,410.0,410.6,403.0,407.8,1568109
2012-04-27,404.9,414.1,402.3,413.0,1924126
2012-04-30,413.5,414.2,407.8,408.5,2841596
2012-05-01,410.2,413.6,405.52,413.5,717036
2012-05-02,413.1,414.1,404.8,408.0,2487849
2012-05-03,408.0,413.9,408.0,413.0,1569167
2012-05-04,412.1,412.1,397.6,399.9,2282759
2012-05-08,400.0,401.3,389.94,390.5,1693894
2012-05-09,391.1,393.54,382.63,386.5,1309005
2012-05-10,389.6,392.6,383.8,390.5,1320765
2012-05-11,390.7,397.6,386.3,397.5,1474203
2012-05-14,394.2,395.7,385.4,388.7,1241796
2012-05-15,389.1,392.9,387.8,390.6,1861283
2012-05-16,388.0,393.2,385.1,388.1,1493436
2012-05-17,386.9,390.6,383.8,383.8,1006867
2012-05-18,380.6,381.9,375.1,375.4,1482473
2012-05-21,376.0,383.88,372.6,378.4,1476699
2012-05-22,382.1,388.2,381.0,387.8,1528360
2012-05-23,382.9,384.8,375.9,376.2,1237566
2012-05-24,381.2,381.3,374.0,379.3,881769
2012-05-25,380.2,382.6,375.26,378.0,969965
2012-05-28,381.8,386.6,381.2,383.1,517912
2012-05-29,384.1,390.9,384.1,388.3,857307
2012-05-30,385.4,385.4,377.2,378.5,1382927
2012-05-31,381.3,382.3,374.3,377.61,2173844
2012-06-01,379.7,381.3,365.3,366.6,2084133
2012-06-06,372.5,376.6,367.9,372.6,1855477
2012-06-07,374.6,383.5,370.7,377.8,1701253
2012-06-08,377.6,379.4,371.8,379.4,1625543
2012-06-11,387.8,389.0,375.6,376.7,1644199
2012-06-12,378.4,379.7,372.8,376.2,1579390
2012-06-13,378.0,380.0,366.5,369.4,1631222
2012-06-14,369.1,371.6,362.5,364.7,1617038
2012-06-15,368.0,368.4,363.9,364.3,2414523
2012-06-18,373.0,375.6,363.57,368.0,994847
2012-06-19,368.0,372.8,367.2,370.6,980439
2012-06-20,369.8,376.9,366.7,375.9,1372345
2012-06-21,374.0,381.5,371.1,379.0,1529363
2012-06-22,375.0,376.6,369.3,370.8,1123151
2012-06-25,368.2,372.2,367.3,368.1,1325867
2012-06-26,369.0,372.2,367.4,370.1,1645403
2012-06-27,370.7,373.8,366.7,373.7,1583849
2012-06-28,374.8,377.0,369.8,373.8,1220211
2012-06-29,381.1,388.5,380.8,385.3,2677981
2012-07-02,386.3,389.4,384.6,388.3,1144157
2012-07-03,398.9,402.4,392.2,395.6,2044942
2012-07-04,397.3,399.08,393.0,397.0,1127828
2012-07-05,397.1,401.1,395.2,395.8,1184966
2012-07-06,395.3,396.43,392.99,393.5,1024340
2012-07-09,394.1,403.9,393.3,403.9,1699901
2012-07-10,404.6,406.3,398.9,405.0,1283508
2012-07-11,404.4,404.5,395.8,396.5,1297163
2012-07-12,394.6,394.97,392.0,392.2,1002585
2012-07-13,394.2,398.5,391.6,397.8,889016
2012-07-16,398.6,400.66,395.2,398.9,1151918
2012-07-17,400.8,400.8,393.2,395.9,1294455
2012-07-18,397.0,399.0,392.01,399.0,1096671
2012-07-19,399.0,403.4,398.4,401.9,1671344
2012-07-20,402.7,409.4,400.5,400.5,2035080
2012-07-23,397.5,397.5,384.2,386.8,1389207
2012-07-24,388.4,388.8,381.3,381.6,1327860
2012-07-25,381.1,383.3,377.4,377.9,1207014
2012-07-26,376.8,382.5,374.5,381.7,1678036
2012-07-27,384.4,387.5,380.5,387.3,1747870
2012-07-30,389.3,392.6,388.2,390.9,837621
2012-07-31,391.9,393.3,383.5,383.5,1644943
2012-08-01,384.2,391.0,382.06,390.3,1158576
2012-08-02,391.1,391.5,384.0,386.5,1852242
2012-08-03,386.1,390.8,383.5,390.6,1766884
2012-08-06,389.7,397.9,389.7,396.0,1563767
2012-08-07,405.0,405.5,394.8,405.1,2501278
2012-08-08,405.1,406.2,397.6,405.0,1634455
2012-08-09,407.0,409.4,404.3,406.6,1210410
2012-08-10,405.1,408.9,403.3,408.9,1108817
2012-08-13,408.8,410.0,402.1,404.8,1046956
2012-08-14,407.6,410.0,405.6,409.9,908139
2012-08-15,409.2,409.3,405.4,406.9,1190053
2012-08-16,408.5,409.3,406.3,408.0,1011360
2012-08-17,411.4,412.5,408.3,411.8,894144
2012-08-20,413.3,413.3,404.9,406.2,1110417
2012-08-21,407.8,412.6,407.8,411.0,844249
2012-08-22,409.2,410.0,397.9,401.7,1957729
2012-08-23,406.1,407.2,403.2,403.9,1122188
2012-08-24,406.7,406.7,398.0,400.3,1216156
2012-08-28,401.6,401.6,394.3,395.6,1256235
2012-08-29,397.0,397.0,389.2,392.1,1094986
2012-08-30,391.7,395.5,390.9,394.0,982659
2012-08-31,394.8,397.2,393.6,395.04,1469432
2012-09-03,392.9,398.7,392.1,397.6,555819
2012-09-04,396.7,397.88,394.9,394.9,1192665
2012-09-05,395.4,397.2,394.0,395.8,1121524
2012-09-06,396.5,401.1,396.2,401.1,1381831
2012-09-07,407.7,408.4,404.8,407.3,1433128
2012-09-10,406.3,410.7,406.1,409.5,828428
2012-09-11,407.8,409.71,404.3,406.5,1087116
2012-09-12,406.6,407.0,399.3,402.5,2104644
2012-09-13,403.0,404.6,400.3,402.9,1101831
2012-09-14,409.0,412.3,405.0,410.4,1457182
2012-09-17,409.5,414.2,409.5,413.0,1061071
