Date,Open,High,Low,Close,Volume
2012-01-03,598.5,616.0,596.12,616.0,12547
2012-01-04,605.0,634.5,605.0,618.5,29884
2012-01-05,623.0,634.5,615.08,620.0,107288
2012-01-06,623.0,627.5,611.0,611.0,30466
2012-01-09,621.5,643.75,619.0,629.0,22416
2012-01-10,637.5,644.94,627.25,634.5,41908
2012-01-11,630.0,635.0,605.0,622.0,28175
2012-01-12,627.5,632.0,625.0,630.0,33350
2012-01-13,638.5,640.5,622.71,630.0,15807
2012-01-16,633.5,638.09,627.0,627.0,6737
2012-01-17,640.0,647.5,629.06,640.0,18600
2012-01-18,640.0,678.0,638.44,657.0,38297
2012-01-19,658.5,670.0,648.5,660.0,9403
2012-01-20,661.0,665.5,640.0,640.0,13604
2012-01-23,664.5,664.5,646.8,652.5,19723
2012-01-24,641.0,665.88,641.0,646.0,7124
2012-01-25,658.0,661.74,645.5,645.5,9471
2012-01-26,663.0,664.75,0.0,654.37,10628
2012-01-27,661.5,670.3,650.0,665.5,10061
2012-01-30,667.0,675.0,654.5,666.0,96245
2012-01-31,667.0,680.0,664.0,664.0,9977
2012-02-01,664.0,678.0,664.0,670.0,13400
2012-02-02,670.5,683.58,670.5,671.0,10574
2012-02-03,670.5,683.36,670.44,670.5,10129
2012-02-06,679.0,700.0,674.25,700.0,33714
2012-02-07,700.0,705.0,685.85,701.5,43012
2012-02-08,705.0,710.0,691.5,705.0,90711
2012-02-09,705.0,725.0,693.5,725.0,53825
2012-02-10,720.0,725.0,696.5,725.0,82614
2012-02-13,720.0,720.0,702.0,715.0,4733
2012-02-14,711.0,721.75,690.0,720.0,8446
2012-02-15,714.5,724.5,680.0,695.0,12709
2012-02-16,685.0,703.69,683.5,700.0,4158
2012-02-17,695.0,719.58,688.5,717.5,16333
2012-02-20,716.5,717.0,700.0,705.0,1524
2012-02-21,710.0,717.43,680.0,681.5,17105
2012-02-22,680.0,693.5,647.92,658.5,12377
2012-02-23,668.5,680.31,650.5,651.5,10271
2012-02-24,650.0,687.75,650.0,670.0,23763
2012-02-27,665.0,692.7,665.0,680.5,9153
2012-02-28,684.0,697.06,650.0,651.0,7423
2012-02-29,650.5,676.5,650.5,675.5,4805
2012-03-01,670.0,678.5,670.0,677.5,504
2012-03-02,660.5,684.0,650.0,684.0,10291
2012-03-05,669.0,677.5,669.0,677.5,557
2012-03-06,670.0,672.06,650.0,665.0,14600
2012-03-07,676.5,676.5,664.8,672.5,12460
2012-03-08,663.0,680.0,663.0,670.0,8189
2012-03-09,680.0,686.19,674.0,677.5,4676
2012-03-12,670.0,702.75,663.5,692.5,15877
2012-03-13,695.0,695.76,681.5,690.0,10665
2012-03-14,689.0,696.25,683.56,692.0,2312
2012-03-15,695.0,695.0,673.5,673.5,19180
2012-03-16,681.0,681.0,665.0,665.0,17774
2012-03-19,670.5,670.5,656.0,663.0,7530
2012-03-20,656.5,674.5,656.5,661.5,7119
2012-03-21,662.0,680.0,649.5,677.0,18063
2012-03-22,670.5,689.0,670.5,682.5,5801
2012-03-23,682.5,690.85,675.0,680.0,36454
2012-03-26,685.0,687.5,684.28,685.0,30785
2012-03-27,670.0,686.06,665.0,680.5,4050
2012-03-28,686.0,690.03,671.5,675.0,7733
2012-03-29,685.0,690.88,667.31,672.0,4821
2012-03-30,690.5,693.0,667.5,678.0,5838
2012-04-02,687.5,695.0,670.0,677.5,11793
2012-04-03,670.0,688.13,670.0,670.0,10930
2012-04-04,671.0,689.81,665.0,665.5,14099
2012-04-05,665.0,681.63,665.0,665.0,5365
2012-04-10,672.0,684.13,661.31,666.25,8556
2012-04-11,660.0,666.9,655.5,660.5,7298
2012-04-12,661.0,672.56,652.5,660.0,3048
2012-04-13,661.0,669.24,652.5,660.5,16458
2012-04-16,665.5,677.82,662.0,663.0,5956
2012-04-17,672.0,680.0,660.5,679.5,3907
2012-04-18,680.0,680.0,651.0,679.0,6588
2012-04-19,680.0,689.5,675.38,680.0,19723
2012-04-20,680.5,685.0,670.0,680.0,2475
2012-04-23,667.5,685.88,650.5,656.0,11013
2012-04-24,673.5,675.0,665.0,665.0,2336
2012-04-25,660.5,669.0,643.09,669.0,3845
2012-04-26,670.0,680.0,656.5,678.5,12448
2012-04-27,680.0,680.0,667.5,679.5,12198
2012-04-30,680.0,687.0,654.32,666.5,16489
2012-05-01,676.0,690.0,665.13,676.0,20992
2012-05-02,700.0,700.0,670.0,670.0,51258
2012-05-03,671.0,684.0,671.0,676.0,20936
2012-05-04,683.5,686.0,660.0,660.0,22430
2012-05-08,666.0,678.0,660.5,665.0,11653
2012-05-09,676.0,687.5,659.5,659.5,9053
2012-05-10,670.0,675.5,664.0,670.0,8650
2012-05-11,674.5,685.0,656.5,667.0,17067
2012-05-14,655.5,655.5,631.3,647.0,18829
2012-05-15,659.0,659.0,638.0,643.0,8098
2012-05-16,642.0,643.25,618.0,632.0,12168
2012-05-17,627.5,636.0,625.0,630.0,3895
2012-05-18,639.0,646.0,620.5,642.0,443
2012-05-21,637.5,658.5,625.0,650.0,4357
2012-05-22,650.0,653.94,637.75,648.5,1042
2012-05-23,648.5,659.5,626.0,635.0,20134
2012-05-24,640.0,660.0,630.0,653.5,10254
2012-05-25,655.5,670.0,646.54,670.0,9017
2012-05-28,669.5,669.5,645.5,648.0,7156
2012-05-29,655.0,660.35,647.0,655.0,7674
2012-05-30,655.0,655.0,640.0,640.0,8496
2012-05-31,646.0,660.0,646.0,655.0,29277
2012-06-01,655.0,660.0,640.0,650.0,9075
2012-06-06,640.0,661.5,640.0,647.0,15163
2012-06-07,659.5,660.0,637.25,648.5,41534
2012-06-08,650.0,650.0,640.0,650.0,15643
2012-06-11,645.0,650.0,634.5,634.5,4353
2012-06-12,640.5,645.0,625.0,625.0,13424
2012-06-13,634.5,641.5,626.37,630.0,7034
2012-06-14,630.0,649.5,630.0,633.0,22348
2012-06-15,630.0,635.0,611.63,612.0,176160
2012-06-18,620.0,625.48,595.0,607.0,26213
2012-06-19,600.5,617.0,600.5,607.5,12673
2012-06-20,619.5,634.0,607.5,634.0,7938
2012-06-21,625.5,635.0,620.0,625.0,21821
2012-06-22,620.0,626.25,614.75,615.0,6145
2012-06-25,615.0,618.75,598.0,598.0,17202
2012-06-26,598.0,604.0,590.5,598.5,16634
2012-06-27,610.0,625.0,610.0,615.0,22368
2012-06-28,610.0,615.0,580.5,605.0,25524
2012-06-29,614.0,614.0,593.5,595.0,12306
2012-07-02,603.0,615.46,593.5,595.5,11823
2012-07-03,596.5,605.21,591.5,591.5,10073
2012-07-04,602.0,606.5,597.0,600.0,11676
2012-07-05,597.5,634.0,591.5,631.0,27394
2012-07-06,634.5,656.0,619.5,651.0,27490
2012-07-09,643.5,665.0,638.25,652.0,6562
2012-07-10,651.0,660.0,630.0,650.0,11098
2012-07-11,652.0,655.0,642.0,655.0,15450
2012-07-12,655.0,655.0,634.0,650.5,4251
2012-07-13,650.0,651.5,632.6,651.5,9386
2012-07-16,650.0,655.0,640.0,654.0,10197
2012-07-17,655.0,665.0,649.0,658.5,12698
2012-07-18,655.0,665.0,644.0,655.0,8708
2012-07-19,655.0,672.5,640.5,672.5,15311
2012-07-20,670.0,670.0,640.5,655.0,8776
2012-07-23,655.0,667.5,646.5,655.0,22570
2012-07-24,655.0,660.0,650.5,655.0,55406
2012-07-25,657.0,671.5,643.0,651.5,6246
2012-07-26,660.0,661.0,636.5,660.0,3461
2012-07-27,665.0,675.0,654.5,675.0,2413
2012-07-30,660.0,682.88,653.04,675.0,8798
2012-07-31,670.0,675.5,660.0,670.0,5912
2012-08-01,672.5,681.4,660.62,680.0,22538
2012-08-02,678.0,678.0,668.0,668.0,2609
2012-08-03,673.25,685.0,685.0,685.0,255
2012-08-06,670.5,681.5,660.0,681.5,2999
2012-08-07,676.0,677.06,659.0,663.5,5374
2012-08-08,660.0,666.08,641.0,650.0,18774
2012-08-09,645.0,645.0,635.0,639.5,7552
2012-08-10,640.0,645.0,632.61,634.0,4795
2012-08-13,630.0,654.5,630.0,639.5,2789
2012-08-14,639.0,639.0,625.0,632.0,5549
2012-08-15,636.5,641.0,623.0,641.0,1760
2012-08-16,635.0,641.24,633.65,639.5,2224
2012-08-17,642.0,650.5,628.5,650.5,3419
2012-08-20,645.0,654.0,640.0,654.0,12570
2012-08-21,655.0,660.0,650.0,656.0,3955
2012-08-22,660.0,660.0,650.0,658.0,4593
2012-08-23,657.5,674.41,650.0,652.0,725
2012-08-24,657.5,657.5,629.0,629.0,18061
2012-08-28,629.0,645.91,629.0,632.0,2609
2012-08-29,629.0,641.79,626.0,627.5,2659
2012-08-30,632.0,633.2,622.5,622.5,12028
2012-08-31,627.5,634.31,626.5,626.5,3626
2012-09-03,621.0,633.94,621.0,633.0,1896
2012-09-04,626.5,635.0,624.19,634.5,4884
2012-09-05,627.5,640.0,617.31,640.0,4478
2012-09-06,637.5,652.17,620.5,649.0,7966
2012-09-07,641.0,679.0,641.0,679.0,11016
2012-09-10,649.5,670.0,649.5,658.5,17780
2012-09-11,669.0,669.0,648.32,654.0,7991
2012-09-12,658.5,687.0,658.5,684.0,17735
2012-09-13,665.5,676.27,665.0,673.5,6707
2012-09-14,675.0,683.57,666.0,680.0,3389
2012-09-17,689.0,689.0,662.46,687.5,20163
2012-09-18,676.5,697.9,672.22,673.5,12370
2012-09-19,672.0,675.0,660.5,668.5,14434
2012-09-20,663.0,670.44,655.0,665.0,5755
2012-09-21,664.5,689.5,659.0,686.5,23805
2012-09-24,670.0,674.31,660.5,661.5,16964
2012-09-25,686.0,686.0,659.5,669.5,14908
2012-09-26,661.5,669.06,651.03,658.0,28993
2012-09-27,659.0,663.88,652.62,659.5,5233
2012-09-28,658.5,666.0,654.5,666.0,5667
2012-10-01,663.0,663.0,650.0,653.5,5216
2012-10-02,660.5,671.08,652.6,666.0,8033
2012-10-03,659.0,670.0,659.0,670.0,2896
2012-10-04,660.0,666.0,657.5,661.0,10139
2012-10-05,670.0,670.0,646.0,646.0,137
2012-10-08,654.0,668.0,647.02,668.0,8197
2012-10-09,666.5,673.52,665.0,670.0,1257
2012-10-10,645.5,674.0,645.5,674.0,6931
2012-10-11,665.0,680.0,660.0,670.5,11554
2012-10-12,678.0,685.0,664.32,679.0,17068
2012-10-15,671.0,677.0,665.0,677.0,997
