Date,Open,High,Low,Close,Volume
2012-01-03,410.1,410.1,400.3,407.0,282043
2012-01-04,408.5,410.4,401.1,403.7,237976
2012-01-05,403.5,403.5,391.2,393.5,186923
2012-01-06,390.0,396.45,390.0,393.5,124846
2012-01-09,392.9,404.2,392.8,393.0,47338
2012-01-10,395.0,395.01,388.7,392.0,424195
2012-01-11,390.6,395.7,388.7,391.0,155968
2012-01-12,389.6,392.3,384.0,389.6,293758
2012-01-13,392.2,399.5,392.2,393.7,107500
2012-01-16,392.1,395.0,381.14,394.3,73926
2012-01-17,399.0,400.0,393.1,397.3,131792
2012-01-18,397.3,411.9,395.3,409.3,175588
2012-01-19,412.0,427.9,412.0,422.5,236599
2012-01-20,425.1,441.5,425.1,438.8,321351
2012-01-23,440.3,449.2,430.09,438.3,143057
2012-01-24,435.5,437.5,424.0,430.8,175051
2012-01-25,432.0,433.4,424.8,430.0,157862
2012-01-26,432.5,441.6,432.5,438.0,223924
2012-01-27,434.1,444.1,434.1,436.8,314861
2012-01-30,436.3,441.1,435.2,440.0,256752
2012-01-31,440.0,450.5,434.4,445.0,220210
2012-02-01,442.4,462.7,439.9,457.0,226396
2012-02-02,458.1,461.8,448.4,455.0,321407
2012-02-03,456.5,469.5,454.9,468.0,308817
2012-02-06,469.6,471.9,464.7,470.0,143466
2012-02-07,472.5,472.5,462.6,465.0,209905
2012-02-08,467.5,471.0,463.8,464.6,69518
2012-02-09,466.5,470.1,465.4,468.0,133230
2012-02-10,467.5,471.0,459.8,467.6,139116
2012-02-13,471.5,473.0,467.32,472.6,238520
2012-02-14,471.5,487.0,471.2,479.9,250781
2012-02-15,483.5,492.3,478.38,486.3,211796
2012-02-16,482.4,487.2,480.1,485.0,97926
2012-02-17,487.1,487.6,483.4,486.0,140300
2012-02-20,490.0,492.2,482.3,489.2,88432
2012-02-21,492.1,494.0,482.4,488.0,213285
2012-02-22,490.1,500.0,475.9,491.6,444401
2012-02-23,489.0,498.5,486.3,489.3,172262
2012-02-24,499.8,499.8,485.1,488.0,128282
2012-02-27,480.5,485.1,475.7,482.5,99485
2012-02-28,484.3,486.1,474.8,485.0,127926
2012-02-29,484.1,488.0,475.1,483.9,276568
2012-03-01,483.8,492.5,483.0,491.0,281475
2012-03-02,489.0,493.8,478.6,492.5,116017
2012-03-05,489.2,494.5,489.2,492.0,57558
2012-03-06,487.4,493.0,474.1,477.8,329536
2012-03-07,481.3,487.5,477.4,484.0,229545
2012-03-08,483.5,495.8,483.5,494.1,104954
2012-03-09,492.5,499.6,491.1,492.6,92085
2012-03-12,494.0,497.1,487.3,495.0,97665
2012-03-13,495.8,506.5,490.5,501.0,171732
2012-03-14,505.0,516.0,505.0,510.0,138279
2012-03-15,508.0,516.5,500.5,506.0,157398
2012-03-16,505.5,514.5,501.0,513.0,238439
2012-03-19,512.0,515.0,506.0,508.5,68369
2012-03-20,505.0,510.5,496.0,499.9,245205
2012-03-21,486.2,494.9,478.7,484.6,236561
2012-03-22,485.0,494.3,482.7,484.6,197879
2012-03-23,486.2,496.3,480.2,487.3,140177
2012-03-26,487.5,495.8,485.19,491.0,100494
2012-03-27,495.2,495.7,491.0,491.0,136030
2012-03-28,489.3,490.7,484.4,484.4,115978
2012-03-29,485.0,487.4,476.7,481.3,261121
2012-03-30,480.5,484.0,474.6,480.5,181621
2012-04-02,485.4,485.4,476.6,478.25,187467
2012-04-03,482.3,487.0,481.9,481.9,120492
2012-04-04,481.7,481.7,471.9,473.7,193339
2012-04-05,474.3,477.6,469.8,474.5,121909
2012-04-10,472.3,477.3,464.61,472.8,287196
2012-04-11,470.8,478.6,470.3,478.1,163521
2012-04-12,476.0,485.4,476.0,484.8,150002
2012-04-13,477.5,484.5,477.4,480.1,143366
2012-04-16,478.0,485.6,474.51,477.4,208111
2012-04-17,477.1,486.6,477.0,485.4,126436
2012-04-18,487.0,489.7,478.4,480.0,256587
2012-04-19,482.7,492.1,481.2,481.2,201148
2012-04-20,484.0,484.0,476.2,481.5,197112
2012-04-23,482.2,482.2,470.8,474.3,180205
2012-04-24,475.8,479.7,472.4,473.6,260478
2012-04-25,477.0,485.2,476.2,480.1,117113
2012-04-26,477.2,484.3,474.1,478.7,87841
2012-04-27,475.5,487.5,470.1,485.0,113825
2012-04-30,487.3,490.0,485.8,485.8,115658
2012-05-01,483.9,492.0,483.9,489.7,84056
2012-05-02,494.6,496.0,485.0,492.7,408410
2012-05-03,504.0,510.0,494.7,502.0,306480
2012-05-04,499.3,504.5,496.4,499.95,235019
2012-05-08,500.0,506.5,491.18,491.3,235443
2012-05-09,492.9,496.2,480.7,488.8,384789
2012-05-10,491.5,493.85,486.2,493.8,123189
2012-05-11,493.0,495.6,485.0,491.4,147016
2012-05-14,485.3,489.1,476.7,479.2,194937
2012-05-15,486.4,489.0,481.9,484.6,228488
2012-05-16,481.7,486.7,479.09,483.6,163181
2012-05-17,482.9,488.9,470.0,473.5,173739
2012-05-18,468.0,470.0,458.1,460.0,119758
2012-05-21,457.6,465.05,455.3,465.0,144769
2012-05-22,466.7,477.9,466.7,471.1,209988
2012-05-23,470.0,472.4,462.2,462.5,206484
2012-05-24,471.0,472.4,461.3,467.2,116922
2012-05-25,464.4,472.4,460.2,462.5,186963
2012-05-28,470.9,470.9,464.5,466.0,198870
2012-05-29,466.7,473.0,466.44,468.5,143292
2012-05-30,466.9,470.6,461.0,462.0,177149
2012-05-31,464.5,471.7,463.5,465.9,290289
2012-06-01,465.9,467.3,450.0,455.6,231036
2012-06-06,458.1,461.2,452.2,460.3,78417
2012-06-07,459.3,471.6,459.2,466.3,91505
2012-06-08,461.7,466.3,458.6,461.8,74246
2012-06-11,469.0,475.9,459.8,460.0,100282
2012-06-12,461.1,461.1,452.9,457.8,107450
2012-06-13,458.8,462.1,451.0,455.4,131928
2012-06-14,460.8,464.8,454.8,460.9,126762
2012-06-15,461.9,470.28,461.9,470.0,496530
2012-06-18,470.1,471.0,464.1,465.0,99590
2012-06-19,468.5,472.7,466.8,468.0,138388
2012-06-20,467.3,482.2,465.7,477.5,204848
