Date,Open,High,Low,Close,Volume
2012-01-03,462.7,479.6,462.4,479.6,931837
2012-01-04,472.8,479.9,466.0,469.3,714170
2012-01-05,466.3,469.5,460.3,461.6,573945
2012-01-06,464.2,476.0,464.2,472.9,568169
2012-01-09,473.7,477.4,462.6,463.3,786129
2012-01-10,468.3,485.5,466.8,483.6,578764
2012-01-11,484.9,493.2,478.1,483.6,893899
2012-01-12,483.6,493.1,483.6,491.4,772346
2012-01-13,497.1,497.7,479.8,486.8,863981
2012-01-16,484.3,489.6,482.3,488.2,544363
2012-01-17,493.1,504.0,489.9,504.0,615192
2012-01-18,502.0,509.0,497.0,503.0,712974
2012-01-19,503.0,511.0,496.1,509.0,942255
2012-01-20,509.5,509.5,504.5,504.5,976875
2012-01-23,506.0,508.0,501.5,505.5,782125
2012-01-24,500.0,504.5,494.9,504.0,883315
2012-01-25,507.0,510.0,497.0,502.0,557682
2012-01-26,508.0,543.0,507.5,533.0,1349302
2012-01-27,528.5,530.0,516.5,516.5,820481
2012-01-30,510.5,517.5,504.0,508.0,868186
2012-01-31,513.0,516.25,504.0,505.0,1001320
2012-02-01,509.0,524.0,506.0,522.5,733023
2012-02-02,525.5,531.0,516.0,530.5,951868
2012-02-03,530.5,540.5,527.0,535.5,935913
2012-02-06,532.0,536.0,526.0,534.5,885057
2012-02-07,534.5,537.5,520.5,527.5,812326
2012-02-08,529.0,535.5,527.5,532.0,510648
2012-02-09,532.0,541.0,532.0,540.5,853035
2012-02-10,536.0,537.0,521.0,530.0,770240
2012-02-13,534.0,538.0,532.5,536.0,581257
2012-02-14,532.5,575.5,532.5,549.55,1575330
2012-02-15,571.5,571.5,557.0,557.5,1080861
2012-02-16,552.0,554.0,538.0,548.52,960291
2012-02-17,554.5,557.0,548.0,554.0,421824
2012-02-20,558.5,568.5,557.0,562.5,572674
2012-02-21,564.0,568.5,551.5,562.0,570617
2012-02-22,566.0,579.0,560.0,576.5,1142413
2012-02-23,580.0,589.0,573.5,580.5,958479
2012-02-24,583.5,589.0,577.0,580.5,996731
2012-02-27,579.0,592.5,571.5,591.5,1122722
2012-02-28,596.0,603.0,590.0,591.5,1013388
2012-02-29,596.5,602.0,588.79,589.0,1497565
2012-03-01,590.5,598.0,582.5,596.0,1268028
2012-03-02,597.5,598.5,590.0,596.0,816449
2012-03-05,592.0,595.5,583.0,586.5,764092
2012-03-06,586.0,587.5,577.0,579.5,1723932
2012-03-07,578.5,598.5,578.5,597.0,1841938
2012-03-08,600.0,613.5,599.0,610.5,1307181
2012-03-09,610.5,614.0,600.0,610.0,878586
2012-03-12,608.5,612.5,599.0,605.0,1045246
2012-03-13,607.0,617.5,606.0,617.5,880324
2012-03-14,620.0,624.5,607.0,609.5,1514049
2012-03-15,610.5,617.5,605.0,615.5,1227767
2012-03-16,616.5,618.5,607.0,617.5,1539947
2012-03-19,616.0,618.0,609.0,610.5,615679
2012-03-20,610.0,610.5,594.5,599.0,1091085
2012-03-21,602.5,607.5,592.0,595.5,771478
2012-03-22,595.5,599.0,580.5,583.5,1293942
2012-03-23,586.5,592.5,578.5,589.0,1270045
2012-03-26,590.0,612.0,587.0,607.5,975523
2012-03-27,608.5,622.5,608.0,609.5,868788
2012-03-28,607.0,610.5,591.0,593.0,962417
2012-03-29,592.0,593.0,577.5,585.0,970934
2012-03-30,590.0,597.0,587.0,589.5,1085192
2012-04-02,594.0,594.5,587.0,592.0,1162502
2012-04-03,592.0,593.5,588.0,589.0,831435
2012-04-04,584.0,586.0,566.5,568.5,1115837
2012-04-05,570.5,580.5,554.0,563.5,1636931
2012-04-10,557.5,563.0,548.0,549.5,1105106
2012-04-11,538.0,545.5,534.5,544.5,1351680
2012-04-12,546.5,561.0,545.5,560.0,1086208
2012-04-13,556.0,562.0,549.5,550.5,776663
2012-04-16,550.0,565.5,548.5,556.5,1431744
2012-04-17,555.0,572.5,552.5,572.0,1291855
2012-04-18,573.0,573.0,558.0,569.0,1350783
2012-04-19,572.5,581.0,561.0,564.0,1498557
2012-04-20,564.5,570.0,560.5,564.0,1081171
2012-04-23,556.0,560.0,549.0,553.0,1185291
2012-04-24,558.0,565.0,550.5,559.0,1093605
2012-04-25,562.5,571.0,562.5,570.5,1157812
2012-04-26,571.0,575.5,563.0,568.0,1108507
2012-04-27,564.5,583.0,561.5,582.5,922517
2012-04-30,584.0,587.5,569.0,571.5,692527
2012-05-01,571.0,574.5,564.5,571.5,211702
2012-05-02,577.0,583.5,567.0,570.0,1248845
2012-05-03,566.0,571.5,564.0,570.0,938371
2012-05-04,566.0,577.5,545.0,547.5,1277373
2012-05-08,548.0,549.0,528.5,532.5,1401237
2012-05-09,536.5,536.5,521.5,530.0,1816906
2012-05-10,534.0,535.0,521.0,530.0,1476365
2012-05-11,528.5,537.5,524.5,536.5,1116256
2012-05-14,530.0,534.0,513.5,516.5,866909
2012-05-15,519.0,525.5,507.0,509.0,1255882
2012-05-16,501.5,524.0,495.7,517.0,1658584
2012-05-17,516.5,517.5,506.0,509.5,1138153
2012-05-18,503.0,503.0,496.0,501.5,1240136
2012-05-21,501.0,509.0,498.3,506.0,823418
2012-05-22,512.5,523.5,512.0,522.5,877122
2012-05-23,515.0,516.0,499.0,499.6,1142234
