Date,Open,High,Low,Close,Volume
2012-01-03,111.84,0.0,111.84,111.84,2000.0
2012-01-04,112.5,112.5,112.5,112.5,10514.0
2012-01-05,112.0,113.0,112.0,112.75,153000.0
2012-01-06,112.5,113.5,112.5,113.5,10000.0
2012-01-09,113.96,113.96,0.0,113.25,5264.0
2012-01-10,112.75,115.11,112.75,115.11,168101.0
2012-01-11,114.53,0.0,114.5,114.5,3250.0
2012-01-12,116.0,116.0,116.0,116.0,2016.0
2012-01-13,114.8,118.0,114.8,118.0,1990.0
2012-01-16,,,,115.0,0.0
2012-01-19,,,,114.82,0.0
2012-01-23,,,,120.0,0.0
2012-01-25,118.0,118.0,116.25,116.25,200524.0
2012-01-26,,,,116.25,0.0
2012-01-30,117.5,119.59,117.5,119.59,24415.0
2012-01-31,116.25,0.0,116.25,116.25,10000.0
2012-02-01,,,,119.59,0.0
2012-02-07,117.25,117.5,117.25,117.5,2745.0
2012-02-08,116.75,116.75,116.5,116.5,2390.0
2012-02-09,119.5,119.5,119.5,119.5,1588.0
2012-02-10,116.5,0.0,116.5,116.8,14000.0
2012-02-13,,,,116.75,0.0
2012-02-14,116.0,116.0,115.0,115.0,35500.0
2012-02-15,,,,115.0,0.0
2012-02-16,,,,114.8,0.0
2012-02-17,,,,114.8,0.0
2012-02-20,,,,115.0,0.0
2012-02-21,114.5,114.5,114.5,114.5,500.0
2012-02-22,115.0,115.28,115.0,115.0,2500.0
2012-02-23,,,,115.72,0.0
2012-02-24,,,,115.72,0.0
2012-02-27,,,,113.5,0.0
2012-02-28,114.0,114.0,113.75,113.75,1800.0
2012-02-29,113.5,113.5,112.5,112.5,35000.0
2012-03-01,112.5,112.5,112.5,112.5,15000.0
2012-03-02,112.0,112.0,111.5,111.5,5457.0
2012-03-05,111.5,111.52,111.0,111.0,10000.0
2012-03-06,111.0,111.0,110.5,111.0,62390.0
2012-03-07,,,,110.5,0.0
2012-03-08,113.0,113.0,113.0,113.0,3000.0
2012-03-09,,,,110.75,0.0
2012-03-12,,,,111.25,0.0
2012-03-13,111.0,111.0,110.75,110.75,35000.0
2012-03-14,110.5,110.5,110.0,110.0,13466.0
2012-03-15,111.0,111.0,111.0,111.0,43947.0
2012-03-16,111.0,111.5,111.0,111.0,1650.0
2012-03-19,111.0,111.0,111.0,111.0,5000.0
2012-03-20,111.5,113.4,111.5,111.5,8500.0
2012-03-21,111.0,111.0,111.0,111.0,2065.0
2012-03-22,,,,113.75,0.0
2012-03-23,,,,113.3,0.0
2012-03-26,,,,110.5,0.0
2012-03-27,110.5,110.5,110.0,110.0,12000.0
2012-03-28,109.5,111.82,109.5,109.5,2600.0
2012-03-29,111.5,111.5,111.5,111.5,1000.0
2012-03-30,110.0,110.0,110.0,110.0,25000.0
2012-04-02,,,,110.0,0.0
2012-04-03,112.5,112.5,110.0,112.5,2970.0
2012-04-04,,,,109.64,0.0
2012-04-05,,,,111.7,0.0
2012-04-10,,,,111.74,0.0
2012-04-11,112.5,112.5,108.5,112.5,2280.0
2012-04-12,113.0,113.0,110.0,110.0,4940.0
2012-04-13,,,,108.5,0.0
2012-04-16,109.0,109.5,107.0,108.0,4000.0
2012-04-17,,,,109.35,0.0
2012-04-18,108.0,108.0,108.0,108.0,2000.0
2012-04-19,106.5,108.0,106.5,108.0,18058.0
2012-04-20,107.5,107.5,106.5,106.5,1578.0
2012-04-23,110.0,110.0,107.0,107.0,967.0
2012-04-24,,,,107.5,0.0
2012-04-25,,,,108.0,0.0
2012-04-26,,,,108.0,0.0
2012-04-27,110.0,110.0,107.25,109.0,7500.0
2012-04-30,108.0,110.0,108.0,109.0,37219.0
2012-05-01,109.0,109.69,109.0,109.69,7500.0
2012-05-02,,,,109.6,0.0
2012-05-03,109.0,109.5,109.0,109.0,19000.0
2012-05-04,,,,108.51,0.0
2012-05-08,108.0,109.0,108.0,108.0,2500.0
2012-05-09,108.0,108.7,108.0,108.7,1674.0
2012-05-10,,,,108.7,0.0
2012-05-11,108.0,108.0,106.5,107.5,1920.0
2012-05-14,,,,107.5,0.0
2012-05-15,107.0,107.0,106.0,106.0,1200.0
2012-05-16,106.0,107.0,102.0,107.0,6000.0
2012-05-17,,,,107.0,0.0
2012-05-18,105.0,105.0,103.0,103.0,7862.0
2012-05-21,105.0,105.0,105.0,105.0,2914.0
2012-05-22,105.0,105.0,102.75,102.75,12444.0
2012-05-23,104.0,104.0,104.0,104.0,2000.0
2012-05-24,,,,104.0,0.0
2012-05-25,,,,104.0,0.0
2012-05-28,,,,104.0,0.0
2012-05-29,,,,104.0,0.0
2012-05-30,105.0,105.0,102.5,102.5,2000.0
2012-05-31,,,,102.5,0.0
2012-06-01,102.5,105.0,102.0,102.0,7400.0
2012-06-06,,,,102.0,0.0
2012-06-07,,,,102.0,0.0
2012-06-08,,,,103.5,0.0
2012-06-11,,,,103.5,0.0
2012-06-12,101.25,103.0,99.0,101.5,24740.0
2012-06-13,101.0,102.0,100.5,102.0,47313.0
2012-06-14,100.5,101.25,100.5,100.5,19265.0
2012-06-15,,,,101.25,0.0
2012-06-18,,,,101.25,0.0
2012-06-19,101.0,101.75,100.0,101.75,4279.0
2012-06-20,,,,101.75,0.0
2012-06-21,102.0,104.0,102.0,104.0,9000.0
2012-06-22,105.0,105.0,105.0,105.0,2000.0
2012-06-25,,,,105.0,0.0
2012-06-26,,,,104.25,0.0
2012-06-27,106.5,106.5,105.0,105.0,2500.0
2012-06-28,105.0,105.0,105.0,105.0,40000.0
2012-06-29,105.0,106.0,105.0,105.0,15000.0
2012-07-02,107.0,107.0,106.5,106.5,4278.0
2012-07-03,,,,107.0,0.0
2012-07-04,,,,107.0,0.0
2012-07-05,,,,106.91,0.0
2012-07-06,106.0,106.12,103.0,103.0,16094.0
2012-07-09,104.25,104.25,104.0,104.0,10868.0
2012-07-10,,,,106.0,0.0
2012-07-11,106.0,106.0,104.0,104.0,62734.0
