Date,Open,High,Low,Close,Volume
2012-01-03,867.0,874.5,860.5,874.5,56225
2012-01-04,875.5,882.0,866.5,873.0,98024
2012-01-05,867.5,874.0,860.0,860.0,90990
2012-01-06,862.5,871.0,862.07,865.0,46833
2012-01-09,873.5,874.5,859.0,862.0,40031
2012-01-10,868.0,880.89,859.5,876.0,185868
2012-01-11,872.0,883.05,870.0,873.0,72466
2012-01-12,882.0,887.0,876.5,878.5,45905
2012-01-13,882.0,886.8,877.5,885.5,68561
2012-01-16,887.0,890.0,883.0,890.0,48419
2012-01-17,900.5,908.0,895.0,908.0,97239
2012-01-18,903.0,916.33,900.5,915.5,171272
2012-01-19,916.0,937.5,916.0,935.0,113037
2012-01-20,938.0,938.0,931.0,938.0,104101
2012-01-23,936.0,945.0,932.11,942.5,97606
2012-01-24,939.0,943.0,931.0,937.0,115545
2012-01-25,937.5,941.5,930.0,931.0,69975
2012-01-26,932.5,945.5,931.5,938.0,129991
2012-01-27,943.0,945.0,931.61,940.0,191543
2012-01-30,935.0,940.0,927.5,932.0,104002
2012-01-31,938.5,945.0,933.5,940.0,124541
2012-02-01,940.5,963.5,937.5,963.5,134025
2012-02-02,962.0,970.5,957.0,967.5,132372
2012-02-03,967.5,973.0,957.11,970.0,184624
2012-02-06,968.0,974.0,959.91,973.5,75203
2012-02-07,973.5,978.5,967.0,974.5,173176
2012-02-08,979.0,987.0,971.0,983.0,240203
2012-02-09,987.5,992.0,983.0,992.0,138451
2012-02-10,989.0,990.5,981.0,985.5,109007
2012-02-13,992.0,1001.0,982.11,997.5,20917
2012-02-14,998.5,1001.0,991.5,993.0,89985
2012-02-15,1002.0,1002.0,995.0,1000.0,36479
2012-02-16,991.0,991.0,981.0,986.5,21779
2012-02-17,991.5,994.0,985.11,991.0,30085
2012-02-20,1000.0,1007.0,996.0,1002.0,21475
2012-02-21,1010.0,1011.49,997.67,1001.0,38072
2012-02-22,1007.0,1009.0,1001.0,1006.0,51700
2012-02-23,1004.0,1011.0,1000.0,1007.4,53818
2012-02-24,1006.0,1011.0,1005.84,1009.0,81164
2012-02-27,1003.0,1010.89,997.0,1003.0,36624
2012-02-28,1013.0,1018.0,1007.0,1017.0,70453
2012-02-29,1017.0,1020.19,1007.0,1012.0,31890
