Date,Open,High,Low,Close,Volume
2012-01-03,369.0,378.0,369.0,378.0,104856
2012-01-04,378.2,381.46,371.5,374.6,77487
2012-01-05,372.1,376.0,368.82,369.0,91218
2012-01-06,370.1,377.7,370.04,371.4,61477
2012-01-09,375.4,375.4,368.1,370.0,58496
2012-01-10,371.5,376.7,371.5,374.6,111065
2012-01-11,373.4,375.0,370.03,373.0,63634
2012-01-12,373.1,374.39,370.0,370.0,64789
2012-01-13,372.1,373.85,365.0,370.0,71193
2012-01-16,370.5,370.5,365.88,370.0,52879
2012-01-17,372.9,375.53,369.8,373.0,156827
2012-01-18,375.0,375.0,369.5,372.5,107810
2012-01-19,374.6,377.8,371.86,377.0,154298
2012-01-20,377.7,377.7,371.99,375.44,97708
2012-01-23,378.6,382.0,374.15,381.5,139645
2012-01-24,379.0,381.0,375.35,381.0,123154
2012-01-25,374.8,375.1,367.61,370.0,79709
2012-01-26,370.8,377.17,369.2,374.5,112623
2012-01-27,374.5,375.0,368.76,369.0,104103
2012-01-30,371.3,371.3,359.0,362.0,196967
2012-01-31,363.0,369.1,363.0,363.0,133677
2012-02-01,367.0,373.9,366.3,373.9,133565
2012-02-02,372.5,375.0,369.41,373.4,123725
2012-02-03,369.3,380.0,368.15,377.1,191821
2012-02-06,376.9,380.5,375.85,380.5,78988
2012-02-07,380.0,381.0,376.61,381.0,84418
2012-02-08,380.9,384.23,377.0,381.0,93387
2012-02-09,381.5,383.6,379.22,381.6,95268
2012-02-10,379.5,379.81,376.31,379.6,55795
2012-02-13,380.0,383.9,379.9,383.9,23617
2012-02-14,382.2,383.6,378.82,381.2,24750
2012-02-15,383.9,386.0,382.3,385.0,77836
2012-02-16,383.0,384.7,380.4,384.7,30835
2012-02-17,387.9,387.9,385.3,385.7,13630
2012-02-20,390.9,391.75,388.8,391.4,48718
2012-02-21,388.9,392.0,386.8,392.0,80152
2012-02-22,389.4,393.0,387.2,390.9,46743
2012-02-23,390.7,392.0,386.5,392.0,35920
2012-02-24,393.8,394.05,390.15,391.0,95204
2012-02-27,386.6,388.0,383.2,388.0,98584
2012-02-28,389.7,389.7,382.7,388.1,29345
2012-02-29,388.0,389.52,381.12,383.5,16717
2012-03-01,384.0,388.3,382.58,387.0,120710
2012-03-02,386.0,387.99,384.1,384.5,9491
2012-03-05,382.9,388.64,381.49,381.5,31741
2012-03-06,382.9,382.9,373.4,376.8,94957
2012-03-07,377.0,377.64,372.5,377.0,44187
2012-03-08,379.1,384.5,378.17,381.4,57165
2012-03-09,379.2,384.79,379.0,383.0,20722
