Date,Open,High,Low,Close,Volume
2012-01-03,89.0,92.0,86.25,91.25,99074.0
2012-01-04,90.5,92.09,89.0,89.0,300293.0
2012-01-05,92.5,92.5,89.25,90.75,20800.0
2012-01-06,92.5,92.5,90.5,91.0,872548.0
2012-01-09,90.25,91.88,89.0,89.25,65303.0
2012-01-10,90.0,93.0,88.5,88.5,108729.0
2012-01-11,90.25,91.0,88.5,88.5,519246.0
2012-01-12,90.5,91.0,88.75,90.75,86444.0
2012-01-13,90.0,93.0,89.82,90.25,175196.0
2012-01-16,91.75,91.75,88.46,89.53,83074.0
2012-01-17,88.25,93.5,88.25,93.0,21511.0
2012-01-18,92.75,96.75,92.0,96.75,165316.0
2012-01-19,97.0,97.0,95.25,96.5,32832.0
2012-01-20,95.5,97.5,94.78,95.5,65047.0
2012-01-23,94.25,99.25,94.25,95.25,48685.0
2012-01-24,95.25,97.0,94.75,94.75,82030.0
2012-01-25,95.5,99.19,95.5,95.5,14534.0
2012-01-26,95.0,96.0,95.0,96.0,45080.0
2012-01-27,97.75,98.0,95.25,96.25,1337737.0
2012-01-30,94.0,96.85,94.0,94.25,95664.0
2012-01-31,94.5,95.5,93.25,93.25,120989.0
2012-02-01,95.0,96.0,93.75,94.5,78057.0
2012-02-02,95.0,99.26,95.0,98.0,161688.0
2012-02-03,99.75,101.0,99.0,99.7,93130.0
2012-02-06,100.0,101.0,98.65,100.5,149155.0
2012-02-07,101.0,101.37,99.88,101.0,52103.0
2012-02-08,101.0,101.65,99.88,101.25,35050.0
2012-02-09,102.0,103.33,101.25,101.25,755362.0
2012-02-10,101.25,102.5,101.25,102.5,27041.0
2012-02-13,,,,101.73,0.0
2012-02-14,101.25,102.38,101.25,101.25,486.0
2012-02-15,101.25,102.25,98.3,99.0,13197.0
2012-02-16,98.75,100.25,98.5,98.5,15055.0
2012-02-17,99.25,101.5,98.5,100.25,10634.0
2012-02-20,102.75,102.75,99.55,101.0,11616.0
2012-02-21,102.0,103.0,98.75,98.75,24214.0
2012-02-22,99.0,100.0,98.0,99.25,28217.0
2012-02-23,98.0,101.75,98.0,100.0,15462.0
2012-02-24,101.25,101.25,99.56,100.0,9310.0
2012-02-27,98.5,98.82,98.44,98.5,23727.0
2012-02-28,98.75,99.5,98.25,99.5,12684.0
2012-02-29,98.5,100.24,98.0,98.0,4833.0
2012-03-01,100.75,100.75,100.5,100.5,809.0
2012-03-02,102.0,103.5,101.5,103.25,30669.0
2012-03-05,102.75,104.0,101.91,103.0,2933.0
2012-03-06,102.75,104.21,101.64,102.0,3401.0
2012-03-07,101.5,104.0,101.0,101.0,37275.0
2012-03-08,101.75,103.0,101.0,102.0,21041.0
2012-03-09,103.25,104.0,100.95,103.25,30427.0
2012-03-12,103.75,103.75,100.69,103.0,3650.0
2012-03-13,103.0,103.31,102.0,103.0,7378.0
2012-03-14,102.25,104.0,102.0,102.25,22482.0
2012-03-15,103.0,103.25,101.0,103.25,17975.0
2012-03-16,103.5,103.5,99.75,99.75,42027.0
2012-03-19,100.25,102.47,99.0,99.25,29587.0
2012-03-20,98.0,100.0,97.0,98.0,30135.0
2012-03-21,99.25,102.75,98.75,102.75,50517.0
2012-03-22,103.0,103.0,101.0,101.5,18661.0
2012-03-23,103.0,103.0,101.0,102.0,23149.0
2012-03-26,102.0,102.91,101.0,102.0,25084.0
2012-03-27,102.0,103.65,101.75,102.75,59489.0
2012-03-28,102.5,105.32,102.25,102.25,413.0
2012-03-29,101.5,102.5,101.25,102.5,3102.0
2012-03-30,101.5,102.75,98.0,98.5,66099.0
2012-04-02,98.0,99.5,95.0,95.5,76088.0
2012-04-03,97.5,99.0,95.5,97.25,21895.0
2012-04-04,98.0,98.0,95.0,95.5,75999.0
2012-04-05,97.75,98.0,95.25,95.5,17137.0
2012-04-10,96.75,98.97,95.5,95.5,5689.0
2012-04-11,95.5,96.24,95.0,95.0,9129.0
2012-04-12,95.25,97.0,94.75,97.0,6530.0
2012-04-13,97.25,98.38,95.0,95.25,14139.0
2012-04-16,96.5,98.0,93.75,94.75,14760.0
2012-04-17,93.0,96.38,93.0,96.38,1894.0
2012-04-18,96.5,97.87,94.5,96.0,7317.0
2012-04-19,97.0,97.0,95.32,95.5,4018.0
2012-04-20,96.75,97.5,94.51,97.5,3372.0
2012-04-23,95.75,97.0,94.5,95.75,5763.0
2012-04-24,95.0,97.0,94.25,95.0,3747.0
2012-04-25,95.0,95.0,93.0,93.0,13120.0
2012-04-26,94.25,94.65,92.71,93.0,5979.0
