Date,Open,High,Low,Close,Volume
2012-01-03,246.6,248.2,243.46,248.0,816733
2012-01-04,248.4,258.9,248.4,258.0,1118677
2012-01-05,259.0,264.88,256.2,259.44,1239614
2012-01-06,264.7,269.5,263.1,269.0,1350239
2012-01-09,269.9,271.4,268.6,270.9,712911
2012-01-10,272.0,272.88,269.7,271.0,1027944
2012-01-11,270.0,271.4,268.0,269.0,949151
2012-01-12,269.7,271.0,266.3,269.2,571509
2012-01-13,269.8,276.4,267.7,268.7,1002853
2012-01-16,270.7,272.3,265.9,266.5,749869
2012-01-17,267.3,269.5,260.88,267.9,1166583
2012-01-18,268.0,272.6,265.2,268.1,946786
2012-01-19,269.4,275.5,262.2,264.0,3086897
2012-01-20,265.4,266.4,261.7,265.5,922084
2012-01-23,264.9,268.0,263.0,265.0,636978
2012-01-24,263.7,267.4,262.4,264.2,590761
2012-01-25,265.5,270.6,264.95,270.5,488928
2012-01-26,270.5,270.5,265.2,265.5,389682
2012-01-27,265.2,267.1,263.1,263.1,314761
2012-01-30,259.4,259.58,252.1,252.2,1474103
2012-01-31,252.6,255.6,251.0,253.8,602843
2012-02-01,254.4,258.4,253.0,258.4,1150842
2012-02-02,259.2,262.5,254.5,260.4,1289073
2012-02-03,258.0,261.3,253.7,260.0,1115437
2012-02-06,259.6,264.3,258.82,261.8,868814
2012-02-07,261.1,264.6,260.9,261.0,1360568
2012-02-08,261.6,263.3,258.57,260.1,721130
2012-02-09,259.9,263.6,259.9,261.8,398991
2012-02-10,261.6,263.0,259.8,261.88,766491
2012-02-13,261.9,266.7,261.4,264.6,286665
2012-02-14,262.7,268.8,260.9,267.0,532864
2012-02-15,270.4,270.4,263.9,266.8,427876
2012-02-16,264.2,267.1,262.4,266.3,236780
2012-02-17,266.8,269.0,263.5,268.1,226756
2012-02-20,269.4,270.87,265.8,266.8,271390
2012-02-21,267.9,269.6,263.2,264.2,446804
2012-02-22,264.0,267.2,262.8,265.6,358886
2012-02-23,266.3,268.8,264.5,266.1,428253
2012-02-24,266.4,269.9,265.4,268.0,567869
2012-02-27,269.2,269.2,262.1,264.4,166731
2012-02-28,265.2,267.6,263.7,267.1,249066
2012-02-29,266.6,268.0,262.6,266.0,346243
2012-03-01,265.5,269.6,263.1,268.2,218794
2012-03-02,268.0,271.0,265.9,266.4,224625
2012-03-05,265.5,269.0,264.7,265.8,301460
