Date,Open,High,Low,Close,Volume
2016-03-07,2080.0,2245.0,2080.0,2150.0,32874
2016-03-08,2170.0,2225.0,2170.0,2200.0,28323
2016-03-09,2200.0,2201.0,2180.0,2200.0,16729
2016-03-10,2199.0,2204.4,2180.41,2204.4,29984
2016-03-11,2200.0,2200.43,2129.96,2200.0,699
2016-03-14,2195.0,2195.0,2102.0,2102.0,14873
2016-03-15,2173.0,2173.0,2050.0,2080.0,9916
2016-03-16,2001.0,2101.0,1952.2,2000.0,23134
2016-03-17,2000.0,2018.8,1972.0,1998.0,5316
2016-03-18,1889.0,1999.0,1885.0,1940.0,30544
2016-03-21,2004.0,2006.2,1920.0,1920.0,11166
2016-03-22,1990.0,1990.0,1860.0,1880.0,5199
2016-03-23,1900.0,1900.47,1870.0,1870.0,19057
2016-03-24,1861.0,1914.0,1861.0,1900.0,3543
2016-03-29,1900.0,1901.0,1794.0,1847.0,39102
2016-03-30,1849.0,1900.0,1848.0,1855.0,110116
2016-03-31,1892.0,1900.0,1864.75,1880.0,9978
2016-04-01,1900.0,1900.0,1840.0,1841.0,1841
2016-04-04,1884.0,1900.0,1780.1,1889.0,20685
2016-04-05,1890.0,1900.0,1873.0,1885.0,6919
2016-04-06,1889.0,1890.0,1864.75,1885.0,44617
2016-04-07,1890.0,1890.0,1877.25,1890.0,30308
2016-04-08,1900.0,1900.0,1851.0,1880.0,26554
2016-04-11,1857.0,1900.0,1850.0,1855.0,12126
2016-04-12,1870.0,1880.0,1860.0,1871.0,4548
2016-04-13,1879.0,1900.0,1875.5,1890.0,32916
2016-04-14,1900.0,2000.0,1894.25,1992.0,35585
2016-04-15,2020.0,2061.0,1950.0,2047.64,22059
2016-04-18,2080.0,2088.64,1990.0,2000.0,25320
2016-04-19,2080.0,2080.0,1990.0,2007.0,24750
2016-04-20,2015.0,2040.0,2000.0,2040.0,13908
2016-04-21,2019.0,2040.0,1992.0,2008.0,17821
2016-04-22,2033.0,2040.0,2015.0,2032.0,32519
2016-04-25,2080.0,2080.0,2029.5,2060.0,32228
2016-04-26,2069.0,2069.0,2026.0,2040.0,20063
2016-04-27,2076.0,2079.0,2012.0,2045.0,6979
2016-04-28,2041.0,2060.0,2021.0,2034.0,26807
2016-04-29,2080.0,2094.0,2047.0,2050.0,10825
2016-05-03,2050.0,2055.0,1943.0,2005.0,60448
2016-05-04,2040.0,2056.5,2016.87,2029.0,4462
2016-05-05,2055.0,2060.0,2001.0,2032.0,14225
2016-05-06,2065.0,2065.0,2035.0,2035.0,5060
2016-05-09,2060.0,2060.0,2010.0,2035.0,2844
2016-05-10,2035.0,2063.0,2013.0,2020.0,18946
2016-05-11,2050.0,2055.0,2025.0,2035.0,9600
2016-05-12,2025.0,2100.0,2025.0,2050.0,16597
2016-05-13,2045.0,2100.0,2045.0,2100.0,21482
2016-05-16,2084.0,2171.0,2070.0,2155.0,20743
2016-05-17,2219.0,2219.0,2113.0,2150.0,35506
2016-05-18,2190.0,2190.0,2115.0,2158.0,27330
2016-05-19,2171.0,2192.0,2151.0,2169.0,63138
2016-05-20,2210.0,2278.0,2174.0,2200.0,30928
2016-05-23,2190.0,2261.0,2142.0,2240.0,21528
2016-05-24,2250.0,2260.0,2219.0,2220.0,13314
2016-05-25,2237.0,2237.0,2210.0,2210.0,24967
2016-05-26,2249.0,2250.0,2175.0,2220.0,42880
2016-05-27,2227.0,2250.0,2207.0,2219.0,8097
2016-05-31,2220.0,2265.0,2216.0,2250.0,32823
2016-06-01,2259.0,2262.5,2232.0,2232.0,24839
2016-06-02,2239.0,2265.5,2222.5,2245.0,31252
2016-06-03,2250.0,2250.0,2219.0,2226.0,19114
2016-06-09,2250.0,2253.0,2238.0,2242.0,17518
2016-06-10,2270.0,2270.0,2190.0,2210.0,143146
2016-06-13,2196.0,2248.0,2152.0,2211.0,80560
2016-06-14,2211.0,2241.0,2195.0,2197.0,112502
2016-06-15,2269.0,2269.0,2172.0,2172.0,138501
2016-06-16,1998.0,2114.0,1990.6,2040.0,113999
2016-06-17,2058.0,2100.0,2058.0,2060.0,3762095
2016-06-20,2030.0,2275.0,2025.0,2120.0,78795
2016-06-21,2125.0,2125.0,2080.0,2090.0,39907
2016-06-22,2075.0,2180.0,2067.0,2150.0,119318
2016-06-23,2162.0,2227.0,2085.0,2100.0,83256
2016-06-24,1890.0,2015.0,1811.0,1915.0,231945
2016-06-27,1915.0,1965.85,1617.0,1634.0,185121
2016-06-28,1699.0,1763.0,1664.0,1751.0,94839
2016-06-29,1830.0,1883.0,1779.0,1825.0,144306
2016-06-30,1871.0,1880.0,1742.0,1808.0,70549
2016-07-01,1793.0,1793.0,1711.0,1758.0,150967
2016-07-04,1748.0,1763.6,1700.0,1740.0,103593
2016-07-05,1733.0,1750.0,1648.0,1655.0,148970
2016-07-06,1641.0,1695.0,1501.0,1623.0,97179
2016-07-07,1653.0,1700.0,1600.0,1694.0,86550
2016-07-08,1680.0,1705.0,1663.0,1695.0,89156
2016-07-11,1700.0,1763.0,1687.0,1763.0,45417
2016-07-12,1757.0,1865.0,1757.0,1864.0,96469
2016-07-13,1939.0,1940.4,1827.88,1861.0,75843
2016-07-14,1877.0,1985.0,1836.0,1872.0,40981
2016-07-15,1888.0,1911.42,1830.0,1897.0,28883
2016-07-18,2176.0,2176.0,1864.0,1897.0,38948
2016-07-19,1986.0,2000.0,1897.0,1958.0,33546
2016-07-20,1942.0,2013.0,1921.16,1952.0,51300
2016-07-21,1950.0,1950.0,1861.0,1896.0,57199
2016-07-22,1920.0,1961.0,1845.0,1863.0,45050
2016-07-25,1906.0,1935.0,1871.0,1924.0,36477
2016-07-26,1912.0,1957.08,1897.0,1930.0,30510
2016-07-27,1925.0,2150.0,1925.0,2080.0,78191
2016-07-28,2116.0,2158.0,2031.0,2080.0,41042
2016-07-29,2074.0,2149.0,2048.0,2071.0,50945
2016-08-01,2019.0,2065.52,1960.6,2035.0,43694
2016-08-02,2005.0,2033.0,2000.0,2032.0,118992
2016-08-03,2035.0,2096.0,2034.0,2062.0,51749
2016-08-04,2059.0,2095.0,2050.0,2080.0,70680
2016-08-05,2052.0,2177.0,2052.0,2173.0,50626
2016-08-08,2144.0,2214.0,2144.0,2212.0,57909
2016-08-09,2223.0,2225.0,2202.0,2220.0,23529
2016-08-10,2221.0,2262.0,2212.0,2231.0,30825
