Date,Open,High,Low,Close,Volume
2012-01-03,307.5,307.5,0.0,301.71,581.0
2012-01-04,,,,301.0,0.0
2012-01-06,302.0,304.89,300.62,304.89,4038.0
2012-01-09,306.0,308.0,302.0,302.0,22783.0
2012-01-10,308.5,308.62,308.5,308.5,18917.0
2012-01-11,309.0,310.93,309.0,310.5,31196.0
2012-01-12,305.5,310.75,303.06,305.5,17596.0
2012-01-13,307.11,312.97,307.1,312.97,6928.0
2012-01-16,312.75,313.0,308.36,312.75,9189.0
2012-01-17,307.61,315.25,307.61,308.11,8859.0
2012-01-18,312.5,315.0,311.0,312.5,8699.0
2012-01-19,314.0,315.66,0.0,314.5,22124.0
2012-01-20,314.5,314.5,314.05,314.05,6994.0
2012-01-23,311.0,314.89,311.0,314.6,12007.0
2012-01-24,310.0,315.25,309.38,312.6,18449.0
2012-01-25,316.25,317.75,315.32,315.75,17277.0
2012-01-26,316.75,317.0,316.75,317.0,1553.0
2012-01-27,318.75,318.75,312.11,312.11,7364.0
2012-01-30,315.75,315.75,0.0,315.75,4700.0
2012-01-31,316.25,318.37,313.11,315.0,55517.0
2012-02-01,318.0,322.0,316.42,322.0,262182.0
2012-02-02,321.75,324.75,320.9,322.98,30032.0
2012-02-03,320.5,325.96,320.5,324.5,18304.0
2012-02-06,321.25,326.0,321.0,322.0,106265.0
2012-02-07,322.0,324.0,322.0,324.0,27019.0
2012-02-08,323.0,324.89,322.0,323.5,53327.0
2012-02-09,323.5,328.0,323.5,328.0,21671.0
2012-02-10,323.36,0.0,323.36,325.25,12926.0
2012-02-13,322.25,330.0,322.25,324.5,11409.0
2012-02-14,324.5,330.76,324.5,329.0,967.0
2012-02-15,328.0,330.75,326.01,330.75,3918.0
2012-02-16,328.75,329.95,325.51,329.0,12094.0
2012-02-17,330.75,333.75,330.75,332.5,15364.0
2012-02-20,334.75,337.0,333.0,337.0,22040.0
2012-02-21,334.5,338.0,334.5,336.5,26258.0
2012-02-22,,,,335.61,0.0
2012-02-23,,,,342.0,0.0
2012-02-24,343.0,346.0,342.75,346.0,46923.0
2012-02-27,343.0,344.5,340.25,344.0,2274.0
2012-02-28,346.0,348.0,346.0,348.0,2000.0
2012-02-29,348.0,349.75,345.25,346.0,316.0
2012-03-01,,,,350.0,0.0
2012-03-02,,,,349.5,0.0
2012-03-05,,,,349.75,0.0
2012-03-06,344.0,352.3,344.0,344.0,2144.0
2012-03-07,348.25,350.0,347.0,350.0,3199.0
2012-03-08,351.0,355.0,349.5,355.0,11357.0
2012-03-09,355.75,357.0,355.0,357.0,4852.0
2012-03-12,357.0,361.0,355.5,361.0,14127.0
2012-03-13,361.0,365.0,359.5,365.0,2352.0
2012-03-14,366.0,370.0,365.0,370.0,9055.0
2012-03-15,369.75,369.75,361.8,367.0,5970.0
2012-03-16,361.25,367.0,360.5,367.0,1069.0
2012-03-19,366.0,366.75,360.82,366.5,166.0
2012-03-20,365.0,366.0,360.5,366.0,407.0
2012-03-21,360.5,365.75,360.0,360.0,2018.0
2012-03-22,363.0,363.0,358.61,361.0,2043.0
2012-03-23,362.0,362.0,358.5,362.0,1893.0
2012-03-26,362.0,366.0,358.75,361.0,7312.0
2012-03-27,362.0,362.0,356.11,356.25,8111.0
