Date,Open,High,Low,Close,Volume
2012-01-03,628.5,637.0,622.0,636.0,34399
2012-01-04,636.0,638.0,624.0,629.0,29654
2012-01-05,622.0,630.5,621.0,622.0,46819
2012-01-06,625.1,630.0,622.5,628.0,35648
2012-01-09,628.0,628.9,619.0,619.0,38375
2012-01-10,624.5,632.5,622.5,629.5,41519
2012-01-11,629.5,630.0,625.5,628.0,61653
2012-01-12,631.0,633.0,623.52,628.5,33473
2012-01-13,630.0,633.0,621.5,623.0,101133
2012-01-16,628.0,632.0,622.0,629.0,57924
2012-01-17,633.0,635.0,625.5,629.5,28718
2012-01-18,622.0,635.91,622.0,633.5,59254
2012-01-19,629.0,645.0,629.0,636.5,76190
2012-01-20,642.0,642.0,634.5,634.5,33136
2012-01-23,639.0,646.5,635.51,646.5,39761
2012-01-24,641.5,643.0,637.0,639.5,32459
2012-01-25,643.0,643.0,636.0,636.5,27667
2012-01-26,637.0,644.89,637.0,639.5,56410
2012-01-27,639.0,642.5,631.11,636.0,30740
2012-01-30,634.0,634.0,626.0,628.0,38159
2012-01-31,628.5,636.0,628.0,629.0,81961
2012-02-01,638.5,645.0,637.0,644.5,70601
2012-02-02,644.5,645.49,639.5,645.0,40525
2012-02-03,640.0,650.0,639.0,649.5,87410
2012-02-06,644.5,651.0,644.5,651.0,32054
2012-02-07,650.0,653.0,646.5,651.5,51204
2012-02-08,648.5,656.0,648.5,649.0,24786
2012-02-09,650.0,656.0,648.0,648.0,29082
2012-02-10,644.0,649.0,643.51,648.0,31836
2012-02-13,649.0,654.5,646.5,654.5,21816
2012-02-14,647.5,654.5,646.0,650.5,22592
2012-02-15,652.0,657.0,649.0,657.0,73458
2012-02-16,651.5,655.0,646.5,655.0,21030
2012-02-17,657.0,660.0,655.0,658.0,8690
2012-02-20,660.0,665.5,657.5,663.0,47746
2012-02-21,665.0,666.0,659.5,665.0,64521
2012-02-22,664.5,670.0,662.0,670.0,57235
2012-02-23,669.0,675.9,667.0,673.0,31999
2012-02-24,672.0,673.0,669.26,670.0,38800
2012-02-27,668.5,668.99,659.14,668.0,76245
2012-02-28,664.5,669.99,662.0,669.0,27070
2012-02-29,660.5,668.0,659.0,659.5,13127
2012-03-01,660.5,667.49,660.1,665.0,52114
2012-03-02,663.0,667.25,661.0,665.5,18850
2012-03-05,660.0,663.5,657.5,657.5,25141
2012-03-06,657.0,659.5,649.0,654.0,44240
2012-03-07,643.5,653.5,643.5,653.5,26229
2012-03-08,655.0,669.0,655.0,669.0,39825
2012-03-09,661.0,665.5,658.5,659.5,58006
2012-03-12,655.5,662.65,655.5,659.5,11075
2012-03-13,663.0,674.0,658.0,674.0,58488
2012-03-14,674.5,676.0,669.77,674.0,43448
