Date,Open,High,Low,Close,Volume
2012-01-03,75.5,75.5,75.03,75.34,107426.0
2012-01-04,75.34,75.5,75.25,75.28,149672.0
2012-01-05,75.35,75.5,75.25,75.47,131833.0
2012-01-06,75.44,75.5,75.25,75.49,256091.0
2012-01-09,75.49,75.5,75.28,75.5,132465.0
2012-01-10,75.5,75.5,75.28,75.28,66085.0
2012-01-11,75.5,75.5,75.25,75.47,191862.0
2012-01-12,75.5,75.5,75.26,75.5,98342.0
2012-01-13,75.25,75.5,75.03,75.03,156300.0
2012-01-16,75.04,75.44,75.02,75.44,75307.0
2012-01-17,75.5,75.6,75.19,75.28,285588.0
2012-01-18,75.38,75.5,75.26,75.28,83510.0
2012-01-19,75.25,75.5,75.25,75.47,133106.0
2012-01-20,75.5,75.5,74.72,74.75,317872.0
2012-01-23,75.25,75.25,73.35,74.75,238284.0
2012-01-24,74.75,74.75,74.15,74.75,190937.0
2012-01-25,74.75,74.75,74.0,74.75,125344.0
2012-01-26,74.75,74.75,74.21,74.59,89325.0
2012-01-27,75.0,75.0,74.3,74.75,120288.0
2012-01-30,74.98,74.98,74.25,74.73,155765.0
2012-01-31,74.75,74.75,74.25,74.74,305176.0
2012-02-01,74.75,74.75,74.0,74.38,214068.0
2012-02-02,74.49,74.5,73.9,74.5,115141.0
2012-02-03,74.5,74.5,73.92,74.29,37124.0
2012-02-06,74.5,74.5,74.0,74.0,87906.0
2012-02-07,74.38,74.5,74.0,74.5,313384.0
2012-02-08,73.5,74.5,73.5,74.5,66162.0
2012-02-09,74.0,74.5,73.9,74.5,262373.0
2012-02-10,74.5,74.5,74.0,74.38,142178.0
2012-02-13,74.5,74.5,74.0,74.38,24968.0
2012-02-14,74.5,74.5,74.1,74.44,2148.0
2012-02-15,73.5,73.75,72.0,72.0,96012.0
2012-02-16,73.0,73.0,72.0,72.5,189.0
2012-02-17,72.02,72.5,72.0,72.0,884.0
2012-02-20,72.0,72.75,72.0,72.0,20479.0
2012-02-21,72.0,72.75,72.0,72.0,40063.0
2012-02-22,72.0,73.1,72.0,72.81,8299.0
2012-02-23,73.25,73.5,72.75,73.0,142.0
2012-02-24,,,,73.99,0.0
