Date,Open,High,Low,Close,Volume
2012-01-03,919.5,952.5,918.5,952.5,85983
2012-01-04,944.0,948.5,914.5,921.5,112898
2012-01-05,910.5,930.0,910.5,928.0,119736
2012-01-06,922.5,940.0,922.08,937.0,128092
2012-01-09,934.0,938.03,929.0,932.5,112025
2012-01-10,940.0,949.0,935.0,946.0,152155
2012-01-11,947.0,948.0,938.49,947.0,124819
2012-01-12,943.5,952.5,943.0,948.0,156394
2012-01-13,946.5,954.0,941.0,947.0,114509
2012-01-16,951.5,951.5,938.62,942.0,108476
2012-01-17,956.0,957.0,945.5,945.5,109148
2012-01-18,945.0,959.21,941.5,946.5,136513
2012-01-19,950.0,960.0,944.24,957.5,140840
2012-01-20,957.5,958.89,949.12,953.0,91497
2012-01-23,946.5,958.5,946.5,958.0,131392
2012-01-24,958.0,958.0,945.7,950.0,129186
2012-01-25,953.5,959.0,947.0,952.0,88286
2012-01-26,949.5,960.4,949.0,950.5,115113
2012-01-27,949.0,959.99,943.42,955.0,130789
2012-01-30,945.0,952.04,941.5,943.0,149262
2012-01-31,950.0,952.24,941.21,944.5,137761
2012-02-01,940.5,958.0,940.5,956.0,166703
2012-02-02,953.0,959.89,952.5,957.5,186449
2012-02-03,960.5,967.12,952.61,967.0,143735
2012-02-06,961.0,970.0,961.0,964.0,166451
2012-02-07,960.0,968.89,955.5,961.0,124769
2012-02-08,961.5,970.0,958.0,961.0,133579
2012-02-09,964.5,969.5,958.0,966.5,110364
2012-02-10,961.5,967.8,957.11,963.5,116151
2012-02-13,967.0,972.2,963.5,971.0,31372
2012-02-14,975.0,975.0,971.0,973.0,53535
2012-02-15,975.0,984.19,973.68,983.0,84838
2012-02-16,980.0,982.5,963.0,965.0,61626
2012-02-17,975.0,990.0,966.03,972.5,37540
2012-02-20,975.0,980.0,969.51,977.5,32633
2012-02-21,975.0,981.0,973.71,981.0,36802
2012-02-22,977.0,984.5,973.5,984.5,49492
2012-02-23,982.5,987.0,978.5,987.0,36249
2012-02-24,989.0,991.5,984.85,989.0,63092
2012-02-27,975.5,990.45,969.33,976.25,79274
2012-02-28,982.0,986.0,976.0,985.5,76703
2012-02-29,986.0,989.98,979.5,980.0,24096
2012-03-01,982.5,988.0,973.0,987.0,45695
2012-03-02,979.0,987.51,979.0,986.0,24795
2012-03-05,985.0,991.3,981.42,984.0,40829
2012-03-06,989.5,989.5,966.0,969.0,86642
2012-03-07,966.0,975.0,966.0,975.0,30085
2012-03-08,976.5,980.0,973.0,978.0,106657
2012-03-09,981.0,986.03,975.5,982.5,40678
2012-03-12,981.0,987.01,980.0,986.0,33986
2012-03-13,990.0,1002.0,988.5,1002.0,120764
2012-03-14,1009.0,1012.0,1002.0,1004.0,86210
2012-03-15,1007.0,1009.0,991.0,1000.0,114341
2012-03-16,994.5,1004.0,994.0,1003.0,178104
2012-03-19,1003.0,1007.17,995.5,1007.0,90747
2012-03-20,1002.0,1004.0,991.71,996.0,68666
2012-03-21,998.0,1002.73,993.0,1002.0,72303
2012-03-22,1002.0,1002.0,992.0,995.5,52061
2012-03-23,991.0,1003.0,983.39,992.0,53874
2012-03-26,999.5,1003.79,990.0,1002.0,35582
2012-03-27,1008.0,1018.0,1000.18,1005.0,100721
2012-03-28,1005.0,1011.64,1000.0,1001.0,64529
2012-03-29,997.5,1006.11,990.0,999.0,111749
2012-03-30,992.0,999.0,988.5,994.0,45223
2012-04-02,998.5,1012.0,992.5,1012.0,28555
2012-04-03,1011.0,1016.09,1001.54,1008.0,91742
2012-04-04,1000.0,1001.36,975.21,980.0,85168
2012-04-05,987.0,990.0,977.44,980.5,166693
2012-04-10,980.5,982.5,962.92,963.5,61162
2012-04-11,963.0,967.0,956.5,964.0,55696
2012-04-12,964.0,973.0,957.5,971.5,54044
