Date,Open,High,Low,Close,Volume
2012-05-30,666.5,669.5,662.51,663.0,4058.0
2012-05-31,664.0,667.0,661.0,661.0,6100.0
2012-06-01,665.0,667.5,655.51,661.5,22011.0
2012-06-06,661.5,670.0,659.09,670.0,2020.0
2012-06-07,670.0,677.9,670.0,675.5,16459.0
2012-06-08,676.5,676.5,668.01,671.0,444.0
2012-06-11,677.0,682.99,671.5,673.5,7308.0
2012-06-12,674.5,675.08,663.5,663.5,34140.0
2012-06-13,665.5,669.0,663.5,665.5,68.0
2012-06-14,667.0,667.0,662.5,662.5,3212.0
2012-06-15,666.0,669.0,655.5,655.5,12864.0
2012-06-18,658.0,659.0,653.0,653.0,7038.0
2012-06-19,655.5,663.39,653.0,663.0,42846.0
2012-06-20,663.5,664.56,659.0,663.5,912.0
2012-06-21,664.5,672.0,660.9,668.0,26288.0
2012-06-22,667.0,671.5,660.5,671.5,31932.0
2012-06-25,671.5,671.5,662.5,662.81,1005.0
2012-06-26,664.5,665.99,661.5,664.0,16581.0
2012-06-27,660.5,670.95,660.0,668.0,7986.0
2012-06-28,668.5,671.5,665.9,668.0,2632.0
2012-06-29,673.0,673.0,672.0,672.0,4719.0
2012-07-02,676.0,676.01,670.5,672.5,13925.0
2012-07-03,675.0,675.0,672.5,675.0,18607.0
2012-07-04,673.5,677.5,673.0,673.0,25734.0
2012-07-05,675.0,677.0,673.01,676.0,10936.0
2012-07-06,678.0,678.0,671.0,675.0,10784.0
2012-07-09,671.0,673.0,669.0,673.0,2693.0
2012-07-10,674.5,676.12,671.95,673.0,5072.0
2012-07-11,673.0,673.0,667.0,670.0,16840.0
2012-07-12,666.5,670.62,664.0,670.0,15791.0
2012-07-13,671.0,675.99,671.0,674.0,12183.0
2012-07-16,673.5,677.06,671.51,675.31,1119.0
2012-07-17,679.0,679.0,670.0,670.0,18198.0
2012-07-18,675.0,682.0,673.0,682.0,6927.0
2012-07-19,680.0,684.5,680.0,684.5,20888.0
2012-07-20,684.0,685.65,681.0,682.0,64058.0
2012-07-23,680.65,680.7,675.51,680.0,18453.0
2012-07-24,680.5,684.49,678.01,680.0,8392.0
2012-07-25,680.0,682.49,676.31,679.0,38441.0
2012-07-26,681.0,682.5,676.5,676.5,32386.0
2012-07-27,679.0,683.0,676.5,679.5,9319.0
2012-07-30,684.0,688.0,684.0,686.0,10703.0
2012-07-31,686.5,690.0,686.0,686.5,4545.0
2012-08-01,692.5,693.5,692.0,693.41,17782.0
2012-08-02,695.0,696.0,685.31,689.0,66750.0
2012-08-03,690.0,701.99,684.95,695.0,84262.0
2012-08-06,697.0,704.0,697.0,703.5,15116.0
2012-08-07,705.0,708.99,702.08,707.5,8386.0
2012-08-08,702.0,704.45,698.0,698.0,16470.0
2012-08-09,700.5,704.0,697.0,697.0,9360.0
2012-08-10,699.0,701.5,692.0,692.0,32756.0
2012-08-13,696.0,697.49,693.2,693.2,2900.0
2012-08-14,697.5,702.0,696.35,702.0,23984.0
2012-08-15,703.0,704.0,698.95,704.0,2864.0
2012-08-16,703.0,704.0,698.0,704.0,51123.0
2012-08-17,704.0,708.0,703.99,708.0,2310.0
2012-08-20,708.0,708.0,702.0,702.0,1284.0
2012-08-21,702.0,707.0,702.0,707.0,761.0
2012-08-22,705.5,706.0,700.55,704.0,21663.0
2012-08-23,700.5,705.45,699.0,699.0,2666.0
2012-08-24,699.0,703.0,697.5,703.0,5132.0
2012-08-28,705.0,710.0,702.0,707.0,11937.0
2012-08-29,705.0,705.0,701.86,703.0,229.0
2012-08-30,708.5,710.0,702.15,708.0,8489.0
2012-08-31,704.0,704.0,700.0,700.0,3833.0
2012-09-03,700.0,705.05,700.0,700.5,1205.0
2012-09-04,706.0,706.0,699.0,699.0,10888.0
2012-09-05,699.0,702.6,699.0,702.0,296.0
2012-09-06,697.0,705.0,697.0,702.0,16416.0
2012-09-07,706.0,710.0,706.0,710.0,2152.0
2012-09-10,708.5,709.5,705.5,709.5,5380.0
2012-09-11,704.9,709.5,704.51,709.5,17.0
2012-09-12,711.0,714.5,706.85,714.5,3147.0
2012-09-13,713.0,714.79,710.35,711.5,13223.0
2012-09-14,719.0,721.15,713.38,715.0,40220.0
2012-09-17,717.5,719.0,713.9,719.0,1053.0
2012-09-18,715.0,719.0,713.35,719.0,70.0
2012-09-19,719.0,719.5,712.0,712.0,650.0
2012-09-20,714.5,716.0,711.01,715.5,885.0
2012-09-21,716.0,718.5,715.0,715.0,2572.0
2012-09-24,716.0,718.04,712.9,715.99,932.0
2012-09-25,712.5,717.9,712.0,712.0,1296.0
2012-09-26,712.0,712.0,707.0,707.0,9757.0
2012-09-27,706.0,710.49,700.0,700.0,12225.0
2012-09-28,704.5,705.0,697.51,700.0,9182.0
2012-10-01,700.0,702.0,700.0,701.5,100.0
2012-10-02,704.5,704.5,698.5,703.0,510.0
2012-10-03,699.5,703.0,697.51,703.0,425.0
2012-10-04,698.5,698.5,695.0,695.0,9545.0
2012-10-05,698.0,698.5,697.5,697.5,152.0
2012-10-08,696.0,699.5,695.0,695.0,7052.0
2012-10-09,695.5,699.5,695.0,695.0,1802.0
2012-10-10,696.0,699.5,695.5,698.0,3079.0
2012-10-11,699.5,700.0,695.45,700.0,209.0
2012-10-12,698.0,700.0,696.49,700.0,4140.0
2012-10-15,696.0,698.49,695.94,696.0,658.0
2012-10-16,699.5,702.78,696.18,702.78,5964.0
2012-10-17,699.0,703.5,698.51,699.0,25000.0
2012-10-18,699.5,701.0,697.35,697.35,5873.0
2012-10-19,697.0,700.49,690.0,690.0,41423.0
2012-10-22,690.5,694.99,689.18,694.5,578.0
2012-10-23,690.0,694.75,689.0,689.0,20063.0
2012-10-24,694.5,694.5,688.61,693.5,1536.0
2012-10-25,692.5,693.0,688.0,688.0,8634.0
2012-10-26,687.0,691.05,686.51,690.24,51.0
2012-10-29,690.0,690.0,686.95,689.74,42646.0
2012-10-30,,,,693.05,0.0
2012-10-31,694.0,695.5,688.0,688.0,8844.0
2012-11-01,695.0,696.0,687.25,696.0,7396.0
2012-11-02,693.0,697.0,688.11,690.0,66257.0
2012-11-05,688.5,690.6,687.0,688.0,18832.0
2012-11-06,689.0,689.25,685.0,685.0,3552.0
2012-11-07,690.5,690.5,685.51,686.0,4729.0
2012-11-08,687.5,689.49,683.51,687.5,1030.0
2012-11-09,683.0,683.25,679.5,683.22,5000.0
2012-11-12,681.5,684.5,679.5,684.5,1819.0
2012-11-13,679.0,683.0,679.0,683.0,58076.0
2012-11-14,681.5,685.74,673.0,673.0,15211.0
2012-11-15,672.5,675.24,666.75,669.0,8526.0
2012-11-16,667.3,667.5,664.5,667.5,15.0
2012-11-19,669.5,670.0,665.63,670.0,20008.0
2012-11-20,668.5,670.8,668.5,670.5,51906.0
