Date,Open,High,Low,Close,Volume
2012-01-03,54.0,55.0,50.59,54.63,38187
2012-01-04,53.0,54.0,52.6,53.08,51950
2012-01-05,53.0,53.0,52.25,52.25,52339
2012-01-06,53.0,54.0,52.28,54.0,37672
2012-01-09,53.0,53.0,52.0,52.0,9060
2012-01-10,52.75,53.0,52.0,53.0,246765
2012-01-11,53.0,53.0,50.0,51.2,82190
2012-01-12,50.62,53.35,50.0,50.0,23147
2012-01-13,53.8,54.0,52.0,52.0,17575
2012-01-16,54.0,55.0,52.0,52.23,148489
2012-01-17,53.0,53.95,51.3,53.0,41385
2012-01-18,55.0,56.0,53.02,56.0,8262
2012-01-19,55.55,54.0,53.28,53.98,26776
2012-01-20,53.5,55.73,51.0,54.5,89312
2012-01-23,55.0,58.05,54.4,54.98,241166
2012-01-24,60.0,60.0,56.25,56.48,215703
2012-01-25,57.0,60.25,56.15,60.25,15060
2012-01-26,58.0,60.25,56.0,56.98,367900
2012-01-27,60.0,62.28,59.0,60.98,323295
2012-01-30,60.0,64.0,58.42,62.46,229289
2012-01-31,64.0,64.0,59.25,61.3,460610
2012-02-01,62.5,64.0,62.0,62.48,33016
2012-02-02,64.0,64.0,60.0,63.46,521270
2012-02-03,61.0,63.5,59.6,62.72,25962130
2012-02-06,63.5,64.97,61.0,63.31,335343
2012-02-07,60.5,62.0,60.0,60.0,42300
2012-02-08,60.25,63.0,60.25,63.0,1157553
2012-02-09,61.0,63.0,59.0,59.95,236550
2012-02-10,61.0,63.75,60.0,63.5,285852
2012-02-13,63.5,63.61,62.5,62.99,56166
2012-02-14,65.5,66.49,63.25,65.99,85978
2012-02-15,64.5,65.5,63.0,63.0,36228
2012-02-16,63.25,65.28,61.0,62.0,57332
2012-02-17,63.0,64.5,63.0,63.0,167989
2012-02-20,64.5,65.0,64.08,64.5,15000
2012-02-21,64.0,64.9,62.0,64.0,38519
2012-02-22,63.0,63.9,62.0,63.0,225377
2012-02-23,62.0,68.39,62.0,66.66,144617
2012-02-24,65.0,69.0,65.0,68.0,42809
2012-02-27,69.0,69.28,66.0,66.0,108688
2012-02-28,65.0,70.0,65.0,65.0,71848
2012-02-29,66.75,69.44,66.0,66.0,32697
2012-03-01,68.25,75.76,67.55,70.36,197337
2012-03-02,74.0,80.0,72.25,77.5,133602
2012-03-05,80.0,80.0,76.0,76.0,103825
2012-03-06,77.0,77.11,69.0,71.0,119160
2012-03-07,71.5,75.25,68.29,75.25,22161
2012-03-08,72.5,74.0,71.52,74.0,28967
2012-03-09,74.0,75.49,71.0,72.0,38943
2012-03-12,74.5,75.4,73.5,74.28,7521
2012-03-13,73.0,75.6,72.5,73.5,7055
2012-03-14,76.0,76.0,68.5,69.74,35633
2012-03-15,72.0,74.0,69.1,74.0,38345
2012-03-16,74.0,75.5,73.9,75.25,79171
2012-03-19,75.5,75.5,73.56,74.0,10876
2012-03-20,74.0,75.8,72.0,72.0,14513
2012-03-21,72.0,74.98,68.32,70.0,88633
2012-03-22,70.0,71.48,65.75,66.91,82370
2012-03-23,69.0,69.0,64.0,69.0,29207
2012-03-26,66.0,68.57,62.25,68.0,225613
2012-03-27,66.0,68.5,65.0,66.0,66089
2012-03-28,69.0,69.76,64.0,65.0,73534
2012-03-29,65.0,65.8,60.1,62.0,61187
2012-03-30,61.0,64.0,60.98,61.0,50464
2012-04-02,65.0,68.0,61.0,65.0,853187
2012-04-03,63.0,68.5,63.0,68.0,15699
2012-04-04,66.75,71.0,66.75,68.0,884744
2012-04-05,68.0,69.0,67.0,67.0,169641
2012-04-10,67.5,69.5,66.5,67.78,135761
2012-04-11,66.25,69.0,66.0,69.0,18092
2012-04-12,67.5,69.75,66.1,67.63,16320
2012-04-13,68.0,68.0,66.0,67.04,10292
2012-04-16,66.25,67.8,64.5,64.5,24906
2012-04-17,68.0,68.0,66.5,67.5,2358
2012-04-18,68.5,68.75,64.79,68.75,10800
2012-04-19,69.0,69.0,66.5,68.0,9223
2012-04-20,66.5,69.0,66.0,67.5,7964
2012-04-23,68.37,68.37,66.01,67.0,3367
2012-04-24,67.0,70.0,66.5,68.5,226625
2012-04-25,68.0,68.8,67.0,68.62,51788
2012-04-26,68.5,69.0,68.25,68.52,121212
2012-04-27,68.5,68.5,66.48,68.5,336970
2012-04-30,68.5,70.0,68.5,69.5,882
2012-05-01,,,,69.0,0
2012-05-02,70.0,70.0,68.5,69.5,13815
2012-05-03,69.5,69.5,67.87,69.0,4033
2012-05-04,68.5,68.97,68.1,68.1,2500
2012-05-08,67.25,68.56,64.0,64.0,18274
2012-05-09,65.0,67.6,63.0,63.0,23622
2012-05-10,65.55,65.9,64.0,64.0,260
2012-05-11,65.8,67.0,65.0,65.0,328
2012-05-14,67.0,67.0,63.0,63.0,28392
2012-05-15,63.0,66.44,58.0,60.75,79238
2012-05-16,62.0,63.0,57.75,62.75,91917
2012-05-17,60.0,62.75,59.0,62.75,5643
2012-05-18,63.0,63.0,57.0,59.0,83429
2012-05-21,60.0,61.85,60.0,61.0,26350
2012-05-22,63.0,63.0,59.25,62.0,159718
2012-05-23,62.0,62.5,60.25,62.0,90013
2012-05-24,62.0,63.0,61.0,63.0,20658
2012-05-25,62.0,63.0,61.03,62.5,25063
2012-05-28,63.0,66.5,61.04,64.26,44652
2012-05-29,63.0,66.5,63.0,66.0,22238
2012-05-30,67.0,67.0,63.0,63.0,5816
2012-05-31,66.0,67.0,63.0,65.73,397360
2012-06-01,65.75,67.5,60.25,61.5,34004
2012-06-06,65.0,65.0,60.0,63.23,62999
2012-06-07,64.0,66.0,62.68,65.12,22482
2012-06-08,65.0,65.0,64.85,65.0,3635
2012-06-11,66.0,66.0,63.4,65.0,3739
2012-06-12,65.0,66.0,62.0,66.0,103826
2012-06-13,65.0,65.0,64.15,65.0,174154
2012-06-14,64.0,64.5,63.5,63.5,13794
2012-06-15,,,,64.82,0
2012-06-18,64.0,64.78,63.0,64.0,14940
2012-06-19,63.5,64.84,63.5,63.5,502
2012-06-20,64.0,64.0,63.5,63.5,5911
2012-06-21,64.5,64.5,62.0,63.0,2592
2012-06-22,63.0,63.0,61.0,61.0,11000
2012-06-25,61.0,62.0,61.0,62.0,5017
2012-06-26,61.0,61.0,60.0,60.0,21091
2012-06-27,59.89,61.56,59.89,60.0,213299
2012-06-28,63.0,64.5,61.75,61.75,55873
2012-06-29,64.0,67.0,61.42,64.0,257328
2012-07-02,66.5,68.0,64.63,67.25,195338
2012-07-03,67.0,69.0,67.0,67.13,217018
2012-07-04,68.0,69.0,67.5,67.5,32904
2012-07-05,67.0,67.7,65.0,65.0,14355
2012-07-06,65.0,66.75,64.5,64.5,17773
2012-07-09,64.5,67.0,64.45,67.0,1830
2012-07-10,65.0,66.0,64.0,64.0,1648
2012-07-11,64.0,65.0,61.85,65.0,14482
2012-07-12,,,,61.8,0
2012-07-13,61.75,64.0,61.43,64.0,32892
2012-07-16,60.25,62.5,59.5,62.0,17201
2012-07-17,59.0,61.73,59.0,60.0,8500
2012-07-18,58.25,60.67,57.5,57.5,11440
2012-07-19,58.0,59.33,56.3,57.5,13177
2012-07-20,56.0,57.5,56.0,56.0,2022
2012-07-23,57.0,58.7,55.51,56.0,10000
2012-07-24,55.0,55.5,50.0,52.08,137919
2012-07-25,54.0,55.0,52.5,53.11,4737
2012-07-26,55.0,60.0,55.0,59.35,130371
2012-07-27,60.0,61.0,58.0,59.12,97333
2012-07-30,59.0,60.1,58.5,59.12,9361
2012-07-31,61.0,62.0,59.1,62.0,1358078
2012-08-01,62.7,62.99,60.5,61.0,1000
2012-08-02,60.0,62.0,60.0,60.33,743
2012-08-03,61.0,61.8,60.0,61.35,4773
2012-08-06,61.0,61.99,60.0,61.0,16204
2012-08-07,60.0,60.8,58.85,59.01,9858
2012-08-08,57.0,58.88,56.15,57.0,13741
2012-08-09,59.0,59.0,56.73,58.5,107583
2012-08-10,60.11,65.0,60.0,64.0,410217
2012-08-13,63.0,64.74,62.25,63.0,49086
2012-08-14,60.0,62.0,59.12,59.5,16419
2012-08-15,59.0,61.99,59.0,59.0,2373
2012-08-16,59.0,60.85,58.33,58.33,6000
2012-08-17,61.0,61.0,61.0,61.0,1621
2012-08-20,61.4,61.8,58.29,59.0,2285
2012-08-21,58.0,59.7,56.92,58.58,14232
2012-08-22,59.0,59.11,57.0,58.37,25628
2012-08-23,,,,60.0,0
2012-08-24,57.0,59.0,57.0,57.3,1213
2012-08-28,58.0,58.0,58.0,58.0,12217
2012-08-29,57.0,59.0,56.0,56.0,3245
2012-08-30,59.0,59.0,56.0,56.0,3347
2012-08-31,58.34,58.34,54.75,54.75,23940
2012-09-03,57.0,59.0,57.0,57.72,7510
2012-09-04,59.0,59.0,56.0,56.0,57940
2012-09-05,59.0,59.0,57.1,59.0,1251
2012-09-06,60.0,61.0,58.0,61.0,157359
2012-09-07,61.0,61.0,58.45,60.0,10770
2012-09-10,58.0,59.0,57.0,58.0,59656
2012-09-11,59.0,61.0,59.0,61.0,10433
2012-09-12,61.0,61.09,57.0,61.0,77478
2012-09-13,59.0,59.5,56.0,59.0,41392
2012-09-14,56.0,62.0,56.0,59.0,244778
2012-09-17,59.75,59.75,57.96,58.0,5924
2012-09-18,58.0,59.0,56.0,57.5,554230
2012-09-19,56.09,55.0,55.0,55.0,30287
2012-09-20,56.0,56.9,55.0,56.9,9519
2012-09-21,56.0,57.0,55.0,55.83,37210
2012-09-24,56.5,56.86,55.5,56.5,9194
2012-09-25,55.11,56.5,54.22,56.5,5000
2012-09-26,56.5,59.0,56.0,57.75,46861
2012-09-27,56.0,58.0,56.0,57.0,49662
2012-09-28,57.0,59.75,57.0,59.75,30232
2012-10-01,57.25,60.0,57.25,57.5,8569
2012-10-02,60.0,63.75,56.4,63.5,57620
2012-10-03,60.0,64.76,60.0,63.0,42618
2012-10-04,64.0,65.02,62.2,64.0,60320
2012-10-05,64.0,70.0,62.2,69.0,344115
2012-10-08,70.0,70.0,66.44,66.5,36925
2012-10-09,65.5,67.8,65.5,66.0,14534
2012-10-10,64.0,66.2,62.25,66.0,27388
2012-10-11,65.0,66.0,62.22,66.0,67793
2012-10-12,65.75,66.5,64.75,66.0,63857
2012-10-15,64.5,65.86,59.0,59.0,116802
2012-10-16,59.0,59.99,58.56,59.0,45567
2012-10-17,58.0,59.0,56.0,58.6,14000
2012-10-18,,,,58.68,0
2012-10-19,59.0,59.0,56.2,57.0,32524
2012-10-22,57.0,59.0,56.0,57.0,44022
2012-10-23,57.5,59.0,56.24,59.0,8156
2012-10-24,59.0,60.0,57.0,59.0,16327
2012-10-25,60.0,65.0,60.0,61.46,90773
2012-10-26,63.0,66.0,62.5,66.0,62258
2012-10-29,66.0,66.25,63.32,66.25,95490
2012-10-30,65.5,67.0,65.0,67.0,11525
2012-10-31,66.0,66.97,66.0,66.0,8876
2012-11-01,66.0,66.0,65.06,66.0,14989
2012-11-02,65.0,65.5,63.26,65.5,37079
2012-11-05,66.75,68.0,65.22,67.0,40751
2012-11-06,66.5,67.5,63.0,66.0,81725
2012-11-07,66.5,66.78,65.1,65.5,3333
2012-11-08,66.0,66.5,65.0,66.5,4058
2012-11-09,65.0,67.0,65.0,66.94,20772
2012-11-12,67.0,68.1,67.0,68.0,29620
2012-11-13,67.75,68.0,67.3,67.3,7545
2012-11-14,67.0,67.85,66.5,67.02,2500
2012-11-15,67.25,67.26,65.0,67.0,27682
2012-11-16,67.0,70.0,67.0,68.5,116820
2012-11-19,69.5,71.89,69.5,71.5,21711
2012-11-20,72.0,73.0,71.1,72.0,28708
2012-11-21,72.0,72.91,71.0,71.59,16192
2012-11-22,72.25,76.0,72.25,75.0,31117
2012-11-23,76.0,77.27,73.0,75.0,11859
2012-11-26,75.0,77.22,73.0,73.06,35127
2012-11-27,74.0,74.08,71.5,72.75,23222
2012-11-28,72.0,73.0,67.5,72.0,38357
2012-11-29,70.0,71.5,68.88,70.35,74557
2012-11-30,71.0,76.0,71.0,74.02,139403
2012-12-03,76.0,77.5,76.0,75.94,337777
2012-12-04,77.5,78.85,75.0,77.0,55458
2012-12-05,79.0,79.0,74.0,75.75,396805
2012-12-06,75.75,78.38,75.12,78.0,23316
2012-12-07,77.0,82.25,77.0,82.25,81088
2012-12-10,82.0,82.5,77.78,80.0,52572
2012-12-11,79.75,81.0,78.0,81.0,79746
2012-12-12,81.5,82.0,80.0,81.0,56134
2012-12-13,82.0,82.2,80.26,81.0,19967
2012-12-14,82.5,85.5,81.0,84.92,535245
2012-12-17,85.5,86.7,84.0,86.0,237919
2012-12-18,85.75,88.33,85.34,86.0,211066
2012-12-19,86.5,86.5,85.0,86.02,32603
2012-12-20,86.5,88.82,86.0,86.0,101993
2012-12-21,88.75,89.0,86.0,87.0,171287
2012-12-24,89.0,92.0,86.5,89.0,44962
2012-12-27,91.0,92.0,89.24,90.0,113210
2012-12-28,90.0,92.0,88.0,88.0,85393
2012-12-31,88.0,91.0,86.24,88.0,32882
2013-01-02,89.0,97.0,87.65,88.38,230493
2013-01-03,97.0,101.0,95.5,99.0,114723
2013-01-04,100.0,102.0,98.0,99.37,259618
2013-01-07,99.0,99.0,91.75,96.5,135460
2013-01-08,95.75,96.96,94.0,95.0,112506
2013-01-09,96.0,97.0,93.0,95.0,91472
2013-01-10,96.5,100.0,95.5,99.0,204256
2013-01-11,99.0,99.0,96.82,98.0,151455
2013-01-14,98.0,99.0,97.24,97.75,448241
2013-01-15,97.5,98.0,94.44,95.5,200541
2013-01-16,95.5,99.0,93.0,99.0,287037
2013-01-17,98.25,104.51,98.25,104.5,376252
2013-01-18,105.0,110.0,105.0,110.0,555057
2013-01-21,108.0,114.0,108.0,112.5,540473
2013-01-22,112.5,118.0,109.18,109.75,419064
2013-01-23,125.0,142.0,115.0,133.25,2911766
2013-01-24,137.0,140.0,126.83,131.25,1686758
2013-01-25,134.5,138.0,131.33,136.77,1248396
2013-01-28,137.0,159.75,136.67,154.75,1167836
2013-01-29,155.0,165.0,145.7,151.34,1224864
