Date,Open,High,Low,Close,Volume
2014-04-25,100.4,101.5,100.0,101.18,0
2014-04-28,100.75,100.75,100.5,100.75,0
2014-04-29,100.75,100.75,100.74,100.74,0
2014-04-30,101.0,101.0,100.74,100.74,0
2014-05-01,100.75,101.0,100.74,101.0,0
2014-05-02,100.85,101.25,100.85,101.25,0
2014-05-06,101.5,101.5,101.49,101.49,0
2014-05-07,101.49,101.49,101.0,101.49,0
2014-05-08,101.5,101.7,101.5,101.7,0
2014-05-09,101.49,101.7,101.3,101.49,0
2014-05-12,101.62,101.7,101.62,101.7,0
2014-05-13,101.75,101.9,101.6,101.6,0
2014-05-14,101.8,101.8,101.5,101.62,0
2014-05-15,101.8,101.95,101.55,101.8,0
2014-05-16,101.8,101.8,101.8,101.8,0
2014-05-19,101.8,101.8,101.8,101.8,0
2014-05-20,101.8,101.8,101.6,101.75,0
2014-05-21,101.8,101.9,101.5,101.9,0
2014-05-22,102.0,102.0,101.87,101.87,0
2014-05-23,102.3,102.33,102.0,102.33,0
2014-05-27,102.33,102.33,102.33,102.33,0
2014-05-28,102.4,102.4,102.25,102.4,0
2014-05-29,102.8,102.8,102.4,102.4,0
2014-05-30,102.8,102.8,102.8,102.8,0
2014-06-02,102.85,102.85,102.85,102.85,0
2014-06-03,102.85,102.9,102.37,102.9,0
2014-06-04,102.85,102.99,102.85,102.85,0
2014-06-05,,,,102.85,0
2014-06-06,102.85,102.85,102.5,102.6,0
2014-06-09,102.35,103.0,102.35,102.81,0
2014-06-10,102.37,102.37,102.25,102.35,0
2014-06-11,102.81,103.0,102.6,102.75,0
2014-06-12,102.9,102.9,102.9,102.9,0
2014-06-13,103.0,103.0,102.5,102.5,0
2014-06-16,102.84,103.09,102.84,103.09,0
2014-06-17,103.09,103.09,102.5,102.75,0
2014-06-18,,,,102.75,0
2014-06-19,103.25,103.25,103.09,103.1,0
2014-06-20,103.15,103.35,102.86,103.35,0
2014-06-23,102.86,103.29,102.86,103.29,0
2014-06-24,103.29,103.29,103.29,103.29,0
