Date,Open,High,Low,Close,Volume
2012-01-03,224.5,226.4,219.14,226.4,740376
2012-01-04,225.8,228.4,224.0,225.5,744828
2012-01-05,226.5,226.5,219.6,220.4,801552
2012-01-06,221.2,225.0,220.8,222.2,568570
2012-01-09,221.9,224.5,216.4,221.0,564725
2012-01-10,221.7,226.4,220.5,220.9,593609
2012-01-11,221.5,223.8,219.1,221.7,494296
2012-01-12,222.3,224.4,220.9,222.2,644556
2012-01-13,222.6,223.99,219.0,220.2,308881
2012-01-16,218.8,220.9,217.6,219.5,447397
2012-01-17,221.9,225.3,220.6,221.5,560574
2012-01-18,221.2,226.9,220.2,225.7,504214
2012-01-19,226.7,228.4,225.7,226.8,584919
2012-01-20,227.8,229.6,222.3,224.2,622469
2012-01-23,224.8,226.9,223.3,223.6,342933
2012-01-24,222.4,223.9,219.0,221.8,458226
2012-01-25,221.5,222.4,215.9,216.6,658654
2012-01-26,216.3,218.8,215.05,217.3,1150372
2012-01-27,216.0,220.9,215.6,215.8,773329
2012-01-30,214.4,215.1,207.4,208.4,1193847
2012-01-31,209.8,218.6,209.8,216.9,974437
2012-02-01,216.9,224.2,216.9,222.9,1003715
2012-02-02,227.7,227.7,220.6,224.2,790813
2012-02-03,222.4,226.2,221.0,225.2,906566
2012-02-06,225.8,225.9,221.6,225.0,585454
2012-02-07,225.8,226.9,222.3,224.1,846439
2012-02-08,224.2,225.2,221.2,222.9,651890
2012-02-09,222.9,227.2,222.53,224.9,824356
2012-02-10,223.7,225.4,222.7,224.7,523179
2012-02-13,225.3,227.9,222.1,227.3,500015
2012-02-14,226.7,228.7,225.8,227.5,663781
2012-02-15,227.8,229.2,223.0,225.5,822070
2012-02-16,223.2,225.4,221.2,224.9,581294
2012-02-17,225.7,229.92,225.7,229.9,687445
2012-02-20,228.5,231.5,226.0,229.0,675481
2012-02-21,228.3,228.3,223.3,225.9,609001
2012-02-22,225.5,226.3,221.1,223.1,907321
2012-02-23,222.1,225.2,216.4,219.4,872103
2012-02-24,220.9,222.8,218.7,222.1,942695
2012-02-27,222.8,223.3,219.0,220.9,476241
2012-02-28,221.0,226.2,217.0,221.2,919469
2012-02-29,227.0,233.5,225.8,233.5,1709168
2012-03-01,236.0,241.86,231.2,241.8,1032454
2012-03-02,239.6,240.73,236.7,238.7,816051
2012-03-05,238.5,240.7,236.39,240.0,932804
2012-03-06,239.1,239.2,232.1,235.2,1193194
2012-03-07,234.3,240.0,233.3,239.8,1055038
2012-03-08,239.6,243.9,236.1,242.1,1209504
2012-03-09,241.0,244.9,241.0,242.6,777794
2012-03-12,241.7,244.06,241.7,243.2,257357
2012-03-13,243.2,246.3,242.0,244.8,524212
2012-03-14,246.2,250.5,245.9,247.5,997848
2012-03-15,248.5,250.4,246.59,248.0,1140257
2012-03-16,247.6,252.5,246.4,251.6,1316103
2012-03-19,255.5,256.2,248.3,249.3,880158
2012-03-20,248.4,249.2,244.9,246.0,616119
2012-03-21,247.1,251.4,246.0,249.6,888208
2012-03-22,248.2,249.99,242.9,246.1,673488
2012-03-23,246.9,249.1,244.9,248.2,888854
2012-03-26,248.1,252.5,248.0,250.5,685227
2012-03-27,251.8,253.7,250.1,250.1,785398
2012-03-28,250.0,253.8,247.4,252.0,1166222
2012-03-29,250.0,250.0,236.5,239.2,2120939
2012-03-30,239.7,241.1,237.5,240.9,1250903
2012-04-02,241.7,242.6,236.1,236.4,1678492
2012-04-03,237.9,240.0,235.5,237.2,1015440
2012-04-04,237.7,237.7,227.69,228.5,1451449
2012-04-05,233.6,246.2,231.4,236.5,1487559
2012-04-10,236.6,236.61,229.1,229.1,802139
2012-04-11,228.4,231.6,227.6,228.35,1069430
2012-04-12,229.2,231.9,227.5,230.2,845028
2012-04-13,230.7,230.9,226.9,227.3,603951
2012-04-16,226.3,227.7,223.2,225.0,1000369
2012-04-17,225.8,232.4,224.1,230.7,925445
2012-04-18,231.4,231.5,227.57,228.2,952049
2012-04-19,229.8,229.8,222.8,223.5,1003088
2012-04-20,222.9,223.54,218.6,219.4,1024946
2012-04-23,217.7,223.9,212.5,212.6,1115868
2012-04-24,214.2,217.7,212.6,216.6,755262
2012-04-25,211.3,212.7,208.6,210.5,1371509
2012-04-26,211.7,212.12,208.8,208.8,1066417
2012-04-27,208.3,218.5,205.6,216.9,1591634
2012-04-30,216.7,217.8,213.8,216.7,1166891
2012-05-01,216.0,222.6,216.0,221.5,555705
2012-05-02,222.8,229.38,218.7,221.7,1200684
2012-05-03,223.0,227.5,220.5,226.5,1751482
2012-05-04,226.5,226.6,219.5,219.5,805693
2012-05-08,221.1,222.88,213.45,213.5,1389750
2012-05-09,216.5,216.5,208.6,210.5,1225153
2012-05-10,212.7,214.8,210.3,212.9,726552
2012-05-11,212.8,216.1,212.3,215.6,458721
2012-05-14,213.2,213.2,206.5,206.8,800810
2012-05-15,208.6,209.5,201.9,201.9,874743
2012-05-16,200.5,202.8,197.4,200.3,919989
2012-05-17,200.0,200.9,195.8,197.1,1269498
2012-05-18,195.1,198.9,193.0,196.3,796961
2012-05-21,194.4,197.2,192.2,194.2,823033
2012-05-22,195.7,198.71,192.5,194.5,885087
2012-05-23,193.7,193.7,187.7,187.7,1141977
2012-05-24,189.5,192.6,188.2,191.6,746091
2012-05-25,192.3,193.9,191.1,191.7,913529
2012-05-28,192.3,195.2,187.23,192.6,448147
2012-05-29,193.2,193.9,188.0,190.7,577955
2012-05-30,190.1,190.4,186.1,186.1,1198562
2012-05-31,187.7,190.7,187.0,188.2,1607147
2012-06-01,190.0,190.0,182.4,183.1,923703
2012-06-06,184.3,186.88,180.9,184.0,1125868
2012-06-07,185.4,185.4,181.3,183.8,980884
2012-06-08,181.9,183.2,178.8,181.4,968626
2012-06-11,185.0,189.18,184.3,184.3,987488
2012-06-12,185.2,185.2,178.9,180.7,1256439
2012-06-13,180.2,182.1,176.5,180.0,948904
2012-06-14,179.8,181.4,177.9,180.9,927829
2012-06-15,181.1,194.22,181.1,194.1,2857088
2012-06-18,193.5,194.7,184.5,194.0,1775903
2012-06-19,193.3,199.0,193.0,199.0,1539130
2012-06-20,198.8,208.72,198.01,208.7,1563337
2012-06-21,207.4,208.11,205.3,205.5,977725
2012-06-22,204.5,205.0,202.06,202.4,839773
2012-06-25,202.0,203.0,200.6,201.2,981929
2012-06-26,201.1,204.2,201.1,202.6,561399
2012-06-27,203.4,205.1,200.8,205.1,379640
2012-06-28,205.1,208.34,202.1,204.2,1156933
2012-06-29,209.1,214.3,207.4,214.2,1102670
2012-07-02,214.7,215.0,211.2,214.1,750914
2012-07-03,216.5,217.23,211.7,216.0,857982
2012-07-04,219.37,219.37,214.4,215.5,437144
2012-07-05,214.5,215.9,207.9,213.7,431303
2012-07-06,214.1,214.8,211.4,214.0,376318
2012-07-09,213.7,215.7,213.2,215.7,496942
2012-07-10,215.5,218.8,215.5,218.5,572831
2012-07-11,217.2,218.24,215.0,217.0,941355
2012-07-12,215.3,215.82,214.9,216.5,711665
2012-07-13,220.8,220.8,215.0,219.5,562033
2012-07-16,218.0,224.2,215.08,224.2,501783
2012-07-17,223.6,224.0,218.0,221.8,908593
2012-07-18,221.7,223.46,216.6,218.3,918608
2012-07-19,219.4,222.42,218.6,222.4,644782
2012-07-20,222.9,223.6,218.56,220.0,566844
2012-07-23,220.6,225.0,212.0,212.0,1067447
2012-07-24,211.6,212.8,210.2,211.0,529792
2012-07-25,211.3,213.73,209.2,211.5,912289
2012-07-26,207.0,217.0,207.0,213.0,601381
2012-07-27,208.1,213.8,204.9,213.3,551309
