Date,Open,High,Low,Close,Volume
2012-04-03,209.75,224.25,209.75,224.25,1495557.0
2012-04-04,222.0,224.5,219.0,224.13,35369.0
2012-04-05,225.0,225.25,223.75,224.5,607517.0
2012-04-10,227.0,234.0,225.0,230.0,54785.0
2012-04-11,214.5,220.0,214.5,220.0,184549.0
2012-04-12,220.0,220.0,215.0,219.67,311085.0
2012-04-13,220.0,220.0,214.0,214.68,131254.0
2012-04-16,215.0,215.0,214.78,214.78,318835.0
2012-04-17,214.0,216.5,212.0,216.28,110556.0
2012-04-18,217.5,225.0,214.0,222.0,47110.0
2012-04-19,230.0,230.0,216.75,216.75,47956.0
2012-04-20,220.0,230.0,218.0,218.0,2144.0
2012-04-23,223.0,223.0,215.0,217.0,12538.0
2012-04-24,217.0,217.0,214.0,215.1,125310.0
2012-04-25,212.0,212.75,208.0,212.0,513073.0
2012-04-26,210.0,210.0,209.0,209.0,27340.0
2012-04-27,209.0,210.0,209.0,210.0,266525.0
2012-04-30,208.0,210.0,208.0,209.5,90983.0
2012-05-01,209.5,210.0,209.0,210.0,13351.0
2012-05-02,208.0,209.0,207.0,207.0,188716.0
2012-05-03,208.0,208.0,204.94,207.0,123146.0
2012-05-04,207.0,207.0,205.0,205.0,61556.0
2012-05-08,205.0,205.0,205.0,205.0,20655.0
2012-05-09,201.0,201.0,185.25,201.0,43032.0
2012-05-10,205.0,210.0,201.0,201.0,156553.0
2012-05-11,200.0,204.74,200.0,204.74,116296.0
2012-05-14,200.0,203.0,200.0,200.0,30879.0
2012-05-15,206.0,209.48,197.75,199.8,28150.0
2012-05-16,200.0,200.0,199.0,200.0,164096.0
2012-05-17,200.0,200.0,198.0,199.8,62230.0
2012-05-18,197.0,198.0,190.0,198.0,11443.0
2012-05-21,194.0,205.0,190.0,196.0,75537.0
2012-05-22,196.0,200.0,196.0,197.8,116988.0
2012-05-23,199.0,199.5,196.0,197.8,120918.0
2012-05-24,200.0,200.0,192.78,197.8,94230.0
2012-05-25,198.0,205.0,198.0,203.05,137091.0
2012-05-28,213.5,213.5,209.25,210.0,42662.0
2012-05-29,215.0,215.0,208.5,209.0,142066.0
2012-05-30,210.0,210.0,204.5,204.5,42525.0
2012-05-31,205.25,209.0,205.0,209.0,55142.0
2012-06-01,209.0,209.0,198.0,206.0,35281.0
2012-06-06,207.75,209.75,200.5,205.0,455300.0
2012-06-07,207.5,215.0,206.0,210.0,782500.0
2012-06-08,200.0,225.0,200.0,224.75,232945.0
2012-06-11,220.25,230.0,220.0,226.5,307668.0
2012-06-12,225.0,226.5,216.75,224.75,391272.0
2012-06-13,227.75,229.5,219.0,225.0,367336.0
2012-06-14,230.0,230.0,205.5,212.75,262586.0
2012-06-15,223.25,225.0,201.75,202.05,2187418.0
2012-06-18,200.0,205.0,195.0,202.5,171189.0
2012-06-19,200.0,201.2,188.77,199.7,384445.0
2012-06-20,193.0,205.0,193.0,200.0,135889.0
2012-06-21,200.0,200.0,197.0,197.5,292991.0
2012-06-22,195.0,200.0,192.71,195.0,136953.0
2012-06-25,200.0,200.0,194.9,194.9,32023.0
2012-06-26,197.2,197.2,193.8,194.0,28363.0
2012-06-27,193.0,195.7,193.0,194.0,99527.0
2012-06-28,193.0,195.5,190.09,194.0,47753.0
2012-06-29,194.8,198.0,190.5,190.5,55077.0
2012-07-02,190.1,197.03,190.0,193.0,95526.0
2012-07-03,193.0,198.0,190.0,197.4,55069.0
2012-07-04,196.9,204.8,196.9,203.0,27744.0
2012-07-05,203.9,205.1,198.0,198.0,91295.0
2012-07-06,199.5,202.0,199.23,200.0,11835.0
2012-07-09,197.3,203.3,197.3,200.0,33560.0
2012-07-10,206.0,206.0,200.0,200.5,23517.0
2012-07-11,198.0,202.0,198.0,198.0,163648.0
2012-07-12,0.0,199.9,195.7,199.9,14265.0
2012-07-13,195.1,200.9,195.1,200.0,15054.0
2012-07-16,196.9,200.0,196.9,200.0,46011.0
2012-07-17,198.3,200.0,193.0,193.0,16768.0
2012-07-18,199.9,200.0,194.0,200.0,109229.0
2012-07-19,197.0,200.0,197.0,200.0,31241.0
2012-07-20,200.0,200.0,193.0,196.7,6606.0
2012-07-23,193.0,199.9,193.0,199.5,4242.0
2012-07-24,193.0,195.0,193.0,195.0,23719.0
2012-07-25,195.0,195.4,193.0,193.5,39012.0
2012-07-26,193.1,197.9,193.0,196.0,33294.0
2012-07-27,199.9,201.7,193.0,201.7,13094.0
2012-07-30,204.0,204.0,197.0,200.0,36325.0
2012-07-31,200.0,200.0,195.0,195.0,17823.0
2012-08-01,199.8,199.8,188.97,196.0,60499.0
2012-08-02,199.8,199.8,194.0,194.0,9141.0
2012-08-03,199.9,199.9,194.9,199.0,8709.0
2012-08-06,199.9,200.0,197.8,199.5,25964.0
2012-08-07,200.0,200.0,197.21,199.0,60075.0
2012-08-08,199.0,200.0,197.0,199.0,10864.0
2012-08-09,193.4,200.0,193.4,199.0,19025.0
2012-08-10,204.7,204.7,195.5,198.0,54146.0
2012-08-13,198.0,200.0,195.0,198.0,86717.0
2012-08-14,198.0,200.0,195.0,199.0,12712.0
2012-08-15,198.6,199.9,192.8,192.8,2288.0
2012-08-16,201.6,201.6,185.87,190.0,40733.0
2012-08-17,193.5,193.9,185.4,193.7,14680.0
2012-08-20,193.7,199.1,193.7,197.8,7033.0
2012-08-21,190.2,197.19,190.0,190.0,7931.0
2012-08-22,190.2,197.0,190.2,196.4,7215.0
2012-08-23,192.3,198.48,191.0,197.0,3678.0
2012-08-24,195.9,197.0,188.1,197.0,26722.0
2012-08-28,198.0,198.4,188.93,197.5,45866.0
2012-08-29,196.3,206.1,190.1,198.3,295831.0
2012-08-30,199.5,199.5,192.6,197.0,76776.0
2012-08-31,196.0,199.5,196.0,199.5,4973.0
2012-09-03,199.4,200.0,196.0,197.0,31925.0
2012-09-04,200.0,200.0,194.1,196.0,35091.0
2012-09-05,194.0,197.49,186.0,186.0,12683.0
2012-09-06,186.6,193.7,186.6,193.7,20605.0
2012-09-07,193.7,195.0,192.6,193.0,4291.0
2012-09-10,191.3,195.0,190.0,190.0,18790.0
2012-09-11,190.9,190.9,190.0,190.0,1539.0
2012-09-12,192.0,194.1,190.0,192.0,103354.0
2012-09-13,194.9,196.9,190.0,190.0,29167.0
2012-09-14,190.3,195.4,190.0,194.6,9315.0
2012-09-17,192.0,195.0,190.0,195.0,13040.0
2012-09-18,195.0,196.7,190.0,194.8,35895.0
2012-09-19,195.0,201.19,193.0,193.0,8646.0
2012-09-20,200.0,200.0,190.0,190.0,11744.0
2012-09-21,197.9,197.9,186.5,193.0,100307.0
2012-09-24,193.0,194.9,190.0,190.0,6887.0
2012-09-25,190.1,192.3,182.42,189.8,63496.0
2012-09-26,190.0,190.0,180.1,180.1,3804.0
2012-09-27,188.9,190.84,188.0,188.0,120811.0
2012-09-28,188.0,195.0,181.0,181.0,30817.0
2012-10-01,186.8,195.7,183.7,195.7,44046.0
2012-10-02,190.1,196.44,188.0,188.1,107563.0
2012-10-03,192.9,196.04,190.0,194.7,23211.0
2012-10-04,196.7,196.7,190.6,191.5,50111.0
2012-10-05,196.8,196.8,187.3,194.0,125606.0
2012-10-08,196.8,196.8,190.3,193.0,13225.0
2012-10-09,193.0,193.0,190.1,192.0,11688.0
2012-10-10,193.0,193.0,187.2,187.2,43649.0
2012-10-11,189.87,193.0,184.0,184.0,27692.0
2012-10-12,181.9,190.0,181.9,186.2,18970.0
2012-10-15,180.1,185.6,180.1,184.9,2093.0
2012-10-16,187.5,190.0,186.8,187.5,23589.0
2012-10-17,183.9,185.0,180.0,185.0,36787.0
2012-10-18,178.5,189.9,178.5,182.9,14043.0
2012-10-19,188.8,189.55,181.0,181.0,5034.0
2012-10-22,186.0,188.9,185.6,185.6,12758.0
2012-10-23,187.0,187.0,181.0,184.0,26528.0
