Date,Open,High,Low,Close,Volume
2016-12-15,822.5,850.5,808.8,836.5,464842
2016-12-16,843.5,867.3,827.58,834.31,1108124
2016-12-19,859.8,859.8,816.6,841.8,1413558
2016-12-20,846.0,851.7,826.4,835.6,1018646
2016-12-21,815.2,840.4,815.2,824.1,1122491
2016-12-22,838.4,838.4,813.9,827.8,1204611
2016-12-23,818.3,825.8,808.5,808.5,891044
2016-12-28,818.5,819.4,801.3,802.7,1181475
2016-12-29,794.5,809.06,778.92,780.5,2589613
2016-12-30,460.0,475.0,445.9,464.5,10201363
2017-01-03,465.0,503.5,464.82,494.96,2957195
2017-01-04,497.0,501.0,464.5,493.77,2177147
2017-01-05,488.5,502.07,487.0,496.78,1812068
2017-01-06,494.3,511.0,494.0,500.19,1658695
2017-01-09,499.0,508.0,492.2,505.85,1187027
2017-01-10,503.0,512.65,500.0,503.5,1102641
2017-01-11,505.0,507.0,498.7,499.75,1045298
2017-01-12,504.0,514.0,504.0,511.05,1516559
2017-01-13,510.0,519.5,510.0,516.31,688913
2017-01-16,514.0,518.5,508.5,512.5,2013049
2017-01-17,512.0,520.5,509.5,514.56,1026807
2017-01-18,523.5,526.0,513.0,516.54,1814498
2017-01-19,519.0,532.0,513.5,529.08,1518056
2017-01-20,531.5,541.5,529.0,537.97,1589416
2017-01-23,533.0,542.0,518.69,535.55,901830
2017-01-24,535.5,546.5,535.5,543.19,1021979
2017-01-25,546.0,563.0,546.0,558.47,1552596
2017-01-26,561.0,572.0,560.0,569.05,1652897
2017-01-27,574.5,574.5,562.5,569.5,1568739
2017-01-30,564.5,569.18,563.5,567.0,578226
2017-01-31,562.5,582.5,562.5,576.59,1359928
2017-02-01,577.0,580.5,571.0,577.5,1712025
2017-02-02,576.0,579.0,558.0,564.0,1008445
2017-02-03,568.5,572.38,561.5,563.5,986227
2017-02-06,564.5,570.0,563.6,568.0,860763
2017-02-07,570.0,577.0,566.5,573.0,944991
2017-02-08,574.0,577.0,564.5,567.0,1077451
2017-02-09,563.5,573.0,563.5,569.0,1061911
2017-02-10,564.0,577.5,561.5,561.5,1265779
2017-02-13,563.0,572.5,560.88,570.5,776918
2017-02-14,574.0,575.0,566.5,574.5,1129317
2017-02-15,578.0,578.0,548.5,551.5,1474280
2017-02-16,547.5,554.0,545.72,551.0,1408890
2017-02-17,554.0,554.0,537.91,543.5,967166
2017-02-20,548.0,549.5,543.5,544.5,432457
2017-02-21,547.0,552.0,542.0,550.0,814102
2017-02-22,553.0,553.5,547.0,553.5,748456
2017-02-23,545.5,560.0,545.5,556.0,674215
2017-02-24,556.0,563.0,553.0,562.5,1047856
2017-02-27,566.5,575.5,558.28,574.0,1451082
2017-02-28,577.0,582.5,564.86,581.0,1529538
2017-03-01,579.0,597.0,579.0,597.0,1347757
2017-03-02,600.5,600.5,589.92,593.5,1122024
2017-03-03,595.0,598.5,590.0,597.5,925556
2017-03-06,600.0,602.0,596.5,599.5,898709
2017-03-07,597.5,600.5,584.0,586.0,738183
2017-03-08,588.5,591.5,580.0,591.5,1005390
2017-03-09,592.5,595.5,584.05,592.0,683033
2017-03-10,586.5,594.5,586.0,587.5,653000
2017-03-13,589.0,590.0,583.69,589.5,636674
2017-03-14,592.5,594.5,583.5,586.0,784106
2017-03-15,584.0,587.85,575.0,582.0,1199744
2017-03-16,585.0,588.5,578.95,579.0,713733
2017-03-17,582.0,584.0,571.5,584.0,3420522
2017-03-20,579.5,587.0,576.5,585.5,436515
2017-03-21,583.0,589.5,573.5,577.5,439607
2017-03-22,573.0,575.5,560.5,574.0,985348
2017-03-23,574.5,595.0,574.5,584.0,1101913
2017-03-24,583.5,592.5,574.5,575.5,582815
2017-03-27,569.0,579.5,567.0,577.5,468388
2017-03-28,576.0,584.5,570.0,580.5,631284
2017-03-29,578.5,585.0,573.5,574.5,775653
2017-03-30,575.5,580.5,569.18,573.0,1234578
2017-03-31,571.0,574.5,564.5,568.5,909584
2017-04-03,566.0,570.0,558.5,565.0,847660
2017-04-04,566.0,575.0,566.0,572.0,728251
2017-04-05,575.0,575.0,565.5,572.0,887681
2017-04-06,571.0,574.0,561.5,573.0,433637
2017-04-07,573.0,575.5,568.5,572.5,570215
2017-04-10,576.0,579.0,565.5,577.5,613723
2017-04-11,575.0,583.0,575.0,580.0,732592
2017-04-12,584.0,588.0,577.0,587.5,793712
2017-04-13,590.5,593.5,583.0,591.5,501280
2017-04-18,591.5,596.0,577.5,582.5,729255
2017-04-19,584.0,593.5,579.5,580.0,728545
2017-04-20,582.0,585.5,576.5,585.5,552081
2017-04-21,587.5,592.5,583.0,587.5,409234
2017-04-24,600.5,603.0,595.0,598.5,715814
2017-04-25,595.5,601.5,590.5,598.0,504103
2017-04-26,599.5,604.5,594.0,603.0,463860
2017-04-27,603.5,618.0,601.5,617.5,804028
2017-04-28,621.0,621.0,611.5,615.5,574182
