Date,Open,High,Low,Close,Volume
2012-01-03,2752.0,2803.6,2734.0,2741.0,1488719
2012-01-04,2600.0,2667.0,2585.0,2656.0,1676920
2012-01-05,2652.0,2660.0,2586.75,2614.0,1827325
2012-01-06,2611.0,2613.0,2571.0,2579.0,1645384
2012-01-09,2575.0,2604.0,2549.0,2573.0,951731
2012-01-10,2589.0,2630.0,2580.0,2590.0,855839
2012-01-11,2587.0,2603.0,2554.0,2598.0,633133
2012-01-12,2593.0,2602.0,2549.0,2595.0,853180
2012-01-13,2592.0,2628.0,2581.0,2596.0,428431
2012-01-16,2583.0,2632.9,2583.0,2607.0,510846
2012-01-17,2619.0,2643.0,2609.0,2627.0,466178
2012-01-18,2629.0,2656.0,2621.0,2643.0,314121
2012-01-19,2636.0,2666.0,2624.0,2629.0,767004
2012-01-20,2625.0,2672.0,2612.0,2657.0,683697
2012-01-23,2638.0,2647.0,2612.0,2614.0,737568
2012-01-24,2605.0,2657.0,2577.0,2597.0,841585
2012-01-25,2606.0,2627.28,2585.0,2589.0,492539
2012-01-26,2592.0,2617.0,2568.0,2594.0,423887
2012-01-27,2581.0,2684.0,2581.0,2639.0,975537
2012-01-30,2626.0,2650.0,2601.0,2625.0,546534
2012-01-31,2617.0,2644.0,2599.0,2619.0,509039
2012-02-01,2624.0,2715.0,2623.0,2682.0,787337
2012-02-02,2677.0,2703.05,2670.0,2696.0,648377
2012-02-03,2696.0,2798.0,2690.0,2771.0,1127658
2012-02-06,2766.0,2789.0,2755.0,2768.0,419878
2012-02-07,2767.0,2773.0,2719.0,2755.0,642798
2012-02-08,2751.0,2758.0,2696.0,2722.0,999748
2012-02-09,2719.0,2734.0,2698.0,2719.0,774368
2012-02-10,2740.0,2772.0,2707.0,2733.0,868214
2012-02-13,2739.0,2751.0,2728.0,2741.0,240516
2012-02-14,2732.0,2765.0,2716.0,2757.0,394173
2012-02-15,2770.0,2788.0,2764.0,2764.0,407367
2012-02-16,2750.0,2790.64,2719.0,2779.0,581725
2012-02-17,2782.0,2793.0,2749.0,2784.0,439358
2012-02-20,2791.0,2797.0,2764.0,2780.0,420183
2012-02-21,2773.0,2781.0,2748.0,2767.0,547126
2012-02-22,2760.0,2766.0,2720.0,2728.0,779650
2012-02-23,2732.0,2770.0,2727.0,2754.0,575567
2012-02-24,2758.0,2791.0,2757.0,2760.0,465805
2012-02-27,2747.0,2777.0,2743.0,2763.0,442853
2012-02-28,2765.0,2780.0,2734.0,2760.0,480723
2012-02-29,2759.0,2785.0,2745.0,2771.0,388087
2012-03-01,2763.0,2781.0,2749.0,2769.0,309462
2012-03-02,2765.0,2766.0,2729.0,2745.0,547696
2012-03-05,2740.0,2775.0,2722.0,2746.0,470755
2012-03-06,2739.0,2739.0,2699.0,2708.0,676904
2012-03-07,2706.0,2731.0,2700.0,2731.0,442338
2012-03-08,2729.0,2763.17,2719.0,2722.0,391571
2012-03-09,2717.0,2735.0,2703.0,2721.0,548593
2012-03-12,2712.0,2761.0,2712.0,2757.0,323952
2012-03-13,2767.0,2804.0,2765.0,2793.0,632338
2012-03-14,2803.0,2853.0,2798.0,2827.0,788655
2012-03-15,2831.0,2914.0,2831.0,2901.0,1160212
2012-03-16,2903.0,2952.0,2835.0,2935.0,1448786
2012-03-19,2924.0,2943.0,2905.0,2906.0,323547
2012-03-20,2900.0,2909.0,2870.0,2894.0,509142
2012-03-21,2890.0,2917.0,2874.0,2915.0,748961
2012-03-22,2913.0,2947.0,2859.0,2914.0,948803
2012-03-23,2927.0,3006.93,2927.0,2987.0,734737
2012-03-26,3000.0,3034.0,2989.0,3014.0,941538
2012-03-27,3019.0,3043.0,2995.0,2997.0,586357
2012-03-28,2988.0,3031.72,2985.0,3009.0,638364
2012-03-29,2996.0,2996.0,2954.0,2980.0,836470
2012-03-30,2980.0,2985.0,2950.0,2983.0,834247
2012-04-02,3007.0,3042.0,2982.0,3041.0,636385
2012-04-03,3054.0,3073.0,3036.3,3060.0,868800
2012-04-04,2992.0,3000.0,2912.0,2937.0,1818290
2012-04-05,2948.0,2979.0,2932.0,2967.0,798745
2012-04-10,2948.0,2972.77,2931.0,2937.0,609980
2012-04-11,2927.0,2958.0,2909.0,2950.0,650472
2012-04-12,2936.0,2982.0,2930.0,2980.0,646676
2012-04-13,2973.0,2976.0,2937.0,2952.0,431691
2012-04-16,2938.0,2958.0,2929.0,2936.0,580769
2012-04-17,2905.0,2954.0,2899.0,2954.0,668642
2012-04-18,2946.0,2974.19,2934.0,2971.0,667407
2012-04-19,2975.0,3013.0,2968.0,3013.0,789195
2012-04-20,3013.0,3039.0,3004.0,3032.0,689298
2012-04-23,3026.0,3042.0,2975.0,2999.0,440165
2012-04-24,2990.0,3005.0,2968.0,2984.0,582575
2012-04-25,2997.0,3011.0,2956.0,2976.0,583355
2012-04-26,2983.0,2988.0,2915.0,2933.0,841379
2012-04-27,2927.0,2963.0,2923.0,2958.0,403275
2012-04-30,2964.0,2976.0,2927.0,2929.0,697082
