Date,Open,High,Low,Close,Volume
2012-01-03,296.0,305.39,292.0,300.35,1192739
2012-01-04,305.0,305.0,295.2,298.5,1038908
2012-01-05,300.0,318.8,298.9,318.8,1652269
2012-01-06,319.9,330.8,317.1,318.58,1040190
2012-01-09,320.0,320.0,311.82,313.0,492998
2012-01-10,317.5,317.5,303.43,305.0,1327590
2012-01-11,308.6,309.9,299.9,305.89,395182
2012-01-12,300.4,307.23,298.0,300.0,777514
2012-01-13,301.1,303.9,298.0,298.1,3387483
2012-01-16,300.0,300.0,296.0,298.2,435638
2012-01-17,298.5,310.5,295.1,305.0,907028
2012-01-18,302.0,311.6,301.3,302.5,351457
2012-01-19,300.0,304.12,300.0,300.1,361121
2012-01-20,299.9,302.0,291.4,294.6,423719
2012-01-23,296.2,299.5,293.6,298.5,681678
2012-01-24,299.5,302.0,297.1,301.0,861204
2012-01-25,300.0,301.0,297.0,299.3,337712
2012-01-26,300.0,307.5,299.9,302.7,588288
2012-01-27,300.0,300.0,294.2,298.0,679362
2012-01-30,297.5,297.6,290.4,291.5,418413
2012-01-31,294.0,295.0,290.89,294.3,240973
2012-02-01,292.0,297.9,292.0,295.1,952108
2012-02-02,293.0,299.7,293.0,299.7,400492
2012-02-03,300.0,320.7,293.77,317.5,1203797
2012-02-06,316.5,325.6,315.0,324.0,941146
2012-02-07,318.1,333.6,318.1,332.0,1511546
2012-02-08,331.2,349.9,330.6,345.35,2570768
2012-02-09,335.0,341.9,323.1,339.9,2077897
2012-02-10,335.8,366.0,334.9,364.6,6768769
2012-02-13,365.6,376.0,361.0,374.0,964850
2012-02-14,371.3,377.3,364.7,376.0,507932
2012-02-15,380.0,388.5,374.3,379.9,891708
2012-02-16,374.9,380.0,372.55,374.8,657471
2012-02-17,373.9,380.0,369.7,369.7,627706
2012-02-20,368.8,373.87,361.4,369.1,396682
2012-02-21,367.1,368.36,359.57,365.5,523933
2012-02-22,380.0,404.4,373.5,392.0,4215678
2012-02-23,394.1,394.1,374.08,375.0,1052057
2012-02-24,385.0,430.0,376.7,426.0,4733969
2012-02-27,427.3,431.9,419.0,431.9,962497
2012-02-28,438.0,458.7,427.34,428.5,2288643
2012-02-29,427.3,438.23,423.85,424.0,628899
2012-03-01,427.2,442.0,423.81,434.0,820022
2012-03-02,434.0,434.0,421.32,427.49,1251962
2012-03-05,431.5,431.9,419.96,427.1,1105210
2012-03-06,428.4,428.4,398.7,407.0,1414518
2012-03-07,403.5,422.82,401.7,418.6,660290
2012-03-08,416.6,435.4,413.74,431.89,1118951
2012-03-09,435.0,437.6,411.1,433.2,439944
2012-03-12,435.0,439.49,423.51,432.0,205446
2012-03-13,433.4,450.0,432.85,439.0,476700
2012-03-14,440.0,440.99,430.9,433.9,390786
2012-03-15,430.0,430.82,413.7,414.0,827352
2012-03-16,412.6,437.48,409.8,437.3,1211993
2012-03-19,439.4,448.7,433.7,440.8,533904
2012-03-20,443.0,443.0,414.77,424.2,536780
2012-03-21,420.0,438.8,420.0,430.0,880924
2012-03-22,431.3,432.2,416.0,417.0,384535
2012-03-23,418.6,419.8,391.3,402.0,899035
2012-03-26,429.66,482.57,425.0,477.6,3208589
2012-03-27,483.9,493.5,478.54,488.1,1097148
2012-03-28,473.1,515.0,473.1,495.0,4452300
2012-03-29,490.8,500.0,485.15,498.0,1735846
2012-03-30,497.4,515.0,497.4,507.5,1566217
2012-04-02,505.0,526.56,504.32,525.0,1140303
2012-04-03,528.0,532.0,506.5,510.0,601352
2012-04-04,510.5,512.0,504.0,506.5,589843
2012-04-05,509.5,512.0,505.0,509.0,525100
2012-04-10,504.0,510.0,496.3,505.0,724039
2012-04-11,503.0,519.5,499.4,519.5,705389
2012-04-12,523.0,526.5,508.5,521.0,508164
2012-04-13,525.5,530.0,516.5,523.0,407284
2012-04-16,519.0,523.09,505.5,505.5,366306
2012-04-17,505.0,532.5,502.58,532.5,582235
2012-04-18,539.0,547.5,528.0,538.97,818783
2012-04-19,543.0,546.52,524.0,543.0,546668
2012-04-20,545.5,554.5,536.0,551.15,529730
2012-04-23,554.0,561.0,544.0,559.0,816974
2012-04-24,566.0,585.0,562.0,575.0,792306
2012-04-25,573.5,580.8,571.33,580.0,549147
2012-04-26,578.5,592.0,577.12,586.0,465483
2012-04-27,585.0,586.95,570.5,578.0,442395
2012-04-30,583.5,594.5,565.0,577.0,988343
2012-05-01,573.0,579.45,568.78,575.0,373078
2012-05-02,580.0,580.0,560.5,567.0,849902
2012-05-03,564.0,587.0,563.0,569.0,733617
2012-05-04,565.0,567.82,546.0,548.0,572461
2012-05-08,551.0,566.0,536.0,551.0,677661
2012-05-09,550.5,554.0,499.3,518.0,1167773
2012-05-10,519.5,540.0,513.5,532.5,852348
2012-05-11,532.0,536.0,521.0,536.0,604424
2012-05-14,529.0,531.97,498.1,504.57,597998
2012-05-15,525.0,525.5,505.6,515.0,822796
2012-05-16,541.0,582.0,515.0,579.0,2873603
2012-05-17,585.0,622.0,581.32,590.0,1208225
2012-05-18,576.0,587.81,553.5,575.0,774737
2012-05-21,577.5,590.0,557.84,560.0,557055
2012-05-22,565.5,584.0,562.0,571.5,776043
2012-05-23,580.0,595.0,573.0,573.0,983077
2012-05-24,580.5,589.03,573.36,582.5,398978
2012-05-25,580.5,590.5,562.5,570.0,336704
2012-05-28,585.0,585.94,571.0,583.0,223301
2012-05-29,590.0,605.5,582.0,598.5,353802
2012-05-30,592.0,598.0,567.5,571.0,490362
2012-05-31,577.0,586.0,568.0,582.0,345585
2012-06-01,581.0,586.79,545.0,557.0,588242
2012-06-06,557.0,589.5,557.0,586.0,846861
2012-06-07,590.0,601.0,581.5,595.0,615012
2012-06-08,594.5,622.0,580.0,615.0,1237693
2012-06-11,625.0,646.0,603.94,604.5,975331
2012-06-12,612.5,626.0,602.0,604.0,912331
2012-06-13,600.5,615.0,598.5,607.5,572934
2012-06-14,610.0,618.0,600.5,610.0,392017
2012-06-15,618.5,648.0,614.0,637.5,2643392
2012-06-18,650.0,655.0,619.5,626.0,625261
2012-06-19,626.5,638.5,621.5,635.5,555728
2012-06-20,637.0,650.0,632.56,635.5,469503
2012-06-21,637.0,638.0,616.0,625.5,551848
2012-06-22,615.0,621.24,604.0,615.0,342083
2012-06-25,613.5,617.0,584.0,590.5,701440
2012-06-26,590.5,600.5,577.5,577.5,807657
2012-06-27,569.0,586.0,557.01,565.16,1131091
2012-06-28,565.0,573.5,554.73,560.5,1043574
2012-06-29,576.0,583.5,564.0,580.0,807779
2012-07-02,581.5,599.5,580.0,595.0,640669
2012-07-03,600.0,607.5,595.11,599.5,750773
2012-07-04,600.0,607.0,590.0,600.0,482239
2012-07-05,600.5,608.5,596.98,603.0,659750
2012-07-06,601.5,606.5,587.0,593.0,354632
2012-07-09,593.0,595.0,578.5,584.5,263994
