Date,Open,High,Low,Close,Volume
2014-06-05,172.0,180.0,170.0,176.35,10024659
2014-06-06,175.0,176.17,170.0,170.0,1144964
2014-06-09,171.0,174.5,171.0,172.0,124791
2014-06-10,172.0,175.75,172.0,173.92,71860
2014-06-11,173.5,175.0,171.15,171.7,117926
2014-06-12,172.25,172.25,170.0,171.7,561377
2014-06-13,171.0,172.0,170.0,170.75,65567
2014-06-16,172.75,173.28,171.0,172.25,3981
2014-06-17,173.0,173.61,169.0,170.0,3221919
2014-06-18,170.25,170.25,167.0,167.0,1314292
2014-06-19,167.5,169.66,165.0,166.5,1049541
2014-06-20,167.5,169.0,167.5,167.5,30649
2014-06-23,167.75,167.91,167.0,167.0,34431
2014-06-24,165.0,168.0,165.0,167.5,80507
2014-06-25,165.0,167.5,165.0,165.0,329464
2014-06-26,165.5,167.0,164.0,165.2,587869
2014-06-27,165.0,167.84,164.0,165.0,31253
2014-06-30,168.0,168.0,165.0,165.5,32568
2014-07-01,166.5,166.5,162.5,163.0,319423
2014-07-02,163.0,167.22,163.0,165.0,21382
2014-07-03,165.5,166.38,163.5,163.5,56654
2014-07-04,163.0,165.88,163.0,163.0,48520
2014-07-07,164.25,165.5,164.0,164.0,3636
2014-07-08,165.5,165.75,164.0,164.0,5294
2014-07-09,164.0,164.0,161.75,161.75,28733
2014-07-10,162.25,165.0,162.0,163.0,20872
2014-07-11,162.0,166.09,158.0,159.75,56455
2014-07-14,160.0,160.0,160.0,160.0,35
2014-07-15,164.75,164.75,155.0,160.0,120720
2014-07-16,162.0,166.75,161.0,164.0,54838
2014-07-17,164.25,168.0,162.75,162.75,21594
2014-07-18,168.0,168.0,162.75,164.0,20268
2014-07-21,168.0,170.0,163.5,166.0,69784
2014-07-22,166.0,168.25,165.75,168.11,50851
2014-07-23,166.0,167.5,163.0,166.0,68178
2014-07-24,166.0,166.0,164.5,166.0,63922
2014-07-25,170.0,170.0,168.56,170.0,4000
2014-07-28,166.75,170.0,166.75,169.75,1758
2014-07-29,166.0,169.75,166.0,169.75,28330
2014-07-30,169.0,173.0,169.0,173.0,10500
2014-07-31,173.0,173.0,168.25,169.5,20384
2014-08-01,170.5,175.0,170.5,175.0,10931
2014-08-04,175.0,177.0,168.0,170.0,117016
2014-08-05,168.25,174.25,168.25,172.0,1768
2014-08-06,174.5,175.0,168.5,168.5,42751
2014-08-07,171.25,174.75,168.25,171.5,34588
2014-08-08,169.0,170.0,167.25,167.25,24824
2014-08-11,174.0,176.5,170.25,174.0,81913
2014-08-12,174.0,177.25,171.0,173.0,59586
2014-08-13,175.0,177.5,173.25,175.0,39897
2014-08-14,178.75,179.0,175.0,179.0,30576
2014-08-15,180.0,180.0,175.0,176.0,50180
2014-08-18,175.25,180.0,175.25,175.5,18145
2014-08-19,184.5,184.5,177.25,182.5,41021
2014-08-20,178.0,189.0,178.0,189.0,36148
2014-08-21,189.0,189.0,183.0,187.0,5435
2014-08-22,182.25,189.0,182.25,189.0,5466
2014-08-26,188.0,190.5,186.0,186.0,20573
2014-08-27,191.0,200.0,190.0,200.0,403202
2014-08-28,200.0,200.0,195.0,200.0,221375
2014-08-29,205.0,205.0,198.94,200.0,230339
2014-09-01,201.5,204.31,199.75,203.5,358071
2014-09-02,200.25,204.24,198.0,198.0,267492
2014-09-03,200.0,200.0,197.0,200.0,429453
2014-09-04,199.0,203.0,199.0,202.0,132669
2014-09-05,203.0,206.0,202.5,205.0,148125
2014-09-08,205.75,211.25,205.0,210.0,93439
2014-09-09,206.0,211.5,206.0,211.0,407994
2014-09-10,210.0,215.75,208.91,211.0,131378
2014-09-11,211.0,213.05,208.0,208.5,40507
2014-09-12,211.25,212.0,206.25,208.5,98976
2014-09-15,209.25,211.5,207.0,207.0,50832
2014-09-16,207.75,209.54,204.5,205.0,52028
2014-09-17,205.0,207.25,203.0,204.0,113221
2014-09-18,209.0,210.22,203.0,206.5,160225
2014-09-19,204.0,205.75,201.0,201.0,1073484
2014-09-22,201.0,201.5,195.0,197.25,51390
2014-09-23,201.0,201.0,195.73,201.0,1210
2014-09-24,201.0,205.0,199.75,203.25,44684
2014-09-25,200.0,205.25,200.0,205.25,8619
2014-09-26,201.0,205.0,201.0,202.0,41552
2014-09-29,201.75,204.75,198.5,199.0,30232
2014-09-30,205.0,205.0,199.25,200.0,24371
2014-10-01,199.25,199.25,195.57,196.0,25926
2014-10-02,203.0,203.0,196.0,198.0,44720
2014-10-03,199.75,199.75,197.8,199.0,734
2014-10-06,199.75,200.0,198.0,200.0,57969
2014-10-07,200.0,201.0,198.0,200.0,8348
2014-10-08,200.0,200.0,198.0,198.0,7343
2014-10-09,200.0,201.0,198.0,200.0,12917
2014-10-10,196.0,201.0,195.25,197.25,19420
2014-10-13,195.0,197.75,195.0,195.0,16632
2014-10-14,194.5,196.5,194.5,195.0,29063
2014-10-15,196.25,197.5,192.5,192.5,12956
2014-10-16,192.5,196.05,189.75,191.0,129868
2014-10-17,195.0,195.0,189.75,190.0,133006
2014-10-20,191.0,193.75,191.0,191.5,4749
2014-10-21,192.0,192.28,191.0,191.0,106764
2014-10-22,195.0,195.0,192.74,195.0,800
2014-10-23,,,,195.0,0
2014-10-24,195.0,197.0,193.62,196.0,13995
2014-10-27,197.75,197.75,195.2,197.75,64
2014-10-28,197.0,204.0,197.0,204.0,21763
2014-10-29,205.0,208.86,204.6,206.5,34045
2014-10-30,203.0,207.8,200.0,205.25,11849
2014-10-31,200.0,208.0,200.0,206.0,47214
2014-11-03,200.0,215.0,200.0,212.0,164010
