Date,Open,High,Low,Close,Volume
2012-01-03,3.35,3.6,3.21,3.38,4081704.0
2012-01-04,3.4,3.46,3.31,3.35,355437.0
2012-01-05,3.5,3.5,3.33,3.33,159305.0
2012-01-06,3.25,3.47,2.75,3.08,855615.0
2012-01-09,3.2,3.33,3.2,3.3,273838.0
2012-01-10,3.3,3.32,3.2,3.24,493714.0
2012-01-11,3.22,3.22,3.22,3.22,306459.0
2012-01-12,3.22,3.27,3.18,3.27,1246322.0
2012-01-13,3.24,3.31,3.16,3.2,650447.0
2012-01-16,3.16,3.18,3.04,3.04,371571.0
2012-01-17,3.02,3.12,2.77,3.02,1729321.0
2012-01-18,3.08,3.15,3.01,3.03,693648.0
2012-01-19,3.15,3.17,3.1,3.15,1454795.0
2012-01-20,3.15,3.23,3.03,3.12,3342708.0
2012-01-23,3.1,3.13,3.06,3.06,651749.0
2012-01-24,3.08,3.14,0.0,3.13,1140641.0
2012-01-25,3.15,3.18,3.08,3.15,1026558.0
2012-01-26,3.15,3.25,3.12,3.17,2788595.0
2012-01-27,3.2,3.2,3.08,3.15,614285.0
2012-01-30,3.15,3.15,3.08,3.08,2027658.0
2012-01-31,3.1,3.43,3.1,3.25,11378009.0
2012-02-01,3.7,3.7,3.25,3.54,1826579.0
2012-02-02,3.26,3.54,3.25,3.4,634098.0
2012-02-03,3.36,3.38,3.26,3.35,302740.0
2012-02-06,3.33,3.35,3.25,3.26,164886.0
2012-02-07,3.4,3.41,3.26,3.38,485248.0
2012-02-08,3.35,3.5,3.28,3.3,431428.0
2012-02-09,3.5,3.54,3.25,3.39,614955.0
2012-02-10,3.28,3.29,3.15,3.22,3445810.0
2012-02-13,3.15,3.22,3.14,3.14,193331.0
2012-02-14,3.25,3.25,2.9,2.98,1775713.0
2012-02-15,3.0,3.07,2.9,3.04,240000.0
2012-02-16,2.95,3.0,2.85,2.89,75000.0
2012-02-17,2.95,2.96,2.85,2.9,250000.0
2012-02-20,3.0,3.1,2.9,3.02,200000.0
2012-02-21,3.1,3.1,2.96,2.96,80000.0
2012-02-22,2.95,3.01,2.92,2.95,4000.0
2012-02-23,2.95,3.01,2.91,2.99,107500.0
2012-02-24,3.0,3.05,2.95,2.95,417000.0
2012-02-27,3.05,3.19,2.86,3.1,713527.0
2012-02-28,3.25,3.25,3.11,3.15,9256.0
2012-02-29,3.15,3.23,3.1,3.1,206401.0
2012-03-01,3.2,3.25,2.97,3.2,447630.0
2012-03-02,3.3,3.3,3.09,3.25,10000.0
2012-03-05,3.15,3.3,3.0,3.04,654607.0
2012-03-06,3.1,3.1,2.6,2.87,1595822.0
2012-03-07,2.95,3.15,2.87,3.15,927059.0
2012-03-08,3.15,3.2,3.05,3.06,107294.0
2012-03-09,3.15,3.23,3.07,3.19,151474.0
2012-03-12,3.05,3.1,3.0,3.1,93729.0
2012-03-13,3.0,3.06,2.95,3.06,56835.0
2012-03-14,2.95,3.06,2.95,3.01,120879.0
2012-03-15,3.05,3.1,2.92,3.05,98268.0
2012-03-16,3.1,3.16,2.95,3.16,102067.0
2012-03-19,3.2,3.37,3.0,3.2,3440031.0
2012-03-20,3.2,3.36,3.18,3.3,7911721.0
2012-03-21,3.3,3.37,3.19,3.25,5392203.0
2012-03-22,3.3,3.3,3.2,3.25,2529337.0
2012-03-23,3.15,3.25,3.12,3.25,287016.0
2012-03-26,,,,3.16,0.0
2012-03-27,3.1,3.3,3.0,3.1,1266942.0
2012-03-28,3.15,3.15,3.0,3.14,611295.0
2012-03-29,3.15,3.15,3.0,3.14,317814.0
2012-03-30,3.15,3.15,3.06,3.1,25843.0
2012-04-02,3.1,3.25,3.0,3.07,175764.0
2012-04-03,3.0,3.1,3.0,3.07,248838.0
2012-04-04,3.0,3.0,2.9,2.96,438360.0
2012-04-05,3.0,3.01,2.9,2.94,558873.0
2012-04-10,2.95,3.0,2.92,3.0,990404.0
2012-04-11,2.9,3.05,2.85,2.94,408945.0
2012-04-12,3.05,3.6,2.84,3.52,4779026.0
2012-04-13,3.6,4.15,3.56,4.11,1551009.0
2012-04-16,4.0,6.1,4.0,5.8,12206610.0
2012-04-17,5.95,6.4,5.05,5.05,7368870.0
2012-04-18,5.05,5.08,4.0,4.3,4481909.0
2012-04-19,4.2,4.39,4.16,4.16,826382.0
2012-04-20,4.4,4.4,4.2,4.31,143596.0
2012-04-23,4.3,4.3,3.99,4.0,1204616.0
2012-04-24,4.1,4.28,4.09,4.2,272885.0
