Date,Open,High,Low,Close,Volume
2012-01-03,951.5,990.0,951.0,990.0,112553
2012-01-04,994.5,1000.5,985.5,993.0,75751
2012-01-05,994.0,994.0,971.58,978.5,40846
2012-01-06,986.5,989.08,970.0,978.5,30559
2012-01-09,971.0,986.04,960.0,966.0,38624
2012-01-10,962.5,969.41,926.07,937.5,100709
2012-01-11,935.0,948.98,935.0,940.0,27799
2012-01-12,946.0,946.0,903.33,917.75,90129
2012-01-13,927.0,938.69,916.37,920.0,100896
2012-01-16,926.0,926.0,915.0,918.5,15358
2012-01-17,915.0,919.0,905.54,918.0,32905
2012-01-18,915.0,930.5,907.82,928.0,101527
2012-01-19,926.0,947.05,923.43,934.0,102960
2012-01-20,932.5,934.5,922.0,922.0,173294
2012-01-23,934.0,934.0,920.0,920.0,64371
2012-01-24,919.0,920.5,905.0,906.5,68285
2012-01-25,907.5,922.0,907.5,910.0,45183
2012-01-26,912.5,923.88,912.5,916.0,24449
2012-01-27,920.5,929.88,905.0,911.5,46485
2012-01-30,927.5,927.5,900.5,917.5,59366
2012-01-31,910.0,922.5,910.0,910.0,39489
2012-02-01,913.0,927.0,912.5,927.0,76758
2012-02-02,929.5,950.0,922.5,948.5,91179
2012-02-03,941.0,995.0,940.0,995.0,131950
2012-02-06,980.0,1083.0,980.0,1083.0,79454
2012-02-07,1076.0,1106.0,1045.0,1045.0,196937
2012-02-08,1045.0,1060.0,1017.0,1023.0,107059
2012-02-09,1025.0,1100.0,1015.0,1100.0,188134
2012-02-10,1091.0,1102.89,1082.0,1096.0,149107
2012-02-13,1087.0,1108.0,1087.0,1102.0,71908
2012-02-14,1108.0,1119.0,1053.31,1076.0,103627
2012-02-15,1086.0,1102.0,1079.0,1098.0,38733
2012-02-16,1073.0,1087.13,1057.37,1087.0,24664
2012-02-17,1085.0,1090.0,1076.0,1090.0,23996
2012-02-20,1094.0,1108.0,1075.37,1102.0,17666
2012-02-21,1089.0,1159.75,1089.0,1135.0,37269
2012-02-22,1132.0,1162.13,1132.0,1152.0,43704
2012-02-23,1158.0,1175.0,1148.67,1175.0,51854
2012-02-24,1185.0,1198.0,1133.0,1170.0,45916
2012-02-27,1173.0,1173.0,1125.0,1137.0,48285
2012-02-28,1153.0,1160.0,1126.5,1141.0,34999
2012-02-29,1145.0,1165.0,1145.0,1165.0,17250
2012-03-01,1180.0,1187.5,1163.0,1174.0,30392
2012-03-02,1164.0,1180.0,1150.0,1157.0,36423
2012-03-05,1167.0,1167.0,1135.0,1144.0,18986
2012-03-06,1139.0,1145.0,1120.62,1145.0,65164
2012-03-07,1150.0,1165.0,1150.0,1156.0,21061
2012-03-08,1163.0,1167.0,1148.0,1156.0,42091
2012-03-09,1148.0,1189.0,1148.0,1167.0,35414
2012-03-12,1172.0,1195.0,1169.5,1195.0,46474
2012-03-13,1196.4,1216.0,1190.0,1210.0,62619
2012-03-14,1220.0,1245.0,1206.0,1238.0,127598
2012-03-15,1232.0,1257.5,1210.0,1228.0,87474
2012-03-16,1223.0,1262.0,1194.24,1262.0,179698
2012-03-19,1256.0,1268.0,1230.24,1240.0,220744
2012-03-20,1235.0,1257.0,1226.87,1235.0,90990
2012-03-21,1231.0,1254.0,1229.0,1238.0,70314
2012-03-22,1235.0,1245.0,1223.0,1223.0,51121
2012-03-23,1230.0,1230.0,1176.0,1206.58,63407
2012-03-26,1185.0,1200.0,1170.0,1184.0,58120
2012-03-27,1195.0,1245.0,1180.0,1220.0,40443
2012-03-28,1215.0,1227.0,1206.0,1220.0,29731
2012-03-29,1218.0,1220.63,1210.0,1216.0,28267
2012-03-30,1214.0,1222.12,1189.25,1215.0,154517
2012-04-02,1209.0,1212.0,1180.0,1186.0,53175
2012-04-03,1194.0,1204.0,1185.0,1185.0,38880
2012-04-04,1185.0,1195.0,1158.0,1158.0,25265
2012-04-05,1162.0,1173.56,1145.37,1163.0,10645
2012-04-10,1155.0,1160.25,1133.33,1142.0,21124
2012-04-11,1140.0,1158.0,1140.0,1155.0,49299
2012-04-12,1155.0,1174.0,1147.75,1166.0,39580
2012-04-13,1161.0,1206.0,1161.0,1197.0,47665
2012-04-16,1198.0,1213.0,1175.52,1211.0,40313
2012-04-17,1219.0,1228.0,1196.0,1219.0,33260
2012-04-18,1229.0,1290.0,1222.87,1280.0,104891
2012-04-19,1279.0,1285.93,1267.5,1275.0,26125
2012-04-20,1264.0,1285.0,1250.0,1285.0,24332
2012-04-23,1271.0,1283.93,1230.0,1240.0,20976
2012-04-24,1234.0,1269.87,1234.0,1248.0,38688
2012-04-25,1254.0,1265.0,1216.0,1219.0,48785
2012-04-26,1216.0,1252.0,1216.0,1248.0,34925
2012-04-27,1232.0,1251.0,1218.0,1230.0,38304
2012-04-30,1234.0,1247.33,1224.0,1224.0,13012
2012-05-01,1220.0,1230.0,1220.0,1225.0,12253
2012-05-02,1230.0,1230.0,1221.0,1225.0,34283
2012-05-03,1228.0,1230.0,1204.0,1218.0,27163
2012-05-04,1218.0,1218.0,1178.0,1206.0,27173
2012-05-08,1200.0,1205.43,1115.0,1127.0,84205
2012-05-09,1130.0,1130.0,1081.0,1118.0,56350
2012-05-10,1126.0,1170.0,1118.0,1161.74,43482
2012-05-11,1160.44,1171.0,1160.0,1171.0,58031
2012-05-14,1161.0,1163.0,1145.0,1145.0,35525
2012-05-15,1152.0,1153.0,1135.0,1144.93,56072
2012-05-16,1142.0,1144.0,1130.0,1130.0,44697
2012-05-17,1144.0,1145.0,1111.0,1120.0,24641
2012-05-18,1110.0,1135.0,1100.54,1110.0,58258
2012-05-21,1120.0,1120.0,1094.0,1096.0,37828
2012-05-22,1097.0,1119.0,1097.0,1115.0,49419
2012-05-23,1102.0,1122.0,1100.0,1118.0,45821
2012-05-24,1126.0,1132.0,1115.0,1120.0,14722
2012-05-25,1120.0,1146.0,1113.0,1120.0,42886
2012-05-28,1128.0,1158.0,1121.0,1158.0,23130
2012-05-29,1160.0,1192.0,1160.0,1192.0,20652
2012-05-30,1178.0,1178.0,1154.0,1170.0,28020
2012-05-31,1165.0,1179.0,1152.0,1155.0,24868
2012-06-01,1156.0,1163.0,1116.0,1135.0,42197
2012-06-06,1139.0,1167.11,1139.0,1160.0,26052
2012-06-07,1157.0,1204.0,1157.0,1201.0,34459
2012-06-08,1185.0,1205.0,1185.0,1205.0,23307
2012-06-11,1210.0,1238.0,1208.0,1208.0,62783
2012-06-12,1230.0,1254.82,1147.0,1149.0,52215
2012-06-13,1145.0,1200.0,1145.0,1179.27,34838
2012-06-14,1178.0,1200.0,1175.0,1190.2,33245
2012-06-15,1200.0,1219.73,1192.0,1219.0,156565
2012-06-18,1214.0,1223.0,1188.0,1188.0,23507
2012-06-19,1200.0,1227.0,1186.0,1220.0,37743
2012-06-20,1213.0,1240.0,1196.93,1240.0,25237
2012-06-21,1240.0,1275.0,1226.0,1275.0,30253
2012-06-22,1262.0,1268.0,1233.0,1237.0,22389
2012-06-25,1242.0,1242.0,1211.0,1211.0,32958
2012-06-26,1211.0,1220.0,1210.0,1216.0,35291
2012-06-27,1212.0,1230.0,1212.0,1223.0,77432
2012-06-28,1220.0,1225.0,1216.0,1220.0,50248
2012-06-29,1228.0,1239.0,1216.0,1227.0,70837
2012-07-02,1224.0,1299.0,1215.0,1291.0,57169
2012-07-03,1287.0,1305.0,1286.0,1298.0,57718
2012-07-04,1291.0,1314.0,1280.0,1310.0,18605
2012-07-05,1305.0,1310.0,1290.0,1300.0,16390
2012-07-06,1291.0,1300.0,1288.01,1295.0,18111
2012-07-09,1290.0,1296.62,1277.0,1286.0,53327
2012-07-10,1284.0,1315.92,1281.0,1305.0,41347
2012-07-11,1305.0,1305.0,1274.0,1292.0,36653
2012-07-12,1281.0,1294.84,1260.0,1263.0,22886
2012-07-13,1270.0,1270.0,1246.0,1252.0,39939
2012-07-16,1249.0,1253.2,1230.0,1235.0,42206
2012-07-17,1231.0,1240.0,1207.0,1207.0,28032
2012-07-18,1195.0,1213.0,1190.0,1200.0,47432
2012-07-19,1205.0,1243.0,1198.0,1243.0,85817
2012-07-20,1245.0,1259.0,1242.63,1255.0,48256
2012-07-23,1247.0,1260.0,1245.0,1245.0,55248
2012-07-24,1245.0,1265.0,1245.0,1254.0,29595
2012-07-25,1248.0,1254.23,1205.0,1231.0,58121
2012-07-26,1227.0,1260.0,1226.75,1259.0,79080
2012-07-27,1259.0,1265.0,1249.47,1250.0,61388
2012-07-30,1250.0,1260.0,1250.0,1255.0,27550
2012-07-31,1250.0,1255.0,1250.0,1254.0,13287
2012-08-01,1250.0,1255.0,1250.0,1255.0,13996
2012-08-02,1255.0,1276.0,1247.0,1260.0,38537
2012-08-03,1257.0,1260.0,1246.0,1250.0,44678
2012-08-06,1253.0,1274.0,1253.0,1274.0,20319
2012-08-07,1273.0,1276.0,1264.0,1264.0,20212
2012-08-08,1267.0,1275.0,1234.0,1251.0,16867
2012-08-09,1258.0,1265.0,1230.91,1252.0,22683
2012-08-10,1257.0,1275.0,1243.0,1262.0,18257
2012-08-13,1268.0,1273.0,1258.0,1270.0,17442
2012-08-14,1275.0,1280.0,1253.03,1277.0,14859
2012-08-15,1268.0,1300.5,1268.0,1289.0,23015
2012-08-16,1298.0,1298.0,1276.0,1276.0,15779
2012-08-17,1289.0,1298.0,1281.0,1298.0,14851
2012-08-20,1309.0,1318.0,1298.0,1299.0,50112
2012-08-21,1311.0,1341.0,1301.0,1317.0,29593
2012-08-22,1310.0,1310.0,1285.0,1293.0,33417
2012-08-23,1304.0,1326.0,1295.0,1326.0,29286
2012-08-24,1350.0,1350.0,1300.0,1318.0,13076
2012-08-28,1296.0,1330.9,1294.11,1306.0,14857
2012-08-29,1301.0,1325.0,1300.64,1319.0,18388
2012-08-30,1313.0,1327.0,1301.0,1304.0,29661
2012-08-31,1300.0,1316.0,1300.0,1309.0,6925
2012-09-03,1318.0,1340.0,1318.0,1330.0,15665
2012-09-04,1335.0,1340.0,1311.14,1339.0,24185
2012-09-05,1345.0,1351.0,1330.0,1351.0,30042
2012-09-06,1368.0,1375.0,1347.5,1368.0,41753
2012-09-07,1371.0,1395.0,1371.0,1387.0,24441
2012-09-10,1388.0,1393.1,1362.0,1365.0,30824
2012-09-11,1358.0,1358.0,1220.0,1328.67,142605
2012-09-12,1315.0,1332.0,1305.0,1328.71,85063
2012-09-13,1329.0,1351.0,1312.0,1341.0,23122
2012-09-14,1388.0,1398.0,1322.0,1341.0,65238
2012-09-17,1345.0,1350.2,1325.0,1347.0,26256
2012-09-18,1347.0,1349.0,1324.0,1326.0,21261
2012-09-19,1335.0,1340.0,1322.0,1325.0,36839
2012-09-20,1337.0,1337.0,1311.75,1320.0,23291
2012-09-21,1337.0,1386.0,1307.0,1353.0,108894
2012-09-24,1344.0,1351.92,1316.0,1316.0,19275
2012-09-25,1320.0,1343.0,1310.44,1323.0,10461
2012-09-26,1323.0,1337.0,1313.0,1328.0,20224
2012-09-27,1344.73,1383.0,1324.61,1335.0,40393
2012-09-28,1384.0,1384.0,1333.0,1375.0,37931
2012-10-01,1371.0,1397.1,1356.1,1369.0,29842
2012-10-02,1361.0,1378.5,1353.0,1355.0,31162
2012-10-03,1357.0,1362.0,1350.89,1353.0,21364
2012-10-04,1350.0,1365.0,1350.0,1362.0,89709
2012-10-05,1365.0,1365.0,1351.0,1353.0,54902
2012-10-08,1353.0,1401.42,1350.0,1390.0,44369
2012-10-09,1390.0,1390.0,1358.0,1372.0,24670
2012-10-10,1369.0,1369.0,1340.0,1340.0,21105
2012-10-11,1336.0,1350.0,1327.0,1327.0,25499
2012-10-12,1326.0,1330.0,1256.97,1310.0,29904
2012-10-15,1290.0,1297.06,1250.65,1279.0,34278
2012-10-16,1285.0,1303.0,1266.0,1282.0,75001
2012-10-17,1285.0,1285.0,1242.0,1252.0,51304
2012-10-18,1250.0,1258.0,1232.0,1253.0,57563
2012-10-19,1259.0,1338.0,1250.0,1336.0,118641
2012-10-22,1340.0,1340.0,1311.0,1312.0,29027
2012-10-23,1311.0,1316.0,1292.0,1297.0,31268
2012-10-24,1304.0,1310.0,1284.0,1284.0,37035
2012-10-25,1298.0,1344.0,1287.0,1337.0,82227
2012-10-26,1336.0,1368.33,1336.0,1344.0,73751
2012-10-29,1344.0,1350.0,1332.17,1345.0,4874
2012-10-30,1350.0,1360.0,1337.26,1360.0,16053
2012-10-31,1373.0,1373.0,1344.0,1344.0,14909
2012-11-01,1351.0,1360.0,1342.0,1351.62,36504
2012-11-02,1347.0,1360.5,1334.67,1350.0,15123
2012-11-05,1346.0,1351.07,1325.0,1329.0,33024
2012-11-06,1329.0,1331.0,1320.0,1330.0,23510
2012-11-07,1330.0,1335.0,1322.0,1330.0,21502
2012-11-08,1310.0,1330.0,1308.0,1308.0,16811
2012-11-09,1275.0,1309.0,1275.0,1292.0,18761
2012-11-12,1296.0,1318.0,1234.23,1258.0,47555
2012-11-13,1290.0,1320.0,1279.0,1279.0,33979
2012-11-14,1265.0,1281.77,1252.75,1270.0,41403
2012-11-15,1269.55,1288.62,1248.33,1280.0,53737
2012-11-16,1285.0,1318.0,1278.0,1311.92,40036
2012-11-19,1324.0,1337.09,1309.5,1321.0,23978
2012-11-20,1319.0,1332.0,1289.0,1332.0,37938
2012-11-21,1316.0,1323.0,1296.0,1302.6,33995
2012-11-22,1305.0,1309.23,1298.0,1303.9,16684
2012-11-23,1305.0,1309.76,1295.0,1303.0,32930
2012-11-26,1320.0,1320.0,1295.0,1305.0,32336
2012-11-27,1300.0,1309.0,1295.0,1302.0,17267
2012-11-28,1303.0,1317.0,1294.0,1314.0,29973
2012-11-29,1319.0,1342.0,1314.0,1335.0,22662
2012-11-30,1340.0,1362.0,1340.0,1361.0,22209
2012-12-03,1360.0,1372.0,1344.11,1370.0,53293
2012-12-04,1366.0,1375.0,1355.0,1375.0,19270
2012-12-05,1375.0,1403.92,1375.0,1401.0,64078
2012-12-06,1398.0,1398.0,1325.0,1336.0,66415
2012-12-07,1342.0,1366.0,1325.82,1363.0,28893
2012-12-10,1363.0,1377.09,1355.0,1366.0,30099
2012-12-11,1371.0,1387.0,1357.0,1375.0,28265
2012-12-12,1385.0,1385.0,1368.0,1375.0,13612
2012-12-13,1378.0,1385.04,1356.0,1365.0,26023
2012-12-14,1370.0,1391.0,1368.0,1380.0,13819
2012-12-17,1389.0,1393.0,1380.0,1385.0,23428
2012-12-18,1377.0,1397.0,1377.0,1388.0,28795
2012-12-19,1385.0,1413.0,1385.0,1408.0,34357
2012-12-20,1411.0,1439.0,1400.0,1439.0,128473
2012-12-21,1440.0,1447.0,1381.0,1429.0,76825
2012-12-24,1445.0,1458.76,1424.0,1440.0,1864
2012-12-27,1460.0,1460.0,1421.0,1422.0,17324
2012-12-28,1435.0,1435.0,1415.0,1427.0,5964
2012-12-31,1409.0,1430.95,1409.0,1423.0,2727
2013-01-02,1432.0,1500.0,1427.59,1500.0,40413
2013-01-03,1484.0,1517.0,1483.0,1502.0,73896
2013-01-04,1507.0,1515.6,1495.0,1500.0,26148
2013-01-07,1509.0,1509.0,1470.0,1495.0,40061
2013-01-08,1489.0,1498.0,1471.0,1472.0,25564
2013-01-09,1467.0,1478.0,1453.12,1465.0,26460
2013-01-10,1499.0,1520.0,1477.0,1500.0,62755
2013-01-11,1495.0,1510.0,1495.0,1504.0,31262
2013-01-14,1521.0,1521.0,1500.0,1514.0,22429
2013-01-15,1508.0,1514.0,1505.0,1507.0,22593
2013-01-16,1503.0,1519.0,1502.76,1519.0,10034
2013-01-17,1519.0,1530.0,1511.0,1519.0,8525
2013-01-18,1520.0,1602.0,1511.0,1520.0,48429
2013-01-21,1515.0,1546.0,1505.28,1542.0,13760
2013-01-22,1536.02,1570.0,1532.0,1557.0,25478
2013-01-23,1573.0,1581.0,1564.0,1574.0,30567
2013-01-24,1573.0,1583.0,1563.0,1563.0,68952
2013-01-25,1575.0,1575.9,1562.94,1575.0,25727
2013-01-28,1575.0,1600.6,1567.32,1592.0,22854
2013-01-29,1601.0,1605.0,1578.0,1588.59,13517
2013-01-30,1604.0,1658.65,1600.0,1638.62,52747
2013-01-31,1635.0,1653.0,1620.0,1640.0,49889
2013-02-01,1660.0,1735.0,1648.11,1686.69,58008
2013-02-04,1721.0,1777.65,1721.0,1753.1,116804
2013-02-05,1763.25,1766.0,1702.71,1709.0,65365
2013-02-06,1714.0,1737.0,1706.0,1727.0,29111
2013-02-07,1732.0,1766.0,1724.0,1747.0,52573
2013-02-08,1735.0,1750.0,1732.0,1732.0,31610
2013-02-11,1721.0,1750.0,1720.6,1750.0,15539
2013-02-12,1746.0,1759.32,1709.76,1745.0,11751
2013-02-13,1735.0,1747.0,1700.82,1740.0,69484
2013-02-14,1731.0,1746.0,1700.0,1732.0,72663
2013-02-15,1727.0,1735.0,1704.0,1722.0,103299
2013-02-18,1729.0,1729.0,1675.21,1692.0,34174
2013-02-19,1701.0,1731.0,1675.21,1726.0,44497
2013-02-20,1700.0,1754.0,1698.05,1737.0,59597
2013-02-21,1725.0,1739.15,1700.0,1729.0,26324
2013-02-22,1740.0,1740.0,1695.72,1718.0,20896
2013-02-25,1741.0,1741.14,1711.96,1727.0,15490
2013-02-26,1715.0,1715.0,1691.0,1710.0,27992
2013-02-27,1715.0,1726.0,1710.11,1717.0,21610
2013-02-28,1725.0,1725.0,1704.0,1717.0,21434
2013-03-01,1715.0,1720.0,1708.0,1708.0,25532
2013-03-04,1700.0,1708.0,1664.57,1700.0,20758
2013-03-05,1710.0,1718.0,1665.27,1707.0,61562
2013-03-06,1705.0,1718.0,1700.11,1708.0,26018
2013-03-07,1711.0,1715.0,1700.0,1715.0,29658
2013-03-08,1725.0,1739.0,1658.07,1732.0,36970
2013-03-11,1732.0,1747.77,1712.0,1715.0,16116
2013-03-12,1717.0,1740.0,1710.28,1732.0,27357
2013-03-13,1717.0,1739.0,1696.0,1700.0,43621
2013-03-14,1696.0,1712.0,1663.0,1675.0,66854
2013-03-15,1675.0,1748.0,1674.0,1711.0,93684
2013-03-18,1695.0,1725.0,1685.51,1702.0,27317
2013-03-19,1707.0,1722.0,1688.3,1703.0,19697
2013-03-20,1707.0,1724.0,1693.0,1700.0,50434
2013-03-21,1700.0,1717.0,1700.0,1715.0,22036
2013-03-22,1715.0,1725.0,1691.0,1702.0,35960
2013-03-25,1691.0,1729.0,1679.0,1724.0,53142
2013-03-26,1730.0,1730.0,1694.0,1696.0,34677
2013-03-27,1694.0,1709.0,1641.0,1641.0,54990
2013-03-28,1654.0,1663.0,1623.0,1655.0,38440
2013-04-02,1657.0,1687.32,1657.0,1666.0,30949
2013-04-03,1675.0,1719.0,1671.0,1701.0,63256
2013-04-04,1691.0,1700.8,1642.0,1663.0,26023
2013-04-05,1667.0,1667.0,1575.0,1575.0,55112
2013-04-08,1575.0,1600.0,1573.79,1596.0,41481
2013-04-09,1625.0,1631.14,1596.0,1627.0,36668
2013-04-10,1638.0,1667.0,1632.0,1653.0,59184
2013-04-11,1659.0,1679.0,1650.84,1660.0,39817
2013-04-12,1665.0,1668.0,1609.67,1641.0,22737
2013-04-15,1644.0,1653.0,1573.0,1607.0,37455
2013-04-16,1585.0,1610.0,1555.36,1572.0,37001
2013-04-17,1572.0,1574.91,1530.82,1557.0,41557
2013-04-18,1580.0,1580.0,1554.0,1568.0,20536
2013-04-19,1571.0,1578.0,1510.0,1534.0,38728
2013-04-22,1543.0,1543.0,1479.0,1479.0,43385
2013-04-23,1481.0,1492.0,1463.1,1480.0,64648
2013-04-24,1478.0,1532.0,1478.0,1532.0,48862
2013-04-25,1525.0,1540.0,1509.0,1523.0,41833
2013-04-26,1508.0,1530.95,1508.0,1522.0,41558
2013-04-29,1507.0,1526.79,1507.0,1520.0,21358
2013-04-30,1520.0,1540.0,1511.0,1540.0,32545
2013-05-01,1540.0,1553.11,1527.0,1533.0,18827
2013-05-02,1542.0,1542.0,1508.0,1530.0,52307
2013-05-03,1522.0,1540.0,1509.0,1515.0,26564
2013-05-07,1506.0,1528.0,1500.0,1517.0,47677
2013-05-08,1531.0,1564.0,1518.28,1559.0,42206
2013-05-09,1554.0,1568.0,1550.0,1565.0,31304
2013-05-10,1561.0,1567.0,1503.0,1529.0,43826
2013-05-13,1523.0,1539.0,1496.0,1511.0,42966
2013-05-14,1508.0,1530.0,1502.0,1524.0,14696
2013-05-15,1518.0,1536.0,1510.0,1511.0,20882
2013-05-16,1535.0,1614.0,1516.0,1604.0,107235
2013-05-17,1593.0,1634.9,1592.36,1618.0,44062
2013-05-20,1625.0,1645.0,1585.35,1630.0,53240
2013-05-21,1635.0,1636.9,1618.24,1627.0,31267
2013-05-22,1641.0,1641.0,1592.64,1600.0,42914
2013-05-23,1587.0,1605.0,1514.08,1589.0,90728
2013-05-24,1583.0,1592.0,1567.58,1572.0,33237
2013-05-28,1574.0,1617.0,1570.0,1600.0,52933
2013-05-29,1590.0,1609.0,1590.0,1598.0,62172
2013-05-30,1590.0,1635.0,1590.0,1630.0,65503
2013-05-31,1636.0,1712.0,1600.0,1679.63,617629
2013-06-03,1670.0,1670.0,1600.0,1606.0,55084
2013-06-04,1599.0,1621.0,1599.0,1608.0,63495
2013-06-05,1600.0,1608.0,1583.0,1608.0,99752
2013-06-06,1620.0,1620.0,1592.0,1597.0,25142
2013-06-07,1580.0,1609.0,1580.0,1599.0,52182
2013-06-10,1583.0,1603.0,1556.15,1567.0,74425
2013-06-11,1540.0,1545.0,1438.6,1455.0,135085
2013-06-12,1450.0,1453.2,1347.0,1359.0,292301
2013-06-13,1350.0,1362.94,1325.0,1325.0,186325
2013-06-14,1344.0,1350.0,1325.0,1338.0,82395
2013-06-17,1343.0,1377.0,1338.96,1371.0,58396
2013-06-18,1373.0,1383.0,1353.0,1359.0,50770
2013-06-19,1357.0,1376.0,1355.0,1358.0,80718
2013-06-20,1350.0,1358.0,1310.0,1321.14,56146
2013-06-21,1329.0,1338.67,1291.0,1300.0,111466
2013-06-24,1290.0,1306.81,1254.0,1255.0,84251
2013-06-25,1254.0,1262.0,1231.0,1241.0,57773
2013-06-26,1244.0,1262.04,1235.1,1248.0,88409
2013-06-27,1254.0,1254.1,1220.0,1251.0,80869
2013-06-28,1252.0,1268.0,1209.0,1209.0,68004
2013-07-01,1211.0,1240.0,1209.08,1221.0,86773
2013-07-02,1218.0,1243.0,1204.0,1236.0,92219
2013-07-03,1231.0,1239.0,1216.0,1232.0,96778
2013-07-04,1250.0,1275.0,1242.04,1270.0,54059
2013-07-05,1278.0,1280.0,1236.0,1236.0,54249
2013-07-08,1261.0,1265.0,1242.0,1246.0,42589
2013-07-09,1254.0,1262.33,1244.0,1244.0,43857
2013-07-10,1240.0,1246.0,1216.92,1239.0,73222
2013-07-11,1256.0,1258.84,1242.0,1250.0,54636
2013-07-12,1351.0,1441.3,1350.0,1381.91,201017
2013-07-15,1377.0,1378.0,1351.0,1365.0,153892
2013-07-16,1359.0,1378.0,1328.0,1340.0,82698
