Date,Open,High,Low,Close,Volume
2012-01-03,185.0,186.0,179.7,181.5,852153
2012-01-04,181.9,184.17,180.0,181.5,671298
2012-01-05,181.6,181.6,170.5,173.5,1008905
2012-01-06,174.0,178.5,171.6,178.5,855231
2012-01-09,180.2,181.19,176.3,178.1,187590
2012-01-10,178.6,178.6,169.68,171.5,1019361
2012-01-11,170.9,174.4,165.8,170.1,848001
2012-01-12,169.2,174.9,169.2,172.0,471302
2012-01-13,173.5,176.6,172.4,176.5,547731
2012-01-16,173.1,177.0,173.1,176.4,141783
2012-01-17,176.8,179.0,175.1,177.8,855486
2012-01-18,177.8,181.7,177.32,180.1,373208
2012-01-19,179.2,184.9,177.1,178.0,982950
2012-01-20,178.2,180.9,177.0,179.4,389068
2012-01-23,180.1,183.4,179.07,181.5,371602
2012-01-24,180.0,182.8,175.5,179.5,655853
2012-01-25,180.4,183.0,179.1,180.96,614381
2012-01-26,186.0,188.4,179.9,183.14,2453187
2012-01-27,180.0,181.8,176.4,181.8,747212
2012-01-30,181.3,183.2,178.3,181.2,497590
2012-01-31,181.2,182.0,176.06,177.0,1452998
2012-02-01,177.9,183.0,177.34,182.0,836121
2012-02-02,182.9,185.8,179.2,184.0,691646
2012-02-03,184.5,186.6,183.5,184.3,722767
2012-02-06,184.7,185.7,182.6,184.4,913990
2012-02-07,185.1,187.23,183.0,186.6,787662
2012-02-08,187.5,187.5,183.7,184.2,174547
2012-02-09,185.2,190.0,183.4,188.5,548655
2012-02-10,187.1,189.2,182.1,183.7,387621
2012-02-13,184.2,187.7,182.72,186.6,245316
2012-02-14,185.6,187.8,182.0,182.1,280667
2012-02-15,182.6,184.5,182.0,182.0,442490
2012-02-16,181.7,183.5,178.92,182.0,229626
2012-02-17,183.5,185.4,179.7,182.9,516256
2012-02-20,181.7,183.5,178.7,183.3,156234
2012-02-21,182.4,187.9,182.4,186.6,197016
2012-02-22,186.1,187.6,182.8,186.4,276134
2012-02-23,185.7,188.4,185.0,188.2,305964
2012-02-24,188.4,192.9,187.2,191.0,476915
2012-02-27,187.4,192.4,187.4,190.82,184624
2012-02-28,190.8,191.85,186.95,188.2,361775
2012-02-29,187.5,189.9,186.0,186.4,228988
2012-03-01,186.9,190.7,185.9,190.0,261587
2012-03-02,191.0,192.0,188.5,190.9,268050
2012-03-05,189.7,191.8,186.2,189.0,277557
2012-03-06,187.8,187.8,180.2,183.2,292744
2012-03-07,183.6,183.9,180.7,182.5,131940
2012-03-08,182.5,186.5,181.6,183.8,493669
2012-03-09,183.8,187.0,181.2,182.7,489069
2012-03-12,181.8,183.0,181.2,182.0,189474
2012-03-13,183.3,189.1,182.63,188.5,373298
2012-03-14,188.5,195.5,188.5,192.9,369512
2012-03-15,193.3,195.7,188.6,191.0,318170
2012-03-16,191.0,193.9,188.1,193.2,619080
2012-03-19,193.4,195.7,190.6,194.0,245679
2012-03-20,193.7,194.6,190.3,192.5,244595
2012-03-21,192.9,192.9,189.3,190.7,162301
2012-03-22,190.9,190.9,185.9,189.7,121431
2012-03-23,189.3,191.2,186.4,190.9,197311
2012-03-26,190.5,192.9,188.9,190.0,356217
2012-03-27,191.0,191.0,183.6,183.9,290800
2012-03-28,183.3,185.2,180.2,182.9,578917
2012-03-29,182.0,186.9,182.0,185.6,392254
2012-03-30,186.7,191.0,185.72,189.9,398261
2012-04-02,189.9,191.0,186.4,188.8,302133
2012-04-03,188.6,189.7,185.1,185.6,220641
2012-04-04,184.8,185.2,180.5,181.1,362015
2012-04-05,181.1,185.6,181.02,184.8,221283
2012-04-10,182.7,183.6,174.1,174.5,338982
2012-04-11,173.3,180.0,173.3,177.5,149966
2012-04-12,177.2,179.2,174.9,178.1,259275
2012-04-13,177.3,182.4,177.3,180.4,209607
2012-04-16,179.5,180.8,177.4,178.5,336507
2012-04-17,177.7,183.1,177.0,183.1,234023
2012-04-18,183.3,184.6,179.5,182.2,184957
2012-04-19,183.7,184.7,178.5,181.9,223471
2012-04-20,181.3,186.7,180.2,186.7,381785
2012-04-23,185.8,185.8,180.0,180.7,232024
2012-04-24,181.4,183.9,180.7,182.1,132565
2012-04-25,183.5,185.0,180.9,180.9,184913
2012-04-26,182.1,183.9,176.1,180.8,221710
2012-04-27,178.8,182.5,178.0,182.5,246068
2012-04-30,182.5,182.5,179.7,180.0,121675
2012-05-01,178.9,181.6,176.2,177.1,219917
2012-05-02,178.9,181.92,176.3,181.9,203445
2012-05-03,181.8,182.7,175.3,176.5,335563
2012-05-04,175.4,176.4,170.0,170.2,244217
2012-05-08,171.0,174.1,163.87,167.0,668671
2012-05-09,167.0,169.8,165.0,165.5,280058
2012-05-10,166.1,167.1,162.0,165.7,162495
2012-05-11,165.6,171.4,165.1,170.5,175619
2012-05-14,168.7,170.6,167.8,169.1,241894
2012-05-15,169.2,172.4,163.5,164.2,289887
2012-05-16,162.0,162.7,158.0,159.02,368499
2012-05-17,159.9,162.3,154.0,156.0,493888
2012-05-18,154.1,157.9,152.6,152.8,420607
2012-05-21,153.7,156.8,150.5,150.9,309153
2012-05-22,153.9,157.6,151.8,157.0,416640
2012-05-23,160.0,166.3,157.4,162.25,656311
2012-05-24,163.5,163.5,159.4,161.0,240167
2012-05-25,161.4,163.6,159.4,161.0,537317
