Date,Open,High,Low,Close,Volume
2012-01-03,355.3,363.7,352.1,361.7,1305581
2012-01-04,358.0,362.8,353.4,353.4,1598173
2012-01-05,353.4,353.4,340.1,342.9,875279
2012-01-06,345.0,348.8,340.6,345.2,1530075
2012-01-09,347.2,349.9,345.8,346.2,744779
2012-01-10,345.2,351.8,340.6,345.2,1239708
2012-01-11,349.8,369.3,343.0,368.0,2557499
2012-01-12,369.4,381.5,367.26,380.7,1780167
2012-01-13,383.8,386.3,376.4,378.0,1699122
2012-01-16,376.7,378.5,373.4,375.35,934886
2012-01-17,381.4,382.9,377.0,382.6,1216626
2012-01-18,382.2,389.4,379.1,381.5,752028
2012-01-19,382.5,395.6,382.1,394.6,792235
2012-01-20,396.5,404.1,396.0,401.9,1393899
2012-01-23,399.4,403.95,397.3,401.0,593806
2012-01-24,398.0,401.9,394.4,399.8,852964
2012-01-25,401.8,405.1,395.6,397.6,594657
2012-01-26,399.5,402.2,395.7,399.7,1305776
2012-01-27,397.4,398.6,393.6,394.3,718660
2012-01-30,393.7,393.7,376.2,381.8,850845
2012-01-31,382.9,389.1,380.1,389.1,935178
2012-02-01,387.7,418.4,387.7,418.4,1919079
2012-02-02,419.9,427.0,418.4,425.2,1501216
2012-02-03,425.7,434.2,420.3,430.0,1271095
2012-02-06,429.5,431.5,419.36,429.9,765929
2012-02-07,431.4,431.4,411.4,420.0,1063284
2012-02-08,419.3,425.7,418.5,423.8,655227
2012-02-09,422.5,428.4,421.5,428.1,539284
2012-02-10,425.3,426.4,419.1,419.1,600857
2012-02-13,421.8,427.8,421.0,427.4,448632
2012-02-14,424.7,429.0,421.6,423.0,479241
2012-02-15,423.3,430.0,423.1,424.4,533214
2012-02-16,418.2,419.6,414.1,415.6,960823
2012-02-17,418.9,423.8,416.8,421.4,935978
2012-02-20,424.8,433.0,421.9,432.1,855731
2012-02-21,430.4,438.7,427.0,438.1,1028571
2012-02-22,437.0,452.0,435.5,451.8,1057916
2012-02-23,450.0,467.0,450.0,462.2,1495987
2012-02-24,465.3,465.3,455.3,456.0,964533
2012-02-27,452.8,455.4,448.0,453.8,579335
2012-02-28,452.6,457.5,448.3,451.0,833325
2012-02-29,450.2,454.4,446.3,453.6,669948
2012-03-01,454.5,478.5,450.9,476.0,1231694
2012-03-02,475.7,487.4,474.8,484.0,1067771
2012-03-05,480.0,483.5,471.8,479.0,1300516
2012-03-06,485.0,495.0,439.1,443.0,3829728
2012-03-07,452.9,468.6,445.6,464.1,1831897
2012-03-08,468.0,480.8,468.0,476.9,1391543
2012-03-09,479.0,493.4,477.2,490.0,1274184
2012-03-12,484.0,484.0,473.4,477.3,2923364
2012-03-13,479.9,485.7,476.3,478.7,2161052
2012-03-14,479.9,482.7,476.1,478.1,1368507
2012-03-15,482.0,497.7,478.4,492.6,1835358
2012-03-16,490.8,505.0,490.8,497.73,3269500
2012-03-19,496.9,501.5,495.0,497.0,1129289
2012-03-20,489.8,496.6,478.0,488.4,1585781
2012-03-21,487.7,492.2,485.3,488.5,960577
2012-03-22,488.2,492.9,478.5,481.5,984485
2012-03-23,470.2,480.5,470.2,480.0,1352514
2012-03-26,480.0,487.6,477.0,486.6,858276
2012-03-27,489.5,492.4,486.7,488.7,1013401
2012-03-28,484.6,489.6,478.3,480.0,1075592
2012-03-29,477.2,482.2,469.2,473.0,1265925
2012-03-30,475.0,482.4,475.0,480.0,1098537
2012-04-02,479.8,486.0,478.4,485.0,1206580
2012-04-03,484.6,489.4,484.4,485.0,1170610
2012-04-04,480.5,483.8,464.5,470.11,1593230
2012-04-05,468.3,474.6,462.95,471.5,802369
2012-04-10,467.8,467.8,448.8,453.9,1755067
2012-04-11,436.0,439.7,420.9,437.8,3777698
2012-04-12,441.7,454.9,439.8,453.0,1976489
2012-04-13,450.3,459.5,440.4,440.4,1403952
2012-04-16,436.6,440.2,432.8,435.0,1401801
2012-04-17,432.9,442.0,432.4,440.6,1383553
2012-04-18,438.6,440.0,430.7,438.0,1460339
2012-04-19,438.2,441.9,435.4,438.0,1181307
2012-04-20,438.2,438.2,428.6,434.6,998285
2012-04-23,431.0,432.5,422.2,423.0,1147908
2012-04-24,422.4,425.8,419.0,424.5,1285580
2012-04-25,426.3,429.8,423.9,426.8,1161540
2012-04-26,428.4,432.6,423.0,425.5,1040502
2012-04-27,422.7,428.7,419.0,427.2,1124969
2012-04-30,428.4,429.5,413.1,415.6,1529412
2012-05-01,420.1,422.7,414.3,421.4,303422
2012-05-02,419.1,419.1,408.0,410.0,1972464
2012-05-03,410.2,410.3,405.1,406.9,966958
2012-05-04,404.8,404.9,381.1,385.0,1602457
2012-05-08,384.9,386.0,371.4,372.4,1556740
2012-05-09,373.8,374.6,365.0,370.1,1014413
2012-05-10,372.1,378.0,369.7,375.4,1149931
2012-05-11,372.3,375.9,370.3,375.7,925450
2012-05-14,372.3,372.3,360.2,361.12,963781
2012-05-15,363.4,365.6,356.1,357.11,845314
2012-05-16,353.5,361.8,349.1,358.1,1109222
2012-05-17,358.5,359.4,353.0,353.1,846064
2012-05-18,347.2,351.4,343.0,347.9,790112
2012-05-21,345.7,355.3,345.7,351.6,751158
2012-05-22,354.2,364.2,353.9,364.2,904079
2012-05-23,359.2,360.9,352.5,352.8,872043
2012-05-24,357.4,364.9,355.3,362.9,828100
2012-05-25,364.3,365.0,350.3,359.19,1182611
2012-05-28,354.8,360.3,354.4,356.2,623632
2012-05-29,358.9,372.6,358.9,370.0,1029303
2012-05-30,367.6,369.7,358.0,358.8,717334
2012-05-31,358.0,362.4,350.8,356.0,989273
2012-06-01,356.7,358.2,341.7,342.4,1275117
2012-06-06,345.4,365.1,343.6,365.0,1082270
2012-06-07,367.1,376.0,365.2,372.1,1088208
2012-06-08,367.5,368.4,361.5,364.5,769839
2012-06-11,373.3,376.5,362.71,364.7,828052
2012-06-12,366.4,366.4,358.9,363.1,740607
2012-06-13,366.0,366.0,356.9,358.0,857100
2012-06-14,357.0,360.9,353.0,360.1,883904
2012-06-15,362.3,377.53,360.6,377.3,1979263
2012-06-18,380.8,381.4,371.0,376.0,782084
2012-06-19,376.6,381.7,373.4,377.0,879724
2012-06-20,378.4,390.1,375.3,390.0,645910
2012-06-21,386.6,390.4,382.0,382.1,709699
2012-06-22,372.6,373.4,355.6,365.8,1791839
2012-06-25,363.0,364.7,350.4,350.4,1121970
2012-06-26,350.2,352.9,342.2,347.9,1219122
2012-06-27,349.4,352.9,345.4,350.1,821728
2012-06-28,351.3,353.9,347.8,351.1,674577
2012-06-29,357.3,374.6,355.2,373.9,820468
2012-07-02,375.7,381.7,374.6,378.0,768824
2012-07-03,379.2,389.9,378.5,388.8,555832
2012-07-04,389.0,389.2,378.5,379.9,758295
2012-07-05,376.4,376.4,358.9,363.0,1642822
2012-07-06,364.0,365.0,360.8,364.6,871434
2012-07-09,352.0,355.62,344.45,350.9,2200455
2012-07-10,349.8,360.8,349.8,358.0,1409098
2012-07-11,356.9,360.6,347.5,349.9,1886579
2012-07-12,346.0,346.0,340.0,342.5,1324930
2012-07-13,341.6,343.6,337.5,341.4,1221169
2012-07-16,341.7,350.0,338.1,348.0,818857
2012-07-17,346.4,347.4,340.8,341.6,668778
2012-07-18,342.0,348.9,342.0,346.3,756850
2012-07-19,346.8,354.9,346.8,353.4,1118529
2012-07-20,352.2,357.4,351.0,353.3,578887
2012-07-23,348.8,348.8,343.2,346.5,745000
2012-07-24,347.1,349.9,343.7,346.2,579432
2012-07-25,344.9,347.7,343.9,346.3,602887
2012-07-26,346.1,353.1,343.2,350.4,1528007
2012-07-27,352.9,362.8,348.5,348.5,1710813
2012-07-30,351.7,366.18,351.7,357.49,859003
2012-07-31,363.7,369.9,362.7,367.5,797789
2012-08-01,367.0,368.8,362.7,368.8,420736
2012-08-02,365.5,370.0,355.5,358.2,1158940
2012-08-03,359.0,374.9,356.7,374.4,797572
2012-08-06,371.1,387.8,371.1,385.6,505225
2012-08-07,384.4,390.1,381.05,389.8,482500
2012-08-08,381.9,387.4,374.9,381.7,647670
2012-08-09,386.4,387.2,377.3,383.0,810147
2012-08-10,383.8,387.2,376.6,379.0,612172
2012-08-13,375.9,381.4,366.3,371.07,987663
2012-08-14,372.0,372.0,366.26,369.02,674604
2012-08-15,368.6,375.4,365.0,372.7,608983
2012-08-16,369.2,375.4,367.4,370.0,564315
2012-08-17,371.2,384.0,370.4,383.5,585582
2012-08-20,380.4,380.4,368.5,371.5,802532
2012-08-21,370.8,374.9,369.9,373.2,405571
2012-08-22,370.4,370.9,360.7,362.4,523254
2012-08-23,365.5,365.6,358.5,360.8,382980
2012-08-24,360.4,362.8,355.6,359.2,367945
2012-08-28,356.9,361.0,352.1,353.5,403976
2012-08-29,353.4,357.3,350.6,353.6,424145
2012-08-30,353.0,356.8,350.1,350.1,496224
2012-08-31,351.2,367.2,350.4,362.4,910069
2012-09-03,358.3,367.64,356.0,367.6,509516
2012-09-04,367.4,367.85,359.1,362.0,411512
2012-09-05,354.6,359.4,349.9,351.7,580294
2012-09-06,352.4,368.2,352.3,367.4,494909
2012-09-07,366.8,380.3,366.8,379.4,789450
2012-09-10,375.5,386.7,375.5,386.6,380760
2012-09-11,384.1,384.7,373.3,375.7,440415
2012-09-12,380.8,384.1,373.1,382.0,456314
2012-09-13,376.8,382.9,376.8,381.5,387498
2012-09-14,387.9,410.0,387.9,401.5,1250582
2012-09-17,397.3,403.7,397.2,397.7,437948
2012-09-18,394.6,394.6,386.4,390.0,556486
2012-09-19,390.6,392.3,386.1,389.0,702662
2012-09-20,385.0,385.7,380.0,382.0,687602
2012-09-21,383.8,385.0,381.6,383.0,931220
2012-09-24,379.1,381.7,376.2,377.9,324440
2012-09-25,378.2,378.3,373.5,375.0,729351
2012-09-26,371.4,371.8,361.5,363.0,668602
2012-09-27,367.2,368.2,359.6,360.2,614253
2012-09-28,362.2,363.9,354.2,355.8,982602
2012-10-01,353.1,359.0,353.1,358.4,747898
2012-10-02,356.6,362.0,355.1,359.0,1303730
2012-10-03,358.9,361.5,357.0,357.8,437475
2012-10-04,360.5,363.84,357.8,363.8,1897334
2012-10-05,365.0,371.1,363.5,365.1,1159631
2012-10-08,345.0,367.45,343.8,363.0,2030859
2012-10-09,363.1,365.6,357.9,358.9,933545
2012-10-10,357.6,359.0,356.6,357.6,625000
2012-10-11,355.0,359.1,353.0,356.17,1241415
2012-10-12,354.8,358.0,354.4,356.1,577055
2012-10-15,355.9,358.8,355.8,358.1,632120
2012-10-16,359.7,363.5,358.3,360.1,644980
2012-10-17,360.1,367.0,359.7,367.0,545310
2012-10-18,365.2,379.3,365.1,377.5,821179
2012-10-19,376.6,377.9,371.7,374.0,659132
2012-10-22,373.2,383.5,371.9,379.6,1255317
2012-10-23,380.6,380.6,365.2,365.3,1191651
2012-10-24,366.6,369.7,363.3,367.1,1033964
2012-10-25,367.5,369.4,366.0,368.4,575259
2012-10-26,364.7,369.6,364.7,366.0,692991
2012-10-29,368.6,368.6,362.5,362.6,539671
2012-10-30,362.9,364.1,360.2,362.8,421575
2012-10-31,362.7,363.3,359.2,360.4,673645
2012-11-01,359.1,364.2,357.5,363.9,583945
2012-11-02,364.1,368.3,363.0,367.6,652657
2012-11-05,360.6,366.1,359.6,362.1,517148
2012-11-06,362.0,376.1,362.0,374.5,1096520
2012-11-07,377.7,380.7,367.1,367.1,859353
2012-11-08,365.1,370.0,358.2,358.2,866955
2012-11-09,365.4,378.2,365.0,366.5,1574184
2012-11-12,366.8,370.0,365.3,365.3,386908
2012-11-13,364.7,366.9,357.1,358.7,803990
2012-11-14,358.8,360.4,354.1,354.1,611506
2012-11-15,352.0,354.5,348.9,351.3,591876
2012-11-16,350.2,354.4,348.2,349.8,422109
2012-11-19,353.6,353.6,349.6,352.0,555690
2012-11-20,350.8,351.9,349.5,351.5,534118
2012-11-21,351.7,352.5,345.4,346.4,497523
2012-11-22,347.3,350.4,346.3,350.3,376721
2012-11-23,351.8,353.8,348.2,353.0,483904
2012-11-26,350.0,352.0,346.2,346.9,305430
2012-11-27,348.6,352.0,345.3,351.8,522603
2012-11-28,351.3,353.6,345.5,350.8,538902
2012-11-29,352.9,360.5,351.5,358.0,667926
2012-11-30,359.3,360.7,356.2,356.3,641062
2012-12-03,358.8,362.3,357.1,360.8,403045
2012-12-04,360.1,364.7,358.8,362.7,388933
2012-12-05,363.9,367.7,359.8,362.5,564292
2012-12-06,361.9,368.1,361.8,363.3,628083
2012-12-07,362.9,367.6,362.4,366.6,482536
2012-12-10,368.1,375.4,366.9,375.0,658577
2012-12-11,376.0,381.2,376.0,377.7,679849
2012-12-12,378.7,383.4,374.8,377.5,1018549
2012-12-13,383.8,390.7,383.1,386.9,1074974
2012-12-14,389.9,400.2,389.6,395.0,1089101
2012-12-17,395.0,398.5,390.2,391.3,765893
2012-12-18,393.0,405.2,392.6,399.2,1055208
2012-12-19,401.0,401.0,397.7,398.1,552900
2012-12-20,396.4,400.5,396.1,399.4,546567
2012-12-21,398.3,398.8,392.9,394.1,831697
2012-12-24,396.5,398.9,390.8,398.9,86419
2012-12-27,394.4,401.4,394.4,398.1,261981
2012-12-28,398.1,399.4,392.3,394.4,255971
2012-12-31,393.4,397.5,390.5,395.0,130847
2013-01-02,401.7,413.8,398.0,411.3,979408
2013-01-03,412.6,416.9,410.5,416.8,420679
2013-01-04,416.5,420.0,410.7,420.0,341258
2013-01-07,419.1,419.7,414.3,414.7,514494
2013-01-08,413.9,413.9,387.4,398.8,1538548
2013-01-09,400.6,402.0,399.0,401.9,1067494
2013-01-10,401.0,410.5,400.6,408.0,1108771
2013-01-11,408.5,410.1,401.8,404.6,729676
2013-01-14,406.0,406.8,399.1,402.8,959689
2013-01-15,405.9,409.0,402.86,405.0,1023275
2013-01-16,404.3,409.1,400.0,404.3,482049
2013-01-17,403.1,405.33,401.75,403.0,469493
2013-01-18,405.0,406.9,402.5,403.0,612889
2013-01-21,403.6,405.7,403.0,404.6,377990
2013-01-22,402.5,405.6,401.4,404.0,643075
2013-01-23,407.9,416.9,406.9,406.9,969542
2013-01-24,408.9,412.0,407.3,409.5,415530
2013-01-25,409.1,412.9,407.3,410.7,316811
2013-01-28,410.7,412.0,407.6,409.5,360312
2013-01-29,409.7,410.3,401.0,408.8,365524
2013-01-30,408.0,414.1,405.1,412.8,548093
2013-01-31,411.5,413.1,405.9,407.2,713491
2013-02-01,407.2,419.4,407.2,417.8,433905
2013-02-04,415.4,415.4,409.6,410.9,490131
2013-02-05,409.4,416.8,406.9,412.3,506908
2013-02-06,413.8,423.2,413.2,423.0,631519
2013-02-07,423.7,426.7,415.2,415.2,494247
2013-02-08,416.9,419.4,415.3,417.6,330400
2013-02-11,417.3,419.0,411.3,412.8,380533
2013-02-12,412.0,414.8,408.6,412.6,759400
2013-02-13,412.9,417.0,411.3,415.0,425461
2013-02-14,412.9,416.8,408.7,409.1,695169
2013-02-15,409.0,415.4,407.0,412.1,568006
2013-02-18,412.4,413.7,410.0,411.8,405589
2013-02-19,412.9,418.3,411.0,415.0,401707
2013-02-20,415.4,422.04,412.7,421.19,819315
2013-02-21,419.2,419.6,413.1,415.8,544830
2013-02-22,417.0,432.1,414.5,430.2,918174
2013-02-25,433.3,434.9,428.9,432.0,624796
2013-02-26,424.3,431.3,421.4,424.0,824900
2013-02-27,424.8,426.9,421.3,426.4,673942
2013-02-28,428.0,429.9,424.2,429.3,806829
2013-03-01,429.0,441.7,426.6,437.6,1084400
2013-03-04,431.7,442.5,427.9,437.4,906397
2013-03-05,442.5,465.1,442.5,448.9,1912131
2013-03-06,452.7,455.0,445.5,447.0,1020590
2013-03-07,450.7,452.3,445.7,447.5,656435
2013-03-08,452.3,455.2,450.2,451.8,538792
2013-03-11,447.3,447.5,433.0,442.1,2080295
2013-03-12,440.8,447.1,436.8,444.6,1006747
