Date,Open,High,Low,Close,Volume
2012-01-03,110.0,111.0,110.0,111.0,23034.0
2012-01-04,111.5,111.62,110.98,110.98,63332.0
2012-01-05,110.58,0.0,110.58,110.98,15400.0
2012-01-06,111.12,111.17,110.52,110.55,35229.0
2012-01-09,110.03,0.0,110.03,110.03,30987.0
2012-01-10,111.4,111.49,110.28,111.3,86190.0
2012-01-11,110.5,111.0,110.5,111.0,78380.0
2012-01-12,110.0,110.0,109.5,109.78,206704.0
2012-01-13,109.5,110.5,109.0,109.0,40191.0
2012-01-16,108.75,110.0,108.75,109.58,79580.0
2012-01-17,109.5,109.75,109.1,109.5,159513.0
2012-01-18,110.0,110.75,110.0,110.75,36547.0
2012-01-19,111.25,111.5,110.47,111.0,47068.0
2012-01-20,110.6,111.77,110.6,111.45,129997.0
2012-01-23,110.5,111.4,110.5,110.75,82747.0
2012-01-24,110.5,110.9,110.0,110.0,127694.0
2012-01-25,109.75,110.16,109.0,109.0,65250.0
2012-01-26,110.5,111.49,0.0,111.49,13451.0
2012-01-27,109.0,111.32,108.5,108.5,99519.0
2012-01-30,110.38,110.5,108.5,108.5,142933.0
2012-01-31,109.0,110.1,108.75,109.0,135717.0
2012-02-01,108.75,110.12,108.75,109.0,59453.0
2012-02-02,110.0,110.25,109.0,109.5,197877.0
2012-02-03,110.0,110.85,110.0,110.0,60642.0
2012-02-06,111.0,111.0,109.78,109.78,127947.0
2012-02-07,111.25,111.5,111.5,111.5,16017.0
2012-02-08,111.0,111.25,109.5,109.5,57905.0
2012-02-09,110.0,111.25,109.75,111.25,409856.0
2012-02-10,109.5,110.5,109.5,109.52,68990.0
2012-02-13,,,,110.0,0.0
2012-02-14,111.0,111.0,108.77,108.86,1.0
2012-02-15,109.75,110.96,108.5,108.5,13125.0
2012-02-16,,,,108.75,0.0
2012-02-17,,,,108.82,0.0
2012-02-20,,,,109.85,0.0
2012-02-21,109.25,109.62,108.0,109.0,84004.0
2012-02-22,109.5,109.5,108.02,109.38,6120.0
2012-02-23,109.5,109.5,109.13,109.13,3310.0
2012-02-24,110.0,110.49,110.0,110.0,30930.0
2012-02-27,,,,110.32,0.0
2012-02-28,110.0,110.5,109.56,110.5,6414.0
2012-02-29,110.0,111.5,109.28,110.25,55499.0
2012-03-01,111.25,111.25,110.62,110.88,1.0
2012-03-02,111.0,111.5,111.0,111.5,22154.0
2012-03-05,,,,111.49,0.0
2012-03-06,111.0,111.5,110.25,110.72,99030.0
2012-03-07,110.0,110.75,110.0,110.5,9000.0
2012-03-08,111.25,111.5,111.25,111.25,757.0
2012-03-09,112.0,112.25,111.2,112.25,10029.0
2012-03-12,112.0,112.75,111.95,112.75,201.0
2012-03-13,112.75,114.5,112.75,114.5,10022.0
2012-03-14,114.5,114.5,113.05,114.5,102.0
2012-03-15,115.25,117.0,115.25,117.0,46582.0
2012-03-16,117.0,117.0,115.5,115.5,344.0
2012-03-19,116.5,116.5,115.02,115.1,1.0
2012-03-20,114.0,115.0,113.52,113.99,5000.0
2012-03-21,114.0,114.35,113.32,113.32,2264.0
2012-03-22,113.0,113.5,112.25,113.5,5981.0
