Date,Open,High,Low,Close,Volume
2012-01-03,1495.0,1499.0,1438.0,1459.0,1066212
2012-01-04,1458.0,1476.08,1448.0,1465.0,829129
2012-01-05,1485.0,1524.7,1480.0,1493.0,1388480
2012-01-06,1489.0,1551.0,1484.0,1543.0,1864645
2012-01-09,1543.0,1560.0,1534.0,1539.0,1372623
2012-01-10,1559.0,1582.98,1555.0,1570.0,919905
2012-01-11,1565.0,1574.0,1511.0,1532.0,1555327
2012-01-12,1525.0,1574.0,1525.0,1563.0,989338
2012-01-13,1568.0,1574.0,1528.0,1554.0,1099503
2012-01-16,1547.0,1572.0,1540.0,1548.0,777526
2012-01-17,1570.0,1570.0,1513.0,1535.0,1063601
2012-01-18,1534.0,1537.0,1511.0,1522.0,1158715
2012-01-19,1535.0,1535.0,1504.0,1509.0,909214
2012-01-20,1482.0,1495.0,1427.0,1445.45,2982249
2012-01-23,1442.0,1463.0,1436.0,1454.0,1007221
2012-01-24,1446.0,1468.0,1434.0,1444.0,842344
2012-01-25,1454.0,1458.0,1435.0,1439.0,627850
2012-01-26,1440.0,1460.0,1438.0,1455.0,1373458
2012-01-27,1447.0,1465.0,1440.0,1441.0,1293078
2012-01-30,1435.0,1440.0,1414.0,1429.0,1023435
2012-01-31,1436.0,1474.0,1432.0,1455.0,1328385
2012-02-01,1430.0,1460.61,1430.0,1450.0,1301824
2012-02-02,1454.0,1506.0,1452.0,1495.0,1833328
2012-02-03,1488.0,1494.0,1458.0,1474.0,1006072
2012-02-06,1468.0,1485.0,1462.0,1475.0,593797
2012-02-07,1474.0,1485.0,1455.0,1477.0,795207
2012-02-08,1477.0,1497.0,1470.0,1471.0,765110
2012-02-09,1478.0,1524.0,1472.0,1517.0,1017818
2012-02-10,1508.0,1522.0,1504.0,1512.0,943430
2012-02-13,1520.0,1545.0,1512.0,1532.0,582121
2012-02-14,1520.0,1554.33,1520.0,1540.0,649679
2012-02-15,1544.0,1563.0,1539.7,1552.0,692912
2012-02-16,1541.0,1558.05,1529.0,1536.0,559356
2012-02-17,1545.0,1558.0,1540.0,1542.0,675589
2012-02-20,1550.0,1566.0,1543.0,1553.0,438968
2012-02-21,1550.0,1571.0,1532.0,1566.0,956910
2012-02-22,1574.0,1593.16,1562.8,1593.0,1291105
2012-02-23,1598.0,1611.0,1577.0,1590.0,623833
2012-02-24,1595.0,1601.0,1586.0,1594.0,606818
2012-02-27,1586.0,1604.0,1575.0,1599.0,611897
2012-02-28,1605.0,1612.0,1589.0,1597.0,681515
2012-02-29,1596.0,1603.0,1580.2,1591.0,906449
2012-03-01,1586.0,1595.0,1565.0,1572.0,813934
2012-03-02,1565.0,1584.0,1562.07,1574.0,676862
2012-03-05,1570.0,1610.0,1563.0,1595.0,981547
2012-03-06,1598.0,1609.0,1534.0,1545.0,1400400
2012-03-07,1549.0,1598.0,1540.0,1591.0,845769
2012-03-08,1613.0,1682.0,1610.0,1675.0,1609609
2012-03-09,1672.0,1732.0,1664.0,1711.0,1323415
2012-03-12,1710.0,1728.0,1679.49,1693.0,814480
2012-03-13,1700.0,1706.0,1675.0,1691.0,635993
2012-03-14,1702.0,1719.0,1691.0,1706.0,737113
2012-03-15,1691.0,1713.0,1687.0,1710.0,820337
2012-03-16,1710.0,1717.43,1697.0,1714.0,628837
2012-03-19,1709.0,1713.0,1697.0,1705.0,362972
2012-03-20,1698.0,1700.0,1669.0,1680.0,622886
2012-03-21,1686.0,1705.0,1675.0,1683.0,639586
2012-03-22,1676.0,1686.0,1648.0,1660.0,499795
2012-03-23,1658.0,1678.0,1650.0,1674.0,387790
2012-03-26,1686.0,1730.0,1680.0,1719.0,640681
2012-03-27,1719.0,1725.0,1679.0,1687.0,742653
2012-03-28,1680.0,1696.0,1666.0,1672.62,601827
2012-03-29,1666.0,1675.0,1648.0,1653.26,712434
