Date,Open,High,Low,Close,Volume
2012-01-03,149.0,149.0,146.5,146.5,23190.0
2012-01-04,146.25,146.25,146.0,146.0,6584.0
2012-01-05,143.0,143.75,142.36,143.25,70863.0
2012-01-06,144.75,144.75,143.0,143.5,15651.0
2012-01-09,144.0,145.75,144.0,145.0,22407.0
2012-01-10,145.0,148.55,145.0,147.01,63903.0
2012-01-11,146.75,147.0,146.26,147.0,23719.0
2012-01-12,145.7,0.0,145.7,145.7,3259.0
2012-01-13,148.5,151.0,147.65,148.51,62506.0
2012-01-16,147.76,0.0,147.51,147.51,3978.0
2012-01-17,150.5,152.5,149.37,150.7,40334.0
2012-01-18,152.75,153.0,152.0,152.75,29821.0
2012-01-19,152.5,155.75,152.5,153.0,21695.0
2012-01-20,154.5,0.0,154.26,154.26,19158.0
2012-01-23,154.25,155.7,154.25,155.0,36700.0
2012-01-24,154.0,155.35,154.0,154.0,6362.0
2012-01-25,153.5,0.0,153.5,153.5,4500.0
2012-01-26,155.5,155.5,155.5,155.5,3828.0
2012-01-27,,,,157.0,0.0
2012-01-31,155.5,156.85,153.25,153.25,29696.0
2012-02-01,155.0,156.0,154.0,155.0,42672.0
2012-02-02,155.25,156.0,155.25,156.0,14420.0
2012-02-03,156.75,157.0,155.1,157.0,63375.0
2012-02-06,158.0,158.0,156.0,156.0,22819.0
2012-02-07,155.25,158.0,154.85,158.0,16945.0
2012-02-08,158.0,160.08,155.0,159.0,57966.0
2012-02-09,159.0,161.5,159.0,161.5,11497.0
2012-02-10,158.0,160.0,157.1,157.1,36256.0
2012-02-13,160.75,162.0,158.38,162.0,5993.0
2012-02-14,157.5,161.5,157.25,160.0,14844.0
2012-02-15,164.0,164.0,163.0,163.5,65128.0
2012-02-16,,,,161.26,0.0
2012-02-17,162.0,164.4,162.0,164.4,31348.0
2012-02-20,,,,163.45,0.0
2012-02-21,162.0,164.0,161.75,164.0,3000.0
2012-02-22,165.0,165.0,163.01,163.71,12995.0
2012-02-23,,,,162.5,0.0
2012-02-24,,,,164.72,0.0
2012-02-27,164.5,164.5,161.63,164.0,5628.0
2012-02-28,164.75,165.0,162.06,165.0,954.0
2012-02-29,164.75,167.0,164.75,165.0,37555.0
2012-03-01,164.25,164.5,163.5,163.5,8213.0
2012-03-02,164.0,166.75,163.5,164.25,22175.0
2012-03-05,163.03,163.25,162.0,162.5,13982.0
2012-03-06,161.01,161.7,158.5,159.0,44774.0
2012-03-07,158.75,160.51,158.75,159.5,10690.0
2012-03-08,161.5,161.62,160.62,161.0,89361.0
2012-03-09,162.0,165.0,161.5,165.0,75822.0
2012-03-12,163.0,164.75,162.01,164.0,10300.0
2012-03-13,163.25,164.5,162.0,163.5,45792.0
2012-03-14,166.0,166.0,164.5,166.0,83.0
2012-03-15,165.0,166.0,165.0,165.25,10081.0
2012-03-16,164.0,165.75,162.25,162.25,23359.0
2012-03-19,162.75,164.95,162.29,162.5,4580.0
2012-03-20,162.25,162.25,159.75,160.5,20017.0
2012-03-21,160.5,161.5,160.5,161.25,12906.0
2012-03-22,161.0,162.75,160.5,161.75,10524.0
2012-03-23,160.92,161.0,160.5,160.75,94661.0
2012-03-26,161.0,161.5,160.5,161.0,4047.0
2012-03-27,162.5,163.25,160.61,162.75,50304.0
2012-03-28,163.5,163.5,161.0,163.0,24707.0
2012-03-29,160.5,162.0,159.96,161.5,55383.0
2012-03-30,161.26,163.5,161.26,163.5,18484.0
2012-04-02,163.5,163.75,161.25,161.25,19522.0
2012-04-03,163.2,163.75,161.76,163.0,39221.0
2012-04-04,160.75,160.75,159.5,159.5,40682.0
2012-04-05,161.25,161.75,159.5,161.75,53473.0
2012-04-10,159.25,160.5,159.0,159.0,21840.0
2012-04-11,,,,157.92,0.0
2012-04-12,158.5,161.08,157.72,159.74,5000.0
2012-04-13,161.75,161.75,160.0,161.75,5252.0
2012-04-16,161.0,161.0,161.0,161.0,1405.0
2012-04-17,159.75,160.75,159.75,159.75,613.0
2012-04-18,159.75,161.89,159.75,159.75,5000.0
2012-04-19,159.0,159.0,157.25,157.25,177.0
2012-04-20,,,,157.25,0.0
2012-04-23,156.0,158.39,155.25,155.25,11258.0
2012-04-24,154.0,156.0,153.5,153.5,2266.0
2012-04-25,155.25,155.5,155.03,155.5,31747.0
2012-04-26,155.75,156.0,155.25,155.5,10169.0
2012-04-27,155.0,156.75,155.0,156.0,15761.0
2012-04-30,156.75,157.12,156.5,157.0,36101.0
2012-05-01,,,,157.39,0.0
2012-05-02,158.5,158.5,156.72,157.5,16739.0
2012-05-03,159.0,161.0,157.75,161.0,5087.0
2012-05-04,156.75,158.05,156.75,157.0,30941.0
2012-05-08,158.75,159.3,154.88,154.88,7852.0
2012-05-09,153.0,153.5,152.75,152.88,15349.0
2012-05-10,153.0,153.25,153.0,153.0,2017.0
2012-05-11,153.25,153.25,151.0,153.0,25455.0
2012-05-14,150.5,150.5,148.0,148.0,9245.0
