Date,Open,High,Low,Close,Volume
2012-01-03,520.5,529.0,516.0,525.0,45646
2012-01-04,529.5,543.0,523.5,533.91,68749
2012-01-05,530.5,537.0,530.0,530.0,69994
2012-01-06,522.0,550.5,522.0,537.55,56046
2012-01-09,536.5,551.5,532.5,551.5,48687
2012-01-10,554.0,557.0,549.0,550.0,47381
2012-01-11,545.0,561.78,543.5,556.01,64446
2012-01-12,540.5,551.0,540.5,550.58,46258
2012-01-13,534.5,550.5,534.5,544.26,65391
2012-01-16,541.5,544.58,531.5,539.5,74375
2012-01-17,542.0,556.0,540.0,549.5,34201
2012-01-18,550.5,551.0,539.5,550.5,43570
2012-01-19,551.0,573.5,550.0,557.5,134337
2012-01-20,562.0,569.5,553.5,558.0,313599
2012-01-23,554.5,564.0,550.32,564.0,60324
2012-01-24,567.0,580.0,563.72,580.0,95918
2012-01-25,571.0,580.0,556.5,563.5,62855
2012-01-26,565.5,576.5,565.5,575.0,257347
2012-01-27,550.5,572.0,548.98,572.0,53036
2012-01-30,574.0,591.2,560.5,570.0,84617
2012-01-31,565.0,594.0,565.0,583.0,217651
2012-02-01,592.0,604.0,559.95,590.0,154860
2012-02-02,580.5,590.0,571.0,590.0,95418
2012-02-03,581.5,592.5,577.5,584.0,192033
2012-02-06,592.0,592.0,576.28,584.5,37480
2012-02-07,582.5,584.5,562.72,578.6,93701
2012-02-08,584.0,584.0,576.0,579.0,24935
2012-02-09,574.5,580.0,567.5,569.5,54373
2012-02-10,538.22,562.5,525.0,561.0,231199
2012-02-13,556.5,580.28,556.5,567.5,223004
2012-02-14,567.5,576.0,564.5,566.0,179645
2012-02-15,572.5,576.0,554.5,565.0,121270
2012-02-16,568.0,571.0,559.5,562.5,110411
2012-02-17,565.0,576.56,563.0,565.0,144605
2012-02-20,565.0,571.0,557.57,561.0,167771
2012-02-21,553.0,569.0,551.34,557.5,149240
2012-02-22,562.0,571.5,558.0,568.0,89403
2012-02-23,570.0,575.5,565.0,575.5,82805
2012-02-24,570.0,570.0,564.5,564.5,121814
2012-02-27,570.0,570.0,560.0,560.0,20419
2012-02-28,568.5,570.0,551.0,553.0,190009
2012-02-29,560.0,562.0,548.5,550.0,70799
2012-03-01,553.0,565.0,548.74,561.0,36098
2012-03-02,566.0,567.84,561.0,563.0,26581
2012-03-05,562.5,567.0,552.0,555.0,30630
2012-03-06,555.5,555.5,537.0,551.5,60773
2012-03-07,548.0,562.0,548.0,556.0,28705
2012-03-08,551.5,555.5,541.5,553.5,51917
2012-03-09,550.5,553.2,539.55,547.0,38608
