Date,Open,High,Low,Close,Volume
2012-01-03,319.0,319.0,314.25,319.0,57878
2012-01-04,318.75,319.0,316.0,317.5,119596
2012-01-05,312.75,319.0,312.75,319.0,99922
2012-01-06,319.0,323.0,317.25,323.0,189259
2012-01-09,323.0,323.0,319.25,320.25,123266
2012-01-10,323.0,323.0,318.0,321.0,39816
2012-01-11,317.75,320.77,317.5,320.0,70697
2012-01-12,315.5,320.0,315.5,317.75,51539
2012-01-13,315.25,318.5,315.25,318.0,40547
2012-01-16,318.5,319.5,316.5,318.25,46789
2012-01-17,319.5,319.5,317.5,318.5,141627
2012-01-18,319.5,320.0,316.5,320.0,75494
2012-01-19,319.5,319.5,316.25,316.25,102334
2012-01-20,319.5,319.5,315.25,317.0,110010
2012-01-23,317.0,319.5,316.75,319.5,95046
2012-01-24,319.5,320.0,317.85,319.5,51159
2012-01-25,320.0,324.0,317.0,321.5,135123
2012-01-26,324.0,327.0,324.0,325.0,82172
2012-01-27,326.75,326.75,322.0,325.0,54123
2012-01-30,323.75,326.75,321.0,326.0,107133
2012-01-31,327.0,327.35,320.0,326.0,86295
2012-02-01,326.75,330.0,322.5,329.5,101392
2012-02-02,329.75,330.95,325.0,330.0,154826
2012-02-03,330.0,330.5,327.0,328.0,44605
2012-02-06,330.0,335.0,327.56,330.0,71228
2012-02-07,329.0,331.0,327.25,331.0,61518
2012-02-08,327.75,331.0,327.75,331.0,63445
2012-02-09,331.0,335.0,330.95,333.0,68016
2012-02-10,332.5,333.0,328.25,333.0,51440
2012-02-13,333.0,335.0,331.84,335.0,22333
2012-02-14,330.5,335.0,330.5,333.0,33885
2012-02-15,329.75,331.5,326.75,327.0,91028
2012-02-16,323.0,326.75,321.58,325.0,29841
2012-02-17,324.75,325.0,320.72,324.0,4322
2012-02-20,322.0,322.0,318.0,321.5,31127
2012-02-21,321.5,329.75,317.5,328.0,82533
2012-02-22,323.0,333.77,323.0,333.0,57806
2012-02-23,331.25,334.5,328.5,328.5,25451
2012-02-24,333.25,335.0,329.88,333.0,56852
2012-02-27,333.0,335.0,331.0,333.0,12573
2012-02-28,330.5,333.5,330.5,333.5,6371
2012-02-29,333.0,334.85,330.5,333.0,24621
2012-03-01,331.0,339.5,331.0,339.0,27448
2012-03-02,336.25,343.29,336.25,337.91,21574
2012-03-05,342.0,343.0,338.0,338.25,35795
2012-03-06,342.75,351.68,333.25,341.25,189731
2012-03-07,320.0,327.75,320.0,325.0,51210
2012-03-08,323.0,327.75,318.21,323.0,44866
2012-03-09,320.25,322.85,320.25,321.25,9139
2012-03-12,322.0,324.52,320.0,320.0,14716
2012-03-13,321.5,322.5,319.75,322.0,65693
2012-03-14,323.75,324.0,318.0,322.0,27749
2012-03-15,320.5,321.25,319.0,319.75,24442
2012-03-16,319.75,323.5,317.31,317.75,104387
2012-03-19,318.0,321.75,316.0,318.0,24983
2012-03-20,319.0,319.0,313.87,317.0,65866
2012-03-21,315.0,317.4,315.0,315.25,19874
2012-03-22,317.75,317.75,314.0,315.0,49787
2012-03-23,315.0,319.75,310.0,312.0,51353
2012-03-26,315.0,315.5,311.18,313.5,29281
2012-03-27,314.75,315.0,310.0,311.0,14900
2012-03-28,312.5,315.0,310.0,313.75,47108
2012-03-29,317.0,325.22,312.69,325.22,18774
2012-03-30,315.25,326.64,314.0,326.64,72187
2012-04-02,320.0,323.0,317.0,322.25,33350
2012-04-03,320.0,334.12,320.0,334.12,132216
2012-04-04,328.5,339.12,327.5,339.12,86176
2012-04-05,329.5,330.5,326.0,330.0,44376
2012-04-10,326.5,333.0,323.08,328.0,56929
2012-04-11,322.0,327.5,322.0,326.0,43779
2012-04-12,327.0,329.0,324.02,328.0,35130
2012-04-13,328.0,329.0,327.5,327.75,21273
2012-04-16,329.0,329.0,324.25,325.5,37565
2012-04-17,327.0,329.0,325.0,329.0,10780
2012-04-18,329.0,331.0,326.5,329.5,31755
2012-04-19,329.0,330.0,328.5,329.0,25700
2012-04-20,330.0,334.75,329.0,334.75,87236
2012-04-23,331.75,336.0,328.5,336.0,33756
2012-04-24,335.0,335.0,332.75,333.5,10054
2012-04-25,333.75,335.0,331.5,333.0,36712
2012-04-26,334.0,334.7,328.48,333.0,20359
2012-04-27,331.0,334.0,330.0,330.0,27868
2012-04-30,332.75,334.0,331.3,334.0,24359
2012-05-01,334.0,334.0,330.0,333.0,9786
2012-05-02,333.25,334.0,326.25,328.25,88038
2012-05-03,328.0,332.75,328.0,329.5,54110
2012-05-04,328.5,330.82,325.75,326.0,23840
2012-05-08,327.5,332.25,326.0,326.75,160553
2012-05-09,327.25,329.9,326.0,327.75,64914
2012-05-10,327.5,328.5,326.0,327.75,27574
2012-05-11,327.5,330.0,326.0,330.0,18944
2012-05-14,325.75,328.07,324.57,326.75,64040
2012-05-15,327.0,328.82,324.3,325.0,13585
2012-05-16,328.0,328.0,324.25,325.0,43405
2012-05-17,325.0,327.75,324.25,325.25,14055
2012-05-18,315.0,317.48,305.0,305.0,33070
2012-05-21,315.75,315.75,313.0,314.5,9488
2012-05-22,317.0,317.0,314.0,315.5,15881
2012-05-23,317.0,317.0,313.0,315.0,36727
2012-05-24,315.0,316.25,314.92,315.0,5426
2012-05-25,315.0,317.0,314.38,315.0,14043
2012-05-28,316.5,316.5,314.5,315.0,7228
2012-05-29,314.5,317.8,313.0,316.0,12073
2012-05-30,315.25,317.25,314.5,315.0,16935
2012-05-31,317.0,317.0,312.5,314.25,139660
2012-06-01,317.75,317.75,312.0,313.75,25573
2012-06-06,312.0,318.0,312.0,312.0,90634
2012-06-07,317.75,318.0,312.86,313.0,47795
2012-06-08,313.0,315.29,313.0,314.25,60368
2012-06-11,314.0,317.0,314.0,314.0,38217
2012-06-12,315.0,317.0,315.0,316.5,25972
2012-06-13,315.0,317.0,314.5,314.5,17046
2012-06-14,315.0,317.0,314.0,314.0,65271
2012-06-15,314.75,320.0,314.0,320.0,337846
2012-06-18,315.5,317.0,314.33,316.0,12449
2012-06-19,317.0,317.0,312.0,315.0,56507
2012-06-20,316.75,316.75,313.5,313.5,19503
2012-06-21,315.0,317.0,310.0,315.5,100760
2012-06-22,315.0,315.5,313.25,314.0,11085
2012-06-25,314.0,318.25,311.72,316.5,2229
2012-06-26,315.0,317.05,313.0,313.0,43525
2012-06-27,313.25,316.15,313.0,316.0,17424
2012-06-28,316.0,316.5,314.5,315.0,20180
2012-06-29,317.5,320.75,315.5,320.0,33463
2012-07-02,320.0,320.09,314.0,315.0,96830
2012-07-03,315.0,319.25,313.75,316.25,30384
2012-07-04,318.75,318.75,313.8,316.0,31539
2012-07-05,317.5,319.5,314.25,317.0,33073
2012-07-06,318.0,318.5,314.75,314.75,85202
2012-07-09,317.75,317.75,313.75,313.75,26234
2012-07-10,313.5,317.45,312.5,315.0,17844
2012-07-11,317.75,319.0,316.72,317.0,54581
2012-07-12,316.25,318.0,316.0,316.0,31690
2012-07-13,315.0,321.75,315.0,317.48,193366
2012-07-16,318.75,321.0,316.3,319.0,18197
2012-07-17,322.0,325.0,320.5,321.0,55851
2012-07-18,325.0,325.0,318.25,320.0,20585
2012-07-19,317.25,325.0,317.25,320.0,75088
2012-07-20,317.25,323.75,317.0,322.75,66958
2012-07-23,319.0,322.84,315.72,322.0,113717
2012-07-24,321.75,324.88,321.75,324.0,87808
2012-07-25,324.0,325.5,322.25,325.5,169521
2012-07-26,318.25,324.75,318.0,324.25,38688
2012-07-27,324.0,325.5,323.0,325.5,10110
2012-07-30,325.5,326.62,324.0,325.25,20121
2012-07-31,325.75,330.0,324.75,330.0,157886
2012-08-01,327.75,329.75,326.0,328.75,28709
2012-08-02,327.0,330.5,327.0,330.5,55203
2012-08-03,329.5,330.5,328.7,330.0,50728
2012-08-06,332.0,336.0,329.0,332.0,101222
2012-08-07,334.75,335.75,330.25,332.5,32832
2012-08-08,331.0,341.0,331.0,340.0,99337
2012-08-09,339.0,339.75,336.25,339.5,33544
2012-08-10,340.0,340.0,337.0,339.5,33096
2012-08-13,339.25,340.0,336.25,339.75,8562
2012-08-14,337.25,340.0,337.0,340.0,29379
2012-08-15,337.25,339.75,337.25,338.0,15354
2012-08-16,337.25,340.26,337.25,340.0,33892
2012-08-17,339.75,340.0,337.75,340.0,22421
2012-08-20,338.0,339.5,337.0,339.0,35002
2012-08-21,339.0,339.5,338.0,339.5,39610
2012-08-22,336.25,339.0,335.0,339.0,21198
2012-08-23,339.0,339.0,336.0,339.0,34772
2012-08-24,338.75,339.0,336.5,339.0,12673
2012-08-28,339.0,343.25,336.5,338.25,116087
2012-08-29,343.25,344.0,339.26,344.0,45581
2012-08-30,343.0,343.7,339.5,343.0,51797
2012-08-31,338.25,343.46,337.25,341.5,99074
2012-09-03,343.5,345.0,341.0,344.0,27102
2012-09-04,340.0,346.0,340.0,345.0,18641
2012-09-05,341.5,347.37,341.5,344.5,56965
2012-09-06,346.75,347.5,343.75,347.0,72251
2012-09-07,346.25,349.0,345.5,349.0,40831
2012-09-10,347.0,347.75,344.69,347.0,51893
