Date,Open,High,Low,Close,Volume
2012-01-03,50.25,51.0,47.55,51.0,49434.0
2012-01-04,50.0,50.0,47.37,50.0,75171.0
2012-01-05,53.25,53.5,50.5,53.5,70488.0
2012-01-06,50.25,53.65,50.25,50.75,31614.0
2012-01-09,53.65,53.65,50.72,51.05,26071.0
2012-01-10,53.65,54.0,51.05,54.0,101600.0
2012-01-11,53.58,0.0,50.4,51.9,44726.0
2012-01-12,50.1,51.0,49.42,51.0,36819.0
2012-01-13,52.0,53.5,51.51,53.5,136485.0
2012-01-16,51.0,53.15,49.0,51.55,100619.0
2012-01-17,53.46,53.5,52.0,53.15,57613.0
2012-01-18,54.0,56.0,53.15,55.0,145526.0
2012-01-19,55.0,56.75,53.0,53.0,66089.0
2012-01-20,56.15,56.25,0.0,53.35,228039.0
2012-01-23,53.25,56.0,53.0,56.0,213602.0
2012-01-24,55.28,55.34,53.0,53.05,64382.0
2012-01-25,53.06,54.5,53.06,53.31,53907.0
2012-01-26,53.0,53.5,52.0,52.5,99212.0
2012-01-27,52.0,53.5,51.5,51.5,64683.0
2012-01-30,52.0,53.0,47.0,48.0,209821.0
2012-01-31,49.5,50.6,49.0,49.0,167585.0
2012-02-01,48.5,50.66,47.0,47.0,68674.0
2012-02-02,49.75,49.75,46.14,47.75,189197.0
2012-02-03,49.75,52.0,49.0,52.0,333546.0
2012-02-06,49.0,50.25,49.0,49.95,37257.0
2012-02-07,49.95,50.0,48.55,50.0,35116.0
2012-02-08,48.0,49.5,47.55,49.5,68314.0
2012-02-09,49.15,49.5,47.45,49.25,39137.0
2012-02-10,48.0,49.91,47.5,49.9,57261.0
2012-02-13,48.0,50.0,48.0,49.0,18542.0
2012-02-14,48.0,49.0,47.86,48.25,9196.0
2012-02-15,47.25,49.0,46.31,48.0,9254.0
2012-02-16,46.5,48.22,45.64,46.5,14503.0
2012-02-17,47.0,48.0,45.0,45.0,47905.0
2012-02-20,46.0,47.4,45.42,46.85,1551.0
2012-02-21,,,,46.4,0.0
2012-02-22,,,,46.19,0.0
2012-02-23,46.0,47.0,46.0,46.0,10112.0
2012-02-24,46.25,48.25,46.0,46.25,52802.0
2012-02-27,,,,47.62,0.0
2012-02-28,47.0,48.5,46.0,46.0,26771.0
2012-02-29,46.0,47.75,45.09,45.75,312561.0
2012-03-01,47.75,47.75,47.1,47.25,105099.0
2012-03-02,46.25,47.2,46.25,46.75,35500.0
2012-03-05,47.0,47.26,46.4,46.5,63865.0
2012-03-06,46.25,46.6,45.5,45.56,65289.0
2012-03-07,46.0,46.45,45.71,46.08,10063.0
2012-03-08,46.25,46.25,45.44,46.0,49885.0
2012-03-09,46.5,47.12,44.58,45.5,218606.0
2012-03-12,46.0,46.3,45.0,45.0,23333.0
2012-03-13,45.5,45.99,45.25,45.75,122497.0
2012-03-14,45.5,46.13,45.1,45.5,19238.0
2012-03-15,45.5,46.4,45.3,46.0,23268.0
2012-03-16,46.0,47.0,45.25,45.25,178576.0
2012-03-19,45.0,46.39,44.4,45.5,13862.0
2012-03-20,46.0,47.5,45.24,46.0,40460.0
2012-03-21,46.5,47.0,45.47,46.25,111682.0
2012-03-22,46.75,46.75,44.5,46.25,114803.0
2012-03-23,44.5,46.5,44.2,45.0,70269.0
2012-03-26,,,,45.1,0.0
2012-03-27,46.0,47.0,45.0,46.0,22182.0
2012-03-28,45.25,46.65,44.44,46.5,850.0
2012-03-29,,,,44.0,0.0
2012-03-30,45.0,46.0,43.5,45.5,47708.0
2012-04-02,45.25,45.25,43.25,45.25,33523.0
2012-04-03,45.75,45.75,43.25,45.75,22430.0
2012-04-04,43.25,44.75,43.0,43.0,15280.0
2012-04-05,42.47,44.0,41.62,43.5,716.0
2012-04-10,44.5,46.5,42.27,44.75,38611.0
2012-04-11,45.0,45.7,44.27,45.48,37794.0
2012-04-12,,,,45.4,0.0
2012-04-13,47.5,47.5,46.2,47.3,12357.0
2012-04-16,48.0,49.0,47.14,48.5,15009.0
2012-04-17,,,,48.49,0.0
2012-04-18,48.0,48.5,47.0,48.0,343.0
2012-04-19,46.75,48.0,46.0,46.0,24899.0
2012-04-20,,,,46.1,0.0
2012-04-23,,,,45.25,0.0
2012-04-24,45.0,46.25,43.52,44.75,15000.0
2012-04-25,,,,44.25,0.0
2012-04-26,47.5,47.5,44.89,46.75,2921.0
2012-04-27,45.51,46.0,44.5,45.5,54285.0
2012-04-30,45.75,47.0,44.43,44.53,712.0
2012-05-01,45.0,46.0,44.92,45.0,29444.0
2012-05-02,45.75,46.0,44.75,44.75,54277.0
2012-05-03,45.0,46.7,42.5,42.5,52989.0
2012-05-04,42.5,45.5,42.5,43.0,87570.0
2012-05-08,43.0,44.65,42.5,42.5,25843.0
2012-05-09,,,,42.3,0.0
2012-05-10,42.0,43.45,41.15,41.25,18448.0
2012-05-11,41.0,42.0,39.76,42.0,55104.0
2012-05-14,38.6,40.38,35.0,39.25,236898.0
2012-05-15,40.5,41.0,38.75,39.5,11000.0
2012-05-16,38.0,39.5,35.5,36.5,54684.0
2012-05-17,37.5,38.25,35.65,38.0,16328.0
2012-05-18,38.0,38.0,34.0,36.0,88170.0
2012-05-21,36.75,37.0,34.88,37.0,32573.0
2012-05-22,37.0,37.9,37.0,37.86,40.0
2012-05-23,36.75,40.0,36.75,39.5,52422.0
2012-05-24,40.25,41.62,40.0,40.0,25153.0
2012-05-25,41.0,42.0,40.25,41.5,32226.0
2012-05-28,41.0,42.5,40.5,41.0,50755.0
2012-05-29,41.0,41.9,40.0,40.25,43550.0
2012-05-30,42.25,42.5,39.0,39.5,42059.0
2012-05-31,,,,41.7,0.0
2012-06-01,,,,41.62,0.0
2012-06-06,39.5,41.65,39.0,39.0,16994.0
2012-06-07,39.0,40.7,37.0,37.0,43730.0
2012-06-08,37.0,38.4,36.5,37.0,7718.0
2012-06-11,37.25,38.88,36.75,36.75,8155.0
2012-06-12,37.5,38.5,36.25,36.25,14084.0
2012-06-13,38.5,38.75,36.24,38.75,17021.0
2012-06-14,38.5,38.5,36.25,36.5,19154.0
2012-06-15,37.0,38.5,35.57,37.75,345049.0
2012-06-18,39.0,39.75,38.25,39.7,2473.0
2012-06-19,40.0,42.5,39.1,42.5,32109.0
2012-06-20,43.0,45.5,42.1,44.75,69237.0
2012-06-21,43.75,43.75,41.5,42.5,13431.0
2012-06-22,,,,43.06,0.0
2012-06-25,44.0,44.0,42.25,42.75,32252.0
2012-06-26,42.0,43.95,41.25,43.0,36415.0
2012-06-27,43.0,43.75,40.5,40.5,79244.0
2012-06-28,43.0,43.0,41.3,42.0,46765.0
2012-06-29,42.5,42.5,41.5,42.0,56998.0
2012-07-02,41.5,42.0,37.5,37.5,96320.0
2012-07-03,38.0,39.0,37.5,38.0,28102.0
2012-07-04,37.5,38.73,37.5,38.0,54850.0
2012-07-05,37.5,38.63,36.25,37.75,95911.0
2012-07-06,36.75,39.0,36.5,37.5,63619.0
2012-07-09,36.5,38.78,36.5,37.0,29490.0
2012-07-10,36.75,38.7,36.5,37.25,14840.0
2012-07-11,37.0,38.0,36.5,36.5,9411.0
2012-07-12,38.75,40.09,38.75,38.0,10214.0
2012-07-13,37.75,40.0,37.5,37.5,9691.0
2012-07-16,38.5,40.93,38.5,38.5,20331.0
2012-07-17,38.75,40.7,38.0,38.0,39858.0
2012-07-18,38.25,41.08,37.75,37.75,6448.0
2012-07-19,38.0,40.0,38.0,38.0,7189.0
2012-07-20,38.25,39.8,38.0,38.0,67537.0
2012-07-23,38.0,39.6,37.25,37.5,676.0
2012-07-24,37.25,39.42,37.0,37.0,5629.0
2012-07-25,37.95,39.34,37.5,37.5,22.0
2012-07-26,,,,39.1,0.0
2012-07-27,38.25,39.65,38.25,38.75,22727.0
2012-07-30,,,,37.8,0.0
2012-07-31,37.25,39.46,37.0,37.0,12106.0
2012-08-01,39.5,39.5,37.55,39.5,32508.0
2012-08-02,38.0,39.0,37.57,39.0,3000.0
2012-08-03,37.5,39.0,37.5,39.0,1969.0
2012-08-06,,,,39.5,0.0
2012-08-07,40.0,42.75,38.84,41.25,12972.0
2012-08-08,41.25,43.5,40.71,42.6,13709.0
2012-08-09,44.5,46.25,42.5,44.97,5000.0
2012-08-10,44.0,45.5,42.74,44.0,4041.0
2012-08-13,42.0,45.61,42.0,44.01,8803.0
2012-08-14,45.0,46.0,43.25,46.0,4743.0
2012-08-15,44.75,46.0,44.02,46.0,3572.0
