Date,Open,High,Low,Close,Volume
2012-01-03,257.1,261.5,256.11,260.5,137275
2012-01-04,260.8,261.5,255.0,256.2,95477
2012-01-05,255.3,259.94,253.5,254.8,147448
2012-01-06,256.7,258.8,256.0,258.8,133159
2012-01-09,256.5,259.89,254.2,254.2,97096
2012-01-10,258.0,260.69,257.9,259.3,259642
2012-01-11,256.9,258.99,256.3,258.4,106672
2012-01-12,259.0,260.42,256.7,258.0,180719
2012-01-13,258.3,260.39,254.88,257.5,125668
2012-01-16,258.2,258.2,254.11,257.6,101424
2012-01-17,258.5,261.77,256.73,258.3,169773
2012-01-18,258.1,261.0,257.3,261.0,146816
2012-01-19,260.9,263.8,259.8,263.8,259435
2012-01-20,264.4,264.5,261.28,262.4,121465
2012-01-23,264.1,264.1,260.4,263.3,177908
2012-01-24,263.0,263.0,260.3,263.0,177714
2012-01-25,263.0,263.0,258.1,258.1,134247
2012-01-26,258.8,263.0,258.4,261.6,75319
2012-01-27,261.3,262.8,258.0,258.0,206439
2012-01-30,258.0,260.12,253.0,254.0,278807
2012-01-31,258.2,259.2,255.3,255.3,219397
2012-02-01,255.4,262.6,254.61,262.6,287500
2012-02-02,261.9,262.5,259.12,262.0,162906
2012-02-03,259.3,264.0,259.3,264.0,320255
2012-02-06,260.6,264.5,260.6,264.0,148313
2012-02-07,262.0,266.9,261.52,264.0,197647
2012-02-08,264.6,265.5,261.0,262.0,106925
2012-02-09,262.9,264.1,261.5,262.9,304888
2012-02-10,262.9,262.9,260.58,262.6,203358
2012-02-13,263.0,265.5,262.85,264.5,58194
2012-02-14,265.0,266.79,263.5,264.2,60548
2012-02-15,265.0,267.9,264.7,266.0,184371
2012-02-16,265.5,266.1,263.1,265.0,143380
2012-02-17,265.6,266.89,265.1,265.5,47071
2012-02-20,267.7,269.69,267.0,268.3,53556
2012-02-21,266.7,269.1,266.7,269.0,150006
2012-02-22,268.3,270.49,267.5,270.3,88395
2012-02-23,270.4,271.3,267.8,270.0,163808
2012-02-24,268.46,271.3,268.39,269.0,93686
2012-02-27,267.2,269.0,265.0,268.0,37724
2012-02-28,271.7,271.7,268.5,269.8,66746
2012-02-29,268.6,270.0,267.0,268.0,30150
2012-03-01,268.0,269.61,264.87,268.9,86350
2012-03-02,268.6,271.08,265.9,267.2,109108
2012-03-05,267.0,269.5,266.1,267.0,30779
2012-03-06,267.1,267.79,263.2,266.5,350340
2012-03-07,265.2,269.0,262.0,268.9,261107
2012-03-08,268.9,273.66,267.1,268.4,128640
2012-03-09,268.7,270.8,267.06,268.0,97589
2012-03-12,268.1,270.15,266.8,269.0,85729
2012-03-13,271.8,273.4,271.35,273.4,111134
2012-03-14,275.4,276.27,272.7,273.8,112567
2012-03-15,275.07,275.07,270.0,271.4,87177
2012-03-16,270.7,272.19,269.0,272.0,275719
2012-03-19,271.5,272.6,269.08,271.7,125948
2012-03-20,271.4,271.4,267.5,269.7,155404
