Date,Open,High,Low,Close,Volume
2014-04-11,245.0,262.0,155.05,250.33,7911548
2014-04-14,257.5,258.75,245.2,248.32,924418
2014-04-15,253.75,270.5,248.66,260.43,612599
2014-04-16,260.0,265.13,259.88,263.0,346727
2014-04-17,263.0,264.0,262.34,263.0,44279
2014-04-22,261.25,263.85,260.0,263.75,48550
2014-04-23,260.75,266.0,260.75,265.0,57291
2014-04-24,267.0,267.0,265.5,266.0,33270
2014-04-25,262.0,266.25,260.0,265.0,137165
2014-04-28,264.0,266.0,261.5,265.5,40356
2014-04-29,262.0,265.75,262.0,262.75,32426
2014-04-30,266.0,266.0,262.5,264.0,30580
2014-05-01,260.0,265.0,260.0,265.0,123662
2014-05-02,265.0,265.5,262.0,265.0,271887
2014-05-06,265.0,265.0,259.99,260.0,116042
2014-05-07,262.0,264.75,259.0,261.0,164330
2014-05-08,261.0,264.0,257.75,260.0,40410
2014-05-09,260.0,261.25,255.5,261.0,24969
2014-05-12,261.0,264.0,259.5,261.0,156802
2014-05-13,261.0,262.0,260.0,261.0,49457
2014-05-14,261.0,261.0,252.0,257.11,222266
2014-05-15,256.0,259.75,252.0,256.0,134383
2014-05-16,252.0,256.0,250.0,256.0,221780
2014-05-19,250.0,256.0,250.0,254.25,34696
2014-05-20,248.0,254.25,238.65,248.0,175561
2014-05-21,245.0,250.25,245.0,249.0,61450
2014-05-22,250.75,255.75,245.0,254.0,218042
2014-05-23,247.0,267.5,247.0,264.0,114251
2014-05-27,262.25,264.7,261.0,262.0,80690
2014-05-28,259.0,266.0,257.65,259.0,67644
2014-05-29,259.0,262.0,258.5,260.0,35070
2014-05-30,260.25,262.5,258.25,258.25,81725
2014-06-02,254.0,260.0,254.0,258.65,65704
2014-06-03,254.0,260.59,254.0,259.0,110263
2014-06-04,254.0,263.75,254.0,259.0,32137
2014-06-05,258.75,262.0,257.5,259.0,79028
2014-06-06,254.0,259.25,254.0,259.0,70114
2014-06-09,259.75,265.4,258.5,260.0,58875
2014-06-10,258.0,267.0,258.0,262.14,65382
2014-06-11,257.0,266.62,257.0,262.0,81873
2014-06-12,262.0,264.0,261.0,263.5,60905
2014-06-13,258.5,267.0,258.5,267.0,64137
2014-06-16,270.0,273.5,266.0,266.0,126028
2014-06-17,269.0,272.3,264.0,267.25,108737
2014-06-18,263.75,268.22,258.75,265.0,603307
2014-06-19,265.0,266.25,258.5,264.0,219946
2014-06-20,264.25,266.6,255.5,261.75,3852679
2014-06-23,255.0,265.0,255.0,260.0,171260
2014-06-24,255.5,260.0,254.5,258.0,71059
2014-06-25,260.0,260.0,249.0,250.0,172079
2014-06-26,252.75,252.75,248.0,251.0,94608
2014-06-27,253.0,253.0,248.0,250.0,104537
2014-06-30,250.25,253.39,245.0,250.0,200932
2014-07-01,245.0,251.5,245.0,250.0,312384
2014-07-02,250.25,254.48,249.5,250.5,65410
2014-07-03,252.0,254.75,250.0,252.0,126381
2014-07-04,252.0,255.25,250.31,255.25,23280
2014-07-07,255.0,260.28,251.25,252.5,79352
2014-07-08,263.0,263.0,251.0,252.0,87598
2014-07-09,253.75,253.81,244.5,250.0,61553
2014-07-10,252.0,252.0,246.75,250.0,62048
2014-07-11,250.5,250.5,246.5,248.25,82375
2014-07-14,252.0,252.0,246.25,250.0,121829
2014-07-15,249.75,253.5,246.93,249.0,73815
2014-07-16,250.0,251.38,246.0,250.0,36746
2014-07-17,252.5,252.5,245.5,248.0,80029
2014-07-18,248.75,250.25,245.0,249.75,49053
2014-07-21,250.25,252.0,247.0,250.0,10712
2014-07-22,250.5,251.5,247.5,249.0,45854
2014-07-23,250.0,250.0,246.0,248.0,43510
2014-07-24,252.0,252.0,247.0,247.0,69129
2014-07-25,252.0,252.0,245.25,247.0,58522
2014-07-28,248.0,250.12,247.68,248.0,2234
2014-07-29,248.0,248.5,244.5,246.0,81453
2014-07-30,248.0,248.0,241.53,243.75,64483
2014-07-31,241.5,245.12,235.0,245.0,150132
2014-08-01,240.0,244.0,238.0,242.5,88884
2014-08-04,243.75,245.0,242.75,244.0,7607
2014-08-05,244.25,244.5,242.0,244.0,69645
2014-08-06,244.75,248.0,244.75,247.0,74443
2014-08-07,249.75,249.75,246.75,246.75,10434
2014-08-08,246.0,246.0,235.0,240.0,119064
2014-08-11,242.0,242.25,239.5,240.5,65706
2014-08-12,240.25,241.0,235.0,236.75,62616
2014-08-13,235.25,236.75,234.0,236.0,66849
2014-08-14,233.25,237.44,230.5,235.0,55176
2014-08-15,236.75,240.93,234.44,236.0,105672
2014-08-18,239.75,248.0,236.31,242.0,95894
2014-08-19,243.0,245.0,242.34,244.5,70926
2014-08-20,246.75,247.75,243.41,246.25,35704
2014-08-21,248.25,252.0,247.5,250.0,109388
2014-08-22,250.0,255.0,249.61,249.75,222680
2014-08-26,251.75,252.2,248.5,251.5,60496
2014-08-27,251.0,254.75,250.0,253.0,53823
2014-08-28,254.75,256.5,253.5,254.0,67648
2014-08-29,253.0,255.0,250.0,251.43,43704
2014-09-01,257.0,258.25,253.5,257.25,10546
2014-09-02,258.5,260.5,257.25,259.5,28524
2014-09-03,258.5,261.02,252.5,254.0,90591
2014-09-04,256.0,257.0,252.25,255.0,29503
2014-09-05,255.75,256.0,250.0,254.25,58309
2014-09-08,257.0,257.0,251.75,254.0,18687
2014-09-09,254.0,254.0,251.73,254.0,3990
2014-09-10,255.0,255.0,250.0,253.25,12499
2014-09-11,253.75,254.31,247.25,252.0,47052
2014-09-12,246.0,252.63,246.0,250.0,12378
2014-09-15,250.0,251.69,246.13,250.0,14951
2014-09-16,253.0,253.0,247.31,252.25,15562
2014-09-17,253.0,253.0,250.0,251.0,48877
2014-09-18,251.0,253.0,249.03,251.0,32287
2014-09-19,251.25,253.88,248.0,253.0,41889
2014-09-22,248.5,253.06,248.25,251.5,23586
2014-09-23,251.0,251.0,242.5,250.0,37651
2014-09-24,251.0,253.0,242.25,250.0,64162
2014-09-25,252.0,255.0,244.25,250.0,19758
2014-09-26,252.0,252.0,246.25,250.0,25372
2014-09-29,247.0,258.5,246.0,246.0,55085
2014-09-30,247.0,247.0,245.0,246.25,9528
2014-10-01,245.25,245.3,240.88,244.5,37746
2014-10-02,245.0,245.0,236.1,239.54,55805
2014-10-03,244.0,244.0,238.38,240.5,13555
2014-10-06,241.0,241.0,235.75,236.25,7500
2014-10-07,232.5,237.25,231.98,234.0,17166
2014-10-08,233.0,233.0,223.5,229.5,79695
2014-10-09,230.0,231.5,225.0,231.5,30934
2014-10-10,227.75,236.12,227.75,236.0,18869
2014-10-13,231.0,236.12,229.62,236.0,36404
2014-10-14,233.0,236.12,228.0,236.0,65898
2014-10-15,230.0,237.0,230.0,235.0,19442
2014-10-16,231.0,236.75,230.25,236.0,23094
2014-10-17,230.0,239.0,230.0,239.0,54340
2014-10-20,233.0,240.05,229.25,236.0,72539
2014-10-21,229.0,235.0,225.25,227.53,63527
2014-10-22,233.0,233.0,228.75,231.25,96676
2014-10-23,225.25,233.12,225.0,233.0,68316
2014-10-24,234.0,234.0,227.75,232.75,13261
2014-10-27,232.0,236.0,230.94,235.75,91920
2014-10-28,240.0,240.0,232.25,237.75,44896
2014-10-29,238.25,238.25,234.25,236.75,7784
2014-10-30,240.0,240.0,235.25,238.0,25161
2014-10-31,240.0,240.12,238.0,240.0,46451
2014-11-03,239.0,240.0,236.75,240.0,15137
2014-11-04,240.0,240.0,238.0,240.0,61100
2014-11-05,240.0,240.0,235.75,239.5,27320
2014-11-06,240.0,240.0,238.5,239.0,116260
2014-11-07,239.75,239.75,237.25,237.5,55680
2014-11-10,243.0,243.0,238.25,239.0,12233
2014-11-11,240.0,240.0,235.0,237.0,34476
2014-11-12,240.0,240.0,234.0,237.0,13869
2014-11-13,233.0,239.5,233.0,237.0,2999
2014-11-14,235.75,236.5,233.25,236.0,16982
2014-11-17,234.5,235.0,232.0,233.0,28402
2014-11-18,239.0,239.12,234.0,234.75,91281
2014-11-19,237.5,237.5,232.0,235.0,40524
2014-11-20,238.0,238.0,233.25,236.75,13081
2014-11-21,236.0,238.0,235.0,238.0,21659
2014-11-24,236.0,236.65,230.25,233.0,9633
2014-11-25,234.0,234.0,225.25,227.45,425688
2014-11-26,231.0,233.0,227.11,233.0,13025
2014-11-27,234.0,235.0,228.0,233.0,17729
2014-11-28,233.75,239.75,232.0,239.75,63367
2014-12-01,240.0,260.0,240.0,258.14,355998
2014-12-02,251.5,257.0,251.43,253.5,102422
2014-12-03,247.0,254.0,247.0,254.0,25698
2014-12-04,250.0,262.0,250.0,260.25,164730
2014-12-05,262.0,263.95,259.75,260.0,84931
2014-12-08,265.0,266.75,259.62,264.88,63315
2014-12-09,257.0,268.5,257.0,268.5,9447
2014-12-10,269.0,269.0,260.5,264.0,11933
2014-12-11,255.0,255.0,243.75,247.0,150080
2014-12-12,248.5,248.5,245.0,247.0,128410
2014-12-15,242.0,247.25,242.0,246.0,62084
2014-12-16,242.0,247.0,241.44,244.5,141412
2014-12-17,246.0,246.75,245.0,246.0,55622
2014-12-18,246.0,250.0,245.5,246.25,121774
2014-12-19,255.0,255.0,245.0,246.5,112255
2014-12-22,255.0,255.0,246.0,246.5,22839
2014-12-23,255.0,255.0,246.5,249.75,26338
2014-12-24,255.0,255.0,244.25,245.0,16882
2014-12-29,250.0,250.0,245.0,248.0,47403
2014-12-30,243.75,251.75,242.9,248.0,115880
2014-12-31,250.0,250.0,242.25,248.0,23846
2015-01-05,248.0,250.0,244.44,248.5,12226
2015-01-06,249.0,249.75,241.58,249.75,39975
2015-01-07,245.0,247.0,243.75,245.0,37628
2015-01-08,245.0,248.0,242.31,245.5,71603
2015-01-09,245.0,246.5,241.25,245.0,44458
2015-01-12,240.25,245.12,240.25,243.0,10861
2015-01-13,240.0,245.0,238.85,242.5,143613
2015-01-14,245.0,245.0,241.7,243.0,102605
2015-01-15,242.0,244.25,241.0,242.0,66317
2015-01-16,245.0,245.0,227.12,234.5,297351
2015-01-19,235.25,239.75,234.15,235.0,54467
2015-01-20,240.0,240.0,235.0,236.0,49607
2015-01-21,237.0,237.25,230.0,231.75,174361
2015-01-22,235.0,235.0,231.5,233.75,66963
2015-01-23,234.75,243.75,234.75,240.0,167874
2015-01-26,241.5,242.5,238.24,240.0,29323
2015-01-27,247.0,247.0,240.0,240.0,16682
2015-01-28,247.0,247.0,239.0,240.0,28234
2015-01-29,235.0,243.25,235.0,239.5,31045
2015-01-30,235.0,245.0,235.0,244.0,297973
2015-02-02,250.0,250.0,245.1,245.75,29248
2015-02-03,250.0,255.0,248.75,252.25,136618
2015-02-04,255.0,257.31,250.0,250.5,21250
2015-02-05,250.25,256.25,250.0,251.25,95387
2015-02-06,258.0,258.0,252.03,253.75,30062
2015-02-09,258.0,258.0,250.25,254.0,118764
2015-02-10,255.0,255.0,252.56,255.0,27971
2015-02-11,258.0,260.0,254.75,259.75,34479
2015-02-12,259.75,263.75,258.25,261.0,22875
2015-02-13,265.0,267.0,256.25,263.25,67036
2015-02-16,262.0,266.25,261.71,264.75,4326
2015-02-17,262.0,264.4,258.81,262.0,111389
2015-02-18,264.0,264.25,262.0,263.0,54263
2015-02-19,268.0,268.0,259.5,261.0,125213
2015-02-20,268.0,268.0,258.5,262.0,58332
2015-02-23,268.0,268.0,257.0,262.0,65335
2015-02-24,260.0,264.08,256.01,263.25,7785
