Date,Open,High,Low,Close,Volume
2012-01-03,725.0,731.0,718.5,728.0,1494032
2012-01-04,729.5,733.0,725.0,726.0,808422
2012-01-05,728.0,729.0,717.0,718.5,824744
2012-01-06,719.5,726.0,717.5,720.5,524229
2012-01-09,723.0,725.5,715.0,717.0,602695
2012-01-10,717.5,724.5,708.92,711.0,1126714
2012-01-11,710.0,712.5,700.5,702.5,520174
2012-01-12,703.5,710.5,702.5,705.0,916200
2012-01-13,707.5,709.84,693.5,700.5,1209366
2012-01-16,698.5,709.0,698.5,705.0,644982
2012-01-17,710.0,711.5,699.5,703.0,1009748
2012-01-18,704.5,706.48,697.31,698.5,651057
2012-01-19,701.5,703.56,687.5,692.0,924090
2012-01-20,695.0,698.0,689.0,693.0,708086
2012-01-23,694.5,695.5,681.5,683.0,1015609
2012-01-24,683.5,695.8,683.0,690.0,891021
2012-01-25,691.0,694.0,687.5,689.0,818748
2012-01-26,692.0,701.0,691.0,698.99,714718
2012-01-27,696.0,707.0,692.0,693.0,799608
2012-01-30,691.0,697.39,687.0,694.0,910926
2012-01-31,694.0,707.5,693.5,695.5,964675
2012-02-01,691.5,705.5,690.0,703.0,1009443
2012-02-02,703.0,708.27,689.0,691.5,705194
2012-02-03,691.0,700.0,691.0,699.0,1313868
2012-02-06,697.0,703.5,693.5,694.0,1064516
2012-02-07,695.5,697.5,690.5,693.5,780151
2012-02-08,695.5,698.0,683.0,687.0,931621
2012-02-09,686.0,691.5,682.0,686.0,1108381
2012-02-10,686.0,688.0,681.0,685.5,684243
2012-02-13,687.5,691.79,684.0,686.5,584729
2012-02-14,676.5,700.0,674.5,697.5,1170531
2012-02-15,698.0,702.0,685.0,696.0,1178858
2012-02-16,693.5,698.5,691.0,698.5,735433
2012-02-17,700.0,708.5,688.5,706.0,906770
2012-02-20,706.0,707.18,695.0,701.0,435677
2012-02-21,700.5,703.0,693.0,699.5,592706
2012-02-22,698.0,702.0,695.17,700.0,466359
2012-02-23,699.0,705.5,694.5,697.0,565473
2012-02-24,700.5,702.5,696.0,701.0,492129
2012-02-27,700.5,706.38,696.5,701.5,416374
2012-02-28,703.5,707.5,698.23,705.5,861277
2012-02-29,706.0,721.5,705.5,718.5,1235065
2012-03-01,715.5,724.0,711.0,722.5,560357
2012-03-02,725.0,730.5,719.0,729.5,615212
2012-03-05,730.5,731.0,721.36,725.0,591718
2012-03-06,725.0,731.5,716.0,721.5,744346
2012-03-07,721.0,724.5,717.5,723.0,454083
2012-03-08,724.5,730.0,720.5,725.5,601098
2012-03-09,725.5,737.18,722.0,727.5,868321
2012-03-12,725.5,730.0,722.5,727.5,1060174
2012-03-13,729.5,735.5,726.0,731.0,660944
