Date,Open,High,Low,Close,Volume
2012-01-03,1130.0,1130.0,1116.0,1130.0,298855
2012-01-04,1130.0,1130.0,1122.0,1124.0,187351
2012-01-05,1120.0,1130.0,1110.0,1116.0,248929
2012-01-06,1122.0,1130.0,1116.0,1126.0,119421
2012-01-09,1122.0,1130.0,1117.0,1118.0,116173
2012-01-10,1138.0,1140.0,1126.0,1138.0,371153
2012-01-11,1130.0,1158.0,1130.0,1145.95,464484
2012-01-12,1149.0,1150.0,1101.0,1105.0,657525
2012-01-13,1112.0,1112.0,1089.0,1100.0,738574
2012-01-16,1105.0,1105.0,1084.0,1091.0,273208
2012-01-17,1111.0,1129.0,1091.0,1129.0,297952
2012-01-18,1130.0,1150.0,1109.0,1140.0,721653
2012-01-19,1132.0,1145.5,1095.0,1102.0,958819
2012-01-20,1080.0,1107.0,1080.0,1096.0,547045
2012-01-23,1104.0,1109.0,1092.64,1098.0,232618
2012-01-24,1098.0,1103.0,1078.0,1083.0,683824
2012-01-25,1093.0,1093.0,1062.0,1069.0,228033
2012-01-26,1074.0,1176.0,1074.0,1152.0,1649974
2012-01-27,1148.0,1166.5,1118.33,1125.0,812085
2012-01-30,1120.0,1132.0,1115.0,1131.0,473426
2012-01-31,1115.0,1146.0,1115.0,1137.0,452724
2012-02-01,1135.0,1160.0,1135.0,1155.0,377307
2012-02-02,1167.0,1173.0,1145.0,1170.0,241111
2012-02-03,1161.0,1189.0,1156.9,1165.0,224879
2012-02-06,1146.0,1195.12,1146.0,1175.0,380522
2012-02-07,1171.0,1179.0,1144.0,1156.0,307271
2012-02-08,1150.0,1172.0,1137.0,1140.0,167176
2012-02-09,1155.0,1169.0,1142.0,1145.0,151043
2012-02-10,1152.0,1152.0,1118.0,1124.0,153191
2012-02-13,1139.0,1139.0,1094.0,1100.0,195719
2012-02-14,1109.0,1115.0,1100.0,1103.0,158051
2012-02-15,1115.0,1125.0,1100.0,1112.0,124470
2012-02-16,1097.0,1103.0,1063.0,1075.0,339492
2012-02-17,1084.0,1102.75,1069.0,1069.0,254977
2012-02-20,1071.0,1096.0,1071.0,1084.0,282717
2012-02-21,1088.0,1112.0,1034.0,1045.0,273850
2012-02-22,1040.0,1056.0,1031.0,1045.0,342530
2012-02-23,1049.0,1067.0,1044.0,1049.0,395807
2012-02-24,1058.0,1058.0,1030.0,1049.0,295840
2012-02-27,1047.0,1053.0,1036.7,1053.0,123881
2012-02-28,1059.0,1092.0,1039.0,1069.0,586608
2012-02-29,1063.0,1112.0,1063.0,1084.0,761625
2012-03-01,1090.0,1090.0,1058.0,1060.0,324189
2012-03-02,1055.0,1066.0,1045.0,1049.0,249924
2012-03-05,1038.0,1049.0,1014.0,1016.0,209861
2012-03-06,1020.0,1020.0,928.0,951.5,1006440
2012-03-07,945.0,971.0,945.0,967.5,261088
2012-03-08,973.5,998.5,971.5,998.5,518726
2012-03-09,994.5,1017.0,994.5,1006.0,494408
2012-03-12,1013.0,1013.0,1003.0,1008.0,271747
2012-03-13,1020.0,1020.0,1001.0,1010.0,216591
2012-03-14,1022.0,1022.0,992.78,994.0,356687
2012-03-15,1000.0,1015.0,980.88,995.0,584947
2012-03-16,1000.0,1002.0,947.5,961.5,2465454
2012-03-19,967.0,970.98,946.0,962.0,766366
2012-03-20,954.5,963.0,947.5,955.25,560869
2012-03-21,958.5,976.0,953.0,968.0,696841
2012-03-22,972.0,973.5,935.0,941.0,929607
2012-03-23,940.5,962.0,932.11,960.5,540142
2012-03-26,957.5,957.5,935.0,935.0,634108
2012-03-27,936.5,950.0,935.0,936.5,523549
2012-03-28,928.0,938.0,923.0,925.0,603741
2012-03-29,921.0,948.5,906.3,914.5,686338
2012-03-30,912.0,935.5,911.8,923.5,571022
2012-04-02,921.0,941.5,917.0,938.0,652581
2012-04-03,946.0,951.5,933.0,936.5,449991
2012-04-04,927.5,940.0,895.0,895.0,985527
2012-04-05,900.5,932.0,888.0,932.0,869788
2012-04-10,920.0,953.0,920.0,930.5,660698
2012-04-11,917.0,944.5,917.0,935.0,445505
2012-04-12,927.0,962.0,927.0,959.5,804872
2012-04-13,968.0,989.0,955.85,967.5,1197240
2012-04-16,958.0,990.65,957.5,985.5,673570
2012-04-17,981.5,990.0,961.5,988.0,368249
2012-04-18,982.0,995.0,979.0,991.0,320830
2012-04-19,1000.0,1005.0,986.0,1002.0,774464
2012-04-20,1013.0,1013.0,986.44,988.0,355905
2012-04-23,990.0,990.0,950.5,956.5,294451
2012-04-24,956.5,964.5,946.0,950.0,271902
2012-04-25,960.0,960.62,925.5,939.0,484383
2012-04-26,948.0,948.0,915.0,915.0,638048
2012-04-27,918.5,918.5,894.0,894.0,980399
2012-04-30,905.0,930.5,896.0,915.0,772094
2012-05-01,912.5,994.93,910.0,918.0,99294
2012-05-02,922.0,927.5,903.5,913.0,465424
2012-05-03,919.0,919.0,898.5,905.0,409056
2012-05-04,893.0,898.5,875.0,883.0,707908
2012-05-08,865.5,867.0,805.0,806.5,839747
2012-05-09,808.0,808.0,747.5,767.5,731678
2012-05-10,800.0,875.0,800.0,816.5,789769
2012-05-11,827.0,827.0,792.5,805.5,206419
2012-05-14,817.5,817.5,787.5,794.5,281178
2012-05-15,790.5,817.5,790.5,808.5,412699
2012-05-16,769.5,805.0,751.0,797.5,472336
2012-05-17,800.0,812.0,768.5,777.0,528931
2012-05-18,761.5,802.0,751.0,799.0,579366
2012-05-21,759.5,834.0,759.5,828.0,588518
2012-05-22,832.0,856.5,829.0,839.5,482209
2012-05-23,827.0,827.0,791.5,794.0,556304
2012-05-24,795.0,811.5,783.5,805.5,327100
2012-05-25,798.0,811.5,796.0,801.0,284784
2012-05-28,801.5,832.0,801.5,813.0,278211
2012-05-29,818.0,828.5,811.5,817.0,417503
2012-05-30,817.0,817.0,789.5,792.0,359176
2012-05-31,790.5,820.0,765.5,771.5,492345
2012-06-01,765.0,778.5,765.0,765.0,568272
2012-06-06,751.5,807.0,751.5,803.0,1040150
2012-06-07,814.0,845.5,799.5,815.0,663776
2012-06-08,815.0,821.0,801.0,813.45,1046467
2012-06-11,841.0,841.0,802.0,809.5,899181
2012-06-12,808.5,811.0,783.0,793.21,944657
2012-06-13,800.5,802.0,787.0,795.5,700729
2012-06-14,788.5,838.5,788.5,827.0,911537
2012-06-15,826.5,888.03,801.5,887.5,6175151
2012-06-18,900.0,912.0,882.0,909.5,898851
2012-06-19,906.0,920.0,902.5,906.5,729009
2012-06-20,915.5,941.0,900.5,940.0,832362
2012-06-21,919.5,940.0,916.0,919.5,674654
2012-06-22,905.0,929.0,900.0,913.5,596728
2012-06-25,918.0,933.0,915.0,925.0,417379
2012-06-26,932.0,944.0,929.5,931.0,413083
2012-06-27,927.5,930.5,895.0,907.5,402938
2012-06-28,900.0,906.0,871.0,880.0,415747
2012-06-29,908.5,919.5,889.0,909.0,252033
2012-07-02,919.0,931.5,906.0,919.5,313029
2012-07-03,916.0,931.5,916.0,928.0,218558
