Date,Open,High,Low,Close,Volume
2015-06-19,170.0,178.0,170.0,178.0,943476
2015-06-22,180.0,184.0,178.0,180.0,160454
2015-06-23,180.0,182.5,176.0,180.0,98859
2015-06-24,180.5,184.3,175.0,180.0,159270
2015-06-25,175.0,179.03,172.0,174.0,48700
2015-06-26,176.0,177.7,174.0,177.0,181712
2015-06-29,172.0,177.0,171.32,174.25,120214
2015-06-30,172.0,175.0,170.0,172.5,91163
2015-07-01,170.0,171.9,170.0,171.9,5684
2015-07-02,171.0,171.0,170.0,170.5,12464
2015-07-03,170.0,172.5,170.0,172.5,49252
2015-07-06,170.0,170.0,170.0,170.0,110619
2015-07-07,170.0,172.75,167.99,170.0,29254
2015-07-08,167.99,167.99,167.99,167.99,0
2015-07-09,169.7,169.7,168.0,168.0,0
2015-07-10,170.0,170.0,169.7,169.7,10000
2015-07-13,,,,169.7,0
2015-07-14,164.0,164.0,160.0,162.0,459428
2015-07-15,161.0,165.0,161.0,164.0,92000
2015-07-16,163.5,164.83,163.0,163.0,12000
2015-07-17,161.0,163.13,161.0,161.0,10000
2015-07-20,160.0,160.0,157.0,158.2,22407
2015-07-21,158.0,158.0,150.5,153.5,233008
2015-07-22,150.0,150.8,147.0,149.0,128473
2015-07-23,146.0,149.0,145.0,147.5,124509
2015-07-24,148.0,150.0,148.0,149.0,90010
2015-07-27,149.5,154.5,149.5,153.75,593434
2015-07-28,152.0,153.88,149.5,149.75,429432
2015-07-29,148.5,149.0,146.0,147.0,28048
2015-07-30,153.0,153.0,147.0,147.25,82708
2015-07-31,,,,147.25,0
2015-08-03,148.38,148.38,148.38,148.38,0
2015-08-04,149.0,150.0,143.0,149.0,32318
2015-08-05,148.0,150.0,148.0,149.0,229074
2015-08-06,149.5,149.5,147.0,147.0,30673
2015-08-07,148.0,148.0,145.5,148.0,87669
2015-08-10,147.5,149.32,147.5,149.0,240420
2015-08-11,149.5,151.5,148.0,150.0,49739
2015-08-12,151.0,151.0,148.5,148.5,24541
2015-08-13,152.75,152.75,149.5,149.5,34609
2015-08-14,152.75,152.75,148.0,151.25,12337
2015-08-17,149.0,150.0,149.0,150.0,35655
2015-08-18,151.0,151.0,146.0,150.0,12266
2015-08-19,150.0,150.0,148.5,150.0,17744
2015-08-20,149.75,150.0,149.25,149.28,5147
2015-08-21,150.0,150.0,148.5,149.0,8941
2015-08-24,146.0,146.0,140.32,140.32,26373
2015-08-25,144.0,145.25,140.79,145.0,16294
2015-08-26,143.0,144.0,141.0,142.0,36740
2015-08-27,142.0,142.0,140.0,141.0,56802
2015-08-28,140.0,140.0,137.0,137.0,39331
2015-09-01,137.0,137.0,134.24,137.0,68533
2015-09-02,138.0,138.0,134.75,137.0,89492
2015-09-03,138.0,145.0,133.0,145.0,608259
2015-09-04,145.0,147.0,143.25,147.0,323292
2015-09-07,148.5,149.0,145.62,145.7,151841
2015-09-08,146.0,146.0,145.5,146.0,79154
2015-09-09,146.0,146.0,145.0,146.0,197600
2015-09-10,146.0,146.0,145.5,145.75,244253
2015-09-11,145.0,145.0,144.5,145.0,103792
2015-09-14,148.75,148.75,144.0,146.0,221556
2015-09-15,145.0,147.75,145.0,146.75,320787
2015-09-16,145.0,149.0,145.0,149.0,450148
2015-09-17,145.0,152.0,145.0,150.25,233318
2015-09-18,150.0,150.25,136.0,140.25,2930203
2015-09-21,141.0,141.25,139.5,140.0,34858
2015-09-22,139.0,141.0,137.0,139.0,180440
2015-09-23,137.0,140.0,136.25,136.89,361602
2015-09-24,143.25,143.25,132.5,133.75,102136
2015-09-25,131.0,135.0,128.0,129.5,103944
2015-09-28,134.0,134.0,129.0,129.5,30017
2015-09-29,125.0,128.0,122.0,127.44,125415
2015-09-30,127.0,127.0,122.5,123.0,82098
2015-10-01,122.0,127.25,122.0,127.25,217380
2015-10-02,127.25,129.0,125.5,125.5,149569
2015-10-05,126.0,128.0,125.5,126.75,85737
2015-10-06,129.0,129.75,127.0,129.75,130734
2015-10-07,125.25,130.0,125.25,129.75,12966
2015-10-08,127.5,130.25,127.5,129.0,24988
