Date,Open,High,Low,Close,Volume
2012-01-03,659.0,659.5,635.5,645.0,4639220
2012-01-04,644.5,650.5,638.0,643.5,3936180
2012-01-05,652.5,652.5,628.5,633.5,4243847
2012-01-06,635.0,646.0,630.0,637.5,2822977
2012-01-09,638.0,643.95,632.0,636.0,3687969
2012-01-10,643.5,658.0,640.0,652.0,7138307
2012-01-11,652.0,664.0,651.0,660.0,3648254
2012-01-12,662.0,673.34,661.0,667.0,4441583
2012-01-13,674.5,674.5,652.0,662.5,4339732
2012-01-16,657.0,673.0,656.0,670.0,2361249
2012-01-17,679.5,680.0,669.0,678.5,4917590
2012-01-18,678.0,692.5,673.5,682.5,6065276
2012-01-19,688.5,702.5,687.0,700.0,6504587
2012-01-20,701.5,703.0,690.0,694.0,6509365
2012-01-23,695.0,718.22,693.5,716.5,6080483
2012-01-24,716.0,716.0,699.5,705.5,5443445
2012-01-25,708.5,711.0,696.62,704.5,5048700
2012-01-26,708.5,722.5,703.5,717.5,4828486
2012-01-27,716.0,720.5,710.0,715.5,4845995
2012-01-30,707.0,711.0,691.0,695.5,3754439
2012-01-31,703.5,710.0,696.5,700.5,6419631
2012-02-01,704.0,719.5,701.0,719.0,6333786
2012-02-02,720.5,723.0,714.5,719.0,4218523
2012-02-03,719.0,733.0,716.81,732.0,3604921
2012-02-06,730.5,731.5,724.0,727.5,2970922
2012-02-07,728.0,732.0,721.0,728.5,2542824
2012-02-08,730.5,739.0,726.5,728.0,3144930
2012-02-09,731.5,735.0,724.5,725.5,3198181
2012-02-10,722.0,724.0,709.0,714.0,3825960
2012-02-13,720.5,724.35,713.5,716.5,2153462
2012-02-14,715.5,722.0,708.5,718.0,3302263
2012-02-15,725.0,727.5,715.0,719.5,3532342
2012-02-16,713.0,721.0,708.0,718.0,3246834
2012-02-17,724.0,729.5,718.5,721.0,3705652
2012-02-20,725.0,731.0,722.62,724.0,2028364
2012-02-21,724.0,726.0,712.5,715.5,3280668
2012-02-22,718.0,721.0,711.0,711.5,3304612
2012-02-23,708.5,726.0,707.0,723.0,4127962
2012-02-24,727.0,736.0,718.5,722.0,3421774
2012-02-27,719.5,722.0,706.0,719.5,3696652
2012-02-28,722.0,728.96,716.0,723.5,2838780
2012-02-29,725.0,728.5,712.24,712.5,4461965
2012-03-01,712.5,726.96,707.69,724.0,2785510
2012-03-02,725.5,732.5,723.5,727.5,3244436
2012-03-05,722.5,724.0,716.5,720.0,3249064
2012-03-06,715.0,716.6,692.5,700.0,10561167
2012-03-07,700.0,706.5,698.0,702.5,3792419
2012-03-08,706.5,717.5,705.5,710.0,3930347
2012-03-09,710.5,725.0,707.15,720.5,3439421
2012-03-12,723.0,734.82,717.0,728.0,4859041
2012-03-13,727.5,766.5,727.5,763.0,6853076
2012-03-14,771.0,798.5,769.0,785.0,9060252
2012-03-15,782.5,785.0,775.5,780.0,4561309
2012-03-16,779.5,797.0,777.0,791.5,5639639
2012-03-19,792.0,796.16,779.48,792.0,2846835
2012-03-20,785.5,790.0,771.5,775.0,5244568
2012-03-21,778.5,787.5,775.0,779.0,4529759
2012-03-22,779.0,780.0,767.5,776.0,3355470
2012-03-23,778.0,785.0,768.5,783.0,3208706
2012-03-26,789.0,802.0,784.5,795.0,4275985
2012-03-27,800.0,801.5,792.5,797.5,4056864
2012-03-28,778.5,790.74,765.5,768.5,4737040
2012-03-29,762.5,775.24,745.5,750.0,6325949
2012-03-30,750.0,768.24,744.0,747.5,7736839
2012-04-02,750.5,767.0,739.0,764.0,4364794
2012-04-03,763.5,764.0,753.0,754.0,4018532
2012-04-04,752.0,754.0,733.5,740.0,5933888
2012-04-05,738.5,742.0,725.5,736.0,3340371
2012-04-10,723.5,734.5,718.0,718.0,4499677
2012-04-11,717.0,728.0,716.0,725.0,5104837
2012-04-12,721.5,741.5,719.0,738.0,4943024
2012-04-13,739.5,742.5,726.5,726.5,3759532
2012-04-16,723.5,729.5,715.02,722.0,3414544
2012-04-17,721.0,746.5,721.0,743.0,3134728
2012-04-18,743.5,749.5,740.0,741.5,3491104
2012-04-19,747.0,764.5,747.0,755.5,6978811
2012-04-20,757.0,766.5,753.86,763.0,3809332
2012-04-23,757.0,761.0,723.0,725.5,5463034
2012-04-24,732.0,756.0,730.0,737.5,4228306
2012-04-25,740.0,754.5,740.0,752.5,3582476
2012-04-26,756.0,757.0,735.0,746.5,3318800
2012-04-27,741.5,765.5,735.5,760.0,4168453
2012-04-30,762.5,763.0,749.0,754.5,3970790
2012-05-01,758.5,769.0,750.5,758.5,1137368
2012-05-02,760.5,762.5,749.5,757.0,3305848
2012-05-03,760.0,763.5,746.0,747.5,3790775
2012-05-04,744.0,748.0,726.0,727.0,3889800
2012-05-08,717.0,734.0,707.0,710.5,4996410
2012-05-09,716.0,719.0,694.0,710.0,7471520
2012-05-10,714.0,724.05,702.7,722.0,4104414
2012-05-11,720.5,728.0,710.5,726.0,3121653
2012-05-14,722.0,722.0,707.0,715.5,4191217
2012-05-15,717.0,718.0,705.0,710.0,3736847
2012-05-16,699.0,708.0,693.5,700.5,5194230
2012-05-17,700.0,704.0,678.5,686.0,3810005
2012-05-18,675.0,679.9,662.5,665.5,6311680
2012-05-21,662.5,673.95,661.0,670.0,2317386
2012-05-22,678.0,694.3,671.0,692.0,3786568
2012-05-23,681.0,685.0,663.0,663.5,4323042
2012-05-24,672.5,689.5,667.0,686.0,5756871
2012-05-25,688.0,692.5,675.5,683.5,3019893
2012-05-28,687.0,694.5,680.5,684.0,2064704
2012-05-29,688.5,694.0,680.6,693.5,3819959
2012-05-30,686.0,686.5,669.0,673.0,5835052
2012-05-31,675.0,685.5,666.5,678.0,5933390
2012-06-01,680.5,682.0,654.5,660.0,4665871
2012-06-06,679.5,683.5,672.5,683.5,5116151
2012-06-07,687.0,708.0,680.5,696.5,5808800
2012-06-08,690.5,698.5,683.0,696.5,3357508
2012-06-11,714.5,719.02,695.48,700.0,4699509
2012-06-12,697.5,702.5,691.0,701.5,3347782
2012-06-13,705.5,713.0,696.5,704.0,4115104
2012-06-14,700.0,713.0,691.5,710.0,4155825
2012-06-15,715.5,717.0,708.58,709.0,9993923
2012-06-18,724.0,725.0,702.5,705.0,3061937
2012-06-19,706.5,731.5,706.0,731.0,3779847
2012-06-20,735.0,745.0,731.5,742.5,3425006
2012-06-21,740.5,752.5,737.0,744.5,4160597
2012-06-22,737.0,739.0,727.0,728.5,2582391
2012-06-25,725.5,729.5,710.0,712.0,2976615
2012-06-26,712.0,717.0,708.0,712.0,2762659
2012-06-27,718.0,724.5,712.98,723.0,1789087
2012-06-28,727.0,727.0,712.0,723.0,2592482
2012-06-29,748.5,748.5,728.0,738.0,5253878
2012-07-02,744.5,756.17,738.0,751.5,3087617
2012-07-03,752.5,761.0,750.0,751.5,2972282
2012-07-04,750.0,757.0,737.0,741.0,3129378
2012-07-05,742.5,749.5,733.5,742.0,3882696
2012-07-06,742.0,743.5,728.5,730.0,2850817
2012-07-09,733.5,736.0,720.5,729.5,2530810
2012-07-10,733.5,755.5,732.0,753.5,4901647
2012-07-11,752.5,752.5,744.0,747.0,3516136
2012-07-12,743.5,751.0,734.5,739.0,2939568
2012-07-13,743.0,757.0,739.6,756.0,3775694
2012-07-16,757.0,763.0,753.0,762.0,2018231
2012-07-17,765.0,765.0,750.0,753.0,2384391
2012-07-18,755.5,766.0,751.0,764.0,2481515
2012-07-19,768.0,772.5,761.0,770.0,2280833
2012-07-20,767.0,775.0,758.5,760.0,5142614
2012-07-23,749.5,752.0,730.0,732.5,4787122
2012-07-24,737.5,743.0,725.5,733.0,4482833
2012-07-25,732.0,742.0,727.5,734.0,3137302
2012-07-26,735.0,750.75,727.0,747.5,3502560
2012-07-27,753.0,769.0,745.5,769.0,3749822
2012-07-30,771.5,778.0,766.0,778.0,3452214
2012-07-31,780.0,780.5,763.0,763.0,3575367
2012-08-01,765.0,778.0,762.0,773.5,2579438
2012-08-02,774.0,778.0,742.0,746.0,6142107
2012-08-03,749.0,793.0,748.5,791.5,4872971
2012-08-06,791.0,803.5,786.0,788.5,4006752
2012-08-07,790.0,797.5,788.5,792.5,4793373
2012-08-08,788.0,806.5,784.63,804.5,3701049
2012-08-09,807.0,811.3,798.5,804.0,3075522
2012-08-10,808.0,819.5,787.5,810.0,4247183
2012-08-13,809.5,817.5,799.9,805.0,2507113
2012-08-14,811.0,824.65,809.0,824.0,3000928
2012-08-15,826.0,826.0,814.5,823.0,2495612
2012-08-16,823.0,823.44,801.58,813.0,4005645
2012-08-17,818.5,824.0,812.02,818.0,3065459
2012-08-20,820.0,825.0,807.5,808.0,2816481
2012-08-21,814.0,820.0,811.0,813.5,2869677
2012-08-22,803.0,808.4,787.0,790.5,3724825
2012-08-23,801.5,806.4,786.0,786.0,3154847
2012-08-24,787.0,792.0,781.5,787.0,3695038
2012-08-28,789.5,792.53,782.0,784.5,2254757
2012-08-29,785.0,788.0,775.0,783.5,2654410
2012-08-30,779.5,787.0,773.5,784.0,2697579
2012-08-31,782.0,791.0,778.5,787.0,4952173
2012-09-03,785.0,791.18,782.02,786.0,1676298
2012-09-04,784.0,785.5,768.0,771.0,2950327
2012-09-05,771.5,785.5,770.5,783.5,3720431
2012-09-06,787.5,815.0,777.0,813.5,8069844
2012-09-07,813.0,828.0,810.22,817.0,5035827
2012-09-10,816.5,819.14,811.0,813.5,1974922
2012-09-11,812.5,817.5,808.0,816.0,2691707
2012-09-12,818.5,833.0,812.0,822.5,4588606
2012-09-13,826.0,837.03,824.0,834.0,3499036
2012-09-14,848.5,856.0,818.5,854.0,4431605
2012-09-17,850.5,854.03,836.5,841.0,4183402
2012-09-18,836.0,837.0,814.0,821.5,5340404
2012-09-19,823.0,826.0,814.0,822.0,4459103
2012-09-20,816.0,821.5,811.0,821.5,3461850
2012-09-21,826.0,830.5,818.5,826.0,6046181
2012-09-24,818.5,823.0,812.5,823.0,2172399
2012-09-25,823.5,828.5,815.5,825.0,2419989
2012-09-26,816.0,817.0,798.5,808.5,5134440
2012-09-27,812.5,813.5,803.0,807.0,2570318
2012-09-28,812.0,815.0,801.5,801.5,3877424
2012-10-01,801.5,822.5,801.5,820.5,3123213
2012-10-02,813.5,825.5,809.0,820.0,2605346
2012-10-03,818.5,824.5,811.5,824.0,2758892
2012-10-04,828.5,838.0,824.5,834.5,5130853
2012-10-05,835.0,851.0,828.0,851.0,4389361
2012-10-08,842.0,843.5,836.5,840.0,1964089
2012-10-09,841.5,842.0,834.5,837.5,2319556
2012-10-10,835.5,838.0,826.5,828.0,2844550
2012-10-11,823.5,849.5,823.5,844.5,3169681
2012-10-12,844.5,853.5,841.5,848.5,3774554
2012-10-15,847.0,855.5,841.5,846.5,3355496
2012-10-16,852.0,872.25,850.5,870.0,3935726
2012-10-17,868.5,870.55,857.5,862.0,3442260
2012-10-18,864.5,867.5,858.0,863.0,2736434
2012-10-19,862.0,868.0,858.0,861.0,3015273
2012-10-22,857.5,873.5,854.0,858.5,3210909
2012-10-23,858.0,862.0,842.5,843.5,3208055
2012-10-24,846.0,847.5,833.5,842.5,2693985
2012-10-25,842.0,859.0,841.5,853.0,2685125
2012-10-26,848.5,851.0,830.75,837.0,4656876
2012-10-29,831.5,840.5,822.5,834.5,3081806
2012-10-30,834.0,849.0,834.0,848.0,1628195
2012-10-31,847.0,859.5,846.5,848.5,3696058
2012-11-01,851.0,853.26,847.5,853.0,5141383
2012-11-02,853.0,866.0,852.0,858.5,2760434
2012-11-05,850.5,858.5,849.0,856.0,2369364
2012-11-06,858.0,870.0,857.0,868.5,2109280
2012-11-07,873.0,875.5,849.0,850.5,3106938
2012-11-08,853.0,860.5,848.86,853.0,2116484
2012-11-09,853.0,854.5,832.0,846.5,2628994
2012-11-12,847.5,853.0,842.5,849.0,2669325
2012-11-13,846.5,865.5,841.5,865.5,3907056
2012-11-14,861.0,877.5,849.0,871.0,6271996
2012-11-15,864.0,864.5,852.0,852.0,3489637
2012-11-16,849.5,854.0,839.5,839.5,3808708
2012-11-19,849.0,873.0,845.0,870.5,3666295
2012-11-20,865.0,891.0,865.0,889.0,4736868
2012-11-21,884.5,894.3,880.0,880.0,3879594
2012-11-22,882.0,885.55,878.0,882.5,1955732
2012-11-23,886.0,891.0,880.0,889.0,1555570
2012-11-26,885.0,889.0,880.5,882.5,2743626
2012-11-27,888.5,892.5,882.0,882.5,2968168
2012-11-28,877.5,889.5,874.0,888.0,2996612
2012-11-29,895.0,904.0,888.0,901.5,3405850
2012-11-30,898.5,913.5,894.05,905.0,5252465
2012-12-03,904.5,909.0,897.5,897.5,5165316
2012-12-04,899.0,906.0,896.55,901.0,2616104
2012-12-05,905.0,905.5,895.0,899.0,4132314
2012-12-06,903.5,910.0,899.5,908.0,3906751
2012-12-07,909.5,909.5,900.5,908.0,2473373
2012-12-10,905.0,911.5,899.0,911.5,2610374
2012-12-11,913.0,916.5,907.0,907.0,2421719
2012-12-12,908.0,915.0,903.0,904.5,2477818
2012-12-13,905.5,906.0,896.0,898.5,4253069
2012-12-14,898.0,898.0,875.5,881.0,5952139
2012-12-17,884.5,884.5,874.0,880.0,3485763
2012-12-18,882.5,884.5,870.5,877.0,4604650
2012-12-19,880.0,892.5,877.0,890.0,4893812
2012-12-20,888.0,898.0,887.0,895.5,4403638
2012-12-21,893.0,894.0,871.0,872.0,7368878
