Date,Open,High,Low,Close,Volume
2012-01-03,480.7,485.9,459.8,471.5,743739
2012-01-04,472.3,477.1,468.0,472.2,909502
2012-01-05,470.7,476.0,469.1,473.0,625236
2012-01-06,473.0,482.1,472.1,481.0,613465
2012-01-09,487.9,506.5,487.9,506.5,1617914
2012-01-10,507.5,516.5,506.5,506.5,1452033
2012-01-11,508.0,508.0,496.2,499.7,1020228
2012-01-12,501.5,516.5,498.54,516.5,824484
2012-01-13,519.5,523.2,511.5,515.5,690193
2012-01-16,512.0,522.5,511.25,519.5,404593
2012-01-17,527.5,529.0,518.5,520.0,557279
2012-01-18,520.5,524.5,512.5,522.5,527758
2012-01-19,523.0,525.36,519.26,520.92,746852
2012-01-20,523.5,534.0,519.5,521.0,595996
2012-01-23,520.0,525.0,513.5,524.5,575264
2012-01-24,521.5,527.0,511.5,519.5,611993
2012-01-25,519.5,523.5,511.0,515.0,554042
2012-01-26,518.0,528.5,518.0,518.5,549748
2012-01-27,520.0,523.0,514.5,518.0,389861
2012-01-30,515.0,521.0,508.54,515.0,577449
2012-01-31,518.5,529.0,514.18,526.5,794860
2012-02-01,527.5,534.5,522.5,533.0,1159397
2012-02-02,533.5,544.0,529.0,530.0,813205
2012-02-03,527.5,548.5,527.5,548.5,1081562
2012-02-06,544.0,551.0,535.0,550.0,819938
2012-02-07,554.5,561.0,541.5,554.88,1232575
2012-02-08,560.0,560.0,540.0,546.0,938519
2012-02-09,548.0,559.0,545.5,549.0,838137
2012-02-10,547.5,552.5,540.92,551.0,745995
2012-02-13,553.0,561.5,553.0,559.0,349176
2012-02-14,555.0,565.5,554.0,560.51,432595
2012-02-15,565.5,572.5,559.3,567.5,659135
2012-02-16,565.5,571.5,555.0,565.0,689834
2012-02-17,574.0,592.5,574.0,588.0,1141205
2012-02-20,591.0,618.0,588.0,612.56,1471027
2012-02-21,609.5,609.5,599.5,604.0,1304795
2012-02-22,603.0,615.5,602.0,612.5,849702
2012-02-23,612.0,623.5,611.0,621.5,1263913
2012-02-24,620.5,625.5,607.0,608.0,1019165
2012-02-27,608.5,631.5,605.0,627.0,958719
2012-02-28,702.38,750.0,701.0,706.5,6068867
2012-02-29,691.0,707.06,671.5,675.5,2571461
2012-03-01,671.5,692.0,670.0,674.5,1105585
2012-03-02,676.0,676.0,652.0,654.5,1574771
2012-03-05,653.5,656.5,637.5,643.0,1202781
2012-03-06,642.75,644.0,631.0,634.5,1508838
2012-03-07,639.5,658.83,637.0,655.0,986962
2012-03-08,650.5,664.0,650.5,662.0,798353
2012-03-09,668.5,679.0,665.0,671.27,752932
2012-03-12,664.5,673.5,662.0,670.0,811560
2012-03-13,676.0,685.0,673.5,680.0,1360305
2012-03-14,684.0,689.97,672.5,673.5,889739
2012-03-15,675.0,685.5,672.75,681.5,835426
2012-03-16,680.5,693.5,677.5,678.5,1229565
2012-03-19,681.0,684.5,670.0,671.5,474363
2012-03-20,670.5,670.5,654.0,658.78,946476
2012-03-21,663.5,681.0,661.05,675.5,874282
2012-03-22,675.5,675.5,657.0,661.0,794897
2012-03-23,653.0,662.0,639.0,641.5,1261335
2012-03-26,653.5,662.57,640.0,662.5,1038027
2012-03-27,667.5,667.5,657.0,661.5,821678
2012-03-28,660.5,666.0,652.0,656.5,781074
2012-03-29,656.0,658.14,628.5,639.5,1004290
2012-03-30,641.5,647.5,636.5,640.0,861662
2012-04-02,644.0,645.5,632.5,644.5,858450
2012-04-03,652.0,652.0,629.5,635.0,803049
2012-04-04,635.0,635.0,616.0,618.5,881486
2012-04-05,620.0,632.5,616.5,628.0,746284
2012-04-10,620.0,628.5,615.0,615.0,894790
2012-04-11,613.5,637.5,612.17,633.78,1021921
2012-04-12,630.0,642.0,622.0,637.0,1368361
2012-04-13,637.0,651.5,632.0,639.5,1336840
2012-04-16,637.5,637.76,621.0,626.0,1386354
2012-04-17,624.0,643.0,618.0,640.5,1373760
2012-04-18,641.5,641.5,622.5,634.5,1052377
2012-04-19,639.5,652.0,636.5,650.0,1268472
2012-04-20,648.0,648.2,637.5,641.0,1142957
2012-04-23,640.0,642.0,615.5,618.0,940347
2012-04-24,619.5,630.5,618.0,625.5,1114308
2012-04-25,629.0,635.0,623.5,625.0,977341
2012-04-26,628.0,639.5,628.0,638.5,630513
2012-04-27,633.5,644.0,627.5,640.0,630138
2012-04-30,641.0,645.94,625.5,628.5,653058
2012-05-01,629.0,632.01,619.5,628.0,599457
2012-05-02,632.5,638.0,627.5,632.5,806333
2012-05-03,633.5,636.5,624.5,626.0,793688
2012-05-04,625.5,625.5,589.0,589.5,1409911
2012-05-08,594.0,595.0,561.0,563.5,1185435
2012-05-09,560.5,565.5,554.95,564.0,1132567
2012-05-10,572.5,596.0,572.0,590.0,1289429
2012-05-11,588.5,595.5,583.0,590.06,660312
2012-05-14,587.5,590.5,569.0,574.5,771023
2012-05-15,577.5,583.76,542.0,548.0,1410738
2012-05-16,542.0,574.5,534.3,570.0,1098799
2012-05-17,572.0,576.5,555.5,563.5,935920
2012-05-18,557.5,557.5,538.0,550.0,1446016
2012-05-21,551.0,554.5,545.0,548.5,676539
2012-05-22,554.0,575.0,554.0,572.0,897517
2012-05-23,562.56,567.0,555.0,556.0,724375
2012-05-24,561.5,563.0,549.0,558.5,565909
2012-05-25,560.0,562.0,542.5,550.5,549909
2012-05-28,555.0,572.0,552.0,568.0,538165
2012-05-29,569.5,575.56,557.5,575.5,1055037
2012-05-30,569.5,572.32,560.0,565.0,882750
2012-05-31,565.0,575.0,562.0,568.0,1010118
2012-06-01,565.5,570.0,521.5,532.0,1491385
2012-06-06,533.0,553.5,531.0,553.0,912728
2012-06-07,555.0,588.5,552.33,586.5,1118093
2012-06-08,580.5,594.0,573.5,592.0,1081290
2012-06-11,600.0,606.41,589.0,591.5,736674
2012-06-12,589.5,593.45,567.0,576.5,1220692
2012-06-13,575.0,584.5,558.0,570.5,764520
2012-06-14,567.0,568.72,550.0,567.5,882659
2012-06-15,569.5,589.5,568.5,580.0,1837445
2012-06-18,593.5,594.5,578.4,590.0,979485
2012-06-19,592.5,597.26,585.5,593.5,770548
2012-06-20,596.0,614.5,588.5,614.0,668737
2012-06-21,608.0,619.0,603.5,608.5,555752
2012-06-22,600.0,605.5,592.0,603.5,889126
2012-06-25,600.5,607.0,589.0,589.0,793446
2012-06-26,587.0,592.0,585.0,587.5,639430
2012-06-27,590.0,590.0,580.5,587.5,590049
2012-06-28,588.5,589.0,566.0,570.0,794720
2012-06-29,586.0,614.0,583.0,609.0,1092342
2012-07-02,612.5,636.0,611.0,635.0,1107336
2012-07-03,634.0,647.0,619.0,621.5,1303828
2012-07-04,621.0,626.0,614.5,626.0,888285
2012-07-05,629.5,641.0,626.0,638.5,978867
2012-07-06,640.0,640.0,630.0,638.5,605254
2012-07-09,625.5,638.5,625.5,631.0,721321
2012-07-10,631.5,637.0,627.5,630.5,776658
2012-07-11,626.0,638.95,615.5,622.5,434642
2012-07-12,621.5,629.0,621.5,625.0,773051
2012-07-13,627.5,636.5,627.17,635.0,322562
2012-07-16,635.5,649.0,630.0,648.0,671665
2012-07-17,654.0,654.0,640.42,640.5,395487
2012-07-18,643.5,651.5,642.0,644.5,430672
2012-07-19,648.0,664.0,647.46,662.0,543516
2012-07-20,662.0,664.5,651.5,651.5,932352
2012-07-23,643.0,648.17,611.5,618.0,632007
2012-07-24,623.0,629.1,615.0,617.0,557309
2012-07-25,615.5,619.5,600.5,606.0,699958
2012-07-26,609.5,632.0,607.26,632.0,483067
2012-07-27,639.5,640.5,628.25,637.5,408149
2012-07-30,642.5,642.5,622.0,624.5,426796
2012-07-31,624.0,624.0,611.5,615.5,546197
2012-08-01,614.0,628.5,613.0,624.5,492296
2012-08-02,625.5,631.0,617.5,622.0,382638
2012-08-03,622.0,642.0,622.0,639.5,322386
2012-08-06,640.5,652.5,637.5,645.0,371199
2012-08-07,643.0,647.0,632.7,640.5,344169
2012-08-08,638.5,644.0,636.0,644.0,315161
2012-08-09,645.0,662.5,638.5,658.0,694863
2012-08-10,656.0,662.0,651.5,659.0,601034
2012-08-13,658.0,660.0,652.5,656.0,320517
2012-08-14,671.0,672.5,663.5,668.0,651718
2012-08-15,668.0,685.0,666.5,682.5,529249
2012-08-16,683.0,687.0,675.5,683.0,370824
2012-08-17,687.5,697.0,683.0,694.0,555014
2012-08-20,696.0,706.0,690.18,705.0,665056
2012-08-21,705.0,717.0,678.74,697.0,1138171
2012-08-22,698.5,699.09,678.45,690.0,802385
